Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored
San Diego Chargers,467.0,6535.0,1111.0,5.9,49.0,19.0,380.0,386.0,632.0,4870.0,37.0,30.0,7.3,259.0,440.0,1665.0,20.0,3.8,92.0,100.0,937.0,29.0,0.0,0.0,61.1,5.9,4.7,8.2,7.2,13.4,86.8,39.0,305.0,6.3,5.8,25.0,213.0,0.0,8.5,71.0,1494.0,1.0,21.0,8551.0,1.0,1.0,8.0,8.0,10.0,6.0,7.0,3.0,2.0,0.0,28.0,18.0,64.3,57.0,53.0,93.0,68.0,2881.0,0.0,42.4,435.0,6265.0,1105.0,5.7,42.0,16.0,364.0,357.0,595.0,4293.0,28.0,26.0,6.8,218.0,470.0,1972.0,25.0,4.2,122.0,86.0,703.0,24.0,0.0,0.0,60.0,4.7,4.4,7.7,6.7,12.9,81.8,40.0,304.0,5.8,6.3,36.0,274.0,0.0,7.6,68.0,1363.0,0.0,20.0,30.0,18.0,60.0,54.0,51.0,94.4,70.0,2716.0,0.0,38.8,44.0,0.0,2.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5175.0,-7.0,32.0,270.0,0.6039603960396039,0.39603960396039606,0.7452180566182096,0.2547819433817904,0.6491228070175439,0.3508771929824561,2.8152173913043477,0.3552123552123552,0.07631578947368421,2.1578947368421053,0.5746606334841629,0.42533936651583715,0.6852354349561054,0.3147645650438946,0.5283018867924528,0.4716981132075472,0.06593406593406594,1.8333333333333333,0.4318181818181818,12.0
Chicago Bears,456.0,5837.0,1085.0,5.4,31.0,15.0,343.0,237.0,432.0,3076.0,17.0,16.0,6.5,145.0,610.0,2761.0,27.0,4.5,176.0,104.0,912.0,22.0,0.0,0.0,54.9,3.9,3.7,7.6,6.8,13.9,77.3,43.0,227.0,5.7,9.1,54.0,503.0,0.0,9.3,43.0,1089.0,2.0,25.3,7722.0,2.0,2.0,13.0,13.0,14.0,13.0,6.0,3.0,2.0,0.0,37.0,31.0,83.8,51.0,51.0,100.0,69.0,2912.0,1.0,42.2,198.0,4135.0,945.0,4.4,54.0,20.0,236.0,249.0,522.0,2816.0,16.0,34.0,4.8,141.0,359.0,1319.0,6.0,3.7,74.0,118.0,944.0,21.0,0.0,0.0,47.7,3.1,6.5,6.3,4.0,13.2,51.2,64.0,483.0,2.7,10.9,23.0,203.0,0.0,8.8,78.0,1827.0,0.0,23.4,19.0,12.0,63.2,23.0,22.0,95.7,90.0,3636.0,0.0,40.4,24.0,1.0,4.0,0.0,51.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3303.0,23.0,258.0,1702.0,0.4377880184331797,0.5622119815668203,0.5269830392324825,0.47301696076751754,0.38636363636363635,0.6136363636363636,0.8238636363636364,1.2137931034482758,0.0641399416909621,1.6888888888888889,0.6201058201058202,0.37989417989417984,0.6810157194679565,0.31898428053204353,0.7272727272727273,0.2727272727272727,0.08898305084745763,1.7027027027027026,0.625,36.0
Cincinnati Bengals,441.0,5900.0,1062.0,5.6,29.0,16.0,344.0,302.0,518.0,3717.0,31.0,13.0,6.6,191.0,503.0,2183.0,20.0,4.3,125.0,110.0,795.0,28.0,0.0,0.0,58.3,6.0,2.5,7.9,7.9,13.5,93.0,41.0,365.0,6.7,7.3,32.0,268.0,0.0,8.4,67.0,1385.0,0.0,20.7,7982.0,0.0,0.0,8.0,7.0,13.0,12.0,6.0,4.0,6.0,1.0,33.0,24.0,72.7,50.0,49.0,98.0,63.0,2604.0,1.0,41.3,437.0,5663.0,1019.0,5.6,38.0,19.0,337.0,297.0,518.0,3664.0,26.0,19.0,6.6,194.0,461.0,1999.0,23.0,4.3,118.0,84.0,731.0,25.0,0.0,0.0,57.3,5.0,3.7,7.7,7.1,13.5,83.5,40.0,334.0,6.0,7.2,42.0,554.0,1.0,13.2,81.0,1734.0,0.0,21.4,34.0,26.0,76.5,51.0,51.0,100.0,60.0,2478.0,0.0,41.3,35.0,0.0,2.0,0.0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4082.0,9.0,4.0,237.0,0.5263653483992468,0.47363465160075324,0.63,0.37,0.6078431372549019,0.3921568627450981,1.528,0.6544502617801047,0.08139534883720931,1.8372093023255816,0.5475956820412169,0.4524043179587831,0.6470068868091118,0.3529931131908882,0.5306122448979592,0.4693877551020408,0.07418397626112759,1.7906976744186047,0.45714285714285713,14.0
Miami Dolphins,428.0,5843.0,1039.0,5.6,41.0,20.0,361.0,343.0,576.0,4114.0,31.0,21.0,6.9,218.0,444.0,1729.0,19.0,3.9,116.0,77.0,637.0,27.0,0.0,0.0,59.5,5.4,3.6,7.4,6.9,12.5,85.4,19.0,164.0,6.4,3.2,39.0,319.0,0.0,8.2,52.0,1177.0,0.0,22.6,7515.0,0.0,0.0,9.0,8.0,6.0,5.0,9.0,9.0,3.0,0.0,27.0,22.0,81.5,52.0,50.0,96.2,59.0,2576.0,0.0,43.7,320.0,5767.0,1034.0,5.6,41.0,18.0,314.0,257.0,487.0,3511.0,21.0,23.0,6.7,160.0,509.0,2256.0,15.0,4.4,135.0,112.0,854.0,19.0,0.0,0.0,52.8,4.3,4.7,7.8,6.5,14.7,73.2,38.0,278.0,5.5,7.2,27.0,371.0,1.0,13.7,63.0,1370.0,0.0,21.7,28.0,19.0,67.9,38.0,35.0,92.1,73.0,2971.0,0.0,40.7,31.0,1.0,1.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4278.0,0.0,108.0,76.0,0.5726660250240616,0.4273339749759384,0.7040903645387643,0.2959096354612357,0.62,0.38,1.8793103448275863,0.5321100917431193,0.07479224376731301,1.8974358974358976,0.5077369439071566,0.4922630560928434,0.6088087393792266,0.39119126062077336,0.5833333333333334,0.41666666666666663,0.06050955414012739,1.7727272727272725,0.6451612903225806,12.0
San Francisco 49ers,411.0,5920.0,1069.0,5.5,34.0,20.0,340.0,331.0,550.0,3688.0,28.0,14.0,6.2,179.0,477.0,2232.0,20.0,4.7,137.0,105.0,868.0,24.0,0.0,0.0,60.2,5.1,2.5,7.2,7.1,12.0,88.8,42.0,299.0,6.1,7.1,38.0,258.0,0.0,6.8,58.0,1269.0,1.0,21.9,7839.0,0.0,0.0,7.0,5.0,8.0,5.0,5.0,3.0,1.0,0.0,21.0,13.0,61.9,53.0,52.0,98.1,87.0,3462.0,1.0,39.8,263.0,5191.0,1116.0,4.7,35.0,17.0,293.0,346.0,621.0,3508.0,11.0,18.0,5.2,183.0,435.0,1683.0,10.0,3.9,89.0,106.0,778.0,21.0,0.0,0.0,55.7,1.8,2.9,6.4,5.4,11.5,68.9,60.0,457.0,4.3,8.8,33.0,294.0,1.0,8.9,72.0,1485.0,1.0,20.6,35.0,27.0,77.1,26.0,24.0,92.3,92.0,3643.0,0.0,39.6,29.0,3.0,1.0,0.0,53.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3987.0,1.0,148.0,729.0,0.5537885874649204,0.44621141253507957,0.6229729729729729,0.37702702702702706,0.5833333333333334,0.41666666666666663,1.3065693430656935,0.7653631284916201,0.07058823529411765,1.5319148936170213,0.6102150537634409,0.3897849462365591,0.6757850125216721,0.3242149874783279,0.5238095238095238,0.47619047619047616,0.07167235494880546,1.6410256410256412,0.6896551724137931,26.0
New York Giants,399.0,5884.0,1130.0,5.2,38.0,18.0,356.0,275.0,497.0,3433.0,22.0,20.0,6.3,192.0,581.0,2451.0,24.0,4.2,138.0,80.0,781.0,26.0,0.0,0.0,55.3,4.4,4.0,7.7,6.8,13.9,78.3,52.0,396.0,5.4,9.5,53.0,442.0,0.0,8.3,50.0,866.0,0.0,17.3,7594.0,1.0,1.0,9.0,6.0,9.0,7.0,12.0,7.0,2.0,1.0,33.0,22.0,66.7,47.0,45.0,95.7,81.0,3472.0,0.0,42.9,283.0,4320.0,1022.0,4.2,37.0,13.0,258.0,278.0,535.0,2838.0,20.0,24.0,4.7,163.0,419.0,1482.0,9.0,3.5,77.0,106.0,821.0,18.0,0.0,0.0,52.0,3.7,4.5,6.3,5.0,12.1,65.5,68.0,539.0,3.6,11.3,29.0,247.0,0.0,8.5,79.0,1697.0,0.0,21.5,21.0,18.0,85.7,33.0,31.0,93.9,107.0,4366.0,0.0,40.8,36.0,0.0,2.0,0.0,48.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3829.0,-1.0,116.0,1564.0,0.48584070796460177,0.5141592920353982,0.5834466349422162,0.41655336505778384,0.4782608695652174,0.5217391304347826,1.391304347826087,0.71875,0.07303370786516854,1.8333333333333333,0.5900195694716243,0.40998043052837574,0.6569444444444444,0.34305555555555556,0.6896551724137931,0.31034482758620685,0.06976744186046512,1.8,0.5,12.0
New York Jets,393.0,5896.0,1123.0,5.3,29.0,21.0,344.0,303.0,497.0,3584.0,25.0,8.0,6.4,201.0,564.0,2312.0,18.0,4.1,121.0,119.0,907.0,22.0,0.0,0.0,61.0,5.0,1.6,8.0,8.3,13.1,96.3,62.0,399.0,6.7,11.1,39.0,386.0,0.0,9.9,53.0,1043.0,0.0,19.7,7784.0,2.0,2.0,11.0,11.0,8.0,6.0,8.0,4.0,5.0,3.0,34.0,26.0,76.5,45.0,43.0,95.6,74.0,2978.0,0.0,40.2,264.0,4772.0,989.0,4.8,42.0,20.0,276.0,267.0,507.0,3256.0,17.0,22.0,5.9,154.0,433.0,1516.0,10.0,3.5,85.0,113.0,868.0,37.0,0.0,0.0,52.7,3.4,4.3,7.2,5.9,13.6,68.9,49.0,370.0,4.7,8.8,36.0,319.0,1.0,8.9,58.0,1135.0,0.0,19.6,25.0,18.0,72.0,30.0,30.0,100.0,88.0,3678.0,0.0,41.8,35.0,1.0,1.0,0.0,45.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3983.0,13.0,129.0,1124.0,0.4977738201246661,0.5022261798753339,0.6078697421981004,0.3921302578018996,0.5813953488372093,0.41860465116279066,1.6611570247933884,0.6019900497512438,0.06395348837209303,1.9512195121951221,0.5621840242669363,0.43781597573306374,0.6823134953897737,0.3176865046102263,0.6296296296296297,0.37037037037037035,0.13405797101449277,2.0571428571428574,0.6,14.0
Denver Broncos,380.0,5496.0,1152.0,4.8,31.0,8.0,339.0,329.0,617.0,3645.0,23.0,23.0,5.6,192.0,497.0,1851.0,20.0,3.7,113.0,85.0,677.0,34.0,0.0,0.0,53.3,3.7,3.7,6.4,5.5,12.0,70.1,38.0,307.0,4.7,5.8,46.0,429.0,0.0,9.3,52.0,1203.0,0.0,23.1,7413.0,2.0,2.0,9.0,7.0,11.0,6.0,11.0,8.0,5.0,0.0,38.0,23.0,60.5,44.0,41.0,93.2,94.0,3846.0,2.0,40.9,329.0,5179.0,1069.0,4.8,36.0,12.0,290.0,277.0,547.0,3206.0,22.0,24.0,5.4,168.0,475.0,1973.0,10.0,4.2,103.0,91.0,953.0,19.0,0.0,0.0,50.6,4.0,4.4,6.6,5.4,12.9,66.7,47.0,378.0,4.3,7.9,38.0,325.0,0.0,8.6,64.0,1346.0,1.0,21.0,33.0,26.0,78.8,36.0,35.0,97.2,94.0,3863.0,0.0,41.1,24.0,0.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3952.0,5.0,51.0,317.0,0.5685763888888888,0.43142361111111116,0.6632096069868996,0.33679039301310043,0.5348837209302325,0.4651162790697675,1.6991150442477876,0.5885416666666666,0.10029498525073746,1.7297297297297298,0.5556594948550047,0.44434050514499535,0.619038424406256,0.380961575593744,0.6875,0.3125,0.06551724137931035,1.5714285714285712,0.3333333333333333,12.0
Pittsburgh Steelers,379.0,5350.0,1086.0,4.9,36.0,9.0,315.0,254.0,512.0,3173.0,23.0,27.0,5.8,165.0,541.0,2177.0,14.0,4.0,125.0,85.0,665.0,25.0,0.0,0.0,49.6,4.5,5.3,6.6,5.2,13.4,64.1,33.0,224.0,4.4,6.1,49.0,483.0,2.0,9.9,65.0,1337.0,0.0,20.6,7408.0,1.0,1.0,13.0,12.0,15.0,14.0,9.0,5.0,4.0,1.0,42.0,33.0,78.6,40.0,40.0,100.0,79.0,3128.0,1.0,39.6,355.0,4659.0,990.0,4.7,34.0,14.0,273.0,287.0,484.0,2783.0,18.0,20.0,5.4,144.0,470.0,1876.0,19.0,4.0,105.0,89.0,679.0,24.0,0.0,0.0,59.3,3.7,4.1,6.4,5.3,10.8,73.3,36.0,305.0,4.3,6.9,43.0,380.0,0.0,8.8,65.0,1566.0,0.0,24.1,25.0,19.0,76.0,43.0,40.0,93.0,86.0,3517.0,0.0,40.9,31.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3397.0,-2.0,24.0,691.0,0.501841620626151,0.498158379373849,0.5930841121495327,0.4069158878504673,0.6216216216216216,0.3783783783783784,1.32,0.7575757575757576,0.07936507936507936,1.65,0.5252525252525253,0.4747474747474747,0.597338484653359,0.40266151534664096,0.4864864864864865,0.5135135135135135,0.08791208791208792,1.6,0.2903225806451613,6.0
New England Patriots,362.0,5499.0,1061.0,5.2,42.0,20.0,294.0,255.0,457.0,3168.0,20.0,22.0,6.4,153.0,565.0,2331.0,15.0,4.1,126.0,114.0,842.0,15.0,0.0,0.0,55.8,4.4,4.8,7.6,6.3,13.7,74.9,39.0,315.0,5.2,7.9,42.0,530.0,2.0,12.6,57.0,1119.0,0.0,19.6,7497.0,1.0,1.0,9.0,7.0,9.0,9.0,9.0,5.0,2.0,2.0,30.0,24.0,80.0,41.0,40.0,97.6,92.0,3953.0,0.0,43.0,290.0,4714.0,1042.0,4.5,47.0,24.0,284.0,262.0,525.0,3059.0,14.0,23.0,5.3,168.0,466.0,1655.0,15.0,3.6,92.0,83.0,699.0,24.0,0.0,0.0,49.9,2.7,4.4,6.5,5.0,13.0,61.2,51.0,334.0,4.0,8.9,56.0,598.0,0.0,10.7,76.0,1434.0,0.0,18.9,25.0,22.0,88.0,32.0,30.0,93.8,97.0,3928.0,0.0,40.5,37.0,3.0,1.0,0.0,41.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3483.0,5.0,72.0,785.0,0.46748350612629597,0.532516493873704,0.5761047463175123,0.4238952536824877,0.5714285714285714,0.4285714285714286,1.2142857142857142,0.8235294117647058,0.05102040816326531,1.853658536585366,0.5527831094049904,0.4472168905950096,0.6489181162494697,0.3510818837505303,0.4827586206896552,0.5172413793103448,0.08450704225352113,1.8055555555555556,0.5405405405405406,28.0
