Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
San Diego Chargers,288.0,4048.0,617.0,6.6,20.0,8.0,233.0,208.0,338.0,2927.0,19.0,12.0,8.4,145.0,267.0,1121.0,15.0,4.2,72.0,64.0,530.0,16.0,0.0,0.0
Los Angeles Raiders,260.0,2955.0,582.0,5.1,24.0,9.0,175.0,154.0,267.0,1875.0,14.0,15.0,6.5,95.0,292.0,1080.0,15.0,3.7,65.0,86.0,840.0,15.0,0.0,0.0
New York Jets,245.0,3218.0,606.0,5.3,18.0,9.0,193.0,165.0,279.0,1901.0,16.0,9.0,6.3,95.0,304.0,1317.0,13.0,4.3,87.0,63.0,533.0,11.0,0.0,0.0
Cincinnati Bengals,232.0,3288.0,606.0,5.4,16.0,7.0,207.0,219.0,310.0,2339.0,12.0,9.0,6.9,123.0,269.0,949.0,13.0,3.5,63.0,56.0,475.0,21.0,0.0,0.0
Dallas Cowboys,226.0,3199.0,579.0,5.5,26.0,12.0,180.0,160.0,258.0,1886.0,16.0,14.0,6.7,99.0,296.0,1313.0,10.0,4.4,70.0,42.0,304.0,11.0,0.0,0.0
Green Bay Packers,226.0,2910.0,582.0,5.0,26.0,11.0,175.0,143.0,267.0,1829.0,12.0,15.0,6.1,97.0,283.0,1081.0,12.0,3.8,59.0,42.0,343.0,19.0,0.0,0.0
San Francisco 49ers,209.0,3242.0,587.0,5.5,21.0,10.0,183.0,215.0,348.0,2502.0,17.0,11.0,6.8,121.0,219.0,740.0,6.0,3.4,49.0,45.0,451.0,13.0,0.0,0.0
Pittsburgh Steelers,204.0,2970.0,583.0,5.1,25.0,9.0,171.0,141.0,275.0,1783.0,17.0,16.0,6.1,91.0,289.0,1187.0,7.0,4.1,69.0,59.0,459.0,11.0,0.0,0.0
Los Angeles Rams,200.0,3024.0,563.0,5.4,24.0,10.0,163.0,166.0,297.0,1999.0,11.0,14.0,6.4,90.0,251.0,1025.0,13.0,4.1,61.0,63.0,550.0,12.0,0.0,0.0
Miami Dolphins,198.0,2658.0,582.0,4.6,23.0,10.0,165.0,129.0,238.0,1314.0,8.0,13.0,5.3,66.0,333.0,1344.0,11.0,4.0,84.0,34.0,240.0,15.0,0.0,0.0
Philadelphia Eagles,191.0,2685.0,530.0,5.1,23.0,10.0,157.0,168.0,288.0,1856.0,12.0,13.0,5.8,100.0,211.0,829.0,11.0,3.9,48.0,38.0,253.0,9.0,0.0,0.0
Washington Redskins,190.0,2985.0,598.0,5.0,16.0,7.0,165.0,162.0,253.0,1845.0,13.0,9.0,6.5,87.0,315.0,1140.0,5.0,3.6,66.0,46.0,404.0,12.0,0.0,0.0
Minnesota Vikings,187.0,2879.0,601.0,4.8,17.0,5.0,167.0,187.0,334.0,1967.0,15.0,12.0,5.5,107.0,245.0,912.0,6.0,3.7,52.0,62.0,496.0,8.0,0.0,0.0
Atlanta Falcons,183.0,2963.0,610.0,4.9,21.0,10.0,190.0,176.0,275.0,1782.0,9.0,11.0,5.9,92.0,310.0,1181.0,12.0,3.8,79.0,77.0,655.0,19.0,0.0,0.0
Detroit Lions,181.0,2534.0,598.0,4.2,26.0,8.0,160.0,136.0,285.0,1512.0,12.0,18.0,4.8,83.0,283.0,1022.0,5.0,3.6,60.0,58.0,548.0,17.0,0.0,0.0
Kansas City Chiefs,176.0,2498.0,573.0,4.4,12.0,4.0,163.0,145.0,264.0,1555.0,10.0,8.0,5.1,79.0,269.0,943.0,3.0,3.5,71.0,43.0,372.0,13.0,0.0,0.0
New York Giants,164.0,2729.0,559.0,4.9,19.0,10.0,153.0,161.0,298.0,1887.0,10.0,9.0,6.0,96.0,244.0,842.0,7.0,3.5,47.0,47.0,369.0,10.0,0.0,0.0
Tampa Bay Buccaneers,158.0,2895.0,587.0,4.9,23.0,12.0,163.0,164.0,308.0,1943.0,9.0,11.0,6.1,105.0,268.0,952.0,6.0,3.6,52.0,38.0,297.0,6.0,0.0,0.0
Buffalo Bills,150.0,2927.0,604.0,4.8,26.0,9.0,180.0,149.0,273.0,1556.0,8.0,17.0,5.5,84.0,319.0,1371.0,9.0,4.3,83.0,69.0,582.0,13.0,0.0,0.0
Denver Broncos,148.0,2837.0,592.0,4.8,36.0,17.0,170.0,181.0,311.0,1819.0,8.0,19.0,5.4,103.0,257.0,1018.0,6.0,4.0,52.0,54.0,516.0,15.0,0.0,0.0
New England Patriots,143.0,2633.0,526.0,5.0,17.0,8.0,146.0,93.0,187.0,1286.0,12.0,9.0,6.4,63.0,324.0,1347.0,3.0,4.2,74.0,52.0,412.0,9.0,0.0,0.0
Chicago Bears,141.0,2493.0,571.0,4.4,19.0,8.0,153.0,141.0,262.0,1505.0,10.0,11.0,5.1,83.0,276.0,988.0,5.0,3.6,56.0,58.0,422.0,14.0,0.0,0.0
Cleveland Browns,140.0,2718.0,616.0,4.4,24.0,8.0,176.0,174.0,334.0,1845.0,9.0,16.0,5.1,96.0,256.0,873.0,7.0,3.4,64.0,59.0,461.0,16.0,0.0,0.0
Houston Oilers,136.0,2373.0,551.0,4.3,26.0,11.0,138.0,153.0,287.0,1574.0,12.0,15.0,4.8,81.0,225.0,799.0,5.0,3.6,52.0,52.0,424.0,5.0,0.0,0.0
St. Louis Cardinals,135.0,2542.0,579.0,4.4,16.0,10.0,162.0,129.0,240.0,1333.0,6.0,6.0,4.9,81.0,307.0,1209.0,10.0,3.9,71.0,56.0,528.0,10.0,0.0,0.0
New Orleans Saints,129.0,2655.0,602.0,4.4,24.0,10.0,173.0,137.0,248.0,1398.0,8.0,14.0,5.2,76.0,331.0,1257.0,8.0,3.8,79.0,63.0,514.0,18.0,0.0,0.0
Seattle Seahawks,127.0,2594.0,589.0,4.4,24.0,11.0,159.0,176.0,326.0,1799.0,9.0,13.0,5.0,89.0,227.0,795.0,4.0,3.5,51.0,59.0,523.0,19.0,0.0,0.0
