Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
Atlanta Falcons,540.0,6653.0,995.0,6.7,11.0,4.0,379.0,374.0,537.0,4725.0,38.0,7.0,8.2,239.0,421.0,1928.0,20.0,4.6,108.0,104.0,848.0,32.0,52.9,5.9,299.18
New Orleans Saints,469.0,6816.0,1105.0,6.2,24.0,9.0,395.0,472.0,674.0,5074.0,38.0,15.0,7.2,265.0,404.0,1742.0,17.0,4.3,105.0,107.0,969.0,25.0,45.9,12.7,181.68
New England Patriots,441.0,6180.0,1056.0,5.9,11.0,9.0,351.0,368.0,550.0,4308.0,32.0,2.0,7.5,203.0,482.0,1872.0,19.0,3.9,109.0,93.0,819.0,39.0,43.8,5.5,217.74
Green Bay Packers,432.0,5900.0,1029.0,5.7,17.0,9.0,349.0,403.0,620.0,4199.0,40.0,8.0,6.4,222.0,374.0,1701.0,11.0,4.5,91.0,100.0,827.0,36.0,44.0,9.1,213.84
Dallas Cowboys,421.0,6027.0,1010.0,6.0,15.0,9.0,358.0,325.0,483.0,3631.0,25.0,6.0,7.1,191.0,499.0,2396.0,24.0,4.8,142.0,105.0,879.0,25.0,45.1,8.8,181.38
Arizona Cardinals,418.0,5868.0,1086.0,5.4,28.0,11.0,368.0,383.0,646.0,4136.0,28.0,17.0,6.0,229.0,399.0,1732.0,20.0,4.3,97.0,104.0,889.0,42.0,35.0,14.2,53.88
Oakland Raiders,416.0,5973.0,1048.0,5.7,14.0,7.0,333.0,379.0,596.0,4051.0,29.0,7.0,6.6,198.0,434.0,1922.0,17.0,4.4,98.0,147.0,1247.0,37.0,36.8,8.1,66.08
Indianapolis Colts,411.0,5830.0,1037.0,5.6,22.0,7.0,351.0,370.0,584.0,4202.0,32.0,15.0,6.7,220.0,409.0,1628.0,13.0,4.0,93.0,103.0,883.0,38.0,40.2,12.3,89.3
San Diego Chargers,410.0,5708.0,1014.0,5.6,35.0,14.0,340.0,349.0,580.0,4198.0,33.0,21.0,6.8,214.0,398.0,1510.0,10.0,3.8,90.0,107.0,780.0,36.0,38.1,18.2,44.64
Pittsburgh Steelers,399.0,5962.0,1026.0,5.8,18.0,3.0,336.0,381.0,596.0,4202.0,33.0,15.0,6.8,210.0,409.0,1760.0,13.0,4.3,97.0,112.0,1068.0,29.0,39.4,10.8,122.31
Buffalo Bills,399.0,5666.0,1012.0,5.6,12.0,5.0,328.0,286.0,474.0,3036.0,17.0,7.0,5.8,155.0,492.0,2630.0,29.0,5.3,146.0,112.0,960.0,27.0,36.7,6.8,110.41
Washington Redskins,396.0,6454.0,1009.0,6.4,21.0,9.0,345.0,407.0,607.0,4758.0,25.0,12.0,7.6,226.0,379.0,1696.0,17.0,4.5,89.0,110.0,909.0,30.0,43.4,11.4,140.96
Kansas City Chiefs,389.0,5488.0,990.0,5.5,17.0,9.0,305.0,365.0,546.0,3740.0,19.0,8.0,6.5,197.0,412.0,1748.0,15.0,4.2,86.0,109.0,848.0,22.0,36.6,9.7,33.53
Tennessee Titans,381.0,5728.0,1008.0,5.7,18.0,7.0,322.0,307.0,504.0,3541.0,29.0,11.0,6.7,175.0,476.0,2187.0,16.0,4.6,115.0,110.0,1012.0,32.0,36.4,9.8,68.28
Carolina Panthers,369.0,5499.0,1052.0,5.2,29.0,10.0,318.0,306.0,563.0,3685.0,21.0,19.0,6.2,194.0,453.0,1814.0,16.0,4.0,99.0,98.0,835.0,25.0,34.7,14.0,-5.0
Philadelphia Eagles,367.0,5398.0,1080.0,5.0,20.0,6.0,333.0,380.0,609.0,3585.0,16.0,14.0,5.6,192.0,438.0,1813.0,16.0,4.1,114.0,113.0,945.0,27.0,37.6,11.2,10.08
Miami Dolphins,363.0,5324.0,913.0,5.8,23.0,8.0,278.0,316.0,477.0,3500.0,27.0,15.0,6.9,167.0,406.0,1824.0,14.0,4.5,90.0,125.0,1142.0,21.0,30.5,12.2,23.16
Seattle Seahawks,354.0,5715.0,1012.0,5.6,18.0,6.0,313.0,368.0,567.0,4124.0,23.0,12.0,6.8,203.0,403.0,1591.0,13.0,3.9,85.0,117.0,970.0,25.0,38.0,9.8,72.17
Tampa Bay Buccaneers,354.0,5542.0,1066.0,5.2,27.0,9.0,340.0,355.0,578.0,3926.0,29.0,18.0,6.4,220.0,453.0,1616.0,8.0,3.6,80.0,109.0,926.0,40.0,32.2,14.8,31.47
Detroit Lions,346.0,5421.0,981.0,5.5,15.0,5.0,329.0,388.0,594.0,4111.0,24.0,10.0,6.5,217.0,350.0,1310.0,9.0,3.7,76.0,100.0,861.0,36.0,40.0,8.5,93.08
Baltimore Ravens,343.0,5563.0,1079.0,5.2,23.0,7.0,316.0,439.0,679.0,4100.0,20.0,16.0,5.8,205.0,367.0,1463.0,10.0,4.0,79.0,125.0,1111.0,32.0,35.4,10.4,-21.79
