Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Green Bay Packers,52.0,2.2,4.8,5.4,3.7,10.4,55.4,37.0,202.0,3.1,6.4
Dallas Cowboys,56.0,2.1,3.9,6.3,4.9,11.2,65.3,37.0,219.0,4.1,7.1
New Orleans Saints,57.4,4.7,2.6,6.7,6.5,11.7,82.9,41.0,283.0,5.4,8.1
Tampa Bay Buccaneers,61.8,3.4,3.4,6.2,5.4,10.1,76.7,35.0,207.0,4.6,6.5
Pittsburgh Steelers,58.9,3.1,4.2,6.1,4.8,10.3,69.2,51.0,369.0,3.8,8.5
Philadelphia Eagles,54.2,3.6,3.8,6.5,5.5,12.0,70.4,40.0,264.0,4.6,7.4
Oakland Raiders,55.4,4.3,3.3,6.4,5.7,11.5,75.3,34.0,252.0,4.9,6.2
Buffalo Bills,52.0,2.0,2.5,6.1,5.3,11.7,66.8,48.0,341.0,4.4,7.9
Minnesota Vikings,58.5,3.4,4.1,6.3,5.1,10.8,71.2,43.0,263.0,4.3,7.4
Denver Broncos,53.4,3.9,4.1,6.0,5.0,11.3,67.7,40.0,274.0,4.2,6.6
San Francisco 49ers,51.4,3.8,3.6,6.2,5.3,12.1,68.4,45.0,297.0,4.5,7.5
Carolina Panthers,55.2,3.1,4.0,6.4,5.3,11.7,68.7,60.0,371.0,4.2,9.7
Houston Oilers,59.5,4.6,2.3,6.6,6.5,11.1,85.0,35.0,242.0,5.7,6.3
Chicago Bears,59.9,4.0,3.2,6.6,6.0,11.1,79.5,30.0,209.0,5.3,5.4
New York Giants,59.5,2.8,4.1,6.5,5.2,11.0,71.0,30.0,178.0,4.6,5.3
Jacksonville Jaguars,57.1,4.7,2.6,7.0,6.8,12.2,83.8,37.0,237.0,5.9,6.8
Seattle Seahawks,59.2,4.9,2.7,7.1,6.8,12.0,85.8,48.0,285.0,5.7,8.6
Detroit Lions,62.0,5.6,2.2,7.1,7.3,11.5,92.9,32.0,233.0,6.4,6.0
New York Jets,56.4,7.2,2.4,7.8,8.1,13.8,95.5,28.0,178.0,7.3,5.8
Washington Redskins,58.0,2.1,3.8,6.5,5.3,11.2,69.2,34.0,207.0,4.6,5.7
Arizona Cardinals,59.8,4.0,2.1,7.1,6.9,11.8,86.1,28.0,185.0,6.2,5.1
Kansas City Chiefs,53.9,3.5,3.2,7.0,6.2,12.9,74.6,31.0,193.0,5.6,5.5
Indianapolis Colts,59.6,4.7,2.4,7.2,7.0,12.0,87.0,29.0,182.0,6.3,5.2
Miami Dolphins,62.5,5.4,3.7,7.2,6.6,11.5,86.7,37.0,233.0,5.8,6.4
San Diego Chargers,58.0,4.4,3.5,6.1,5.4,10.5,76.0,33.0,201.0,4.8,4.9
St. Louis Rams,61.1,4.1,4.7,6.9,5.6,11.3,76.1,32.0,181.0,5.0,5.4
Atlanta Falcons,62.3,5.4,1.2,8.2,8.7,13.1,100.6,36.0,208.0,7.7,6.9
New England Patriots,54.0,2.9,3.9,6.8,5.6,12.6,68.9,33.0,252.0,4.9,5.2
Cincinnati Bengals,55.9,3.9,6.0,7.1,5.1,12.6,66.1,32.0,202.0,4.5,5.3
Baltimore Ravens,65.2,5.0,2.8,7.7,7.4,11.8,93.4,30.0,146.0,6.8,5.3
Avg Team,57.6,3.9,3.4,6.7,5.9,11.6,75.0,36.9,236.5,5.1,6.5
