Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Seattle Seahawks,59.0,3.1,5.3,5.8,4.0,9.9,63.4,44.0,298.0,3.2,7.7,102.85
New Orleans Saints,60.0,3.9,2.4,6.8,6.5,11.3,83.6,49.0,336.0,5.3,8.8,4.41
Houston Texans,59.3,6.0,1.4,6.8,7.4,11.5,93.9,32.0,187.0,6.6,6.2,-96.39
Buffalo Bills,55.3,5.0,4.1,6.5,5.7,11.8,74.9,57.0,395.0,4.5,9.2,32.74
Cincinnati Bengals,59.0,3.6,3.3,5.9,5.2,10.0,74.2,43.0,279.0,4.4,6.5,52.31
Carolina Panthers,66.6,3.0,3.6,6.8,5.8,10.3,81.4,60.0,424.0,4.6,9.6,15.71
San Francisco 49ers,59.0,3.2,3.1,6.5,5.8,11.1,76.4,38.0,283.0,5.0,6.1,0.22
Cleveland Browns,60.0,4.8,2.3,6.2,6.1,10.3,84.1,40.0,185.0,5.4,6.2,-34.05
Pittsburgh Steelers,57.8,3.7,1.8,6.6,6.5,11.4,82.7,34.0,205.0,5.8,5.6,-16.16
New York Giants,60.1,3.5,2.8,6.3,5.7,10.5,78.3,34.0,214.0,5.1,5.4,10.55
Tennessee Titans,63.1,2.8,2.4,7.0,6.5,11.2,83.3,36.0,227.0,5.7,6.2,-50.08
Baltimore Ravens,56.9,4.5,2.9,7.1,6.7,12.5,82.2,40.0,257.0,5.8,6.8,-33.77
Indianapolis Colts,60.4,3.9,2.8,7.4,6.9,12.2,84.6,42.0,248.0,6.0,7.3,-80.57
Arizona Cardinals,58.7,4.6,3.2,6.5,6.0,11.1,80.2,47.0,337.0,5.1,7.0,13.96
Chicago Bears,62.1,4.9,3.7,7.7,7.0,12.4,86.9,31.0,189.0,6.3,5.8,-48.62
Miami Dolphins,59.3,2.9,3.1,6.9,6.1,11.7,77.3,42.0,272.0,5.3,6.8,-18.47
Tampa Bay Buccaneers,64.4,5.5,3.8,7.4,6.8,11.5,88.9,35.0,255.0,5.9,6.0,-75.41
New England Patriots,57.0,4.2,2.9,7.0,6.6,12.3,81.0,48.0,313.0,5.6,7.5,-28.61
St. Louis Rams,68.1,4.0,2.7,8.1,7.7,11.8,94.7,53.0,326.0,6.4,9.2,-80.88
Washington Redskins,65.6,5.6,3.1,8.0,7.8,12.3,96.1,36.0,238.0,6.8,6.5,-75.42
Atlanta Falcons,66.1,6.0,1.9,8.0,8.3,12.1,102.4,32.0,231.0,7.4,5.8,-116.45
New York Jets,58.9,4.4,2.2,7.1,7.0,12.1,86.5,41.0,242.0,6.2,6.5,-80.2
Detroit Lions,59.1,4.2,2.6,7.3,7.0,12.4,85.0,33.0,249.0,6.2,5.5,-84.19
Green Bay Packers,61.6,5.6,2.0,7.8,8.0,12.6,95.9,44.0,238.0,7.0,7.5,-100.8
Jacksonville Jaguars,64.2,5.3,2.0,7.6,7.8,11.8,96.5,31.0,225.0,7.0,5.3,-105.54
Kansas City Chiefs,56.4,4.2,3.5,7.2,6.5,12.8,78.5,47.0,309.0,5.5,7.4,-0.96
Denver Broncos,58.2,4.7,2.8,7.1,6.8,12.2,84.5,41.0,290.0,5.9,6.3,-99.8
Oakland Raiders,68.1,6.0,1.6,7.9,8.4,11.6,105.1,38.0,260.0,7.4,6.5,-132.53
San Diego Chargers,66.4,4.2,2.0,8.0,7.9,12.1,96.4,35.0,248.0,7.0,6.0,-81.33
Dallas Cowboys,64.7,5.3,2.4,7.8,7.7,12.0,96.0,34.0,246.0,7.0,5.2,-101.42
Minnesota Vikings,64.7,5.7,1.9,7.5,7.8,11.6,98.6,41.0,274.0,7.0,6.0,-140.4
Philadelphia Eagles,60.9,3.7,2.8,7.3,6.8,12.0,84.0,37.0,271.0,6.1,5.2,-83.56
Avg Team,61.2,4.4,2.8,7.1,6.8,11.6,84.1,40.5,267.2,5.9,6.7,-47.901875
