Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Jacksonville Jaguars,63.4,3.4,3.6,7.8,6.9,12.4,84.0,50.0,257.0,5.9,8.2
Baltimore Ravens,58.8,6.0,3.5,7.5,7.1,12.8,87.6,38.0,296.0,6.2,6.3
New England Patriots,59.6,4.3,2.4,6.5,6.3,10.9,83.2,30.0,190.0,5.7,4.6
Philadelphia Eagles,59.9,3.5,3.3,7.3,6.5,12.1,80.1,39.0,234.0,5.6,6.6
Green Bay Packers,59.9,7.1,2.4,7.2,7.5,12.0,95.7,40.0,241.0,6.6,6.8
Arizona Cardinals,54.8,3.8,3.4,6.4,5.6,11.7,72.6,36.0,229.0,4.9,5.5
San Francisco 49ers,65.1,4.4,2.9,7.0,6.6,10.8,88.0,42.0,200.0,5.8,7.1
Minnesota Vikings,59.0,4.3,3.4,7.0,6.3,11.8,80.4,34.0,241.0,5.5,5.7
Atlanta Falcons,59.3,4.3,5.0,6.5,5.1,11.0,72.3,42.0,254.0,4.4,6.5
New York Jets,53.9,3.5,4.8,6.2,4.8,11.5,64.7,41.0,286.0,4.1,6.1
Miami Dolphins,59.5,4.4,2.2,7.5,7.4,12.6,88.4,36.0,240.0,6.5,6.7
Cincinnati Bengals,56.1,4.4,2.8,6.6,6.2,11.8,79.4,47.0,294.0,5.3,7.7
Denver Broncos,61.0,4.9,3.2,6.8,6.4,11.2,84.3,31.0,233.0,5.6,5.5
San Diego Chargers,54.4,4.0,3.6,6.3,5.5,11.6,71.9,33.0,296.0,4.7,5.4
Washington Redskins,57.3,2.5,2.3,7.3,6.8,12.8,79.2,22.0,134.0,6.2,4.5
Indianapolis Colts,57.9,3.0,2.0,6.6,6.3,11.4,79.2,43.0,248.0,5.4,7.4
Buffalo Bills,57.8,3.7,5.0,7.4,5.9,12.8,72.6,48.0,340.0,4.7,9.0
Detroit Lions,57.1,3.7,3.9,6.4,5.4,11.2,72.5,46.0,260.0,4.5,7.8
Chicago Bears,57.7,3.4,3.3,6.1,5.3,10.5,73.4,23.0,165.0,4.8,4.0
Dallas Cowboys,63.0,2.5,2.9,6.7,5.9,10.6,78.6,19.0,127.0,5.4,3.8
Houston Oilers,58.7,4.8,3.2,7.1,6.6,12.1,83.0,34.0,198.0,5.8,6.8
Carolina Panthers,56.1,4.5,2.3,6.8,6.7,12.2,83.0,36.0,250.0,5.8,6.9
Oakland Raiders,58.3,5.3,3.6,6.2,5.7,10.7,79.4,45.0,249.0,4.8,7.8
Seattle Seahawks,52.8,2.8,3.4,6.5,5.5,12.3,68.3,38.0,189.0,4.8,7.1
New Orleans Saints,57.3,2.5,3.3,6.0,5.0,10.4,69.3,22.0,171.0,4.5,4.1
Kansas City Chiefs,54.7,3.4,2.6,5.8,5.3,10.7,72.3,27.0,203.0,4.7,4.8
Pittsburgh Steelers,53.9,3.3,4.2,6.6,5.3,12.2,68.0,21.0,149.0,4.8,4.4
St. Louis Rams,51.8,3.7,4.8,6.5,5.1,12.6,65.0,57.0,379.0,3.9,10.6
Tampa Bay Buccaneers,55.5,2.4,4.0,6.0,4.6,10.7,64.4,30.0,217.0,3.9,5.7
New York Giants,51.9,3.1,4.6,5.8,4.4,11.2,60.6,56.0,324.0,3.3,10.9
Avg Team,57.6,3.9,3.4,6.7,5.9,11.6,75.0,36.9,236.5,5.1,6.5
