Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Baltimore Ravens,43.0,404.0,1.0,9.4,60.0,1636.0,2.0,27.3,7983.0
Tennessee Titans,31.0,475.0,3.0,15.3,63.0,1489.0,1.0,23.6,7300.0
Arizona Cardinals,54.0,441.0,0.0,8.2,40.0,930.0,0.0,23.3,6113.0
Kansas City Chiefs,43.0,375.0,0.0,8.7,49.0,1059.0,0.0,21.6,6834.0
Cleveland Browns,41.0,606.0,1.0,14.8,50.0,1269.0,0.0,25.4,7154.0
Chicago Bears,44.0,333.0,0.0,7.6,47.0,929.0,0.0,19.8,6557.0
Philadelphia Eagles,30.0,310.0,1.0,10.3,60.0,1259.0,0.0,21.0,7463.0
Cincinnati Bengals,47.0,488.0,1.0,10.4,41.0,928.0,0.0,22.6,7010.0
Jacksonville Jaguars,34.0,248.0,0.0,7.3,53.0,1114.0,0.0,21.0,6475.0
San Francisco 49ers,36.0,378.0,0.0,10.5,49.0,1216.0,0.0,24.8,7774.0
Pittsburgh Steelers,41.0,300.0,0.0,7.3,43.0,1086.0,0.0,25.3,6946.0
New York Giants,20.0,144.0,0.0,7.2,63.0,1648.0,1.0,26.2,7727.0
Houston Texans,38.0,414.0,0.0,10.9,44.0,953.0,0.0,21.7,7574.0
New England Patriots,42.0,506.0,1.0,12.0,38.0,807.0,1.0,21.2,8415.0
Green Bay Packers,36.0,395.0,1.0,11.0,43.0,1074.0,0.0,25.0,7553.0
Denver Broncos,49.0,445.0,1.0,9.1,28.0,646.0,1.0,23.1,7671.0
Oakland Raiders,34.0,173.0,0.0,5.1,42.0,935.0,0.0,22.3,6771.0
New Orleans Saints,25.0,190.0,0.0,7.6,51.0,1266.0,0.0,24.8,8222.0
Minnesota Vikings,32.0,287.0,1.0,9.0,44.0,1171.0,1.0,26.6,7027.0
St. Louis Rams,37.0,245.0,0.0,6.6,38.0,799.0,0.0,21.0,6546.0
Washington Redskins,36.0,335.0,0.0,9.3,38.0,892.0,0.0,23.5,7660.0
New York Jets,23.0,238.0,1.0,10.3,50.0,1308.0,1.0,26.2,6688.0
San Diego Chargers,33.0,320.0,1.0,9.7,40.0,957.0,1.0,23.9,6342.0
Seattle Seahawks,42.0,355.0,0.0,8.5,29.0,787.0,1.0,27.1,6985.0
Indianapolis Colts,28.0,312.0,1.0,11.1,43.0,957.0,1.0,22.3,7315.0
Miami Dolphins,31.0,346.0,1.0,11.2,40.0,1082.0,1.0,27.1,6668.0
Dallas Cowboys,34.0,420.0,1.0,12.4,36.0,741.0,0.0,20.6,7462.0
Detroit Lions,35.0,302.0,0.0,8.6,34.0,681.0,0.0,20.0,7728.0
Buffalo Bills,26.0,445.0,2.0,17.1,42.0,1136.0,1.0,27.0,7221.0
Tampa Bay Buccaneers,36.0,324.0,0.0,9.0,31.0,630.0,0.0,20.3,6928.0
Carolina Panthers,27.0,276.0,0.0,10.2,39.0,867.0,0.0,22.2,7161.0
Atlanta Falcons,26.0,205.0,0.0,7.9,27.0,640.0,0.0,23.7,7028.0
Avg Team,35.4,344.8,0.6,9.7,43.6,1027.9,0.4,23.6,7196.9
