Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Atlanta Falcons,31.0,150.0,0.0,4.8,60.0,1487.0,0.0,24.8
Buffalo Bills,43.0,494.0,0.0,11.5,56.0,1144.0,0.0,20.4
Indianapolis Colts,48.0,554.0,1.0,11.5,19.0,584.0,0.0,30.7
Pittsburgh Steelers,29.0,245.0,0.0,8.4,43.0,1018.0,0.0,23.7
Green Bay Packers,24.0,305.0,1.0,12.7,59.0,1378.0,0.0,23.4
Philadelphia Eagles,31.0,176.0,0.0,5.7,51.0,1178.0,0.0,23.1
New Orleans Saints,19.0,118.0,0.0,6.2,36.0,927.0,1.0,25.8
Carolina Panthers,35.0,466.0,3.0,13.3,30.0,811.0,0.0,27.0
San Diego Chargers,25.0,329.0,0.0,13.2,57.0,1451.0,1.0,25.5
Dallas Cowboys,30.0,278.0,0.0,9.3,52.0,1114.0,0.0,21.4
Detroit Lions,36.0,484.0,1.0,13.4,49.0,1255.0,1.0,25.6
Tampa Bay Buccaneers,36.0,266.0,0.0,7.4,25.0,570.0,1.0,22.8
Oakland Raiders,44.0,593.0,2.0,13.5,47.0,1210.0,1.0,25.7
Baltimore Ravens,33.0,392.0,2.0,11.9,36.0,1050.0,1.0,29.2
Tennessee Titans,36.0,221.0,0.0,6.1,30.0,680.0,0.0,22.7
Houston Texans,32.0,307.0,0.0,9.6,46.0,1030.0,0.0,22.4
New York Giants,41.0,407.0,0.0,9.9,46.0,1053.0,0.0,22.9
Jacksonville Jaguars,48.0,333.0,0.0,6.9,26.0,632.0,0.0,24.3
St. Louis Rams,45.0,552.0,2.0,12.3,36.0,902.0,0.0,25.1
San Francisco 49ers,39.0,315.0,0.0,8.1,46.0,1061.0,0.0,23.1
New England Patriots,26.0,220.0,0.0,8.5,60.0,1294.0,0.0,21.6
Miami Dolphins,46.0,442.0,0.0,9.6,41.0,937.0,0.0,22.9
Cleveland Browns,26.0,303.0,1.0,11.7,46.0,1055.0,1.0,22.9
Minnesota Vikings,43.0,532.0,1.0,12.4,57.0,1403.0,1.0,24.6
Kansas City Chiefs,36.0,411.0,1.0,11.4,25.0,605.0,0.0,24.2
Denver Broncos,51.0,585.0,1.0,11.5,20.0,491.0,0.0,24.6
Chicago Bears,41.0,223.0,0.0,5.4,35.0,855.0,0.0,24.4
Seattle Seahawks,47.0,541.0,2.0,11.5,48.0,1249.0,1.0,26.0
Washington Redskins,34.0,255.0,0.0,7.5,36.0,749.0,0.0,20.8
Cincinnati Bengals,38.0,273.0,1.0,7.2,44.0,916.0,0.0,20.8
Arizona Cardinals,50.0,610.0,1.0,12.2,52.0,1300.0,0.0,25.0
New York Jets,32.0,241.0,0.0,7.5,61.0,1291.0,0.0,21.2
Avg Team,36.7,363.7,0.6,9.9,43.0,1021.3,0.3,23.8
