Tm,Fmb,ExpectedPointsRunning
New England Patriots,14.0,22.41
Minnesota Vikings,27.0,20.5
Philadelphia Eagles,24.0,20.15
Jacksonville Jaguars,18.0,19.5
Indianapolis Colts,14.0,16.05
New York Giants,26.0,7.15
Houston Texans,26.0,-1.16
Miami Dolphins,25.0,-6.25
Tampa Bay Buccaneers,18.0,-8.18
Dallas Cowboys,21.0,-8.97
Cleveland Browns,22.0,-11.28
New York Jets,20.0,-18.4
Denver Broncos,30.0,-25.59
Buffalo Bills,20.0,-27.87
New Orleans Saints,25.0,-28.37
Detroit Lions,35.0,-31.73
Pittsburgh Steelers,21.0,-32.69
San Diego Chargers,17.0,-32.75
Cincinnati Bengals,20.0,-36.71
Arizona Cardinals,27.0,-37.14
Carolina Panthers,25.0,-38.04
Baltimore Ravens,35.0,-39.0
Green Bay Packers,25.0,-42.03
St. Louis Rams,25.0,-47.34
Tennessee Titans,32.0,-49.04
Atlanta Falcons,18.0,-50.66
San Francisco 49ers,36.0,-51.28
Oakland Raiders,42.0,-55.36
Seattle Seahawks,21.0,-60.81
Kansas City Chiefs,22.0,-62.24
Chicago Bears,34.0,-72.35
Washington Redskins,35.0,-88.08
Avg Team,25.0,-26.8
