Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
1999.0,PHI,272.0,3830.0,947.0,4.0,39.0,205.0,4.8,18.7,32.5,128.0,1.09,26240.0,33.0,21.0,0.6363636363636364,218.0,235.0,474.0,2084.0,18.0,18.0,4.0,123.0,424.0,1746.0,5.0,4.1,76.0,102.0,905.0,19.0,21.5,17.1,,49.6,3.8,3.8,5.1,4.1,10.2,61.4,49.0,321.0,3.1,9.4,,,31.0,21.0,5.0,1.0,67.7,100.0,2.0,2.0,2.0,7.0,-85.0,-1632.0,0.5522703273495249,0.4477296726504752,0.5441253263707572,0.4558746736292428,0.7826086956521741,0.21739130434782605,,1.618421052631579,0.6178861788617886,0.0871559633027523,1.2439024390243902,25.5,30.0,29.0,30.5,28.5,205.0,4.8,18.7,32.5,128.0,1.09,26240.0,33.0,21.0,0.6363636363636364,31.0,31.0,30.0,31.0,23.0,17.5,31.0,31.0,19.0,17.0,29.5,10.0,25.0,13.0,18.0,25.0,29.0,24.0,,30.0,18.0,25.5,31.0,30.0,31.0,29.0,24.5,25.0,30.0,28.5,,,16.5,21.5,25.0,10.5,8.0,25.0,30.0,21.0,11.0,31.0,1.0,3.0,29.0,3.0,1.0,21.0,11.0,13.0,31.0,26.0,24.4,22.25,23.325,23.0,21.50826446280992,28.0,30.0,25.0,29.0,26.0,25.0
2000.0,PHI,351.0,5006.0,1017.0,4.9,29.0,189.0,5.6,26.5,30.5,150.0,1.72,28350.0,22.0,14.0,0.6363636363636364,295.0,331.0,575.0,3124.0,21.0,15.0,5.0,182.0,397.0,1882.0,13.0,4.7,88.0,113.0,980.0,25.0,33.3,13.8,-54.16,57.6,3.7,2.6,5.9,5.4,10.2,75.9,45.0,262.0,4.6,7.3,-43.04,-0.92,33.0,29.0,1.0,1.0,87.9,94.4,2.0,1.0,0.0,2.0,106.0,186.0,0.6096361848574238,0.3903638151425762,0.6240511386336396,0.3759488613663604,0.6176470588235294,0.38235294117647056,,2.0681818181818183,0.4835164835164835,0.0847457627118644,1.25531914893617,12.0,17.0,15.0,17.0,16.5,189.0,5.6,26.5,30.5,150.0,1.72,28350.0,22.0,14.0,0.6363636363636364,17.0,11.0,7.0,20.0,13.0,11.5,26.0,13.0,24.0,15.0,18.0,4.5,22.5,24.0,27.0,18.0,9.0,15.0,17.0,18.5,15.5,8.0,27.5,19.5,29.0,17.0,22.0,21.0,21.0,17.0,22.0,,11.5,4.5,7.5,30.0,13.5,6.0,17.0,9.0,23.0,20.0,12.0,15.5,16.5,15.5,12.0,12.0,20.0,16.0,30.0,15.5,13.7,17.375,15.5375,15.7,13.791460055096412,17.0,15.0,20.0,18.0,17.0,11.0
2001.0,PHI,343.0,4923.0,974.0,5.1,24.0,201.0,5.0,24.2,32.3,138.0,1.54,27738.0,20.0,10.0,0.5,256.0,300.0,522.0,3145.0,27.0,14.0,5.6,146.0,412.0,1778.0,6.0,4.3,90.0,100.0,768.0,20.0,29.4,10.9,-48.92,57.5,5.2,2.7,6.6,6.4,11.4,83.4,40.0,282.0,5.4,7.1,-6.48,-30.53,31.0,26.0,3.0,2.0,83.9,97.4,0.0,0.0,0.0,9.0,135.0,222.0,0.5770020533880903,0.4229979466119097,0.6388381068454194,0.3611618931545806,0.8181818181818182,0.1818181818181817,,1.6222222222222222,0.6164383561643836,0.078125,1.5348837209302326,9.0,17.0,22.0,15.0,6.5,201.0,5.0,24.2,32.3,138.0,1.54,27738.0,20.0,10.0,0.5,27.0,22.5,18.0,20.0,5.5,8.5,19.5,26.0,23.0,14.0,31.0,8.5,19.0,21.0,16.0,24.0,17.0,6.0,16.0,20.5,4.0,7.5,20.5,11.0,19.0,8.5,18.0,23.0,10.5,17.0,16.0,,15.0,11.5,6.5,21.0,7.5,3.5,11.0,12.0,20.0,22.0,10.0,1.0,31.0,1.0,10.0,21.0,11.0,19.0,26.0,14.583333333333336,13.6,18.625,16.1125,11.4,10.770936639118457,10.0,13.0,21.0,19.0,9.0,6.0
2002.0,PHI,415.0,5604.0,1073.0,5.2,24.0,200.0,5.5,28.0,35.2,150.0,1.92,30000.0,28.0,13.0,0.4642857142857143,311.0,318.0,548.0,3384.0,27.0,11.0,5.8,164.0,489.0,2220.0,15.0,4.5,124.0,111.0,897.0,23.0,36.0,12.0,-2.03,58.0,4.9,2.0,6.6,6.7,11.3,85.9,36.0,222.0,5.9,6.2,2.94,0.74,34.0,30.0,2.0,1.0,88.2,100.0,3.0,3.0,0.0,14.0,174.0,850.0,0.5442684063373718,0.4557315936626282,0.6038543897216274,0.3961456102783726,0.6428571428571429,0.3571428571428571,,1.3225806451612905,0.7560975609756098,0.07395498392282958,1.4666666666666666,4.0,10.0,4.0,17.0,8.0,200.0,5.5,28.0,35.2,150.0,1.92,30000.0,28.0,13.0,0.4642857142857143,18.0,18.0,18.5,19.0,5.0,6.0,18.0,22.0,5.5,7.0,14.5,8.5,6.0,23.0,20.0,23.0,8.0,10.0,18.0,21.5,5.5,5.0,17.0,7.0,16.0,9.0,16.0,17.0,7.5,16.5,22.0,,7.5,4.0,3.0,11.0,4.0,1.0,6.0,24.0,9.0,24.0,9.0,14.5,18.5,14.5,9.0,29.0,4.0,22.0,24.0,11.083333333333336,11.6,10.0,10.8,4.6,7.2214876033057855,7.0,14.0,9.0,6.0,2.0,1.0
2003.0,PHI,374.0,5035.0,944.0,5.3,22.0,187.0,5.2,26.9,32.5,145.0,1.88,27115.0,21.0,11.0,0.5238095238095238,302.0,279.0,484.0,3020.0,17.0,11.0,5.7,156.0,417.0,2015.0,23.0,4.8,105.0,96.0,817.0,41.0,34.2,10.2,10.98,57.6,3.5,2.3,6.8,6.4,11.7,80.5,43.0,253.0,5.4,8.2,-6.29,30.14,29.0,24.0,3.0,2.0,82.8,100.0,1.0,0.0,1.0,4.0,87.0,-272.0,0.5582627118644068,0.4417372881355932,0.5998013902681232,0.4001986097318768,0.425,0.575,,1.4857142857142858,0.6730769230769231,0.1357615894039735,1.4166666666666667,11.0,18.0,29.0,10.5,5.5,187.0,5.2,26.9,32.5,145.0,1.88,27115.0,21.0,11.0,0.5238095238095238,13.5,25.0,25.0,20.0,22.5,4.0,20.0,18.5,25.5,9.0,2.0,4.5,12.0,9.0,12.0,1.0,10.0,3.5,11.0,19.5,21.0,5.0,13.0,12.0,7.5,14.0,26.5,23.0,14.0,30.0,17.0,,17.0,12.0,12.0,8.5,8.0,8.0,20.0,15.0,18.0,24.0,9.0,31.0,2.0,31.0,9.0,19.0,14.0,1.0,25.0,12.083333333333336,15.05,9.875,12.4625,13.6,13.726997245179064,10.0,15.0,7.0,10.0,13.0,13.0
2004.0,PHI,386.0,5618.0,960.0,5.9,22.0,192.0,5.2,29.2,31.1,144.0,1.95,27648.0,17.0,11.0,0.6470588235294118,301.0,336.0,547.0,3979.0,32.0,11.0,6.8,188.0,376.0,1639.0,10.0,4.4,87.0,124.0,952.0,26.0,35.9,10.9,69.55,61.4,5.9,2.0,7.7,8.0,12.5,96.4,37.0,229.0,7.1,6.3,106.56,-23.88,32.0,27.0,3.0,2.0,84.4,97.6,2.0,0.0,0.0,6.0,126.0,503.0,0.6083333333333333,0.3916666666666667,0.7082591669633321,0.2917408330366679,0.7619047619047619,0.2380952380952381,,2.160919540229885,0.4627659574468085,0.08637873754152824,1.75,8.0,9.0,27.0,5.5,7.5,192.0,5.2,29.2,31.1,144.0,1.95,27648.0,17.0,11.0,0.6470588235294118,14.0,8.0,9.0,7.0,4.0,4.5,9.5,10.0,31.0,24.0,22.0,9.0,23.0,28.0,22.0,17.5,8.0,5.5,8.0,10.0,6.0,3.0,8.5,4.0,6.5,4.0,16.5,16.0,4.5,12.0,7.0,,4.5,5.5,11.0,26.0,11.5,4.0,9.0,4.0,29.0,5.0,28.0,5.0,28.0,5.0,28.0,9.0,24.0,18.0,16.5,9.5,5.6,21.4375,13.51875,11.6,11.659504132231405,8.5,3.0,23.0,11.0,8.0,6.0
2005.0,PHI,310.0,5109.0,1027.0,5.0,34.0,218.0,4.8,23.3,30.4,126.0,1.33,27468.0,34.0,14.0,0.4117647058823529,282.0,337.0,620.0,3677.0,21.0,20.0,5.6,182.0,365.0,1432.0,11.0,3.9,73.0,134.0,1130.0,27.0,24.8,14.7,-129.46,54.4,3.4,3.2,6.3,5.5,11.6,71.5,42.0,226.0,4.8,6.3,-60.11,-48.79,29.0,22.0,2.0,1.0,75.9,97.0,2.0,1.0,0.0,-7.0,-78.0,-97.0,0.6445959104186952,0.3554040895813048,0.7197103151301625,0.2802896848698375,0.65625,0.34375,,2.4931506849315066,0.4010989010989011,0.09574468085106384,1.6153846153846154,18.0,19.0,10.0,17.5,25.5,218.0,4.8,23.3,30.4,126.0,1.33,27468.0,34.0,14.0,0.4117647058823529,21.0,9.0,3.0,8.0,14.0,26.0,21.0,12.0,30.0,28.0,19.0,17.5,28.0,27.0,29.5,17.0,29.0,22.0,30.0,27.0,21.0,19.5,24.5,23.0,16.0,25.0,21.5,16.0,22.5,16.5,29.0,,19.0,22.5,25.0,27.0,23.5,24.0,23.0,2.0,31.0,6.0,27.0,8.5,24.5,8.5,27.0,5.0,28.0,14.0,23.0,20.33333333333333,13.5,24.0625,18.78125,23.5,20.93732782369146,21.0,16.0,27.0,20.0,26.0,24.0
2006.0,PHI,398.0,6103.0,988.0,6.2,24.0,183.0,5.5,33.2,30.0,152.0,1.98,27816.0,26.0,15.0,0.5769230769230769,312.0,323.0,544.0,4119.0,31.0,9.0,7.2,189.0,416.0,1984.0,13.0,4.8,106.0,112.0,983.0,17.0,33.9,11.5,83.65,59.4,5.7,1.7,7.9,8.3,13.3,96.7,28.0,190.0,7.6,4.9,83.24,17.96,23.0,18.0,0.0,0.0,78.3,100.0,1.0,1.0,0.0,5.0,70.0,854.0,0.5789473684210527,0.42105263157894735,0.6749139767327543,0.3250860232672457,0.7045454545454546,0.2954545454545454,,1.7830188679245282,0.5608465608465608,0.05448717948717949,1.6458333333333337,6.0,2.0,22.0,1.0,9.5,183.0,5.5,33.2,30.0,152.0,1.98,27816.0,26.0,15.0,0.5769230769230769,9.5,13.0,8.0,3.0,1.5,3.0,3.0,8.0,27.0,11.0,15.5,5.0,11.0,27.5,32.0,29.5,10.0,7.5,4.0,19.0,1.0,3.0,3.5,1.5,1.0,2.0,8.5,11.5,2.0,8.0,8.0,,31.0,30.5,19.0,11.5,9.0,8.0,5.0,9.0,24.0,10.0,23.0,3.0,30.0,3.0,23.0,15.0,18.0,31.0,18.0,5.833333333333332,3.95,15.3125,9.63125,12.3,13.037052341597796,3.0,3.0,17.0,4.0,9.0,8.0
2007.0,PHI,336.0,5729.0,1047.0,5.5,27.0,182.0,5.9,31.5,29.2,163.0,1.86,29666.0,24.0,12.0,0.5,323.0,350.0,577.0,3755.0,24.0,15.0,6.0,186.0,421.0,1974.0,12.0,4.7,118.0,83.0,649.0,19.0,34.1,13.2,49.64,60.7,4.2,2.6,6.9,6.6,11.4,84.6,49.0,250.0,5.7,7.8,36.73,20.15,32.0,24.0,4.0,1.0,75.0,100.0,2.0,0.0,0.0,-8.0,36.0,747.0,0.5978987583572111,0.4021012416427889,0.6554372490836097,0.3445627509163903,0.6666666666666666,0.33333333333333337,,1.5762711864406782,0.6344086021505376,0.05882352941176471,1.4680851063829787,17.0,6.0,5.0,10.5,13.0,182.0,5.9,31.5,29.2,163.0,1.86,29666.0,24.0,12.0,0.5,5.5,9.0,7.0,10.0,12.5,12.5,17.5,15.0,20.0,8.0,16.5,2.0,6.5,12.0,10.0,20.5,10.0,12.0,8.0,17.0,14.5,8.5,15.5,10.5,12.5,13.0,28.0,21.0,16.0,24.5,13.0,,12.5,18.0,27.5,12.0,25.0,11.0,7.0,10.0,23.0,17.0,16.0,17.0,16.0,17.0,16.0,24.0,9.0,22.5,28.0,10.166666666666666,10.55,11.6875,11.11875,15.8,14.755371900826447,7.0,9.5,11.0,6.0,13.5,13.0
2008.0,PHI,416.0,5608.0,1056.0,5.3,26.0,200.0,5.5,28.0,31.2,151.0,1.83,30200.0,16.0,10.0,0.625,318.0,362.0,606.0,3911.0,23.0,16.0,6.2,204.0,427.0,1697.0,15.0,4.0,94.0,74.0,635.0,20.0,35.5,11.5,24.99,59.7,3.8,2.6,6.7,6.3,11.2,81.4,23.0,149.0,5.8,3.7,59.11,-29.13,40.0,33.0,5.0,2.0,82.5,100.0,0.0,0.0,1.0,3.0,127.0,1219.0,0.5956439393939394,0.40435606060606055,0.6973965763195435,0.30260342368045645,0.6052631578947368,0.3947368421052632,,2.1702127659574466,0.4607843137254902,0.06289308176100629,1.675,6.0,9.0,3.0,14.5,18.0,200.0,5.5,28.0,31.2,151.0,1.83,30200.0,16.0,10.0,0.625,8.0,6.0,4.0,6.0,9.0,21.5,12.0,6.0,17.0,22.0,15.5,23.0,22.0,4.0,9.0,16.5,13.0,12.5,14.0,21.0,17.0,13.5,20.0,19.5,19.0,20.0,7.0,8.0,14.5,5.0,12.0,,1.5,3.0,22.0,13.5,14.0,4.0,1.0,7.0,26.0,6.0,27.0,14.0,19.0,14.0,27.0,4.0,29.0,21.0,14.0,12.666666666666664,9.7,19.0,14.35,9.6,9.80550964187328,11.5,9.0,21.0,14.0,5.0,4.0
