Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
1991.0,CLE,293.0,4664.0,934.0,5.0,18.0,,,,,,,,18.0,8.0,0.4444444444444444,265.0,312.0,503.0,3304.0,19.0,10.0,6.1,163.0,389.0,1360.0,12.0,3.5,82.0,108.0,872.0,20.0,0.0,0.0,,62.0,3.8,2.0,7.1,6.9,11.4,87.5,42.0,243.0,5.9,7.7,,,22.0,16.0,2.0,2.0,72.7,97.1,0.0,0.0,1.0,15.0,-5.0,-420.0,0.5835117773019272,0.4164882226980728,0.7084048027444254,0.2915951972555746,0.6129032258064516,0.3870967741935484,,1.9878048780487805,0.5030674846625767,0.07547169811320754,2.0285714285714285,16.0,19.0,22.0,15.0,1.0,,,,,,,,18.0,8.0,0.4444444444444444,18.0,5.0,12.5,9.0,10.5,2.0,12.0,11.5,22.0,24.0,15.5,22.5,22.0,21.5,24.0,12.0,14.5,14.5,,3.0,10.0,2.0,11.5,5.5,24.0,4.0,19.5,14.0,7.0,18.0,,,26.0,25.0,15.0,17.0,3.0,16.5,19.0,7.0,22.0,4.0,25.0,9.0,20.0,9.0,25.0,6.0,23.0,12.0,4.0,14.75,7.1,18.375,12.7375,,,17.0,6.0,18.5,15.0,,
1992.0,CLE,272.0,4492.0,883.0,5.1,28.0,,,,,,,,19.0,12.0,0.631578947368421,242.0,238.0,398.0,2885.0,18.0,16.0,6.7,141.0,451.0,1607.0,7.0,3.6,85.0,104.0,765.0,16.0,0.0,0.0,,59.8,4.5,4.0,7.8,6.9,13.0,82.7,34.0,217.0,5.8,7.9,,,29.0,21.0,3.0,1.0,72.4,96.7,0.0,0.0,0.0,5.0,-3.0,-265.0,0.4892412231030577,0.5107587768969423,0.6422528940338379,0.3577471059661621,0.72,0.28,,1.6588235294117648,0.6028368794326241,0.06611570247933883,2.1666666666666665,20.0,18.0,27.0,11.5,7.5,,,,,,,,19.0,12.0,0.631578947368421,24.0,22.0,28.0,17.0,12.5,10.5,5.0,18.0,12.0,19.0,24.0,25.0,21.0,20.0,14.0,22.5,14.5,14.5,,6.0,8.0,16.0,2.5,5.5,4.0,8.0,10.0,8.0,6.5,15.0,,,10.0,11.0,17.0,23.0,10.0,13.0,15.0,26.0,3.0,13.0,16.0,6.0,23.0,6.0,16.0,10.0,19.0,18.0,3.0,16.583333333333332,12.8,19.125,15.9625,,,19.0,14.0,20.0,20.0,,
1993.0,CLE,304.0,4740.0,948.0,5.0,36.0,,,,,,,,27.0,17.0,0.6296296296296297,264.0,262.0,478.0,3039.0,23.0,19.0,5.8,152.0,425.0,1701.0,8.0,4.0,91.0,121.0,842.0,21.0,0.0,0.0,,54.8,4.8,4.0,7.0,6.1,12.7,76.2,45.0,289.0,5.1,8.6,,,22.0,16.0,4.0,1.0,72.7,100.0,0.0,0.0,2.0,-14.0,-3.0,-38.0,0.5516877637130801,0.4483122362869199,0.6411392405063291,0.3588607594936709,0.7419354838709677,0.25806451612903225,,1.6703296703296704,0.5986842105263158,0.07954545454545454,1.75,15.0,20.0,25.0,12.5,25.5,,,,,,,,27.0,17.0,0.6296296296296297,22.5,24.5,23.0,19.0,6.0,19.0,12.0,21.0,20.0,17.0,22.0,11.5,22.5,25.5,24.0,11.0,14.5,14.5,,22.0,4.0,19.5,9.5,11.0,3.5,15.0,22.0,23.5,13.0,22.5,,,27.5,25.5,20.5,7.0,26.0,16.0,17.0,15.0,14.0,15.0,14.0,5.0,24.0,5.0,14.0,13.0,16.0,8.0,12.0,17.75,14.35,19.25,16.8,,,22.0,18.0,22.0,23.0,,
1994.0,CLE,340.0,4832.0,970.0,5.0,35.0,,,,,,,,26.0,14.0,0.5384615384615384,273.0,266.0,507.0,3175.0,20.0,21.0,6.1,161.0,449.0,1657.0,12.0,3.7,80.0,113.0,969.0,32.0,0.0,0.0,,52.5,3.9,4.1,6.4,5.4,12.3,68.6,14.0,94.0,5.0,2.7,,,28.0,26.0,1.0,0.0,92.9,100.0,5.0,4.0,0.0,-4.0,136.0,6.0,0.5371134020618556,0.4628865979381444,0.6570778145695364,0.3429221854304636,0.625,0.375,,2.0125,0.4968944099378882,0.11721611721611724,1.7297297297297298,11.5,16.0,22.0,11.5,23.0,,,,,,,,26.0,14.0,0.5384615384615384,22.0,23.5,19.0,19.0,14.0,24.5,11.0,19.0,13.0,14.0,13.5,15.0,24.5,20.0,24.0,2.0,14.5,14.5,,25.0,14.0,26.0,23.5,23.0,7.5,25.0,1.0,2.0,19.5,1.0,,,16.0,7.0,1.0,10.5,20.5,3.0,13.0,20.0,9.0,18.0,11.0,14.5,14.5,14.5,11.0,10.0,19.0,2.0,21.0,16.416666666666668,18.25,16.0625,17.15625,,,17.0,23.0,14.0,22.0,,
1995.0,CLE,289.0,5076.0,985.0,5.2,31.0,,,,,,,,25.0,11.0,0.44,293.0,324.0,555.0,3594.0,21.0,20.0,6.1,189.0,398.0,1482.0,5.0,3.7,83.0,107.0,966.0,21.0,0.0,0.0,,58.4,3.8,3.6,6.8,5.9,11.6,76.6,32.0,178.0,5.3,5.5,,,33.0,29.0,1.0,0.0,87.9,100.0,3.0,1.0,0.0,-7.0,-67.0,-572.0,0.5959390862944163,0.4040609137055837,0.7080378250591016,0.2919621749408984,0.8076923076923077,0.1923076923076923,,2.27710843373494,0.4391534391534391,0.07167235494880546,1.8378378378378373,25.5,21.0,24.0,13.5,17.0,,,,,,,,25.0,11.0,0.44,20.0,15.0,15.0,14.0,16.0,21.5,15.0,14.5,22.5,22.0,27.5,20.0,24.0,17.5,26.0,19.5,15.5,15.5,,16.0,17.5,21.5,16.0,18.0,17.5,18.0,12.0,8.0,17.0,13.0,,,12.5,6.5,2.0,9.5,26.0,24.0,24.0,13.0,18.0,11.0,20.0,5.0,26.0,5.0,20.0,10.0,21.0,17.0,11.0,19.75,14.85,21.5,18.175,,,21.0,15.0,24.0,24.0,,
2000.0,NE,276.0,4571.0,1037.0,4.4,25.0,195.0,5.5,23.2,32.3,145.0,1.38,28275.0,23.0,10.0,0.43478260869565216,283.0,328.0,565.0,3181.0,18.0,15.0,5.2,172.0,424.0,1390.0,9.0,3.3,80.0,99.0,815.0,31.0,27.7,12.8,-101.45,58.1,3.2,2.7,6.1,5.6,10.6,75.5,48.0,280.0,4.7,7.8,-17.49,-79.06,33.0,27.0,3.0,1.0,81.8,100.0,1.0,1.0,0.0,-2.0,-62.0,-782.0,0.5911282545805208,0.4088717454194792,0.6959089914679502,0.30409100853204984,0.6666666666666666,0.33333333333333337,,2.15,0.4651162790697674,0.10954063604240284,1.8484848484848484,25.0,22.0,10.0,27.0,7.5,195.0,5.5,23.2,32.3,145.0,1.38,28275.0,23.0,10.0,0.43478260869565216,19.5,12.0,11.0,19.0,20.5,11.5,22.5,16.0,18.0,26.0,24.5,28.5,26.0,15.5,14.0,9.5,23.0,9.5,23.0,15.0,22.5,10.5,25.5,18.0,27.0,18.5,24.0,23.0,18.5,20.0,18.0,,11.5,8.5,13.0,12.5,18.0,23.0,24.0,12.0,20.0,10.0,22.0,12.5,19.5,12.5,22.0,10.0,22.0,5.5,6.0,20.83333333333333,15.45,22.5,18.975,19.4,18.624242424242425,22.0,17.0,26.0,23.0,23.0,23.0
2001.0,NE,371.0,4882.0,1001.0,4.9,28.0,185.0,5.6,26.2,32.6,161.0,1.75,29785.0,29.0,13.0,0.4482758620689655,292.0,306.0,482.0,3089.0,21.0,15.0,5.9,163.0,473.0,1793.0,15.0,3.8,101.0,92.0,802.0,28.0,32.4,14.6,-37.79,63.5,4.4,3.1,6.9,6.4,10.9,85.3,46.0,237.0,5.4,8.7,27.23,-59.72,30.0,24.0,1.0,1.0,80.0,97.6,1.0,0.0,0.0,7.0,99.0,-470.0,0.5274725274725275,0.4725274725274725,0.6327324866857845,0.3672675133142155,0.5833333333333334,0.4166666666666666,,1.6138613861386142,0.6196319018404908,0.0958904109589041,1.8157894736842104,6.0,19.0,18.0,21.0,14.5,185.0,5.6,26.2,32.6,161.0,1.75,29785.0,29.0,13.0,0.4482758620689655,13.0,20.0,24.0,22.0,11.0,11.5,14.0,21.0,8.5,13.0,7.5,23.5,12.0,15.0,18.0,4.0,7.0,18.0,13.0,3.0,10.5,14.0,12.5,11.0,24.0,5.0,22.5,16.0,10.5,26.0,8.0,,19.0,14.5,13.5,18.5,9.5,7.0,25.0,24.0,8.0,23.0,9.0,23.0,9.0,23.0,9.0,23.0,9.0,5.0,9.0,15.0,14.5,13.0,13.75,11.7,13.431267217630856,14.0,16.0,9.0,11.0,10.0,12.0
2002.0,NE,381.0,5085.0,1031.0,4.9,24.0,185.0,5.7,27.3,33.8,152.0,1.84,28120.0,24.0,10.0,0.4166666666666667,304.0,374.0,605.0,3577.0,28.0,14.0,5.6,184.0,395.0,1508.0,9.0,3.8,99.0,108.0,895.0,21.0,34.6,11.9,-1.09,61.8,4.6,2.3,6.2,6.1,10.1,85.3,31.0,190.0,5.5,4.9,19.75,-11.93,30.0,27.0,2.0,1.0,90.0,100.0,6.0,3.0,0.0,5.0,35.0,-292.0,0.6168768186226964,0.3831231813773036,0.703441494591937,0.2965585054080629,0.7567567567567568,0.2432432432432432,,1.8585858585858583,0.5380434782608695,0.06907894736842106,1.6315789473684212,10.0,21.0,16.0,24.0,8.0,185.0,5.7,27.3,33.8,152.0,1.84,28120.0,24.0,10.0,0.4166666666666667,19.0,5.0,4.0,12.0,2.0,10.0,22.0,13.0,28.0,28.0,27.0,27.0,16.0,21.5,19.0,25.5,14.0,8.5,17.0,9.0,8.5,7.0,28.0,18.5,31.5,11.0,10.0,10.0,17.0,8.0,16.0,,16.0,7.0,1.0,11.0,10.0,14.0,20.0,4.0,29.0,5.0,28.0,2.0,31.0,2.0,28.0,14.0,19.0,26.0,16.0,17.833333333333332,9.1,23.9375,16.51875,14.0,15.195592286501384,20.0,6.0,25.0,20.0,14.0,15.0
2003.0,NE,348.0,5039.0,1042.0,4.8,24.0,204.0,5.3,24.6,33.3,149.0,1.47,30396.0,25.0,11.0,0.44,294.0,320.0,537.0,3432.0,23.0,13.0,6.0,177.0,473.0,1607.0,9.0,3.4,91.0,111.0,998.0,26.0,27.9,11.3,-38.73,59.6,4.3,2.4,6.8,6.6,11.4,84.3,32.0,219.0,5.8,5.6,56.9,-87.44,34.0,25.0,1.0,0.0,73.5,97.4,0.0,0.0,1.0,17.0,110.0,373.0,0.5460652591170825,0.4539347408829175,0.6810875173645564,0.3189124826354436,0.71875,0.28125,,1.945054945054945,0.5141242937853108,0.08843537414965986,2.0,12.0,17.0,6.0,21.0,8.0,204.0,5.3,24.6,33.3,149.0,1.47,30396.0,25.0,11.0,0.44,16.0,8.0,6.0,9.0,11.5,6.5,13.5,11.5,12.0,27.0,24.5,30.0,23.5,22.5,25.0,14.0,18.0,6.0,16.0,12.0,11.0,6.0,13.0,8.5,15.5,10.0,14.0,18.0,10.0,12.0,8.0,,8.0,10.5,21.0,19.0,2.0,6.5,14.0,19.0,14.0,8.0,25.0,7.0,26.0,7.0,25.0,9.0,24.0,13.0,4.0,16.083333333333332,8.6,22.9375,15.76875,6.5,9.09297520661157,16.5,7.0,24.5,16.0,3.0,3.0
2004.0,NE,437.0,5722.0,1035.0,5.5,27.0,178.0,6.0,32.1,31.4,169.0,2.25,30082.0,24.0,13.0,0.5416666666666666,344.0,293.0,485.0,3588.0,29.0,14.0,7.0,193.0,524.0,2134.0,15.0,4.1,120.0,101.0,822.0,31.0,42.1,14.6,106.16,60.4,6.0,2.9,7.7,7.6,12.8,92.5,26.0,162.0,6.9,5.1,139.86,-29.37,33.0,31.0,1.0,0.0,93.9,100.0,1.0,1.0,0.0,9.0,177.0,750.0,0.493719806763285,0.5062801932367149,0.6270534778049633,0.3729465221950367,0.6590909090909091,0.3409090909090909,,1.6083333333333334,0.6217616580310881,0.09011627906976744,1.878048780487805,4.0,7.0,6.0,10.0,15.5,178.0,6.0,32.1,31.4,169.0,2.25,30082.0,24.0,13.0,0.5416666666666666,6.0,20.0,22.0,11.0,6.0,11.5,7.0,7.0,5.5,7.0,10.0,17.5,7.0,6.0,5.0,9.5,2.0,19.0,6.0,13.0,4.5,11.0,8.5,7.0,4.0,8.0,5.0,7.0,7.0,6.0,6.0,,2.5,1.0,1.0,12.0,8.0,1.0,4.0,28.0,5.0,22.0,11.0,14.0,19.0,14.0,11.0,21.0,12.0,15.0,6.0,9.5,9.2,10.9375,10.06875,6.9,8.995454545454548,8.5,7.0,9.0,5.0,4.0,3.0
