Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2002.0,PHI,415.0,5604.0,1073.0,5.2,24.0,200.0,5.5,28.0,35.2,150.0,1.92,30000.0,28.0,13.0,0.4642857142857143,311.0,318.0,548.0,3384.0,27.0,11.0,5.8,164.0,489.0,2220.0,15.0,4.5,124.0,111.0,897.0,23.0,36.0,12.0,-2.03,58.0,4.9,2.0,6.6,6.7,11.3,85.9,36.0,222.0,5.9,6.2,2.94,0.74,34.0,30.0,2.0,1.0,88.2,100.0,3.0,3.0,0.0,14.0,174.0,850.0,0.5442684063373718,0.4557315936626282,0.6038543897216274,0.3961456102783726,0.6428571428571429,0.3571428571428571,,1.3225806451612905,0.7560975609756098,0.07395498392282958,1.4666666666666666,4.0,10.0,4.0,17.0,8.0,200.0,5.5,28.0,35.2,150.0,1.92,30000.0,28.0,13.0,0.4642857142857143,18.0,18.0,18.5,19.0,5.0,6.0,18.0,22.0,5.5,7.0,14.5,8.5,6.0,23.0,20.0,23.0,8.0,10.0,18.0,21.5,5.5,5.0,17.0,7.0,16.0,9.0,16.0,17.0,7.5,16.5,22.0,,7.5,4.0,3.0,11.0,4.0,1.0,6.0,24.0,9.0,24.0,9.0,14.5,18.5,14.5,9.0,29.0,4.0,22.0,24.0,11.083333333333336,11.6,10.0,10.8,4.6,7.2214876033057855,7.0,14.0,9.0,6.0,2.0,1.0
2003.0,PHI,374.0,5035.0,944.0,5.3,22.0,187.0,5.2,26.9,32.5,145.0,1.88,27115.0,21.0,11.0,0.5238095238095238,302.0,279.0,484.0,3020.0,17.0,11.0,5.7,156.0,417.0,2015.0,23.0,4.8,105.0,96.0,817.0,41.0,34.2,10.2,10.98,57.6,3.5,2.3,6.8,6.4,11.7,80.5,43.0,253.0,5.4,8.2,-6.29,30.14,29.0,24.0,3.0,2.0,82.8,100.0,1.0,0.0,1.0,4.0,87.0,-272.0,0.5582627118644068,0.4417372881355932,0.5998013902681232,0.4001986097318768,0.425,0.575,,1.4857142857142858,0.6730769230769231,0.1357615894039735,1.4166666666666667,11.0,18.0,29.0,10.5,5.5,187.0,5.2,26.9,32.5,145.0,1.88,27115.0,21.0,11.0,0.5238095238095238,13.5,25.0,25.0,20.0,22.5,4.0,20.0,18.5,25.5,9.0,2.0,4.5,12.0,9.0,12.0,1.0,10.0,3.5,11.0,19.5,21.0,5.0,13.0,12.0,7.5,14.0,26.5,23.0,14.0,30.0,17.0,,17.0,12.0,12.0,8.5,8.0,8.0,20.0,15.0,18.0,24.0,9.0,31.0,2.0,31.0,9.0,19.0,14.0,1.0,25.0,12.083333333333336,15.05,9.875,12.4625,13.6,13.726997245179064,10.0,15.0,7.0,10.0,13.0,13.0
2004.0,PHI,386.0,5618.0,960.0,5.9,22.0,192.0,5.2,29.2,31.1,144.0,1.95,27648.0,17.0,11.0,0.6470588235294118,301.0,336.0,547.0,3979.0,32.0,11.0,6.8,188.0,376.0,1639.0,10.0,4.4,87.0,124.0,952.0,26.0,35.9,10.9,69.55,61.4,5.9,2.0,7.7,8.0,12.5,96.4,37.0,229.0,7.1,6.3,106.56,-23.88,32.0,27.0,3.0,2.0,84.4,97.6,2.0,0.0,0.0,6.0,126.0,503.0,0.6083333333333333,0.3916666666666667,0.7082591669633321,0.2917408330366679,0.7619047619047619,0.2380952380952381,,2.160919540229885,0.4627659574468085,0.08637873754152824,1.75,8.0,9.0,27.0,5.5,7.5,192.0,5.2,29.2,31.1,144.0,1.95,27648.0,17.0,11.0,0.6470588235294118,14.0,8.0,9.0,7.0,4.0,4.5,9.5,10.0,31.0,24.0,22.0,9.0,23.0,28.0,22.0,17.5,8.0,5.5,8.0,10.0,6.0,3.0,8.5,4.0,6.5,4.0,16.5,16.0,4.5,12.0,7.0,,4.5,5.5,11.0,26.0,11.5,4.0,9.0,4.0,29.0,5.0,28.0,5.0,28.0,5.0,28.0,9.0,24.0,18.0,16.5,9.5,5.6,21.4375,13.51875,11.6,11.659504132231405,8.5,3.0,23.0,11.0,8.0,6.0
2005.0,PHI,310.0,5109.0,1027.0,5.0,34.0,218.0,4.8,23.3,30.4,126.0,1.33,27468.0,34.0,14.0,0.4117647058823529,282.0,337.0,620.0,3677.0,21.0,20.0,5.6,182.0,365.0,1432.0,11.0,3.9,73.0,134.0,1130.0,27.0,24.8,14.7,-129.46,54.4,3.4,3.2,6.3,5.5,11.6,71.5,42.0,226.0,4.8,6.3,-60.11,-48.79,29.0,22.0,2.0,1.0,75.9,97.0,2.0,1.0,0.0,-7.0,-78.0,-97.0,0.6445959104186952,0.3554040895813048,0.7197103151301625,0.2802896848698375,0.65625,0.34375,,2.4931506849315066,0.4010989010989011,0.09574468085106384,1.6153846153846154,18.0,19.0,10.0,17.5,25.5,218.0,4.8,23.3,30.4,126.0,1.33,27468.0,34.0,14.0,0.4117647058823529,21.0,9.0,3.0,8.0,14.0,26.0,21.0,12.0,30.0,28.0,19.0,17.5,28.0,27.0,29.5,17.0,29.0,22.0,30.0,27.0,21.0,19.5,24.5,23.0,16.0,25.0,21.5,16.0,22.5,16.5,29.0,,19.0,22.5,25.0,27.0,23.5,24.0,23.0,2.0,31.0,6.0,27.0,8.5,24.5,8.5,27.0,5.0,28.0,14.0,23.0,20.33333333333333,13.5,24.0625,18.78125,23.5,20.93732782369146,21.0,16.0,27.0,20.0,26.0,24.0
2006.0,MIN,282.0,4943.0,1025.0,4.8,32.0,197.0,5.3,25.1,29.9,155.0,1.24,30535.0,31.0,12.0,0.3870967741935484,272.0,332.0,540.0,3123.0,13.0,20.0,5.4,160.0,442.0,1820.0,12.0,4.1,87.0,123.0,903.0,25.0,23.9,15.7,-127.19,61.5,2.4,3.7,6.3,5.1,10.2,72.2,43.0,279.0,4.3,7.4,-80.73,-35.81,25.0,21.0,2.0,0.0,84.0,96.4,3.0,0.0,0.0,4.0,-45.0,140.0,0.5687804878048779,0.431219512195122,0.6318025490592758,0.3681974509407242,0.52,0.48,,1.839080459770115,0.54375,0.09191176470588236,1.5365853658536586,26.0,23.0,9.0,26.0,24.0,197.0,5.3,25.1,29.9,155.0,1.24,30535.0,31.0,12.0,0.3870967741935484,26.0,7.0,9.0,18.0,30.5,25.0,25.5,20.0,17.0,16.0,19.5,14.5,24.0,32.0,24.0,13.0,29.0,24.0,29.0,13.0,31.0,23.5,25.5,27.5,29.5,26.0,23.5,23.0,28.0,21.0,29.0,,28.5,24.5,13.0,29.0,10.5,22.0,15.0,11.0,22.0,19.0,14.0,27.0,6.0,27.0,14.0,14.0,19.0,10.0,21.0,23.16666666666667,19.8,18.0,18.9,14.5,15.802341597796145,28.0,25.0,21.0,24.0,15.0,15.0
2007.0,MIN,365.0,5379.0,964.0,5.6,30.0,190.0,5.2,28.2,27.7,149.0,1.57,28310.0,27.0,16.0,0.5925925925925926,294.0,249.0,432.0,2745.0,12.0,14.0,5.8,139.0,494.0,2634.0,22.0,5.3,131.0,86.0,662.0,24.0,28.4,15.3,-3.74,57.6,2.8,3.2,6.8,5.9,11.8,74.2,38.0,193.0,5.0,8.1,-18.07,20.5,24.0,20.0,4.0,1.0,83.3,97.5,3.0,3.0,1.0,1.0,54.0,-31.0,0.48755186721991706,0.5124481327800829,0.5103179029559398,0.4896820970440602,0.35294117647058826,0.6470588235294117,,1.0610687022900764,0.9424460431654677,0.08163265306122447,1.2830188679245282,15.0,13.0,30.0,6.5,20.0,190.0,5.2,28.2,27.7,149.0,1.57,28310.0,27.0,16.0,0.5925925925925926,19.0,32.0,32.0,28.0,30.0,8.0,19.5,31.0,6.0,1.0,1.0,1.0,1.0,13.0,13.0,9.5,22.0,19.5,16.0,25.5,28.0,15.5,17.5,19.5,7.5,21.0,20.0,14.0,19.0,26.0,21.0,,28.0,29.0,19.0,26.0,14.0,10.0,18.0,31.0,2.0,32.0,1.0,31.0,2.0,31.0,1.0,32.0,1.0,9.0,31.0,14.583333333333336,22.0,4.75,13.375,17.2,16.181267217630857,15.0,28.0,1.0,13.0,15.0,14.0
2008.0,MIN,379.0,5288.0,1014.0,5.2,31.0,190.0,5.5,27.7,29.3,158.0,1.82,30020.0,31.0,14.0,0.4516129032258064,292.0,267.0,452.0,2956.0,22.0,17.0,6.0,150.0,519.0,2332.0,15.0,4.5,119.0,90.0,692.0,23.0,34.7,14.7,-36.35,59.1,4.9,3.8,7.1,6.4,12.0,81.5,43.0,261.0,5.3,8.7,0.43,-25.28,34.0,29.0,6.0,6.0,85.3,100.0,1.0,0.0,3.0,-6.0,46.0,609.0,0.4881656804733728,0.5118343195266273,0.5590015128593041,0.4409984871406959,0.5945945945945946,0.4054054054054054,,1.2605042016806722,0.7933333333333333,0.07876712328767123,1.5777777777777775,12.0,17.0,11.0,18.0,28.0,190.0,5.5,27.7,29.3,158.0,1.82,30020.0,31.0,14.0,0.4516129032258064,18.0,25.0,28.0,25.0,11.5,23.0,18.0,24.0,3.0,5.0,15.5,6.0,5.0,17.0,16.0,9.0,14.0,23.0,22.0,23.5,5.5,30.0,14.0,18.0,8.0,18.0,26.0,22.0,20.5,28.0,21.0,,11.0,10.0,16.0,13.5,24.0,13.0,9.0,28.0,5.0,29.0,4.0,15.0,18.0,15.0,4.0,30.0,3.0,9.0,20.0,16.5,18.9,10.5,14.7,16.2,15.211570247933883,17.0,23.0,8.5,17.0,17.5,17.0
2009.0,MIN,470.0,6074.0,1054.0,5.8,18.0,188.0,5.8,32.2,32.5,168.0,2.39,31584.0,19.0,11.0,0.5789473684210527,343.0,377.0,553.0,4156.0,34.0,7.0,7.1,220.0,467.0,1918.0,19.0,4.1,99.0,101.0,757.0,24.0,42.0,9.0,136.0,68.2,6.1,1.3,8.0,8.6,11.7,107.3,34.0,247.0,7.7,5.8,214.74,-65.49,28.0,26.0,2.0,2.0,92.9,98.2,1.0,0.0,1.0,6.0,158.0,1186.0,0.5569259962049335,0.4430740037950665,0.6842278564372736,0.3157721435627264,0.6415094339622641,0.3584905660377359,,2.2222222222222223,0.45,0.06997084548104958,1.951219512195122,2.0,5.0,3.0,10.0,3.0,188.0,5.8,32.2,32.5,168.0,2.39,31584.0,19.0,11.0,0.5789473684210527,3.0,6.0,11.0,8.0,2.0,1.0,7.5,5.0,9.0,13.0,7.5,21.5,15.0,24.0,13.0,15.5,2.0,2.0,5.0,2.0,2.0,1.0,7.0,2.5,10.0,1.0,16.5,21.0,3.0,12.5,3.0,,20.0,11.0,2.0,17.0,9.0,3.0,4.0,23.0,10.0,13.0,20.0,17.0,16.0,17.0,20.0,8.0,25.0,22.0,5.0,7.0,4.0,13.1875,8.59375,4.2,7.023553719008262,4.0,2.0,12.0,4.0,2.0,2.0
2010.0,MIN,281.0,5039.0,982.0,5.1,37.0,189.0,5.3,26.4,30.2,154.0,1.38,29106.0,20.0,11.0,0.55,289.0,305.0,505.0,3097.0,14.0,26.0,5.7,159.0,441.0,1942.0,16.0,4.4,104.0,100.0,769.0,26.0,24.9,19.0,-89.86,60.4,2.8,5.1,6.6,4.8,10.9,67.7,36.0,230.0,4.1,6.7,-50.2,-23.58,18.0,17.0,0.0,0.0,94.4,96.8,2.0,1.0,0.0,-11.0,-67.0,37.0,0.5509164969450102,0.4490835030549898,0.614606072633459,0.3853939273665409,0.4666666666666667,0.5333333333333333,,1.5288461538461535,0.6540880503144654,0.08996539792387544,1.4999999999999998,29.0,23.0,23.0,22.0,29.5,189.0,5.3,26.4,30.2,154.0,1.38,29106.0,20.0,11.0,0.55,23.0,20.0,21.0,26.0,28.5,32.0,28.5,26.0,12.0,10.0,7.0,8.5,11.5,20.0,15.0,9.0,30.0,30.0,28.0,18.0,28.0,32.0,24.0,30.0,24.0,30.0,17.5,19.0,30.0,21.0,30.0,,32.0,31.0,1.0,29.0,29.0,25.0,17.0,22.0,11.0,27.0,6.0,32.0,1.0,32.0,6.0,28.0,5.0,10.0,26.0,23.58333333333333,24.3,10.5625,17.43125,20.8,19.20922865013774,24.0,30.0,10.0,20.0,23.5,22.0
2012.0,CLE,302.0,5028.0,998.0,5.0,26.0,191.0,5.4,26.2,29.0,142.0,1.48,27122.0,22.0,8.0,0.3636363636363637,279.0,328.0,566.0,3435.0,16.0,18.0,5.7,185.0,396.0,1593.0,12.0,4.0,71.0,113.0,1005.0,23.0,29.8,12.0,-63.47,58.0,2.8,3.2,6.5,5.6,11.2,73.5,36.0,233.0,4.9,6.0,-33.56,-20.42,31.0,29.0,7.0,7.0,93.5,100.0,1.0,0.0,0.0,3.0,-66.0,-793.0,0.6032064128256514,0.3967935871743487,0.6831742243436754,0.31682577565632464,0.5714285714285714,0.4285714285714286,,2.605633802816901,0.3837837837837838,0.08243727598566307,1.625,24.0,25.0,22.0,27.0,19.5,191.0,5.4,26.2,29.0,142.0,1.48,27122.0,22.0,8.0,0.3636363636363637,29.0,18.5,13.5,19.0,28.0,26.5,25.0,16.0,24.0,24.0,15.0,21.0,28.0,28.0,31.0,26.0,25.0,14.0,27.0,25.5,28.5,27.0,27.0,29.0,25.0,29.0,16.0,16.5,28.0,13.0,27.0,,19.5,10.5,1.5,14.0,12.5,24.0,29.0,11.0,22.0,14.0,19.0,22.0,11.0,22.0,19.0,7.0,26.0,19.0,22.0,23.91666666666667,20.9,20.3125,20.60625,21.7,20.033884297520657,27.0,24.0,22.0,26.0,21.0,21.0
