Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2001.0,CLE,285.0,4152.0,934.0,4.4,33.0,196.0,4.9,21.1,32.4,139.0,1.27,27244.0,24.0,12.0,0.5,238.0,279.0,466.0,2801.0,18.0,21.0,5.4,139.0,417.0,1351.0,8.0,3.2,78.0,94.0,825.0,21.0,24.5,15.3,-138.76,59.9,3.9,4.5,6.8,5.5,11.3,74.3,51.0,353.0,4.3,9.9,-45.63,-90.43,25.0,22.0,0.0,0.0,88.0,96.7,1.0,1.0,1.0,9.0,-34.0,-1145.0,0.5535331905781584,0.4464668094218416,0.6746146435452793,0.32538535645472066,0.6923076923076923,0.3076923076923077,,1.7820512820512822,0.5611510791366906,0.08823529411764706,2.125,25.0,31.0,30.0,30.5,20.0,196.0,4.9,21.1,32.4,139.0,1.27,27244.0,24.0,12.0,0.5,30.0,24.0,25.0,28.0,19.0,23.0,23.0,29.0,21.0,31.0,27.5,31.0,26.0,16.0,19.0,22.0,27.5,19.0,29.0,13.0,13.5,29.5,16.0,25.0,21.0,23.0,28.0,28.0,27.5,29.0,27.0,,28.5,19.5,2.0,24.0,7.5,19.0,30.0,19.0,13.0,9.0,23.0,6.5,25.5,6.5,23.0,19.0,13.0,9.0,1.0,26.66666666666667,21.55,26.1875,23.86875,19.7,19.639256198347105,30.0,27.0,30.0,30.0,22.0,24.0
2002.0,CLE,344.0,5027.0,993.0,5.1,31.0,191.0,5.3,26.2,30.5,151.0,1.7,28841.0,18.0,9.0,0.5,279.0,338.0,552.0,3412.0,27.0,22.0,5.8,171.0,406.0,1615.0,10.0,4.0,77.0,107.0,845.0,31.0,30.9,15.2,-6.85,61.2,4.9,4.0,6.6,5.8,10.8,80.5,35.0,253.0,5.0,6.0,44.39,-38.06,28.0,22.0,3.0,2.0,78.6,97.1,3.0,2.0,0.0,-2.0,24.0,-321.0,0.5911379657603223,0.4088620342396777,0.6787348319076985,0.32126516809230155,0.7297297297297297,0.2702702702702703,,2.220779220779221,0.4502923976608187,0.1111111111111111,1.65,19.0,23.0,23.0,20.0,20.0,191.0,5.3,26.2,30.5,151.0,1.7,28841.0,18.0,9.0,0.5,24.0,13.5,15.0,18.0,5.0,27.0,18.0,18.0,26.0,23.0,24.0,23.0,29.0,20.0,12.0,7.0,21.0,19.0,20.0,15.0,5.5,27.0,17.0,23.0,23.0,18.0,14.0,19.0,22.0,15.0,14.0,,20.0,21.5,16.5,26.5,18.5,15.0,21.0,9.0,24.0,9.0,24.0,4.0,29.0,4.0,24.0,4.0,29.0,4.0,15.0,21.166666666666668,14.85,22.5,18.675,18.3,17.888292011019285,23.0,17.0,24.0,25.0,20.0,20.0
2003.0,CLE,254.0,4504.0,961.0,4.7,33.0,180.0,5.5,24.9,30.2,157.0,1.36,28260.0,32.0,15.0,0.46875,276.0,313.0,509.0,2834.0,17.0,18.0,5.2,153.0,412.0,1670.0,8.0,4.1,91.0,98.0,767.0,32.0,26.7,17.2,-98.56,61.5,3.3,3.5,6.1,5.2,10.0,75.2,40.0,282.0,4.3,7.3,-44.24,-48.85,28.0,23.0,2.0,2.0,82.1,95.8,3.0,0.0,0.0,-11.0,-68.0,-455.0,0.5712799167533819,0.4287200832466181,0.6292184724689165,0.3707815275310835,0.68,0.31999999999999995,,1.6813186813186811,0.5947712418300654,0.11594202898550725,1.4878048780487805,29.0,26.0,28.0,25.0,26.0,180.0,5.5,24.9,30.2,157.0,1.36,28260.0,32.0,15.0,0.46875,20.0,13.0,21.0,25.0,22.5,19.0,24.0,20.0,27.0,20.0,27.0,14.5,23.5,11.0,7.0,3.5,23.0,28.5,22.0,10.0,24.0,18.5,25.0,24.0,31.0,19.0,20.0,28.0,24.0,21.5,21.0,,19.0,14.5,13.0,30.0,28.5,24.0,25.0,8.0,25.0,15.0,18.0,12.0,21.0,12.0,18.0,13.0,20.0,4.0,22.0,23.25,19.05,23.125,21.0875,24.9,21.776446280991735,27.0,22.0,27.0,27.0,26.0,26.0
2007.0,PIT,393.0,5239.0,1000.0,5.2,22.0,175.0,5.9,29.8,32.4,184.0,2.11,32200.0,21.0,8.0,0.3809523809523809,298.0,282.0,442.0,3071.0,34.0,14.0,6.3,179.0,511.0,2168.0,9.0,4.2,108.0,80.0,651.0,11.0,37.7,11.4,58.06,63.8,7.7,3.2,7.7,7.8,12.1,99.9,47.0,347.0,6.4,9.6,99.53,-32.69,25.0,23.0,1.0,0.0,92.0,100.0,2.0,2.0,0.0,3.0,124.0,977.0,0.489,0.511,0.5861805688108418,0.4138194311891582,0.7906976744186046,0.2093023255813954,,1.6574074074074074,0.6033519553072626,0.03691275167785235,1.8333333333333333,9.5,17.0,18.5,17.0,6.0,175.0,5.9,29.8,32.4,184.0,2.11,32200.0,21.0,8.0,0.3809523809523809,17.0,27.0,31.0,22.0,3.0,8.0,14.0,17.0,3.0,3.0,23.0,8.5,10.0,9.0,11.0,31.0,7.0,5.0,6.0,9.0,2.0,15.5,3.5,3.5,4.0,2.0,25.5,31.0,7.0,31.0,6.0,,26.0,22.5,1.0,12.0,12.0,6.0,3.0,30.0,3.0,28.0,5.0,2.0,31.0,2.0,5.0,22.0,11.0,31.0,12.0,12.0,12.1,10.0,11.05,5.7,8.703305785123966,9.0,11.0,7.0,5.0,2.0,4.0
2008.0,PIT,347.0,4991.0,1015.0,4.9,25.0,190.0,5.5,26.1,31.1,160.0,1.72,30400.0,28.0,10.0,0.35714285714285715,290.0,303.0,506.0,3301.0,19.0,15.0,5.9,179.0,460.0,1690.0,16.0,3.7,93.0,95.0,812.0,18.0,32.6,12.6,-27.31,59.9,3.8,3.0,7.1,6.5,11.9,81.9,49.0,306.0,5.4,8.8,45.99,-62.68,31.0,27.0,2.0,1.0,87.1,97.3,1.0,0.0,1.0,4.0,124.0,1196.0,0.5467980295566502,0.4532019704433498,0.6613905029052294,0.3386094970947706,0.5428571428571428,0.4571428571428572,,1.924731182795699,0.5195530726256983,0.06206896551724138,1.9189189189189184,20.0,22.0,10.0,24.5,15.0,190.0,5.5,26.1,31.1,160.0,1.72,30400.0,28.0,10.0,0.35714285714285715,20.0,20.5,20.0,17.0,18.0,18.0,21.0,14.0,9.0,23.0,12.0,29.0,24.0,20.0,25.0,22.0,21.0,16.0,19.0,20.0,17.0,21.5,14.0,16.0,9.5,17.0,29.0,29.0,19.0,29.0,14.0,,18.0,16.0,14.0,29.0,12.0,5.0,2.0,20.0,13.0,13.0,20.0,22.0,11.0,22.0,20.0,11.0,22.0,22.0,5.0,21.166666666666668,15.8,18.375,17.0875,8.4,10.961707988980718,23.0,19.0,18.5,22.0,4.0,6.0
2009.0,PIT,368.0,5941.0,1014.0,5.9,25.0,183.0,5.7,32.4,29.5,172.0,1.9,31476.0,21.0,11.0,0.5238095238095238,331.0,351.0,536.0,4148.0,28.0,14.0,7.1,210.0,428.0,1793.0,10.0,4.2,96.0,85.0,769.0,25.0,35.5,12.6,63.95,65.5,5.2,2.6,8.4,8.3,12.8,98.1,50.0,348.0,7.0,8.5,99.35,-31.47,31.0,27.0,2.0,0.0,87.1,100.0,0.0,0.0,0.0,-3.0,44.0,1056.0,0.5779092702169625,0.4220907297830375,0.6981989564046457,0.3018010435953543,0.7368421052631579,0.2631578947368421,,2.1875,0.4571428571428571,0.0755287009063444,2.0,12.0,7.0,16.5,5.5,13.0,183.0,5.7,32.4,29.5,172.0,1.9,31476.0,21.0,11.0,0.5238095238095238,9.0,9.0,18.5,9.0,8.0,13.0,7.5,8.0,18.0,19.0,20.5,16.5,16.0,9.5,16.0,13.0,9.0,12.0,11.0,7.0,6.5,11.5,2.0,6.0,4.0,5.0,31.0,32.0,9.0,30.0,10.0,,11.0,7.5,9.0,8.5,20.0,14.0,6.0,13.0,20.0,7.0,26.0,6.0,27.0,6.0,26.0,9.0,24.0,18.0,4.0,10.833333333333336,7.75,18.5625,13.15625,11.6,11.733884297520662,8.0,9.0,18.0,9.0,10.0,8.0
2010.0,PIT,375.0,5525.0,993.0,5.6,18.0,179.0,5.8,30.8,31.5,174.0,1.93,31146.0,22.0,9.0,0.4090909090909091,295.0,298.0,479.0,3601.0,22.0,9.0,6.9,175.0,471.0,1924.0,15.0,4.1,106.0,100.0,903.0,14.0,36.9,9.5,49.6,62.2,4.6,1.9,8.1,8.2,13.1,95.2,43.0,289.0,7.0,8.2,96.31,-45.75,37.0,29.0,4.0,2.0,78.4,100.0,2.0,2.0,0.0,17.0,143.0,1096.0,0.525679758308157,0.474320241691843,0.6517647058823529,0.3482352941176471,0.5945945945945946,0.4054054054054054,,1.650943396226415,0.6057142857142858,0.04745762711864407,1.9756097560975607,12.0,14.0,21.0,9.0,4.5,179.0,5.8,30.8,31.5,174.0,1.93,31146.0,22.0,9.0,0.4090909090909091,20.5,21.0,27.0,14.0,21.0,4.5,5.0,17.5,8.0,11.0,8.0,17.5,10.0,20.0,24.0,32.0,8.0,6.0,10.0,11.0,16.5,5.0,2.0,3.0,2.0,5.0,25.0,24.0,4.0,29.0,8.0,,6.0,6.0,25.0,12.5,2.0,3.0,2.0,27.0,6.0,18.0,15.0,24.0,9.0,24.0,15.0,24.0,9.0,32.0,3.0,12.25,12.0,10.5,11.25,4.8,7.222314049586776,11.0,12.0,9.0,8.0,1.5,1.0
2011.0,PIT,325.0,5957.0,1015.0,5.9,28.0,168.0,6.2,35.4,26.8,186.0,1.83,31248.0,16.0,13.0,0.8125,341.0,341.0,539.0,4054.0,21.0,15.0,7.0,221.0,434.0,1903.0,13.0,4.4,96.0,101.0,854.0,24.0,33.9,16.7,68.04,63.3,3.9,2.8,8.0,7.6,12.7,89.7,42.0,279.0,6.5,7.2,95.51,-17.78,31.0,23.0,2.0,1.0,74.2,100.0,0.0,0.0,2.0,-13.0,98.0,1609.0,0.5724137931034483,0.4275862068965517,0.6805438979352023,0.3194561020647977,0.6176470588235294,0.38235294117647056,,2.302083333333333,0.4343891402714932,0.07038123167155426,1.818181818181818,21.5,12.0,17.0,10.5,21.0,168.0,6.2,35.4,26.8,186.0,1.83,31248.0,16.0,13.0,0.8125,9.0,13.0,19.0,10.0,15.0,17.5,8.0,6.0,19.0,14.0,15.0,10.0,16.0,16.5,19.0,24.0,14.0,29.0,9.0,6.0,18.5,17.0,5.0,8.0,9.0,10.0,23.5,24.0,10.0,23.0,9.0,,14.5,23.5,31.5,13.0,28.5,7.0,1.0,17.0,16.0,13.0,20.0,22.0,11.0,22.0,20.0,12.0,21.0,27.0,7.0,13.583333333333336,10.85,16.25,13.55,11.5,11.891184573002755,13.0,9.0,17.0,12.0,10.0,9.0
2012.0,PIT,336.0,5324.0,1023.0,5.2,30.0,186.0,5.7,28.6,26.8,166.0,1.77,30876.0,33.0,16.0,0.4848484848484849,307.0,354.0,574.0,3787.0,27.0,14.0,6.2,202.0,412.0,1537.0,8.0,3.7,80.0,92.0,938.0,25.0,33.9,15.6,1.4,61.7,4.7,2.4,7.0,6.8,11.3,88.1,37.0,225.0,6.1,6.1,65.43,-58.31,31.0,28.0,3.0,1.0,90.3,100.0,2.0,1.0,0.0,-10.0,22.0,911.0,0.5972629521016618,0.4027370478983382,0.7113072877535688,0.2886927122464312,0.7714285714285715,0.2285714285714285,,2.525,0.3960396039603961,0.08143322475570032,1.891891891891892,22.0,21.0,13.0,22.5,26.0,186.0,5.7,28.6,26.8,166.0,1.77,30876.0,33.0,16.0,0.4848484848484849,17.0,10.5,12.0,14.0,9.0,13.0,17.0,10.0,20.0,26.0,27.5,28.5,23.0,6.5,24.0,20.5,17.0,28.0,18.0,14.0,13.5,11.0,16.5,15.5,23.0,12.5,18.5,14.0,15.0,14.5,15.0,,19.5,14.0,7.0,14.0,24.5,14.0,4.0,12.0,21.0,10.0,23.0,8.0,25.0,8.0,23.0,8.0,25.0,21.0,5.0,21.91666666666667,10.7,25.75,18.225,13.5,14.331267217630847,24.0,8.0,27.0,22.0,11.0,12.0
2012.0,IND,357.0,5799.0,1109.0,5.2,27.0,180.0,6.3,32.2,24.8,164.0,1.76,29520.0,21.0,9.0,0.42857142857142855,360.0,339.0,628.0,4128.0,23.0,18.0,6.2,208.0,440.0,1671.0,11.0,3.8,110.0,94.0,801.0,42.0,33.3,13.9,70.29,54.0,3.7,2.9,7.0,6.4,12.9,76.4,41.0,246.0,5.6,6.1,64.2,5.52,33.0,26.0,7.0,4.0,78.8,100.0,2.0,1.0,0.0,-12.0,-30.0,-189.0,0.6032461677186655,0.39675383228133454,0.7118468701500259,0.2881531298499741,0.6764705882352942,0.32352941176470584,,1.8909090909090909,0.5288461538461539,0.11666666666666667,1.842105263157895,18.5,10.0,3.0,22.5,23.0,180.0,6.3,32.2,24.8,164.0,1.76,29520.0,21.0,9.0,0.42857142857142855,4.0,12.0,6.0,7.0,16.5,26.5,17.0,8.0,14.5,22.0,19.0,25.0,11.0,8.0,7.0,2.0,18.0,22.5,13.0,32.0,22.5,22.0,16.5,20.5,3.0,27.0,23.5,21.0,20.0,14.5,16.0,,13.0,18.5,26.0,14.0,26.0,21.0,18.0,10.0,23.0,9.0,24.0,12.0,21.0,12.0,24.0,16.0,17.0,5.0,7.0,16.25,13.2,18.5,15.85,18.8,19.265013774104684,17.0,14.0,19.0,16.0,20.0,20.0
