Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2006.0,MIN,282.0,4943.0,1025.0,4.8,32.0,197.0,5.3,25.1,29.9,155.0,1.24,31.0,12.0,0.3870967741935484,272.0,332.0,540.0,3123.0,13.0,20.0,5.4,160.0,442.0,1820.0,12.0,4.1,87.0,123.0,903.0,25.0,23.9,15.7,-127.19,61.5,2.4,3.7,6.3,5.1,10.2,72.2,43.0,279.0,4.3,7.4,-80.73,-35.81,25.0,21.0,2.0,0.0,84.0,96.4,3.0,0.0,0.0,0.5687804878048779,0.431219512195122,0.6318025490592758,0.3681974509407242,0.52,0.48,1.839080459770115,0.54375,0.09191176470588236,1.5365853658536586,26.0,23.0,9.0,26.0,25.0,27.0,16.0,29.0,30.5,17.5,24.0,25.0,27.0,16.0,29.0,26.0,7.0,9.0,18.0,30.5,25.0,25.5,20.0,17.0,16.0,19.5,14.5,24.0,32.0,24.0,13.0,29.0,24.0,29.0,13.0,31.0,23.5,25.5,27.5,29.5,26.0,23.5,23.0,28.0,21.0,29.0,21.0,28.5,24.5,13.0,29.0,11.0,22.0,19.0,14.0,27.0,6.0,27.0,14.0,19.0,10.0,21.0,23.16666666666667,19.8,18.0,18.9,28.0,25.0,21.0,24.0
2007.0,MIN,365.0,5379.0,964.0,5.6,30.0,190.0,5.2,28.2,27.7,149.0,1.57,27.0,16.0,0.5925925925925926,294.0,249.0,432.0,2745.0,12.0,14.0,5.8,139.0,494.0,2634.0,22.0,5.3,131.0,86.0,662.0,24.0,28.4,15.3,-3.74,57.6,2.8,3.2,6.8,5.9,11.8,74.2,38.0,193.0,5.0,8.1,-18.07,20.5,24.0,20.0,4.0,1.0,83.3,97.5,3.0,3.0,1.0,0.487551867219917,0.5124481327800829,0.5103179029559398,0.4896820970440602,0.35294117647058826,0.6470588235294117,1.0610687022900764,0.9424460431654677,0.08163265306122447,1.2830188679245282,15.0,13.0,30.0,6.5,30.5,13.5,24.0,20.0,23.5,26.0,20.0,30.5,13.5,24.0,20.0,19.0,32.0,32.0,28.0,30.0,8.0,19.5,31.0,6.0,1.0,1.0,1.0,1.0,13.0,13.0,9.5,22.0,19.5,16.0,25.5,28.0,15.5,17.5,19.5,7.5,21.0,20.0,14.0,19.0,26.0,21.0,2.0,28.0,29.0,19.0,26.0,31.0,2.0,32.0,1.0,31.0,2.0,31.0,32.0,1.0,9.0,31.0,14.583333333333336,22.0,4.75,13.375,15.0,28.0,1.0,13.0
2008.0,MIN,379.0,5288.0,1014.0,5.2,31.0,190.0,5.5,27.7,29.3,158.0,1.82,31.0,14.0,0.4516129032258064,292.0,267.0,452.0,2956.0,22.0,17.0,6.0,150.0,519.0,2332.0,15.0,4.5,119.0,90.0,692.0,23.0,34.7,14.7,-36.35,59.1,4.9,3.8,7.1,6.4,12.0,81.5,43.0,261.0,5.3,8.7,0.43,-25.28,34.0,29.0,6.0,6.0,85.3,100.0,1.0,0.0,3.0,0.4881656804733728,0.5118343195266273,0.5590015128593041,0.4409984871406959,0.5945945945945946,0.4054054054054054,1.2605042016806722,0.7933333333333333,0.07876712328767123,1.5777777777777775,12.0,17.0,11.0,18.0,20.5,19.5,19.0,16.0,29.5,29.0,28.0,20.5,19.5,19.0,16.0,18.0,25.0,28.0,25.0,11.5,23.0,18.0,24.0,3.0,5.0,15.5,6.0,5.0,17.0,16.0,9.0,14.0,23.0,22.0,23.5,5.5,30.0,14.0,18.0,8.0,18.0,26.0,22.0,20.5,28.0,21.0,18.0,11.0,10.0,16.0,13.5,28.0,5.0,29.0,4.0,15.0,18.0,15.0,30.0,3.0,9.0,20.0,16.5,18.9,10.5,14.7,17.0,23.0,8.5,17.0
2009.0,MIN,470.0,6074.0,1054.0,5.8,18.0,188.0,5.8,32.2,32.5,168.0,2.39,19.0,11.0,0.5789473684210527,343.0,377.0,553.0,4156.0,34.0,7.0,7.1,220.0,467.0,1918.0,19.0,4.1,99.0,101.0,757.0,24.0,42.0,9.0,136.0,68.2,6.1,1.3,8.0,8.6,11.7,107.3,34.0,247.0,7.7,5.8,214.74,-65.49,28.0,26.0,2.0,2.0,92.9,98.2,1.0,0.0,1.0,0.5569259962049335,0.4430740037950665,0.6842278564372736,0.3157721435627264,0.6415094339622641,0.3584905660377359,2.2222222222222223,0.45,0.06997084548104958,1.951219512195122,2.0,5.0,3.0,10.0,9.0,8.0,8.0,3.0,6.0,19.0,3.0,9.0,8.0,8.0,3.0,3.0,6.0,11.0,8.0,2.0,1.0,7.5,5.0,9.0,13.0,7.5,21.5,15.0,24.0,13.0,15.5,2.0,2.0,5.0,2.0,2.0,1.0,7.0,2.5,10.0,1.0,16.5,21.0,3.0,12.5,3.0,32.0,20.0,11.0,2.0,17.0,23.0,10.0,13.0,20.0,17.0,16.0,17.0,8.0,25.0,22.0,5.0,7.0,4.0,13.1875,8.59375,4.0,2.0,12.0,4.0
2010.0,MIN,281.0,5039.0,982.0,5.1,37.0,189.0,5.3,26.4,30.2,154.0,1.38,20.0,11.0,0.55,289.0,305.0,505.0,3097.0,14.0,26.0,5.7,159.0,441.0,1942.0,16.0,4.4,104.0,100.0,769.0,26.0,24.9,19.0,-89.86,60.4,2.8,5.1,6.6,4.8,10.9,67.7,36.0,230.0,4.1,6.7,-50.2,-23.58,18.0,17.0,0.0,0.0,94.4,96.8,2.0,1.0,0.0,0.5509164969450102,0.4490835030549898,0.614606072633459,0.3853939273665409,0.4666666666666667,0.5333333333333333,1.5288461538461535,0.6540880503144654,0.08996539792387544,1.4999999999999998,29.0,23.0,23.0,22.0,23.0,23.0,17.5,28.5,10.0,18.5,29.5,23.0,23.0,17.5,28.5,23.0,20.0,21.0,26.0,28.5,32.0,28.5,26.0,12.0,10.0,7.0,8.5,11.5,20.0,15.0,9.0,30.0,30.0,28.0,18.0,28.0,32.0,24.0,30.0,24.0,30.0,17.5,19.0,30.0,21.0,30.0,10.0,32.0,31.0,1.0,29.0,22.0,11.0,27.0,6.0,32.0,1.0,32.0,28.0,5.0,10.0,26.0,23.58333333333333,24.3,10.5625,17.43125,24.0,30.0,10.0,20.0
2011.0,SEA,321.0,4861.0,1003.0,4.8,23.0,198.0,5.2,24.4,31.3,138.0,1.44,22.0,9.0,0.4090909090909091,265.0,299.0,509.0,3105.0,15.0,14.0,5.6,153.0,444.0,1756.0,15.0,4.0,89.0,138.0,1047.0,23.0,27.8,11.6,-73.36,58.7,2.9,2.8,6.8,6.1,11.5,77.6,50.0,339.0,5.0,8.9,-12.21,-39.1,30.0,25.0,4.0,2.0,83.3,100.0,1.0,0.0,1.0,0.5573280159521435,0.4426719840478565,0.63875745731331,0.3612425426866901,0.5,0.5,1.7191011235955056,0.5816993464052288,0.08679245283018867,1.7,23.0,28.0,21.0,28.0,28.5,29.5,30.0,25.0,18.5,18.0,13.0,28.5,29.5,30.0,25.0,30.0,23.5,25.0,22.0,28.0,14.0,25.5,28.5,15.0,21.0,10.5,23.0,21.5,31.0,30.0,25.5,25.0,14.0,24.0,20.0,26.5,17.0,20.0,19.5,21.5,20.0,29.0,30.0,21.0,27.5,20.0,25.0,16.5,16.0,16.0,13.0,20.0,13.0,21.0,12.0,31.0,2.0,31.0,23.0,10.0,21.0,17.0,23.75,20.3,17.5625,18.93125,26.0,25.0,18.0,23.0
2012.0,SEA,412.0,5610.0,974.0,5.8,18.0,170.0,5.9,32.9,29.4,180.0,2.19,16.0,8.0,0.5,311.0,259.0,405.0,3031.0,27.0,10.0,6.9,153.0,536.0,2579.0,16.0,4.8,129.0,110.0,890.0,29.0,39.4,10.0,129.06,64.0,6.7,2.5,8.0,8.2,12.5,100.6,33.0,203.0,7.1,7.5,129.26,14.14,27.0,24.0,4.0,1.0,88.9,95.8,0.0,0.0,0.0,0.4496919917864477,0.5503080082135523,0.5402852049910873,0.4597147950089127,0.627906976744186,0.37209302325581395,1.186046511627907,0.8431372549019608,0.0932475884244373,1.6666666666666667,9.0,17.0,29.0,7.0,8.0,8.5,1.0,7.0,8.0,11.5,7.5,8.0,8.5,1.0,7.0,16.0,32.0,32.0,27.0,9.0,5.0,7.5,31.0,1.0,3.0,9.5,5.5,3.0,27.0,21.0,14.0,5.0,7.0,8.0,7.5,2.0,14.5,3.5,5.0,5.0,5.0,12.5,8.0,6.5,23.0,6.0,5.0,28.0,24.5,10.5,31.0,32.0,1.0,30.0,3.0,18.0,15.0,18.0,32.0,1.0,15.0,17.0,10.416666666666666,15.8,5.75,10.775,9.0,22.0,3.0,6.0
2013.0,SEA,417.0,5424.0,973.0,5.6,19.0,182.0,5.5,29.7,31.0,161.0,2.12,26.0,10.0,0.38461538461538464,307.0,267.0,420.0,3236.0,27.0,9.0,7.0,160.0,509.0,2188.0,14.0,4.3,116.0,128.0,1183.0,31.0,40.7,9.3,50.15,63.6,6.4,2.1,8.4,8.7,13.1,102.4,44.0,272.0,7.3,9.5,111.62,-43.64,35.0,33.0,3.0,3.0,94.3,100.0,1.0,0.0,2.0,0.4768756423432682,0.5231243576567317,0.5966076696165191,0.4033923303834809,0.6585365853658537,0.3414634146341463,1.3793103448275863,0.725,0.1009771986970684,1.9534883720930245,8.5,17.0,29.0,9.0,17.5,11.5,6.0,7.5,25.5,20.0,5.5,17.5,11.5,6.0,7.5,20.5,30.0,31.0,26.0,10.0,3.5,5.5,28.0,2.0,4.0,14.5,12.5,4.0,32.0,32.0,14.5,5.0,6.0,11.0,9.0,2.0,10.0,2.0,3.0,3.0,5.0,21.5,16.5,5.0,32.0,6.0,24.0,10.5,6.5,2.0,14.0,31.0,2.0,29.0,4.0,18.0,15.0,18.0,30.0,3.0,12.0,8.0,11.583333333333336,14.55,9.4375,11.99375,9.0,15.0,6.0,7.0
2014.0,SEA,394.0,6012.0,1021.0,5.9,14.0,175.0,6.0,34.2,30.5,178.0,2.13,23.0,7.0,0.3043478260869565,328.0,287.0,454.0,3250.0,20.0,7.0,6.6,160.0,525.0,2762.0,20.0,5.3,144.0,130.0,1009.0,24.0,40.6,6.9,135.41,63.2,4.4,1.5,7.7,7.9,12.2,95.1,42.0,242.0,6.7,8.5,88.28,65.66,37.0,31.0,4.0,2.0,83.8,100.0,1.0,0.0,1.0,0.485798237022527,0.5142017629774731,0.540585495675316,0.459414504324684,0.5,0.5,1.1111111111111112,0.9,0.07317073170731707,1.4528301886792454,10.0,9.0,14.5,6.5,8.5,5.0,2.0,8.5,22.5,7.0,3.0,8.5,5.0,2.0,8.5,14.0,30.5,32.0,27.0,24.0,3.0,13.5,29.0,2.0,1.0,1.0,1.0,1.0,32.0,27.0,26.5,5.0,1.0,6.0,15.0,14.5,3.5,6.5,5.0,8.0,8.0,20.5,18.5,9.5,24.0,12.0,1.0,5.0,5.0,17.0,13.5,31.0,2.0,32.0,1.0,30.5,2.5,30.5,32.0,1.0,30.0,29.0,8.416666666666666,17.45,1.875,9.6625,5.0,20.0,1.0,4.0
2015.0,SEA,423.0,6058.0,1035.0,5.9,16.0,174.0,6.1,34.6,29.2,178.0,2.27,17.0,8.0,0.4705882352941176,335.0,333.0,489.0,3790.0,34.0,8.0,7.1,190.0,500.0,2268.0,10.0,4.5,128.0,117.0,1007.0,17.0,42.0,8.6,132.31,68.1,7.0,1.6,8.3,9.0,12.2,109.8,46.0,271.0,7.7,8.6,171.26,-19.96,31.0,29.0,6.0,6.0,93.5,90.9,5.0,1.0,0.0,0.5169082125603864,0.4830917874396136,0.6256190161769561,0.3743809838230439,0.7727272727272727,0.2272727272727273,1.484375,0.6736842105263158,0.05074626865671642,1.8444444444444448,4.5,4.0,16.0,4.0,4.0,3.0,1.5,4.0,9.0,10.5,3.0,4.0,3.0,1.5,4.0,10.5,25.0,28.0,20.0,6.5,3.5,4.5,24.0,3.0,3.0,18.5,7.0,2.0,23.5,23.0,32.0,4.0,4.5,3.0,3.0,1.5,4.0,2.0,1.0,7.5,1.0,26.5,24.0,2.5,28.0,3.0,10.0,16.5,11.5,3.0,27.0,29.0,4.0,27.0,6.0,10.0,23.0,10.0,27.0,6.0,32.0,11.0,5.583333333333332,11.15,8.1875,9.66875,1.0,8.0,5.0,3.0
