Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2007.0,JAX,411.0,5719.0,1022.0,5.6,21.0,169.0,6.2,33.8,30.2,182.0,2.28,30758.0,18.0,13.0,0.7222222222222222,328.0,288.0,469.0,3328.0,28.0,8.0,6.7,180.0,522.0,2391.0,18.0,4.6,127.0,76.0,594.0,21.0,39.6,10.1,120.14,61.4,6.0,1.7,7.5,7.9,12.1,97.1,31.0,167.0,7.1,6.2,107.68,19.5,24.0,21.0,0.0,0.0,87.5,95.8,1.0,1.0,0.0,9.0,107.0,698.0,0.4892367906066536,0.5107632093933464,0.5819199160692429,0.4180800839307571,0.6086956521739131,0.3913043478260869,,1.4173228346456692,0.7055555555555556,0.06402439024390244,1.6304347826086958,6.0,7.0,11.0,6.5,4.5,169.0,6.2,33.8,30.2,182.0,2.28,30758.0,18.0,13.0,0.7222222222222222,4.0,24.5,27.0,17.0,9.5,1.5,7.0,16.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,16.0,4.0,3.0,3.0,14.0,4.0,3.0,6.0,2.0,4.0,3.5,15.0,9.0,3.0,18.0,5.0,,28.0,26.5,8.5,30.5,6.5,7.0,8.0,29.0,4.0,29.0,4.0,21.0,12.0,21.0,4.0,29.0,4.0,20.0,21.0,5.416666666666668,10.4,5.0625,7.73125,8.0,9.151515151515152,3.0,8.0,2.0,2.0,7.0,6.0
2008.0,JAX,302.0,5106.0,1005.0,5.1,24.0,172.0,6.0,29.7,27.3,176.0,1.63,30272.0,23.0,11.0,0.4782608695652174,312.0,335.0,537.0,3332.0,15.0,13.0,5.8,183.0,426.0,1774.0,17.0,4.2,107.0,104.0,813.0,22.0,29.7,12.8,10.38,62.4,2.8,2.4,6.7,6.2,10.8,81.4,42.0,288.0,5.3,7.3,6.62,9.18,25.0,19.0,5.0,4.0,76.0,100.0,2.0,0.0,1.0,-7.0,-65.0,-189.0,0.5761194029850746,0.4238805970149254,0.6525656090873482,0.3474343909126518,0.46875,0.53125,,1.7102803738317758,0.5846994535519126,0.07051282051282051,1.5952380952380951,24.0,20.0,14.0,21.5,13.5,172.0,6.0,29.7,27.3,176.0,1.63,30272.0,23.0,11.0,0.4782608695652174,10.0,11.0,11.0,15.0,24.5,13.0,23.0,12.0,18.0,18.0,10.0,15.5,10.5,27.0,26.0,10.5,24.0,18.0,15.0,12.5,28.0,10.0,20.0,21.0,23.0,20.0,25.0,28.0,20.5,23.0,19.0,,27.5,31.0,29.0,13.5,25.5,24.0,22.0,10.0,23.0,15.0,18.0,27.0,6.0,27.0,18.0,16.0,17.0,14.0,19.0,17.666666666666668,14.5,14.8125,14.65625,21.3,19.815289256198348,21.0,15.0,12.0,16.0,23.0,23.0
2009.0,JAX,290.0,5385.0,1010.0,5.3,23.0,176.0,5.9,30.6,28.5,166.0,1.66,29216.0,26.0,13.0,0.5,300.0,315.0,519.0,3356.0,15.0,10.0,6.0,170.0,447.0,2029.0,19.0,4.5,114.0,70.0,542.0,16.0,29.5,12.5,16.26,60.7,2.9,1.9,6.9,6.6,11.4,83.2,44.0,243.0,5.7,7.8,-4.19,27.38,28.0,18.0,9.0,4.0,64.3,96.8,2.0,1.0,0.0,2.0,-90.0,-252.0,0.5574257425742575,0.4425742574257425,0.6232126276694522,0.3767873723305478,0.4411764705882353,0.5588235294117647,,1.4912280701754386,0.6705882352941176,0.05333333333333334,1.5333333333333334,24.0,18.0,19.0,15.5,8.0,176.0,5.9,30.6,28.5,166.0,1.66,29216.0,26.0,13.0,0.5,16.0,21.0,23.5,19.0,27.5,4.5,17.0,19.5,12.0,10.0,7.5,6.0,7.5,1.0,1.0,30.0,21.5,11.0,16.0,16.5,27.0,4.5,15.5,14.5,15.0,16.0,25.5,19.0,15.0,27.0,20.0,,20.0,29.5,31.0,27.0,14.0,25.0,22.0,22.0,11.0,21.0,12.0,30.0,3.0,30.0,12.0,26.0,7.0,28.0,19.0,14.833333333333336,15.8,10.875,13.3375,18.6,18.485261707988986,15.0,17.0,9.0,10.0,20.0,20.0
2010.0,JAX,353.0,5460.0,1019.0,5.4,33.0,177.0,5.9,30.7,30.2,173.0,1.95,30621.0,23.0,12.0,0.5217391304347826,330.0,291.0,469.0,3065.0,26.0,21.0,6.0,161.0,512.0,2395.0,14.0,4.7,148.0,83.0,675.0,21.0,35.0,16.9,52.89,62.0,5.5,4.5,7.2,6.2,11.5,83.4,38.0,291.0,5.2,7.5,20.91,38.34,28.0,22.0,2.0,2.0,78.6,100.0,0.0,0.0,0.0,-15.0,-66.0,-489.0,0.4975466143277723,0.5024533856722277,0.5613553113553114,0.43864468864468864,0.65,0.35,,1.0878378378378382,0.9192546583850932,0.06363636363636363,1.5319148936170213,18.0,15.0,16.0,14.5,26.0,177.0,5.9,30.7,30.2,173.0,1.95,30621.0,23.0,12.0,0.5217391304347826,8.0,24.0,31.0,27.0,12.5,27.0,17.5,24.0,3.0,3.0,10.0,4.5,1.0,7.5,7.5,19.5,9.5,28.0,9.0,12.5,5.5,29.5,13.0,20.5,18.5,16.0,20.5,25.5,23.0,24.5,20.0,,21.0,26.0,23.5,12.5,31.0,24.0,23.0,31.0,2.0,29.0,4.0,19.0,14.0,19.0,4.0,32.0,1.0,25.0,24.0,14.833333333333336,19.65,7.0625,13.35625,19.2,19.279063360881548,16.0,24.0,6.0,13.0,21.0,23.0
2011.0,JAX,243.0,4149.0,1002.0,4.1,23.0,194.0,5.3,20.8,28.8,149.0,1.11,28906.0,27.0,8.0,0.2962962962962963,251.0,240.0,469.0,2179.0,12.0,15.0,4.2,122.0,489.0,1970.0,9.0,4.0,103.0,77.0,680.0,26.0,22.7,11.3,-154.34,51.2,2.6,3.2,5.4,4.4,10.5,62.2,44.0,331.0,3.4,8.6,-107.82,-46.04,25.0,23.0,6.0,5.0,92.0,100.0,1.0,0.0,0.0,5.0,-86.0,-859.0,0.5119760479041916,0.4880239520958084,0.5251867919980718,0.4748132080019282,0.5714285714285714,0.4285714285714286,,1.1844660194174756,0.8442622950819673,0.10358565737051792,1.35,28.5,32.0,22.0,32.0,13.0,194.0,5.3,20.8,28.8,149.0,1.11,28906.0,27.0,8.0,0.2962962962962963,32.0,31.0,28.5,32.0,31.0,17.5,32.0,32.0,4.0,12.0,24.0,23.0,9.0,3.0,3.0,20.0,30.0,11.0,31.0,31.0,30.0,20.0,32.0,32.0,30.5,32.0,25.5,27.0,32.0,24.0,32.0,,29.0,23.5,3.0,13.0,9.0,26.0,29.0,29.0,4.0,31.0,2.0,24.0,9.0,24.0,2.0,31.0,2.0,8.0,30.0,26.75,25.85,15.0625,20.45625,20.8,19.28292011019284,32.0,32.0,15.0,26.0,23.0,23.0
2012.0,ATL,419.0,5906.0,1021.0,5.8,18.0,175.0,6.1,33.7,29.0,169.0,2.33,29575.0,9.0,4.0,0.4444444444444444,343.0,422.0,615.0,4509.0,32.0,14.0,7.0,247.0,378.0,1397.0,12.0,3.7,70.0,55.0,415.0,26.0,44.0,10.3,153.25,68.6,5.2,2.3,7.7,7.7,11.2,99.1,28.0,210.0,7.0,4.4,211.97,-50.54,38.0,33.0,4.0,4.0,86.8,100.0,2.0,0.0,0.0,13.0,120.0,57.0,0.6297747306562194,0.37022526934378064,0.7634608872333221,0.23653911276667794,0.7272727272727273,0.2727272727272727,,3.5285714285714285,0.2834008097165992,0.07580174927113703,2.081081081081081,7.0,8.0,14.0,7.0,7.5,175.0,6.1,33.7,29.0,169.0,2.33,29575.0,9.0,4.0,0.4444444444444444,6.0,4.0,8.0,6.0,5.0,13.0,5.0,4.0,26.5,29.0,15.0,28.5,29.5,1.0,1.0,18.0,2.0,8.5,2.0,1.0,8.5,8.0,7.5,8.0,25.0,6.0,7.5,10.0,8.0,7.5,2.0,,4.0,2.5,14.0,14.0,5.5,5.0,14.0,7.0,26.0,2.0,31.0,10.0,23.0,10.0,31.0,2.0,31.0,25.0,2.0,10.333333333333334,5.85,21.75,13.8,8.8,11.375895316804408,8.0,4.0,25.0,12.0,7.0,7.0
2013.0,ATL,353.0,5490.0,1024.0,5.4,28.0,179.0,5.9,30.7,26.2,163.0,1.85,29177.0,17.0,11.0,0.6470588235294118,330.0,445.0,659.0,4243.0,26.0,17.0,6.0,227.0,321.0,1247.0,11.0,3.9,64.0,91.0,788.0,39.0,34.1,14.5,44.8,67.5,3.9,2.6,6.9,6.5,10.2,89.5,44.0,298.0,5.7,6.3,81.36,-27.53,27.0,24.0,5.0,3.0,88.9,100.0,1.0,1.0,0.0,-7.0,-90.0,-580.0,0.6865234375,0.3134765625,0.7728597449908925,0.2271402550091075,0.7027027027027027,0.2972972972972973,,3.546875,0.28193832599118945,0.11818181818181818,1.7692307692307694,20.0,14.0,17.0,12.0,21.0,179.0,5.9,30.7,26.2,163.0,1.85,29177.0,17.0,11.0,0.6470588235294118,9.5,3.0,3.0,7.0,11.5,19.0,17.0,4.0,32.0,32.0,21.5,24.0,31.0,9.5,12.0,4.5,16.0,23.0,13.0,4.0,22.0,15.0,17.5,18.5,32.0,11.0,21.5,23.0,17.5,11.0,10.0,,24.5,21.0,15.0,14.0,24.0,25.0,26.0,1.0,32.0,1.0,32.0,12.0,21.0,12.0,32.0,1.0,32.0,7.0,12.0,17.583333333333332,9.55,27.4375,18.49375,22.8,21.722314049586775,19.0,9.0,32.0,23.0,25.5,26.0
2014.0,ATL,381.0,6051.0,1035.0,5.8,23.0,175.0,6.1,34.6,26.5,162.0,2.06,28350.0,16.0,8.0,0.5,330.0,418.0,632.0,4553.0,28.0,15.0,6.9,233.0,372.0,1498.0,11.0,4.0,75.0,97.0,840.0,22.0,38.9,13.1,68.84,66.1,4.4,2.4,7.5,7.3,11.4,93.4,31.0,205.0,6.7,4.7,105.81,-26.32,32.0,29.0,10.0,7.0,90.6,100.0,2.0,1.0,0.0,5.0,-36.0,-321.0,0.6405797101449275,0.3594202898550725,0.7524376136175839,0.2475623863824161,0.7179487179487181,0.28205128205128205,,3.1066666666666665,0.3218884120171674,0.06666666666666668,1.875,12.0,8.0,13.0,8.0,15.5,175.0,6.1,34.6,26.5,162.0,2.06,28350.0,16.0,8.0,0.5,13.0,2.0,3.0,5.0,11.0,17.0,6.5,4.0,27.0,24.0,18.5,20.5,26.0,9.0,13.0,29.5,10.0,23.5,10.0,7.0,14.5,15.5,9.0,10.0,19.0,9.5,13.5,14.0,9.5,9.0,10.0,,16.0,10.5,4.5,13.5,11.5,24.0,23.0,3.0,30.0,1.0,32.0,13.0,20.0,13.0,32.0,2.0,31.0,32.0,11.0,12.583333333333336,7.95,21.125,14.5375,21.3,18.768457300275482,12.0,7.0,23.0,15.0,24.0,23.0
2015.0,TB,342.0,6014.0,1017.0,5.9,28.0,176.0,6.0,34.1,26.2,158.0,1.85,27808.0,26.0,13.0,0.5,336.0,312.0,535.0,3852.0,22.0,15.0,6.9,201.0,455.0,2162.0,12.0,4.8,99.0,143.0,1195.0,36.0,35.8,14.8,58.23,58.3,4.1,2.8,7.6,7.1,13.0,84.2,27.0,190.0,6.4,4.8,86.17,-18.91,40.0,29.0,9.0,5.0,72.5,91.2,3.0,1.0,0.0,-5.0,-75.0,568.0,0.5526057030481809,0.4473942969518191,0.6405054871965414,0.35949451280345857,0.6470588235294118,0.3529411764705882,,2.0303030303030303,0.4925373134328358,0.10714285714285714,1.5833333333333333,20.0,5.0,19.0,4.0,23.5,176.0,6.0,34.1,26.2,158.0,1.85,27808.0,26.0,13.0,0.5,9.0,27.0,22.0,17.0,22.0,22.0,7.5,14.5,8.0,5.0,15.0,1.5,10.0,31.5,31.0,8.0,13.0,26.0,12.0,29.0,21.5,24.0,10.0,15.5,2.0,25.0,5.5,8.0,13.5,8.0,13.0,,2.5,11.5,30.0,26.0,24.0,25.5,7.0,24.0,9.0,26.0,7.0,22.0,11.0,22.0,7.0,20.0,13.0,9.0,28.0,11.083333333333336,17.55,11.0625,14.30625,22.3,18.740909090909085,7.0,21.0,7.0,12.0,24.0,21.0
2016.0,TB,354.0,5542.0,1066.0,5.2,27.0,183.0,5.9,30.2,28.3,162.0,1.78,29646.0,19.0,9.0,0.4736842105263158,340.0,355.0,578.0,3926.0,29.0,18.0,6.4,220.0,453.0,1616.0,8.0,3.6,80.0,109.0,926.0,40.0,32.2,14.8,31.47,61.4,5.0,3.1,7.2,6.8,11.7,87.0,35.0,239.0,6.0,5.7,107.8,-68.53,31.0,22.0,1.0,0.0,71.0,94.1,7.0,4.0,1.0,2.0,-15.0,-345.0,0.575046904315197,0.424953095684803,0.7084085167809455,0.2915914832190545,0.7837837837837838,0.21621621621621626,,2.75,0.3636363636363637,0.1176470588235294,2.0,18.5,18.0,6.0,22.5,24.5,183.0,5.9,30.2,28.3,162.0,1.78,29646.0,19.0,9.0,0.4736842105263158,10.5,19.0,16.0,16.0,9.0,27.0,17.5,6.5,7.5,24.0,30.0,28.5,25.0,18.5,19.0,2.0,22.0,29.0,18.0,20.0,11.0,26.5,16.0,19.0,12.0,18.0,17.0,20.0,18.5,16.0,11.0,,19.5,23.5,32.0,15.0,14.0,23.0,27.0,24.0,9.0,13.0,20.0,3.0,30.0,3.0,20.0,4.0,29.0,2.0,4.5,19.58333333333333,14.5,23.3125,18.90625,19.0,18.760330578512395,21.0,16.0,24.0,23.0,22.0,24.0
