Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2003.0,JAX,276.0,5358.0,1024.0,5.2,31.0,183.0,5.8,29.2,29.5,158.0,1.48,27.0,14.0,0.5185185185185185,305.0,303.0,515.0,3285.0,17.0,17.0,6.0,163.0,481.0,2073.0,13.0,4.3,118.0,108.0,895.0,24.0,27.3,15.8,-26.71,58.8,3.3,3.3,6.6,5.8,11.3,76.0,28.0,136.0,5.3,5.2,-4.58,-10.09,33.0,20.0,2.0,1.0,60.6,100.0,1.0,0.0,0.0,0.5302734375,0.4697265625,0.6131019036954087,0.3868980963045913,0.5666666666666667,0.43333333333333335,1.38135593220339,0.7239263803680982,0.07868852459016394,1.5348837209302326,25.0,12.0,11.0,14.5,5.0,10.0,8.5,18.0,23.0,23.5,22.0,5.0,10.0,8.5,18.0,12.0,17.5,17.5,15.0,22.5,16.0,13.5,16.0,10.5,8.0,17.0,12.0,6.5,20.0,19.0,18.5,20.0,24.0,14.0,13.0,24.0,16.0,18.5,17.0,19.0,17.0,9.5,4.5,15.5,9.0,15.0,9.0,9.5,23.5,32.0,8.5,23.0,10.0,20.0,13.0,21.0,12.0,21.0,24.0,9.0,22.0,19.0,16.083333333333332,15.9,12.8125,14.35625,16.5,18.0,11.0,13.0
2004.0,JAX,261.0,5009.0,991.0,5.1,22.0,178.0,5.7,27.9,28.7,165.0,1.43,23.0,11.0,0.4782608695652174,279.0,305.0,513.0,3159.0,17.0,11.0,5.8,161.0,446.0,1850.0,9.0,4.1,88.0,109.0,940.0,30.0,28.1,11.8,-45.58,59.5,3.3,2.1,6.5,6.2,10.9,80.7,32.0,156.0,5.5,5.9,-3.29,-36.48,31.0,24.0,3.0,1.0,77.4,100.0,4.0,4.0,2.0,0.549949545913219,0.450050454086781,0.6306648033539629,0.3693351966460371,0.6538461538461539,0.3461538461538461,1.8295454545454544,0.546583850931677,0.10752688172043012,1.5853658536585369,29.0,21.0,19.0,20.5,11.0,15.5,8.0,23.0,15.0,16.5,7.5,11.0,15.5,8.0,23.0,23.0,16.0,19.0,19.0,25.0,4.5,20.5,21.0,15.0,16.0,27.0,17.5,22.0,13.5,19.0,12.0,22.0,8.0,19.0,15.0,26.0,4.0,24.5,17.0,26.5,16.0,9.5,5.0,17.5,10.0,17.0,20.0,6.5,10.5,23.0,12.0,18.0,15.0,19.0,14.0,16.0,17.0,16.0,14.0,19.0,11.0,23.0,19.75,15.8,19.625,17.7125,22.0,17.0,21.0,21.0
2005.0,JAX,361.0,5149.0,1021.0,5.0,17.0,193.0,5.4,26.7,34.3,158.0,1.77,27.0,11.0,0.4074074074074074,301.0,283.0,487.0,3190.0,21.0,6.0,6.1,170.0,502.0,1959.0,18.0,3.9,97.0,121.0,1006.0,34.0,32.1,8.3,-7.18,58.1,4.3,1.2,6.9,7.2,11.8,88.4,32.0,162.0,6.4,6.2,41.39,-32.89,30.0,23.0,3.0,2.0,76.7,97.4,1.0,1.0,0.0,0.5083251714005876,0.4916748285994124,0.6195377743251117,0.3804622256748883,0.5384615384615384,0.4615384615384616,1.7525773195876289,0.5705882352941176,0.11295681063122925,1.7692307692307694,12.0,15.5,15.5,17.5,23.0,17.5,12.5,11.0,21.0,12.5,2.5,23.0,17.5,12.5,11.0,15.5,22.0,20.5,19.0,14.0,1.0,13.5,16.0,8.0,10.0,6.5,17.5,14.0,21.0,22.0,7.0,13.0,3.0,13.0,21.0,10.5,1.0,14.0,9.0,13.0,9.0,16.0,5.0,8.5,15.0,11.0,12.0,15.0,19.0,22.0,25.0,24.0,9.0,20.0,13.0,24.0,9.0,24.0,18.0,15.0,10.0,10.0,12.75,12.0,10.625,11.3125,10.0,11.5,9.0,9.0
2006.0,JAX,371.0,5423.0,989.0,5.5,23.0,188.0,5.4,28.8,33.2,165.0,1.9,16.0,9.0,0.5625,293.0,266.0,446.0,2882.0,17.0,14.0,6.1,147.0,513.0,2541.0,23.0,5.0,127.0,97.0,810.0,19.0,35.1,11.2,3.77,59.6,3.8,3.1,6.9,6.2,11.5,80.0,30.0,178.0,5.4,6.3,-20.16,32.23,32.0,26.0,1.0,0.0,81.3,100.0,0.0,0.0,0.0,0.4812942366026289,0.5187057633973711,0.5314401622718052,0.4685598377281948,0.425,0.575,1.1574803149606299,0.8639455782312925,0.06484641638225255,1.38,9.0,10.0,21.0,7.0,22.0,10.5,5.0,9.0,2.0,7.5,7.0,22.0,10.5,5.0,9.0,17.0,27.0,29.0,24.0,23.0,12.0,13.5,26.0,3.5,3.0,2.0,2.5,3.0,19.0,18.0,27.5,7.0,6.0,11.0,18.0,19.0,13.5,13.5,15.0,16.5,16.0,12.0,9.0,14.0,15.0,20.0,3.0,8.5,10.0,16.0,11.5,31.0,2.0,31.0,2.0,32.0,1.0,32.0,31.0,2.0,27.0,28.0,9.833333333333334,18.6,3.3125,10.95625,7.0,23.0,2.0,8.0
2007.0,JAX,411.0,5719.0,1022.0,5.6,21.0,169.0,6.2,33.8,30.2,182.0,2.28,18.0,13.0,0.7222222222222222,328.0,288.0,469.0,3328.0,28.0,8.0,6.7,180.0,522.0,2391.0,18.0,4.6,127.0,76.0,594.0,21.0,39.6,10.1,120.14,61.4,6.0,1.7,7.5,7.9,12.1,97.1,31.0,167.0,7.1,6.2,107.68,19.5,24.0,21.0,0.0,0.0,87.5,95.8,1.0,1.0,0.0,0.4892367906066536,0.5107632093933464,0.5819199160692429,0.4180800839307571,0.6086956521739131,0.3913043478260869,1.4173228346456692,0.7055555555555556,0.06402439024390244,1.6304347826086958,6.0,7.0,11.0,6.5,3.0,3.0,3.0,4.0,5.0,20.5,4.5,3.0,3.0,3.0,4.0,4.0,24.5,27.0,17.0,9.5,1.5,7.0,16.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,16.0,4.0,3.0,3.0,14.0,4.0,3.0,6.0,2.0,4.0,3.5,15.0,9.0,3.0,18.0,5.0,4.0,28.0,26.5,8.5,30.5,29.0,4.0,29.0,4.0,21.0,12.0,21.0,29.0,4.0,20.0,21.0,5.416666666666668,10.4,5.0625,7.73125,3.0,8.0,2.0,2.0
2008.0,JAX,302.0,5106.0,1005.0,5.1,24.0,172.0,6.0,29.7,27.3,176.0,1.63,23.0,11.0,0.4782608695652174,312.0,335.0,537.0,3332.0,15.0,13.0,5.8,183.0,426.0,1774.0,17.0,4.2,107.0,104.0,813.0,22.0,29.7,12.8,10.38,62.4,2.8,2.4,6.7,6.2,10.8,81.4,42.0,288.0,5.3,7.3,6.62,9.18,25.0,19.0,5.0,4.0,76.0,100.0,2.0,0.0,1.0,0.5761194029850746,0.4238805970149254,0.6525656090873482,0.3474343909126518,0.46875,0.53125,1.7102803738317758,0.5846994535519126,0.07051282051282051,1.5952380952380951,24.0,20.0,14.0,21.5,7.0,13.0,5.0,23.5,20.0,18.5,13.5,7.0,13.0,5.0,23.5,10.0,11.0,11.0,15.0,24.5,13.0,23.0,12.0,18.0,18.0,10.0,15.5,10.5,27.0,26.0,10.5,24.0,18.0,15.0,12.5,28.0,10.0,20.0,21.0,23.0,20.0,25.0,28.0,20.5,23.0,19.0,6.0,27.5,31.0,29.0,13.5,10.0,23.0,15.0,18.0,27.0,6.0,27.0,16.0,17.0,14.0,19.0,17.666666666666668,14.5,14.8125,14.65625,21.0,15.0,12.0,16.0
2009.0,JAX,290.0,5385.0,1010.0,5.3,23.0,176.0,5.9,30.6,28.5,166.0,1.66,26.0,13.0,0.5,300.0,315.0,519.0,3356.0,15.0,10.0,6.0,170.0,447.0,2029.0,19.0,4.5,114.0,70.0,542.0,16.0,29.5,12.5,16.26,60.7,2.9,1.9,6.9,6.6,11.4,83.2,44.0,243.0,5.7,7.8,-4.19,27.38,28.0,18.0,9.0,4.0,64.3,96.8,2.0,1.0,0.0,0.5574257425742575,0.4425742574257425,0.6232126276694522,0.3767873723305478,0.4411764705882353,0.5588235294117647,1.4912280701754386,0.6705882352941176,0.05333333333333334,1.5333333333333334,24.0,18.0,19.0,15.5,5.5,13.0,10.0,17.0,23.5,26.5,8.0,5.5,13.0,10.0,17.0,16.0,21.0,23.5,19.0,27.5,4.5,17.0,19.5,12.0,10.0,7.5,6.0,7.5,1.0,1.0,30.0,21.5,11.0,16.0,16.5,27.0,4.5,15.5,14.5,15.0,16.0,25.5,19.0,15.0,27.0,20.0,1.0,20.0,29.5,31.0,27.0,22.0,11.0,21.0,12.0,30.0,3.0,30.0,26.0,7.0,28.0,19.0,14.833333333333336,15.8,10.875,13.3375,15.0,17.0,9.0,10.0
2010.0,JAX,353.0,5460.0,1019.0,5.4,33.0,177.0,5.9,30.7,30.2,173.0,1.95,23.0,12.0,0.5217391304347826,330.0,291.0,469.0,3065.0,26.0,21.0,6.0,161.0,512.0,2395.0,14.0,4.7,148.0,83.0,675.0,21.0,35.0,16.9,52.89,62.0,5.5,4.5,7.2,6.2,11.5,83.4,38.0,291.0,5.2,7.5,20.91,38.34,28.0,22.0,2.0,2.0,78.6,100.0,0.0,0.0,0.0,0.4975466143277723,0.5024533856722277,0.5613553113553114,0.43864468864468864,0.65,0.35,1.0878378378378382,0.9192546583850932,0.06363636363636363,1.5319148936170213,18.0,15.0,16.0,14.5,6.0,11.5,4.0,9.0,18.0,22.0,26.0,6.0,11.5,4.0,9.0,8.0,24.0,31.0,27.0,12.5,27.0,17.5,24.0,3.0,3.0,10.0,4.5,1.0,7.5,7.5,19.5,9.5,28.0,9.0,12.5,5.5,29.5,13.0,20.5,18.5,16.0,20.5,25.5,23.0,24.5,20.0,3.0,21.0,26.0,23.5,12.5,31.0,2.0,29.0,4.0,19.0,14.0,19.0,32.0,1.0,25.0,24.0,14.833333333333336,19.65,7.0625,13.35625,16.0,24.0,6.0,13.0
2011.0,JAX,243.0,4149.0,1002.0,4.1,23.0,194.0,5.3,20.8,28.8,149.0,1.11,27.0,8.0,0.2962962962962963,251.0,240.0,469.0,2179.0,12.0,15.0,4.2,122.0,489.0,1970.0,9.0,4.0,103.0,77.0,680.0,26.0,22.7,11.3,-154.34,51.2,2.6,3.2,5.4,4.4,10.5,62.2,44.0,331.0,3.4,8.6,-107.82,-46.04,25.0,23.0,6.0,5.0,92.0,100.0,1.0,0.0,0.0,0.5119760479041916,0.4880239520958084,0.5251867919980718,0.4748132080019282,0.5714285714285714,0.4285714285714286,1.1844660194174756,0.8442622950819673,0.10358565737051792,1.35,28.5,32.0,22.0,32.0,24.5,32.0,19.5,30.0,28.5,12.5,13.0,24.5,32.0,19.5,30.0,32.0,31.0,28.5,32.0,31.0,17.5,32.0,32.0,4.0,12.0,24.0,23.0,9.0,3.0,3.0,20.0,30.0,11.0,31.0,31.0,30.0,20.0,32.0,32.0,30.5,32.0,25.5,27.0,32.0,24.0,32.0,28.0,29.0,23.5,3.0,13.0,29.0,4.0,31.0,2.0,24.0,9.0,24.0,31.0,2.0,8.0,30.0,26.75,25.85,15.0625,20.45625,32.0,32.0,15.0,26.0
2015.0,OAK,359.0,5336.0,1008.0,5.3,24.0,195.0,5.3,27.3,29.4,145.0,1.79,27.0,10.0,0.3703703703703704,300.0,373.0,605.0,3879.0,34.0,14.0,6.1,193.0,370.0,1457.0,7.0,3.9,74.0,139.0,1102.0,33.0,31.8,10.3,0.17,61.7,5.6,2.3,6.8,6.9,11.1,91.0,33.0,250.0,6.2,5.2,48.7,-39.49,26.0,21.0,5.0,4.0,80.8,97.4,3.0,1.0,2.0,0.6329365079365079,0.3670634920634921,0.7269490254872564,0.2730509745127436,0.8292682926829268,0.1707317073170732,2.608108108108108,0.38341968911917096,0.11,1.7435897435897436,17.0,24.0,24.0,23.5,29.5,27.5,26.5,20.0,30.0,19.5,19.0,29.5,27.5,26.5,20.0,26.0,11.0,14.0,16.0,6.5,20.0,22.5,20.5,29.0,28.0,25.5,22.5,28.0,30.0,28.0,15.5,22.0,13.0,21.0,21.0,8.0,19.0,26.5,20.0,23.0,15.0,12.5,19.0,17.5,10.0,18.0,20.0,28.0,28.0,27.5,10.0,9.0,24.0,10.0,23.0,4.0,29.0,4.0,8.0,25.0,8.0,18.0,21.83333333333333,14.2,25.75,19.975,26.0,15.0,28.0,27.0
