Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2007.0,DAL,455.0,5851.0,975.0,6.0,24.0,182.0,5.5,32.1,31.9,161.0,2.35,21.0,5.0,0.2380952380952381,322.0,342.0,531.0,4105.0,36.0,19.0,7.4,217.0,419.0,1746.0,14.0,4.2,83.0,104.0,815.0,22.0,41.8,12.6,117.63,64.4,6.8,3.6,8.1,7.8,12.5,97.1,25.0,185.0,7.1,4.5,144.81,-8.97,31.0,26.0,5.0,2.0,83.9,100.0,1.0,0.0,0.0,0.5702564102564103,0.4297435897435897,0.7015894718851479,0.2984105281148521,0.72,0.28,2.6144578313253013,0.3824884792626728,0.06832298136645963,1.9285714285714284,2.0,3.0,26.5,2.5,16.5,4.5,11.5,3.0,11.0,1.5,9.0,16.5,4.5,11.5,3.0,7.0,11.0,18.0,4.0,2.0,21.5,2.0,3.0,21.0,17.0,11.0,8.5,23.0,25.0,25.0,13.5,3.0,10.5,4.0,7.5,3.0,21.5,2.0,3.5,2.0,3.5,10.0,13.0,3.0,9.0,4.0,10.0,15.5,13.0,18.0,12.0,16.0,17.0,12.0,21.0,9.5,23.5,9.5,6.0,27.0,17.0,7.0,5.25,7.1,13.75,10.425,2.0,5.0,13.0,4.0
2008.0,DAL,362.0,5512.0,979.0,5.6,33.0,190.0,5.3,28.9,29.5,152.0,1.83,29.0,13.0,0.4482758620689655,291.0,328.0,547.0,3789.0,29.0,20.0,6.6,171.0,401.0,1723.0,12.0,4.3,102.0,120.0,957.0,18.0,32.1,16.3,-6.02,60.0,5.3,3.7,7.3,6.7,12.2,84.9,31.0,199.0,6.0,5.4,21.04,-16.01,22.0,20.0,2.0,2.0,90.9,100.0,1.0,0.0,1.0,0.5903983656792645,0.4096016343207355,0.6874092888243831,0.3125907111756169,0.7073170731707317,0.29268292682926833,1.6764705882352942,0.5964912280701754,0.061855670103092786,1.6976744186046513,18.0,13.0,20.0,10.0,27.5,15.0,22.0,14.5,28.0,27.0,31.0,27.5,15.0,22.0,14.5,19.0,13.0,8.0,9.0,4.0,30.0,10.5,17.0,25.0,21.0,22.5,11.5,16.0,32.0,31.0,22.0,22.0,26.5,17.0,19.0,2.5,27.5,10.0,13.0,5.5,13.0,15.0,14.0,12.5,14.5,17.0,17.0,31.0,29.5,4.0,13.5,8.0,25.0,9.0,24.0,4.0,29.0,4.0,17.0,16.0,23.0,13.0,17.166666666666668,12.35,20.8125,16.58125,20.0,13.0,24.5,21.0
2009.0,DAL,361.0,6390.0,1020.0,6.3,19.0,179.0,5.9,35.7,27.6,173.0,1.9,20.0,10.0,0.5,335.0,347.0,550.0,4287.0,26.0,9.0,7.3,203.0,436.0,2103.0,14.0,4.8,110.0,115.0,892.0,22.0,33.5,9.5,103.96,63.1,4.7,1.6,8.2,8.4,12.9,97.6,34.0,196.0,7.5,5.8,118.92,-0.72,31.0,20.0,2.0,1.0,64.5,100.0,1.0,1.0,0.0,0.5725490196078431,0.4274509803921569,0.6708920187793427,0.3291079812206573,0.65,0.35,1.8454545454545448,0.541871921182266,0.06567164179104477,1.7083333333333333,14.0,2.0,13.0,1.5,5.5,1.5,3.0,12.5,8.5,13.5,4.0,5.5,1.5,3.0,12.5,6.5,10.0,13.0,6.0,13.5,3.0,5.5,9.0,17.0,7.0,16.0,2.5,9.0,29.0,28.0,17.5,14.0,4.0,7.0,11.0,11.5,3.0,4.0,5.0,3.0,6.0,16.5,11.0,4.0,12.5,8.0,7.0,11.0,25.0,30.0,8.5,15.0,18.0,15.0,18.0,16.0,17.0,16.0,19.0,14.0,24.0,13.0,5.75,6.8,11.0,8.9,2.0,8.0,10.0,5.0
2010.0,DAL,394.0,5828.0,1035.0,5.6,30.0,182.0,5.9,31.8,28.8,166.0,1.9,28.0,11.0,0.3928571428571429,327.0,379.0,576.0,4042.0,29.0,19.0,6.7,201.0,428.0,1786.0,10.0,4.2,104.0,109.0,863.0,22.0,34.6,14.8,26.25,65.8,5.0,3.3,7.3,6.8,11.1,90.4,31.0,166.0,6.2,5.1,50.85,-8.3,32.0,24.0,6.0,4.0,75.0,95.5,2.0,2.0,0.0,0.5864734299516908,0.4135265700483092,0.6935483870967742,0.30645161290322576,0.7435897435897436,0.2564102564102564,1.9326923076923082,0.5174129353233831,0.0672782874617737,1.738095238095238,7.5,7.0,13.5,9.0,6.0,6.5,9.0,11.5,24.0,18.5,20.0,6.0,6.5,9.0,11.5,9.0,4.0,9.0,6.0,7.0,21.0,7.0,8.0,16.5,16.0,22.0,15.5,11.5,27.0,19.0,17.0,11.0,20.5,12.0,4.0,11.0,20.0,10.5,11.5,22.0,12.0,11.0,4.0,12.0,8.5,14.0,7.0,9.0,19.0,30.0,31.0,12.0,21.0,10.0,23.0,4.0,29.0,4.0,16.0,17.0,21.0,14.0,11.0,8.95,17.25,13.1,8.0,8.5,15.0,12.0
2011.0,DAL,369.0,6008.0,1017.0,5.9,21.0,185.0,5.7,32.4,29.0,163.0,1.96,24.0,9.0,0.375,327.0,376.0,570.0,4201.0,33.0,12.0,6.9,219.0,408.0,1807.0,5.0,4.4,91.0,114.0,816.0,17.0,37.8,11.4,78.92,66.0,5.8,2.1,7.8,8.0,11.8,100.1,39.0,252.0,7.1,6.4,126.31,-33.68,37.0,32.0,4.0,2.0,86.5,100.0,0.0,0.0,0.0,0.5988200589970502,0.40117994100294985,0.6992343541944075,0.3007656458055925,0.8684210526315791,0.13157894736842102,2.4065934065934065,0.4155251141552511,0.051987767584097865,1.7727272727272725,15.0,11.0,14.5,10.5,9.5,8.0,6.0,8.0,22.5,18.0,7.5,9.5,8.0,6.0,8.0,12.0,4.5,11.5,7.0,5.0,6.0,11.0,7.0,24.0,18.0,30.5,10.0,19.0,28.0,12.0,31.0,7.0,12.0,8.0,3.0,5.0,6.5,10.0,5.0,16.0,4.0,18.5,19.0,5.0,17.0,6.0,21.0,7.0,4.5,9.0,13.0,10.0,23.0,10.0,23.0,1.0,32.0,1.0,11.0,22.0,30.0,8.0,11.083333333333336,5.8,21.0,13.4,9.0,4.0,23.0,11.0
2012.0,DAL,376.0,5994.0,1049.0,5.7,29.0,180.0,6.0,33.2,27.2,165.0,1.92,20.0,10.0,0.5,338.0,434.0,658.0,4729.0,29.0,19.0,6.8,237.0,355.0,1265.0,8.0,3.6,76.0,117.0,853.0,25.0,36.7,15.0,67.75,66.0,4.4,2.9,7.6,7.2,11.5,91.3,36.0,263.0,6.4,5.2,129.09,-45.66,31.0,29.0,5.0,3.0,93.5,100.0,4.0,3.0,0.0,0.661582459485224,0.338417540514776,0.7889556222889557,0.21104437771104434,0.7837837837837838,0.21621621621621626,3.1184210526315788,0.3206751054852321,0.07396449704142012,2.1111111111111107,15.0,6.0,8.0,10.5,6.0,6.5,6.0,10.0,12.0,18.5,25.0,6.0,6.5,6.0,10.0,10.0,2.0,3.0,3.0,6.0,29.0,9.5,5.0,31.0,31.0,27.5,30.5,25.5,30.0,16.0,20.5,11.0,26.0,14.0,5.0,15.0,22.0,9.5,10.0,16.0,9.0,16.0,25.0,11.0,10.0,7.0,25.0,19.5,10.5,1.5,14.0,2.0,31.0,1.0,32.0,7.0,26.0,7.0,4.0,29.0,26.0,1.0,16.0,8.55,27.8125,18.18125,15.5,6.0,31.0,21.0
2013.0,DAL,439.0,5458.0,957.0,5.7,20.0,183.0,5.4,29.7,29.7,152.0,2.18,18.0,8.0,0.4444444444444444,325.0,375.0,586.0,3954.0,33.0,12.0,6.4,213.0,336.0,1504.0,12.0,4.5,80.0,102.0,867.0,32.0,39.9,9.8,79.41,64.0,5.6,2.0,7.2,7.4,11.3,95.7,35.0,272.0,6.6,5.6,77.73,10.56,30.0,28.0,7.0,6.0,93.3,100.0,4.0,1.0,0.0,0.6489028213166145,0.3510971786833855,0.7244411872480763,0.2755588127519237,0.7333333333333333,0.2666666666666667,2.6625,0.3755868544600939,0.09846153846153846,1.6,5.0,16.0,32.0,7.5,23.0,11.5,14.0,4.0,12.0,8.0,8.5,23.0,11.5,14.0,4.0,13.0,8.0,13.5,14.0,3.5,11.0,12.5,8.0,31.0,24.0,19.0,7.5,25.0,19.5,20.0,13.0,7.0,9.0,9.0,8.0,6.5,8.5,13.0,9.0,22.0,7.0,7.0,16.5,8.5,8.0,12.0,5.0,16.0,12.0,4.0,14.0,4.0,29.0,9.0,24.0,8.0,25.0,8.0,6.0,27.0,13.0,22.5,10.416666666666666,8.35,19.6875,14.01875,8.0,6.0,20.0,13.0
2014.0,DAL,467.0,6138.0,1014.0,6.1,25.0,179.0,5.8,34.1,28.9,176.0,2.49,21.0,14.0,0.6666666666666666,342.0,328.0,476.0,3784.0,37.0,11.0,7.5,205.0,508.0,2354.0,16.0,4.6,106.0,105.0,839.0,31.0,43.6,12.8,172.14,68.9,7.8,2.3,8.4,8.9,12.2,110.9,30.0,224.0,8.0,5.9,196.41,-17.9,29.0,25.0,7.0,5.0,86.2,100.0,0.0,0.0,0.0,0.4990138067061144,0.5009861932938856,0.6164874551971327,0.38351254480286734,0.6981132075471698,0.30188679245283023,1.9339622641509435,0.5170731707317073,0.09064327485380116,1.8260869565217392,5.0,7.0,18.0,3.0,14.0,6.0,3.0,2.0,17.0,29.5,20.0,14.0,6.0,3.0,2.0,11.0,18.0,31.0,16.0,4.0,7.0,2.5,13.0,3.0,2.0,6.5,4.0,8.0,14.5,12.0,17.0,3.0,21.5,2.0,2.0,1.0,13.5,1.0,2.0,8.0,1.0,10.5,16.0,2.0,16.0,2.0,11.0,22.5,19.0,13.0,13.5,30.0,3.0,27.0,6.0,14.0,19.0,14.0,23.0,10.0,21.0,12.0,8.25,9.25,7.6875,8.46875,4.0,8.5,3.0,2.0
2015.0,DAL,275.0,5361.0,969.0,5.5,33.0,172.0,5.8,31.1,24.5,174.0,1.5,18.0,11.0,0.6111111111111112,307.0,334.0,528.0,3471.0,16.0,22.0,6.2,175.0,408.0,1890.0,8.0,4.6,94.0,112.0,882.0,38.0,31.4,18.0,-44.61,63.3,3.0,4.2,7.0,5.7,11.0,76.6,33.0,206.0,5.0,5.9,-25.67,-8.73,32.0,30.0,6.0,5.0,93.8,100.0,1.0,1.0,1.0,0.5789473684210527,0.42105263157894735,0.6474538332400671,0.3525461667599329,0.6666666666666666,0.33333333333333337,1.8617021276595744,0.5371428571428571,0.1237785016286645,1.5217391304347827,31.0,22.0,29.5,14.0,12.5,12.0,3.0,28.5,12.0,24.5,31.5,12.5,12.0,3.0,28.5,23.5,23.0,23.0,27.0,29.5,31.0,19.0,26.0,18.0,9.0,22.0,5.5,14.0,20.0,13.0,5.0,23.0,32.0,27.0,15.0,30.5,32.0,22.0,31.0,26.5,30.0,12.5,10.0,32.0,17.0,31.0,5.0,12.5,8.0,1.5,3.0,21.0,12.0,25.0,8.0,19.5,13.5,19.5,22.0,11.0,5.0,30.0,22.08333333333333,24.7,15.5,20.1,27.0,31.0,16.0,28.0
2016.0,DAL,421.0,6027.0,1010.0,6.0,15.0,182.0,6.1,35.4,28.8,178.0,2.49,22.0,9.0,0.4090909090909091,358.0,325.0,483.0,3631.0,25.0,6.0,7.1,191.0,499.0,2396.0,24.0,4.8,142.0,105.0,879.0,25.0,45.1,8.8,181.38,67.3,5.2,1.2,7.9,8.3,11.7,103.0,28.0,168.0,7.6,5.5,148.72,39.96,32.0,27.0,6.0,3.0,84.4,100.0,2.0,0.0,0.0,0.505940594059406,0.4940594059405941,0.6024556163928986,0.3975443836071014,0.5102040816326531,0.4897959183673469,1.3450704225352113,0.7434554973821992,0.06983240223463688,1.6458333333333337,5.0,5.0,20.0,4.0,4.5,4.0,2.0,4.0,19.5,17.5,5.5,4.5,4.0,2.0,4.0,4.0,25.0,30.0,23.0,14.5,3.0,5.0,22.0,1.0,2.0,2.0,3.0,2.0,15.0,14.0,26.5,3.0,8.0,5.0,4.0,10.0,3.5,4.0,3.0,12.0,3.0,8.0,4.0,3.0,14.5,7.0,2.0,16.0,16.5,18.5,3.0,32.0,1.0,30.0,3.0,30.0,3.0,30.0,30.0,3.0,29.0,19.0,4.583333333333333,13.25,3.9375,8.59375,2.0,14.0,2.0,3.0
