Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2002.0,CAR,258.0,4280.0,960.0,4.5,40.0,211.0,4.7,20.1,32.1,133.0,1.08,28063.0,28.0,18.0,0.6428571428571429,238.0,255.0,464.0,2694.0,15.0,22.0,5.3,133.0,452.0,1586.0,11.0,3.5,82.0,94.0,785.0,23.0,19.4,17.5,-178.84,55.0,3.2,4.7,6.4,4.9,11.7,65.7,44.0,287.0,3.9,8.7,-71.78,-101.45,25.0,15.0,3.0,2.0,60.0,100.0,1.0,1.0,1.0,-7.0,-44.0,-366.0,0.5291666666666667,0.4708333333333333,0.6294392523364486,0.3705607476635514,0.5769230769230769,0.4230769230769231,,1.6219512195121952,0.6165413533834586,0.09663865546218488,1.8285714285714287,30.0,31.0,26.0,30.0,29.5,211.0,4.7,20.1,32.1,133.0,1.08,28063.0,28.0,18.0,0.6428571428571429,30.0,30.0,29.0,30.0,30.0,27.0,27.0,30.0,13.0,25.0,21.5,30.5,27.0,8.0,8.0,23.0,30.0,28.0,30.0,25.0,28.0,32.0,22.5,29.5,9.0,29.0,25.5,26.0,29.0,30.0,29.0,,27.0,30.0,32.0,11.0,24.0,23.0,22.0,27.0,6.0,19.0,14.0,21.0,12.0,21.0,14.0,19.0,14.0,10.0,5.0,29.66666666666667,26.15,24.0625,25.10625,20.4,18.624242424242425,32.0,32.0,27.0,31.0,23.5,23.0
2003.0,CAR,325.0,5141.0,1008.0,5.1,31.0,195.0,5.4,26.3,31.7,153.0,1.5,29835.0,33.0,15.0,0.4545454545454545,284.0,270.0,460.0,3050.0,19.0,16.0,6.3,146.0,522.0,2091.0,9.0,4.0,114.0,116.0,966.0,24.0,30.8,14.9,-44.9,58.7,4.1,3.5,7.0,6.3,12.0,79.6,26.0,188.0,5.6,5.3,41.23,-64.55,38.0,32.0,4.0,2.0,84.2,96.7,3.0,0.0,1.0,-5.0,21.0,416.0,0.4821428571428572,0.5178571428571428,0.5932697918692861,0.4067302081307139,0.6785714285714286,0.3214285714285714,,1.2807017543859651,0.7808219178082192,0.08450704225352113,1.75,15.0,16.0,17.0,16.5,22.0,195.0,5.4,26.3,31.7,153.0,1.5,29835.0,33.0,15.0,0.4545454545454545,19.0,28.0,28.5,18.0,17.0,13.0,8.0,25.5,3.0,7.0,24.5,17.5,11.0,24.0,23.0,18.5,15.0,21.0,17.0,14.5,12.0,18.5,9.5,13.0,5.0,15.0,8.0,12.0,12.0,11.0,12.0,,3.0,4.5,11.0,26.0,25.5,16.0,11.0,30.0,3.0,27.0,6.0,13.0,20.0,13.0,6.0,29.0,4.0,16.0,9.0,16.25,16.45,15.0625,15.75625,15.2,14.212947658402204,18.0,19.0,14.0,15.0,15.0,15.0
2004.0,CAR,355.0,5225.0,991.0,5.3,26.0,182.0,5.6,28.6,31.8,158.0,1.83,28756.0,23.0,11.0,0.4782608695652174,308.0,311.0,536.0,3643.0,29.0,15.0,6.4,192.0,422.0,1582.0,10.0,3.7,85.0,123.0,1020.0,31.0,32.4,12.6,13.82,58.0,5.4,2.8,7.3,7.1,12.5,87.0,33.0,246.0,6.2,5.8,76.46,-48.15,25.0,20.0,5.0,3.0,80.0,97.5,2.0,2.0,0.0,12.0,16.0,-157.0,0.5741675075681129,0.42583249243188703,0.6972248803827751,0.3027751196172249,0.7435897435897436,0.2564102564102564,,2.2588235294117647,0.4427083333333333,0.10064935064935067,1.9729729729729728,13.0,13.0,19.0,13.5,12.5,182.0,5.6,28.6,31.8,158.0,1.83,28756.0,23.0,11.0,0.4782608695652174,12.5,12.0,11.5,9.0,6.0,13.0,12.0,8.0,22.0,28.0,22.0,28.5,25.5,26.0,29.0,9.5,12.0,11.0,13.0,18.0,8.0,10.0,14.0,10.5,6.5,11.0,11.0,19.0,11.0,9.0,9.0,,22.0,19.5,18.5,27.0,4.0,12.0,19.0,11.0,22.0,8.0,25.0,7.0,26.0,7.0,25.0,8.0,25.0,13.0,3.0,15.25,8.7,24.0625,16.38125,11.4,13.38939393939394,14.0,6.0,26.0,19.0,7.0,10.0
2005.0,CAR,391.0,4950.0,964.0,5.1,26.0,190.0,5.3,26.1,33.0,156.0,1.96,29640.0,23.0,10.0,0.43478260869565216,278.0,269.0,449.0,3271.0,25.0,16.0,6.9,157.0,487.0,1679.0,17.0,3.4,82.0,91.0,732.0,39.0,35.8,12.6,1.55,59.9,5.6,3.6,7.8,7.3,13.0,88.1,28.0,214.0,6.4,5.9,76.88,-68.73,34.0,26.0,8.0,3.0,76.5,97.7,1.0,0.0,0.0,16.0,132.0,428.0,0.4948132780082988,0.5051867219917012,0.6608080808080808,0.3391919191919192,0.5952380952380952,0.4047619047619048,,1.9146341463414642,0.5222929936305732,0.14028776978417265,2.2941176470588243,8.0,22.0,23.0,13.5,14.0,190.0,5.3,26.1,33.0,156.0,1.96,29640.0,23.0,10.0,0.43478260869565216,23.0,26.5,28.5,17.0,6.0,19.0,5.5,23.0,10.0,19.0,9.0,30.0,22.5,1.0,2.0,3.0,9.0,11.0,12.0,17.0,3.0,25.5,4.0,7.5,2.0,10.0,8.0,15.0,8.5,12.5,7.0,,6.0,10.0,23.5,22.5,3.0,4.0,11.5,26.0,7.0,14.0,19.0,20.0,13.0,20.0,19.0,14.0,19.0,2.0,1.0,17.083333333333332,14.4,16.125,15.2625,8.3,10.166528925619836,16.0,18.0,16.0,15.0,7.0,6.0
2006.0,CAR,270.0,4923.0,994.0,5.0,27.0,197.0,5.2,25.0,27.1,148.0,1.29,29156.0,21.0,10.0,0.4761904761904762,278.0,325.0,539.0,3264.0,19.0,17.0,5.7,158.0,423.0,1659.0,7.0,3.9,100.0,103.0,744.0,20.0,25.4,12.7,-61.67,60.3,3.5,3.2,6.5,5.8,10.7,77.9,32.0,222.0,5.0,5.6,-12.76,-39.88,27.0,24.0,7.0,4.0,88.9,100.0,0.0,0.0,1.0,-5.0,-35.0,186.0,0.5744466800804829,0.42555331991951706,0.6630103595368677,0.3369896404631323,0.7307692307692307,0.2692307692307693,,1.58,0.6329113924050633,0.07194244604316546,1.6666666666666667,27.0,24.0,19.5,21.0,16.5,197.0,5.2,25.0,27.1,148.0,1.29,29156.0,21.0,10.0,0.4761904761904762,25.0,12.0,10.0,15.0,18.0,17.5,20.5,21.0,24.0,24.0,29.0,20.0,16.5,23.0,13.0,24.5,28.0,13.0,21.0,16.0,22.0,16.0,21.5,18.5,26.5,19.0,14.0,17.0,19.5,10.0,17.0,,22.5,16.0,7.0,11.5,24.5,20.0,14.0,10.0,23.0,12.0,21.0,2.0,31.0,2.0,21.0,20.0,13.0,21.0,16.0,22.16666666666667,15.4,22.3125,18.85625,20.1,18.464600550964192,25.0,16.0,25.0,23.0,22.0,21.0
2007.0,CAR,267.0,4559.0,989.0,4.6,29.0,189.0,5.4,23.9,28.7,146.0,1.34,27594.0,25.0,12.0,0.48,255.0,285.0,505.0,2735.0,19.0,17.0,5.1,142.0,451.0,1824.0,7.0,4.0,85.0,95.0,801.0,28.0,26.5,13.8,-87.11,56.4,3.8,3.4,5.8,5.1,10.3,71.9,33.0,206.0,4.4,6.1,-36.54,-38.04,28.0,24.0,2.0,2.0,85.7,100.0,1.0,0.0,0.0,1.0,-80.0,-638.0,0.5439838220424671,0.4560161779575329,0.5999122614608466,0.40008773853915336,0.7307692307692307,0.2692307692307693,,1.6705882352941177,0.5985915492957746,0.10980392156862744,1.45,26.5,29.0,20.5,28.0,16.0,189.0,5.4,23.9,28.7,146.0,1.34,27594.0,25.0,12.0,0.48,28.5,26.0,24.0,29.0,18.0,18.0,29.5,28.0,9.5,14.0,28.5,17.0,22.0,20.0,24.0,3.0,27.0,13.0,25.0,29.0,17.5,18.5,31.0,29.5,29.0,28.0,17.0,16.0,26.5,16.5,23.0,,21.0,18.0,14.0,12.0,14.0,21.0,23.0,23.0,10.0,24.0,9.0,7.0,26.0,7.0,9.0,21.0,12.0,1.0,29.0,24.41666666666667,21.55,18.6875,20.11875,23.0,21.16942148760331,28.0,27.0,20.0,26.0,26.0,24.0
2008.0,CAR,414.0,5595.0,938.0,6.0,19.0,192.0,5.0,29.2,31.8,147.0,2.08,28224.0,12.0,7.0,0.5833333333333334,287.0,246.0,414.0,3158.0,15.0,12.0,7.3,152.0,504.0,2437.0,30.0,4.8,118.0,94.0,637.0,17.0,38.0,9.9,48.11,59.4,3.6,2.9,7.9,7.4,13.4,84.7,20.0,130.0,6.7,4.6,39.47,26.42,31.0,28.0,3.0,1.0,90.3,100.0,1.0,1.0,0.0,6.0,85.0,296.0,0.4626865671641791,0.5373134328358209,0.5644325290437889,0.43556747095621096,0.3333333333333333,0.6666666666666667,,1.2881355932203389,0.7763157894736842,0.05923344947735192,1.6458333333333337,7.0,10.0,27.0,4.0,6.0,192.0,5.0,29.2,31.8,147.0,2.08,28224.0,12.0,7.0,0.5833333333333334,22.0,30.0,32.0,19.0,24.5,10.0,4.5,23.0,6.0,3.0,1.0,3.0,6.0,18.0,10.0,25.5,10.0,5.0,12.0,22.0,22.0,19.0,4.5,6.5,1.0,14.0,6.0,7.0,7.0,8.0,15.0,,18.0,13.5,5.0,13.5,7.0,8.0,16.0,30.0,3.0,27.0,6.0,32.0,1.0,32.0,6.0,28.0,5.0,26.0,15.0,8.75,17.35,3.5,10.425,10.8,11.4564738292011,5.0,21.0,1.0,5.0,8.0,7.0
2009.0,CAR,315.0,5297.0,1023.0,5.2,31.0,193.0,5.4,27.4,28.2,150.0,1.58,28950.0,23.0,11.0,0.4782608695652174,289.0,264.0,465.0,2799.0,16.0,20.0,5.6,152.0,525.0,2498.0,18.0,4.8,123.0,88.0,698.0,14.0,29.0,15.0,-37.51,56.8,3.4,4.3,6.6,5.4,11.6,70.5,33.0,271.0,4.5,6.6,-34.35,2.15,27.0,22.0,4.0,1.0,81.5,96.9,3.0,2.0,2.0,6.0,7.0,244.0,0.4868035190615836,0.5131964809384164,0.5284123088540683,0.4715876911459317,0.4705882352941176,0.5294117647058824,,1.2357723577235773,0.8092105263157895,0.04844290657439446,1.375,21.0,19.0,12.0,18.0,24.0,193.0,5.4,27.4,28.2,150.0,1.58,28950.0,23.0,11.0,0.4782608695652174,20.0,28.0,29.0,27.0,25.0,27.0,21.5,25.0,2.0,3.0,10.0,2.5,3.0,11.5,11.0,32.0,23.0,20.0,20.0,26.0,22.5,27.5,18.0,21.5,11.5,26.0,13.5,24.0,23.5,20.5,24.0,,24.0,20.0,20.0,26.0,9.0,17.0,15.0,31.0,2.0,30.0,3.0,28.0,5.0,28.0,3.0,30.0,3.0,30.0,28.0,18.0,22.95,6.5625,14.75625,16.4,16.480991735537188,19.0,26.0,4.0,17.0,16.5,17.0
2010.0,CAR,196.0,4135.0,962.0,4.3,37.0,197.0,5.0,20.7,28.7,134.0,0.95,26398.0,31.0,16.0,0.5161290322580645,225.0,256.0,484.0,2289.0,9.0,21.0,4.3,125.0,428.0,1846.0,7.0,4.3,78.0,106.0,918.0,22.0,20.8,17.8,-219.41,52.9,1.9,4.3,5.4,3.9,10.3,57.0,50.0,346.0,2.9,9.4,-143.05,-66.92,29.0,25.0,4.0,3.0,86.2,100.0,0.0,0.0,1.0,-8.0,-212.0,-1239.0,0.5550935550935551,0.4449064449064449,0.5535671100362757,0.4464328899637243,0.5625,0.4375,,1.6025641025641026,0.624,0.09777777777777777,1.2558139534883723,32.0,32.0,25.0,32.0,29.5,197.0,5.0,20.7,28.7,134.0,0.95,26398.0,31.0,16.0,0.5161290322580645,32.0,32.0,26.0,32.0,32.0,27.0,32.0,32.0,16.5,13.0,31.0,12.0,28.0,25.0,25.0,17.0,32.0,29.0,32.0,31.0,31.0,28.0,32.0,32.0,30.0,32.0,30.5,30.0,32.0,31.0,32.0,,17.5,14.0,10.0,12.5,25.5,32.0,31.0,19.0,14.0,31.0,2.0,26.0,7.0,26.0,2.0,27.0,6.0,6.0,32.0,28.25,27.9,21.6875,24.79375,30.0,25.641873278236915,32.0,32.0,23.5,31.0,32.0,30.0
2011.0,DEN,309.0,5066.0,1017.0,5.0,30.0,204.0,5.1,24.8,26.7,140.0,1.34,28560.0,30.0,17.0,0.5666666666666667,286.0,217.0,429.0,2434.0,20.0,13.0,5.2,130.0,546.0,2632.0,11.0,4.8,129.0,101.0,843.0,27.0,24.5,14.2,-93.02,50.6,4.7,3.0,6.3,5.9,12.5,73.5,42.0,274.0,4.8,8.9,-68.25,-19.17,25.0,19.0,4.0,3.0,76.0,100.0,6.0,3.0,0.0,-12.0,-81.0,-659.0,0.4631268436578171,0.5368731563421829,0.4804579549940782,0.5195420450059218,0.6451612903225806,0.3548387096774194,,1.007751937984496,0.9923076923076924,0.0944055944055944,1.3125,25.0,23.0,14.5,24.0,26.0,204.0,5.1,24.8,26.7,140.0,1.34,28560.0,30.0,17.0,0.5666666666666667,20.5,32.0,32.0,31.0,20.0,9.5,29.0,31.0,1.5,1.0,19.5,6.0,4.0,16.5,13.0,19.0,27.0,22.0,28.0,32.0,9.0,19.0,28.0,22.0,11.5,26.0,23.5,23.0,24.0,27.5,30.0,,29.0,30.5,27.5,13.0,26.5,25.0,27.0,32.0,1.0,32.0,1.0,15.5,17.5,15.5,1.0,32.0,1.0,15.0,31.0,21.58333333333333,22.15,10.5625,16.35625,24.5,22.03099173553719,24.0,29.0,8.0,18.0,28.0,28.0
