Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2008.0,BAL,385.0,5184.0,1058.0,4.9,21.0,194.0,5.6,26.6,32.3,165.0,1.73,28.0,9.0,0.32142857142857145,300.0,261.0,433.0,2808.0,16.0,12.0,6.0,147.0,592.0,2376.0,20.0,4.0,132.0,103.0,785.0,21.0,33.0,10.8,-42.34,60.3,3.7,2.8,7.1,6.6,11.8,82.8,33.0,277.0,5.6,7.1,-7.52,-30.94,35.0,28.0,3.0,1.0,80.0,100.0,1.0,1.0,3.0,0.4404536862003781,0.5595463137996219,0.5416666666666666,0.4583333333333334,0.4444444444444444,0.5555555555555556,1.1136363636363635,0.8979591836734694,0.07,1.775,11.0,18.0,2.0,24.5,16.5,23.0,11.5,18.0,25.5,11.5,9.5,16.5,23.0,11.5,18.0,14.0,29.0,30.0,28.0,22.5,10.0,18.0,25.0,1.0,4.0,6.0,23.0,2.0,26.0,23.0,13.5,19.5,9.0,24.0,18.0,20.5,16.5,14.0,14.0,12.0,16.0,18.0,27.0,17.0,21.5,23.0,24.0,9.0,13.5,25.0,13.5,32.0,1.0,32.0,1.0,29.0,4.0,29.0,32.0,1.0,16.0,11.0,15.583333333333336,19.55,7.1875,13.36875,16.0,25.0,6.0,13.0
2009.0,BAL,391.0,5619.0,1014.0,5.5,22.0,183.0,5.7,30.7,31.8,155.0,1.99,19.0,9.0,0.4736842105263158,320.0,321.0,510.0,3419.0,21.0,13.0,6.3,187.0,468.0,2200.0,22.0,4.7,115.0,115.0,1094.0,18.0,35.0,10.9,62.73,62.9,4.1,2.5,7.1,6.8,11.3,87.4,36.0,218.0,6.0,6.6,52.3,19.07,30.0,21.0,2.0,0.0,70.0,97.9,0.0,0.0,0.0,0.5384615384615384,0.4615384615384616,0.6084712582310021,0.391528741768998,0.4883720930232558,0.5116279069767442,1.626086956521739,0.6149732620320856,0.05625,1.5106382978723405,9.0,13.0,16.5,14.0,13.0,12.0,16.5,9.5,6.0,8.5,5.5,13.0,12.0,16.5,9.5,13.0,19.0,25.0,18.0,17.5,9.0,13.0,15.0,7.5,5.0,1.5,4.0,5.0,29.0,32.0,24.0,11.0,7.0,12.0,12.0,17.0,10.0,13.0,12.0,16.5,13.0,20.0,15.0,12.5,20.5,14.0,4.0,13.0,23.0,27.0,21.0,25.0,8.0,22.0,11.0,27.0,6.0,27.0,22.0,11.0,27.0,20.0,9.583333333333334,13.7,4.75,9.225,6.0,14.0,2.0,6.0
2010.0,BAL,357.0,5166.0,1018.0,5.1,20.0,189.0,5.5,27.2,29.8,159.0,1.75,22.0,10.0,0.4545454545454545,303.0,308.0,491.0,3335.0,25.0,10.0,6.3,175.0,487.0,1831.0,11.0,3.8,97.0,90.0,673.0,31.0,32.8,9.5,22.55,62.7,5.1,2.0,7.4,7.5,11.8,93.6,40.0,294.0,6.4,7.5,89.23,-54.86,29.0,26.0,1.0,0.0,89.7,100.0,0.0,0.0,0.0,0.5216110019646365,0.4783889980353635,0.6455671699574138,0.3544328300425862,0.6944444444444444,0.3055555555555556,1.8041237113402064,0.5542857142857143,0.10231023102310233,1.9473684210526316,16.0,22.0,17.5,22.0,18.0,21.0,12.0,17.0,14.5,14.5,7.0,18.0,21.0,12.0,17.0,18.0,18.0,24.5,20.0,15.5,6.0,13.0,17.5,6.0,14.0,19.0,26.5,13.5,12.5,6.0,3.0,15.0,6.0,14.0,9.0,8.5,6.0,8.0,7.0,14.5,6.0,23.5,27.0,9.0,24.5,9.0,26.0,17.5,10.5,6.0,12.5,28.0,5.0,21.0,12.0,11.0,22.0,11.0,18.0,15.0,3.0,4.0,17.083333333333332,12.65,15.8125,14.23125,18.0,15.0,14.0,16.0
2011.0,BAL,378.0,5419.0,1036.0,5.2,24.0,186.0,5.8,29.1,28.9,158.0,1.84,24.0,12.0,0.5,312.0,314.0,544.0,3423.0,21.0,12.0,5.9,181.0,459.0,1996.0,15.0,4.3,98.0,92.0,742.0,33.0,35.5,11.8,27.37,57.7,3.9,2.2,6.7,6.5,11.6,81.7,33.0,206.0,5.7,5.7,69.52,-32.7,39.0,30.0,6.0,1.0,76.9,100.0,1.0,1.0,0.0,0.556949806949807,0.44305019305019294,0.6316663591068463,0.3683336408931537,0.5833333333333334,0.4166666666666666,1.846938775510204,0.5414364640883977,0.10576923076923077,1.5581395348837208,12.0,15.0,7.5,18.5,7.0,15.0,10.5,13.0,22.5,24.5,16.5,7.0,15.0,10.5,13.0,15.5,17.0,18.0,19.0,15.0,6.0,20.0,14.0,8.0,10.0,10.5,13.0,13.0,9.0,4.0,5.5,11.0,16.0,13.0,22.0,18.5,8.5,21.5,16.5,20.0,15.0,12.5,13.0,16.0,13.0,11.0,20.0,3.5,8.0,26.0,13.0,21.0,12.0,23.0,10.0,23.0,10.0,23.0,19.0,14.0,6.0,23.0,15.333333333333336,13.5,12.4375,12.96875,15.0,12.0,10.0,10.0
2012.0,BAL,398.0,5640.0,1042.0,5.4,16.0,193.0,5.6,29.2,27.0,142.0,1.88,14.0,5.0,0.35714285714285715,314.0,334.0,560.0,3739.0,22.0,11.0,6.3,182.0,444.0,1901.0,17.0,4.3,98.0,121.0,1127.0,34.0,35.8,7.8,81.26,59.6,3.9,2.0,7.1,7.0,12.0,86.4,38.0,257.0,6.2,6.4,112.02,-26.13,33.0,30.0,4.0,4.0,90.9,100.0,1.0,1.0,0.0,0.5738963531669866,0.4261036468330134,0.6629432624113475,0.3370567375886525,0.5641025641025641,0.4358974358974359,1.8571428571428568,0.5384615384615384,0.10828025477707008,1.6511627906976745,10.0,16.0,9.5,16.5,20.0,18.0,28.5,14.0,5.5,3.5,3.5,20.0,18.0,28.5,14.0,15.0,16.0,15.0,15.0,19.5,6.5,15.0,18.0,12.0,11.0,7.0,12.5,16.0,31.0,32.0,9.5,13.0,2.0,12.0,19.5,19.0,6.0,14.5,12.5,9.5,16.0,20.0,24.0,14.0,17.0,9.0,16.0,13.0,7.5,6.0,14.0,19.0,14.0,21.0,12.0,23.5,9.5,23.5,17.0,16.0,7.0,20.0,12.0,13.0,10.0,11.5,12.0,13.0,8.0,7.0
2013.0,BAL,320.0,4918.0,1090.0,4.5,29.0,207.0,5.5,23.7,29.1,141.0,1.43,15.0,6.0,0.4,295.0,363.0,619.0,3590.0,19.0,23.0,5.4,189.0,423.0,1328.0,7.0,3.1,68.0,112.0,942.0,38.0,30.9,13.5,-96.59,58.6,3.1,3.7,6.3,5.3,10.8,72.0,48.0,324.0,4.4,7.2,-4.61,-83.22,41.0,38.0,7.0,6.0,92.7,100.0,3.0,3.0,0.0,0.6119266055045871,0.3880733944954129,0.7299715331435543,0.2700284668564457,0.7307692307692307,0.2692307692307693,2.7794117647058822,0.35978835978835977,0.1288135593220339,2.032258064516129,25.0,29.0,7.0,31.5,17.5,31.0,26.5,26.0,5.5,3.0,23.0,17.5,31.0,26.5,26.0,24.0,14.5,8.0,18.0,25.5,31.0,30.0,19.0,18.5,30.0,29.0,32.0,30.0,26.5,25.0,7.0,22.0,20.0,29.0,22.5,28.5,28.0,30.5,30.0,29.0,29.0,28.5,26.0,30.0,20.0,22.0,31.0,1.5,1.5,6.5,14.0,10.0,23.0,7.0,26.0,9.5,23.5,9.5,4.0,29.0,3.0,6.0,27.16666666666667,21.0,25.1875,23.09375,30.0,25.0,27.0,30.0
2014.0,BAL,409.0,5838.0,1021.0,5.7,20.0,182.0,5.8,32.0,28.7,156.0,2.13,16.0,8.0,0.5,345.0,344.0,554.0,3819.0,27.0,12.0,6.7,194.0,448.0,2019.0,16.0,4.5,113.0,111.0,870.0,38.0,39.6,9.9,128.84,62.1,4.9,2.2,7.2,7.2,11.6,91.0,19.0,167.0,6.7,3.3,153.58,-18.6,34.0,29.0,9.0,4.0,85.3,100.0,3.0,1.0,1.0,0.5612144955925563,0.4387855044074437,0.6541623843782117,0.3458376156217883,0.627906976744186,0.37209302325581395,1.7168141592920354,0.5824742268041238,0.11014492753623188,1.6,8.0,12.0,14.5,9.5,14.0,9.0,18.0,8.5,7.0,10.5,7.5,14.0,9.0,18.0,8.5,10.0,17.0,17.0,13.0,13.0,10.0,10.0,15.5,11.0,8.0,6.5,7.5,4.0,18.0,15.0,4.5,7.0,8.0,8.0,19.0,10.0,11.0,15.5,12.5,18.0,14.0,2.0,4.0,9.5,2.0,6.0,13.0,11.0,10.5,15.0,13.5,24.0,9.0,22.0,11.0,23.5,9.5,23.5,26.0,7.0,8.0,24.0,9.166666666666666,12.1,7.75,9.925,7.0,13.0,4.0,5.0
2015.0,BAL,328.0,5749.0,1083.0,5.3,28.0,186.0,6.0,30.8,27.1,158.0,1.62,13.0,7.0,0.5384615384615384,323.0,426.0,676.0,4271.0,21.0,21.0,6.1,211.0,383.0,1478.0,8.0,3.9,89.0,122.0,1153.0,23.0,33.3,14.0,-42.02,63.0,3.1,3.1,6.6,5.8,10.4,79.4,24.0,178.0,5.4,3.4,8.6,-46.34,40.0,33.0,10.0,4.0,82.5,100.0,4.0,1.0,0.0,0.6463527239150508,0.3536472760849492,0.7429118107496956,0.2570881892503044,0.7241379310344828,0.27586206896551724,2.3707865168539324,0.4218009478672986,0.07120743034055728,1.6923076923076923,25.0,14.0,5.0,23.5,6.0,15.0,15.5,22.5,2.0,4.0,23.5,6.0,15.0,15.5,22.5,16.0,3.0,1.0,8.0,24.0,29.5,22.5,8.0,25.5,26.0,22.0,22.5,19.0,26.5,30.0,28.5,20.5,23.5,25.0,16.0,28.0,28.0,29.5,29.5,32.0,28.0,3.0,5.0,26.5,1.0,27.0,23.0,2.5,4.0,21.0,3.0,4.0,29.0,5.0,28.0,13.0,20.0,13.0,14.0,19.0,28.0,22.0,20.58333333333333,16.2,20.875,18.5375,24.0,19.0,24.0,24.0
2016.0,BAL,343.0,5563.0,1079.0,5.2,23.0,192.0,5.8,29.0,28.8,154.0,1.69,19.0,7.0,0.3684210526315789,316.0,439.0,679.0,4100.0,20.0,16.0,5.8,205.0,367.0,1463.0,10.0,4.0,79.0,125.0,1111.0,32.0,35.4,10.4,-21.79,64.7,2.9,2.4,6.4,5.9,9.9,82.6,33.0,243.0,5.3,4.6,-3.95,-11.25,39.0,38.0,10.0,10.0,97.4,100.0,5.0,4.0,0.0,0.6598702502316961,0.340129749768304,0.7370124033794715,0.2629875966205285,0.6666666666666666,0.33333333333333337,2.5949367088607596,0.3853658536585366,0.10126582278481013,1.6,21.0,17.0,4.0,22.5,16.0,22.0,22.0,22.0,12.0,8.5,17.5,16.0,22.0,22.0,22.0,21.0,2.0,1.0,12.0,22.0,23.5,25.5,14.0,30.0,28.0,23.5,21.5,26.0,28.5,29.0,13.5,18.0,13.0,26.0,12.5,27.5,18.0,27.5,27.0,31.0,24.0,13.5,22.0,26.5,7.0,28.0,11.0,4.0,1.0,1.0,3.0,1.0,32.0,5.0,28.0,11.0,22.0,11.0,6.0,27.0,14.0,22.5,20.58333333333333,15.3,23.625,19.4625,22.5,17.0,25.0,24.0
Mean year,,367.6666666666667,5455.111111111111,1049.0,5.2,22.555555555555557,190.22222222222223,5.699999999999999,28.699999999999996,29.27777777777777,154.22222222222223,1.7844444444444447,18.88888888888889,8.11111111111111,0.43485374274847954,314.22222222222223,345.55555555555554,562.8888888888889,3611.5555555555557,21.333333333333332,14.444444444444445,6.0888888888888895,185.66666666666666,452.3333333333333,1843.5555555555557,14.0,4.066666666666666,98.77777777777777,110.11111111111111,944.1111111111111,29.77777777777778,34.58888888888889,10.955555555555556,13.334444444444443,61.28888888888889,3.855555555555555,2.5444444444444443,6.877777777777777,6.51111111111111,11.244444444444447,84.1,33.77777777777778,240.44444444444446,5.744444444444444,5.7555555555555555,52.13,-31.663333333333338,35.55555555555556,30.333333333333332,5.777777777777778,3.3333333333333335,85.04444444444444,99.76666666666667,2.0,1.3333333333333333,0.4444444444444444,0.5678596068874708,0.4321403931125292,0.6615969831138009,0.33840301688619895,0.6137975205069566,0.38620247949304354,1.9677642015404422,0.5440606167399471,0.09489349517255959,1.7074305334811322,15.222222222222221,17.333333333333332,9.277777777777779,20.27777777777778,14.222222222222221,18.444444444444443,17.88888888888889,16.72222222222222,11.166666666666666,9.833333333333334,12.61111111111111,14.222222222222221,18.444444444444443,17.88888888888889,16.72222222222222,16.27777777777778,15.055555555555555,15.5,16.77777777777778,19.38888888888889,14.61111111111111,18.555555555555557,16.22222222222222,13.277777777777779,15.11111111111111,13.88888888888889,18.055555555555557,14.277777777777779,23.0,21.77777777777778,12.11111111111111,15.222222222222221,11.61111111111111,18.11111111111111,16.72222222222222,19.72222222222222,14.666666666666666,19.333333333333332,17.88888888888889,20.27777777777778,17.88888888888889,15.666666666666666,18.11111111111111,17.88888888888889,14.055555555555555,16.555555555555557,18.666666666666668,8.333333333333334,8.833333333333334,14.833333333333334,11.944444444444445,18.22222222222222,14.777777777777779,17.555555555555557,15.444444444444445,18.944444444444443,14.055555555555555,18.944444444444443,17.555555555555557,15.444444444444445,12.444444444444445,16.944444444444443,16.342592592592595,15.222222222222221,14.180555555555555,14.70138888888889,16.72222222222222,17.0,13.333333333333334,15.0
