Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2006.0,NE,385.0,5369.0,1055.0,5.1,27.0,189.0,5.7,28.5,32.6,160.0,1.98,30240.0,27.0,15.0,0.5555555555555556,330.0,326.0,527.0,3400.0,25.0,12.0,6.1,181.0,499.0,1969.0,20.0,3.9,121.0,98.0,940.0,28.0,34.4,13.8,70.55,61.9,4.7,2.3,6.8,6.7,11.0,88.3,29.0,190.0,6.0,5.2,87.35,-10.27,26.0,20.0,1.0,1.0,76.9,97.7,2.0,2.0,1.0,8.0,148.0,659.0,0.5270142180094787,0.4729857819905213,0.6332650400447011,0.3667349599552989,0.5555555555555556,0.4444444444444444,,1.4958677685950412,0.6685082872928176,0.08484848484848485,1.7435897435897436,7.0,11.0,4.0,16.0,16.5,189.0,5.7,28.5,32.6,160.0,1.98,30240.0,27.0,15.0,0.5555555555555556,4.5,11.0,12.0,12.0,7.0,6.5,13.5,12.0,6.0,12.0,4.0,20.0,5.0,20.0,30.0,6.5,9.0,17.0,6.0,11.0,9.0,7.0,15.5,9.0,22.0,7.0,10.5,11.5,9.0,9.0,7.0,,25.5,27.0,22.0,25.0,4.5,4.0,8.0,22.0,11.0,18.0,15.0,24.0,9.0,24.0,15.0,22.0,11.0,14.0,13.0,12.083333333333336,9.0,11.1875,10.09375,5.3,7.986776859504133,10.0,6.0,9.0,6.0,3.0,3.0
2007.0,NE,589.0,6580.0,1058.0,6.2,15.0,167.0,6.5,39.3,32.3,187.0,3.19,31229.0,14.0,6.0,0.42857142857142855,393.0,403.0,586.0,4731.0,50.0,9.0,7.8,243.0,451.0,1849.0,17.0,4.1,124.0,78.0,690.0,26.0,52.7,7.8,310.31,68.8,8.5,1.5,8.3,9.3,12.1,116.0,21.0,128.0,8.8,3.5,290.16,22.41,24.0,21.0,0.0,0.0,87.5,100.0,1.0,1.0,0.0,16.0,315.0,1967.0,0.5737240075614367,0.4262759924385633,0.7189969604863222,0.2810030395136778,0.746268656716418,0.25373134328358204,,1.9596774193548387,0.5102880658436214,0.06615776081424936,2.0243902439024395,1.0,1.0,2.0,1.0,1.0,167.0,6.5,39.3,32.3,187.0,3.19,31229.0,14.0,6.0,0.42857142857142855,1.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,9.5,13.0,5.5,12.5,3.0,7.5,16.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,1.0,5.0,1.0,,28.0,26.5,8.5,12.0,3.0,1.0,1.0,14.0,19.0,6.0,27.0,5.0,28.0,5.0,27.0,14.0,19.0,18.0,2.0,2.9166666666666665,1.2,8.1875,4.69375,1.8,4.8683195592286514,1.0,1.0,5.0,1.0,1.0,1.0
2008.0,NE,410.0,5847.0,1095.0,5.3,21.0,174.0,6.5,33.5,33.3,179.0,2.31,31146.0,17.0,10.0,0.5882352941176471,356.0,339.0,534.0,3569.0,21.0,11.0,6.1,186.0,513.0,2278.0,21.0,4.4,145.0,57.0,501.0,25.0,44.8,11.5,116.71,63.5,3.9,2.1,7.1,7.0,11.2,89.1,48.0,221.0,6.0,8.2,70.3,46.77,40.0,36.0,1.0,1.0,90.0,100.0,3.0,2.0,0.0,1.0,101.0,903.0,0.5315068493150685,0.4684931506849314,0.6103984949546776,0.3896015050453224,0.5,0.5,,1.282758620689655,0.7795698924731183,0.0702247191011236,1.6136363636363635,8.0,5.0,1.0,14.5,9.5,174.0,6.5,33.5,33.3,179.0,2.31,31146.0,17.0,10.0,0.5882352941176471,1.0,10.0,12.0,12.0,14.0,6.5,14.5,8.5,4.0,6.0,4.0,8.0,1.0,1.0,1.0,6.0,1.0,12.5,5.0,9.0,14.0,5.5,14.0,10.0,19.0,7.0,28.0,19.0,12.5,26.0,10.0,,1.5,1.5,6.0,13.5,15.5,6.0,6.0,25.0,8.0,22.0,11.0,26.0,7.0,26.0,11.0,29.0,4.0,15.0,18.0,7.666666666666668,9.65,6.0,7.825,6.3,8.728512396694214,3.0,8.0,4.0,2.0,3.0,3.0
2009.0,DEN,326.0,5463.0,1032.0,5.3,23.0,189.0,5.6,28.9,29.0,153.0,1.59,28917.0,15.0,10.0,0.6666666666666666,306.0,341.0,558.0,3627.0,21.0,13.0,6.1,186.0,440.0,1836.0,9.0,4.2,95.0,93.0,800.0,25.0,31.7,11.6,-20.87,61.1,3.8,2.3,6.9,6.6,11.2,84.4,34.0,198.0,5.8,5.7,24.63,-32.94,35.0,30.0,3.0,2.0,85.7,100.0,2.0,0.0,0.0,7.0,2.0,423.0,0.5736434108527132,0.4263565891472868,0.6639209225700164,0.33607907742998355,0.7,0.30000000000000004,,1.9578947368421051,0.510752688172043,0.08169934640522876,1.6428571428571428,20.0,15.0,9.5,15.5,8.0,189.0,5.6,28.9,29.0,153.0,1.59,28917.0,15.0,10.0,0.6666666666666666,15.0,11.0,9.0,13.0,17.5,9.0,15.0,16.0,14.0,18.0,23.0,16.5,17.0,14.5,18.0,13.0,17.0,8.0,18.0,14.5,20.0,8.0,15.5,14.5,19.0,15.0,16.5,12.0,14.0,10.5,15.0,,4.5,3.5,12.5,8.5,7.0,18.0,13.0,14.0,19.0,16.0,17.0,8.5,24.5,8.5,17.0,14.0,19.0,13.0,14.0,14.916666666666664,12.05,17.875,14.9625,12.7,13.834848484848486,16.0,13.0,16.0,19.0,11.0,12.0
2010.0,DEN,344.0,5582.0,1018.0,5.5,27.0,196.0,5.3,28.4,27.5,138.0,1.69,27048.0,29.0,15.0,0.5172413793103449,309.0,334.0,580.0,4038.0,25.0,12.0,6.5,204.0,398.0,1544.0,13.0,3.9,81.0,98.0,944.0,24.0,30.6,11.7,-15.18,57.6,4.3,2.1,7.4,7.4,12.9,86.8,40.0,269.0,6.4,6.5,58.91,-64.53,25.0,22.0,3.0,2.0,88.0,97.4,1.0,0.0,0.0,-9.0,-127.0,-671.0,0.6090373280943026,0.3909626719056975,0.7233966320315299,0.2766033679684701,0.6578947368421053,0.3421052631578947,,2.5185185185185186,0.3970588235294117,0.07766990291262135,1.8974358974358976,19.0,13.0,17.5,12.5,16.0,196.0,5.3,28.4,27.5,138.0,1.69,27048.0,29.0,15.0,0.5172413793103449,14.0,15.0,7.0,7.0,15.5,7.5,9.5,6.5,27.0,26.0,14.5,23.5,26.5,18.0,28.0,12.5,20.0,12.5,19.0,25.5,19.0,7.5,8.0,9.0,3.0,14.0,23.5,23.0,9.0,18.5,13.0,,28.5,26.0,8.5,25.0,27.5,29.0,25.0,6.0,27.0,4.0,29.0,17.0,16.0,17.0,29.0,3.0,30.0,14.0,5.0,15.833333333333336,8.95,23.125,16.0375,27.9,24.491322314049594,17.0,8.5,27.0,18.0,29.0,29.0
2011.0,LAR,193.0,4537.0,1013.0,4.5,23.0,196.0,5.3,23.0,26.4,138.0,0.89,27048.0,27.0,13.0,0.4814814814814815,267.0,292.0,549.0,2870.0,9.0,10.0,4.8,159.0,409.0,1667.0,7.0,4.1,79.0,112.0,899.0,29.0,18.9,11.2,-171.88,53.2,1.6,1.8,5.9,5.4,11.2,69.0,55.0,388.0,4.3,9.1,-101.65,-50.48,28.0,21.0,2.0,0.0,75.0,100.0,0.0,0.0,2.0,-5.0,-214.0,-1197.0,0.596248766041461,0.40375123395853896,0.6325765924619793,0.3674234075380207,0.5625,0.4375,,2.0126582278481013,0.4968553459119497,0.10861423220973784,1.4390243902439026,32.0,31.0,19.0,30.5,13.0,196.0,5.3,23.0,26.4,138.0,0.89,27048.0,27.0,13.0,0.4814814814814815,29.0,25.0,16.0,30.0,32.0,4.0,31.0,26.5,23.0,23.0,29.0,19.5,26.5,25.0,22.0,14.5,32.0,10.0,32.0,30.0,32.0,3.0,30.0,28.5,26.0,31.0,32.0,32.0,31.0,30.0,31.0,,23.0,28.0,30.0,13.0,23.0,32.0,30.0,12.0,21.0,22.0,11.0,25.5,7.5,25.5,11.0,16.0,17.0,5.0,27.0,25.91666666666667,21.25,25.0,23.125,28.3,25.89380165289257,29.0,26.5,27.0,31.0,30.0,30.0
2012.0,NE,557.0,6846.0,1191.0,5.7,16.0,185.0,6.6,37.0,28.4,160.0,2.74,29600.0,14.0,7.0,0.5,444.0,402.0,641.0,4662.0,34.0,9.0,7.0,256.0,523.0,2184.0,25.0,4.2,151.0,97.0,840.0,37.0,48.1,8.1,253.91,62.7,5.3,1.4,7.6,8.0,12.0,97.7,27.0,182.0,7.4,4.0,235.67,23.03,35.0,29.0,2.0,2.0,82.9,100.0,1.0,0.0,1.0,25.0,226.0,874.0,0.5608732157850546,0.43912678421494544,0.6809815950920245,0.3190184049079755,0.576271186440678,0.42372881355932196,,1.695364238410596,0.58984375,0.08333333333333333,1.8095238095238089,1.0,1.0,1.0,10.5,3.5,185.0,6.6,37.0,28.4,160.0,2.74,29600.0,14.0,7.0,0.5,1.0,5.5,4.0,4.0,4.0,4.0,5.0,3.0,2.0,7.0,1.0,15.5,1.0,9.0,14.0,4.0,1.0,4.5,1.0,11.0,6.5,1.5,9.5,6.0,9.5,7.0,5.5,5.0,3.5,5.0,1.0,,7.5,10.5,18.0,14.0,1.0,1.0,5.0,20.0,13.0,15.0,18.0,20.0,13.0,20.0,18.0,24.0,9.0,18.0,8.0,4.5,3.95,5.3125,4.63125,5.9,8.551928374655649,2.0,1.0,2.0,1.0,3.0,4.0
2013.0,NE,444.0,6152.0,1138.0,5.4,20.0,201.0,5.9,30.6,30.0,145.0,2.1,29145.0,24.0,9.0,0.375,378.0,380.0,628.0,4087.0,25.0,11.0,6.1,225.0,470.0,2065.0,19.0,4.4,110.0,69.0,625.0,43.0,40.8,10.0,103.33,60.5,4.0,1.8,6.9,6.9,11.4,87.3,40.0,256.0,6.1,6.0,124.17,-19.61,41.0,38.0,6.0,5.0,92.7,100.0,3.0,2.0,0.0,9.0,106.0,183.0,0.5869947275922671,0.4130052724077329,0.6643368010403121,0.3356631989596879,0.5681818181818182,0.43181818181818177,,2.0454545454545454,0.4888888888888889,0.11375661375661375,1.568181818181818,3.0,7.0,2.0,12.0,8.5,201.0,5.9,30.6,30.0,145.0,2.1,29145.0,24.0,9.0,0.375,2.0,4.0,7.0,10.0,13.5,8.0,15.0,5.0,9.0,9.0,2.5,10.0,8.5,2.0,3.0,1.0,4.0,10.0,5.0,16.0,20.0,5.0,17.5,12.5,18.0,15.0,12.5,13.0,13.5,9.0,4.0,,1.5,1.5,6.5,14.0,8.0,8.0,13.0,17.0,16.0,19.0,14.0,27.0,6.0,27.0,14.0,18.0,15.0,9.0,26.0,7.583333333333332,8.65,7.8125,8.23125,10.0,11.035812672176313,5.0,7.0,4.0,3.0,9.0,7.0
2014.0,NE,468.0,5848.0,1073.0,5.5,13.0,181.0,6.1,32.3,30.6,157.0,2.4,28417.0,13.0,4.0,0.3076923076923077,361.0,392.0,609.0,4121.0,34.0,9.0,6.5,228.0,438.0,1727.0,13.0,3.9,96.0,120.0,1080.0,37.0,45.3,7.2,169.27,64.4,5.6,1.5,7.0,7.5,10.9,97.5,26.0,170.0,6.9,4.1,190.36,-6.34,37.0,35.0,1.0,1.0,94.6,100.0,1.0,0.0,0.0,12.0,155.0,342.0,0.5917986952469712,0.4082013047530289,0.7046853625170999,0.2953146374829001,0.7234042553191491,0.276595744680851,,2.375,0.42105263157894735,0.10249307479224376,1.794871794871795,4.0,11.0,5.0,12.5,1.5,181.0,6.1,32.3,30.6,157.0,2.4,28417.0,13.0,4.0,0.3076923076923077,4.5,8.0,7.5,9.0,5.0,4.0,16.0,5.0,13.0,18.0,12.5,23.5,15.0,28.0,30.0,7.0,2.0,3.0,3.0,12.0,5.0,3.5,22.0,7.0,25.5,5.0,4.5,6.0,6.0,3.0,3.0,,5.0,1.0,2.0,13.5,2.5,1.0,10.0,16.0,17.0,15.0,18.0,12.0,21.0,12.0,18.0,12.0,21.0,13.0,15.0,10.083333333333334,7.05,14.3125,10.68125,7.3,9.509504132231404,8.0,5.0,17.0,7.0,4.0,2.0
2015.0,NE,465.0,5991.0,1050.0,5.7,14.0,192.0,5.7,31.2,30.1,151.0,2.34,28992.0,14.0,7.0,0.5,348.0,404.0,629.0,4587.0,36.0,7.0,6.9,230.0,383.0,1404.0,14.0,3.7,87.0,96.0,860.0,31.0,43.2,5.7,127.68,64.2,5.7,1.1,7.7,8.3,11.9,101.9,38.0,225.0,7.5,5.7,167.7,-32.37,36.0,33.0,5.0,4.0,91.7,100.0,0.0,0.0,1.0,7.0,150.0,561.0,0.6352380952380953,0.3647619047619047,0.7656484727090636,0.23435152729093645,0.72,0.28,,2.6436781609195403,0.3782608695652174,0.08908045977011493,2.081081081081081,3.0,6.0,13.0,7.5,1.0,192.0,5.7,31.2,30.1,151.0,2.34,28992.0,14.0,7.0,0.5,5.0,7.0,5.0,5.0,1.5,1.5,7.5,5.0,25.5,30.0,11.0,29.0,20.0,5.5,9.0,18.5,1.0,1.0,4.0,12.0,7.0,1.0,7.5,4.0,9.0,4.0,19.0,14.0,4.0,15.5,4.0,,7.5,4.0,5.5,3.0,6.0,3.0,8.0,8.0,25.0,3.0,30.0,14.0,19.0,14.0,30.0,7.0,26.0,23.0,2.5,8.583333333333334,3.5,20.0625,11.78125,7.9,9.730991735537193,4.0,1.0,22.0,7.0,6.0,5.0
