Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2004.0,PIT,372.0,5184.0,1012.0,5.1,21.0,179.0,5.8,28.9,33.4,182.0,1.88,32578.0,20.0,8.0,0.4,309.0,228.0,358.0,2720.0,20.0,13.0,6.9,147.0,618.0,2464.0,16.0,4.0,134.0,99.0,835.0,28.0,35.8,11.7,19.66,63.7,5.6,3.6,8.3,7.8,13.0,93.2,36.0,250.0,6.4,9.1,56.26,-22.9,33.0,28.0,2.0,2.0,84.8,100.0,1.0,0.0,1.0,11.0,121.0,1050.0,0.3893280632411067,0.6106719367588933,0.5246913580246914,0.4753086419753086,0.5555555555555556,0.4444444444444444,,1.0970149253731345,0.91156462585034,0.0906148867313916,2.075,11.0,16.0,11.0,20.5,5.5,179.0,5.8,28.9,33.4,182.0,1.88,32578.0,20.0,8.0,0.4,11.0,31.0,32.0,28.0,19.0,9.0,8.0,26.0,1.0,2.0,6.5,20.0,3.0,5.0,6.0,15.0,9.0,7.0,12.0,9.0,7.0,22.0,3.5,6.0,3.0,7.0,14.5,21.0,9.0,28.0,11.0,,2.5,4.0,10.0,12.0,5.5,5.0,2.0,32.0,1.0,31.0,2.0,24.0,9.0,24.0,2.0,31.0,2.0,14.0,2.0,11.916666666666664,18.55,5.625,12.0875,3.1,6.476997245179063,11.0,22.0,4.0,10.0,1.0,1.0
2005.0,PIT,389.0,5149.0,960.0,5.4,23.0,183.0,5.4,28.1,33.2,166.0,2.0,30378.0,22.0,9.0,0.4090909090909091,297.0,228.0,379.0,2926.0,21.0,14.0,7.1,144.0,549.0,2223.0,21.0,4.0,120.0,99.0,876.0,33.0,36.1,10.9,81.09,60.2,5.5,3.7,8.2,7.6,13.6,89.4,32.0,178.0,6.6,7.8,130.53,-34.41,29.0,24.0,2.0,0.0,82.8,100.0,0.0,0.0,1.0,7.0,131.0,605.0,0.428125,0.571875,0.5682656826568265,0.4317343173431735,0.5,0.5,,1.2,0.8333333333333334,0.1111111111111111,2.05,9.0,15.5,24.0,9.0,7.5,183.0,5.4,28.1,33.2,166.0,2.0,30378.0,22.0,9.0,0.4090909090909091,17.0,30.0,32.0,24.0,14.0,11.0,2.5,28.0,1.0,5.0,5.0,13.5,5.0,7.0,12.0,9.5,7.0,5.0,6.0,13.0,4.0,27.5,1.0,4.0,1.0,7.0,16.0,8.0,7.0,23.5,2.0,,19.0,16.0,13.0,10.0,9.5,5.0,7.0,32.0,1.0,27.0,6.0,27.5,5.5,27.5,6.0,29.0,4.0,11.0,5.0,10.833333333333336,17.35,5.8125,11.58125,7.3,8.946831955922868,8.0,21.0,4.0,10.0,4.0,3.0
2006.0,PIT,353.0,5725.0,1041.0,5.5,37.0,188.0,5.7,30.3,28.0,161.0,1.77,30268.0,27.0,14.0,0.5185185185185185,327.0,312.0,523.0,3733.0,23.0,23.0,6.5,201.0,469.0,1992.0,16.0,4.2,100.0,69.0,611.0,26.0,31.4,18.1,22.95,59.7,4.4,4.4,7.7,6.6,12.9,80.2,49.0,293.0,5.5,8.6,61.05,-32.16,27.0,20.0,1.0,1.0,74.1,100.0,0.0,0.0,0.0,-8.0,38.0,920.0,0.5494716618635928,0.4505283381364073,0.6520524017467249,0.34794759825327515,0.5897435897435898,0.41025641025641024,,2.01,0.4975124378109453,0.07951070336391437,1.8333333333333333,12.5,7.0,7.0,7.0,29.0,188.0,5.7,30.3,28.0,161.0,1.77,30268.0,27.0,14.0,0.5185185185185185,6.0,17.0,15.0,9.0,12.0,30.0,7.0,5.0,14.5,10.0,8.0,12.0,16.5,2.0,5.0,10.0,16.0,29.0,9.0,17.0,13.0,30.0,6.0,10.5,3.0,15.0,28.0,25.0,13.0,26.0,9.0,,22.5,27.0,26.0,11.5,27.5,11.0,3.0,15.0,18.0,14.0,19.0,19.0,14.0,19.0,19.0,10.0,23.0,16.0,10.0,12.25,13.0,12.6875,12.84375,15.7,14.737741046831957,11.0,12.5,10.5,12.0,17.0,12.0
2007.0,ARI,404.0,5505.0,1016.0,5.4,36.0,197.0,5.3,27.6,32.5,149.0,1.81,29353.0,27.0,12.0,0.4444444444444444,308.0,356.0,590.0,4065.0,32.0,24.0,6.6,210.0,402.0,1440.0,9.0,3.6,70.0,137.0,1128.0,28.0,32.0,18.3,-11.3,60.3,5.4,4.1,7.2,6.4,11.9,83.4,24.0,163.0,5.9,3.9,42.86,-37.14,30.0,21.0,9.0,3.0,70.0,97.9,1.0,0.0,0.0,-7.0,5.0,222.0,0.6043307086614174,0.3956692913385825,0.7384196185286104,0.2615803814713896,0.7804878048780488,0.2195121951219512,,3.0,0.3333333333333333,0.09090909090909093,2.0,7.0,12.0,13.0,14.0,27.5,197.0,5.3,27.6,32.5,149.0,1.81,29353.0,27.0,12.0,0.4444444444444444,11.0,7.0,2.5,5.0,4.5,31.0,9.0,7.5,25.0,29.0,23.0,30.0,28.0,32.0,32.0,3.0,19.0,28.5,18.0,20.0,6.0,30.0,11.0,15.5,6.0,15.0,8.5,8.0,15.0,6.0,12.0,,17.5,26.5,31.0,24.0,23.0,15.0,13.0,9.0,24.0,3.0,30.0,3.0,30.0,3.0,30.0,2.0,31.0,4.0,3.5,16.083333333333332,10.55,25.375,17.9625,15.8,16.97300275482094,17.0,9.5,28.0,20.0,13.5,16.0
2008.0,ARI,427.0,5852.0,998.0,5.9,30.0,178.0,5.8,32.9,30.8,163.0,2.19,29014.0,27.0,15.0,0.5555555555555556,328.0,418.0,630.0,4674.0,31.0,15.0,7.1,231.0,340.0,1178.0,14.0,3.5,72.0,107.0,781.0,25.0,39.3,15.7,88.71,66.3,4.9,2.4,7.7,7.7,11.7,96.1,28.0,201.0,7.0,4.3,169.46,-63.88,28.0,25.0,2.0,1.0,89.3,100.0,5.0,1.0,0.0,0.0,1.0,548.0,0.6593186372745491,0.3406813627254509,0.7987012987012987,0.2012987012987013,0.6888888888888889,0.3111111111111111,,3.208333333333333,0.3116883116883117,0.07621951219512195,2.2,3.5,4.0,15.0,6.0,25.0,178.0,5.8,32.9,30.8,163.0,2.19,29014.0,27.0,15.0,0.5555555555555556,6.0,1.0,2.0,2.0,3.0,18.0,6.5,2.0,32.0,32.0,18.0,31.0,31.0,28.0,22.0,6.0,7.0,25.0,7.0,3.0,5.5,10.0,6.5,4.0,14.5,3.0,11.5,15.0,4.5,7.0,2.0,,23.0,20.5,8.0,13.5,17.5,18.0,11.0,1.0,32.0,1.0,32.0,5.0,28.0,5.0,32.0,1.0,32.0,10.0,1.0,12.666666666666664,4.75,28.0625,16.40625,17.1,17.44944903581267,11.5,1.0,32.0,20.0,19.0,20.0
2009.0,ARI,375.0,5510.0,985.0,5.6,36.0,199.0,5.0,27.6,29.9,144.0,1.78,28656.0,32.0,18.0,0.5625,317.0,392.0,594.0,4016.0,27.0,18.0,6.5,215.0,365.0,1494.0,16.0,4.1,77.0,108.0,886.0,25.0,30.7,17.1,18.29,66.0,4.5,3.0,7.1,6.6,10.7,89.1,26.0,184.0,6.0,4.2,66.48,-40.86,19.0,18.0,0.0,0.0,94.7,97.8,0.0,0.0,0.0,-7.0,50.0,-33.0,0.6294416243654822,0.37055837563451777,0.7288566243194192,0.2711433756805808,0.627906976744186,0.372093023255814,,2.7922077922077917,0.3581395348837209,0.07886435331230282,1.7317073170731707,11.0,14.0,22.0,13.0,31.0,199.0,5.0,27.6,29.9,144.0,1.78,28656.0,32.0,18.0,0.5625,14.0,3.0,3.0,12.0,11.0,21.0,12.0,6.5,32.0,28.0,12.5,21.5,28.5,26.0,27.0,13.0,18.0,30.0,15.0,5.0,14.0,17.0,13.0,14.5,27.0,12.0,6.5,10.0,12.5,6.0,12.0,,32.0,29.5,1.0,22.0,24.5,12.0,17.0,1.0,32.0,4.0,29.0,21.0,12.0,21.0,29.0,2.0,31.0,17.0,12.0,17.25,10.65,24.375,17.5125,16.4,16.128374655647384,18.0,12.0,29.0,21.0,16.5,16.0
2010.0,ARI,289.0,4309.0,931.0,4.6,35.0,190.0,5.0,22.7,29.7,133.0,1.15,25270.0,33.0,16.0,0.4848484848484849,241.0,285.0,561.0,2921.0,10.0,19.0,4.8,154.0,320.0,1388.0,9.0,4.3,67.0,108.0,870.0,20.0,23.7,15.8,-170.67,50.8,1.8,3.4,5.8,4.7,11.5,60.5,50.0,343.0,3.7,8.2,-140.71,-23.61,27.0,24.0,3.0,2.0,88.9,100.0,2.0,1.0,0.0,-5.0,-145.0,-1668.0,0.6562835660580022,0.3437164339419978,0.6778834996518914,0.32211650034810857,0.5263157894736842,0.4736842105263158,,2.298507462686567,0.43506493506493504,0.08298755186721991,1.3488372093023255,26.5,31.0,30.0,30.5,28.0,190.0,5.0,22.7,29.7,133.0,1.15,25270.0,33.0,16.0,0.4848484848484849,31.0,26.0,11.5,31.0,31.0,21.0,31.0,29.5,32.0,32.0,26.0,12.0,32.0,26.0,20.0,23.5,31.0,24.5,31.0,32.0,32.0,22.5,31.0,31.0,18.5,31.0,30.5,29.0,31.0,29.0,31.0,,24.5,19.0,7.0,12.5,22.0,31.0,32.0,1.0,32.0,12.0,21.0,28.0,5.0,28.0,21.0,9.0,24.0,11.0,31.0,26.58333333333333,25.4,27.625,26.5125,28.5,26.080578512396695,31.0,31.0,32.0,32.0,30.0,31.0
2011.0,ARI,312.0,5192.0,993.0,5.2,32.0,199.0,5.1,26.0,25.6,138.0,1.45,27462.0,24.0,9.0,0.375,286.0,307.0,550.0,3567.0,21.0,23.0,5.9,175.0,389.0,1625.0,12.0,4.2,83.0,106.0,1004.0,28.0,26.1,15.6,-44.97,55.8,3.8,4.2,7.2,6.1,12.9,73.9,54.0,387.0,4.9,8.9,-29.51,-9.59,24.0,19.0,2.0,1.0,79.2,100.0,2.0,0.0,0.0,-13.0,-36.0,-490.0,0.6082578046324271,0.3917421953675729,0.6870184899845917,0.3129815100154083,0.6363636363636364,0.3636363636363637,,2.108433734939759,0.4742857142857143,0.0979020979020979,1.7142857142857142,24.0,19.0,24.5,18.5,28.0,199.0,5.1,26.0,25.6,138.0,1.45,27462.0,24.0,9.0,0.375,20.5,21.0,15.0,17.0,15.0,27.5,20.0,18.5,28.0,24.0,17.0,16.5,25.0,21.0,26.0,17.0,26.0,25.5,22.0,29.0,22.5,28.5,15.0,19.5,7.0,23.0,31.0,31.0,22.5,27.5,23.0,,31.5,30.5,22.5,13.0,28.5,21.0,25.0,6.0,27.0,12.0,21.0,18.5,14.5,18.5,21.0,15.0,18.0,10.0,15.0,21.33333333333333,17.45,21.1875,19.31875,26.5,22.722451790633613,23.0,20.0,25.0,24.0,29.0,29.0
2012.0,ARI,250.0,4209.0,1018.0,4.1,34.0,209.0,5.0,20.1,30.4,135.0,1.06,28215.0,25.0,13.0,0.52,246.0,337.0,608.0,3005.0,11.0,21.0,4.5,168.0,352.0,1204.0,10.0,3.4,58.0,102.0,857.0,20.0,22.0,14.8,-230.4,55.4,1.8,3.5,5.6,4.4,10.0,63.1,58.0,378.0,3.4,8.7,-155.0,-68.3,28.0,25.0,2.0,2.0,89.3,100.0,0.0,0.0,0.0,-1.0,-107.0,-1196.0,0.6542239685658153,0.3457760314341847,0.7139463055357567,0.2860536944642433,0.5238095238095238,0.4761904761904762,,2.896551724137931,0.34523809523809523,0.08130081300813008,1.6470588235294117,31.0,32.0,15.0,32.0,28.5,209.0,5.0,20.1,30.4,135.0,1.06,28215.0,25.0,13.0,0.52,32.0,14.0,9.0,28.0,31.0,32.0,32.0,24.0,32.0,32.0,22.5,32.0,32.0,16.5,17.5,31.0,32.0,24.0,32.0,29.0,31.0,30.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0,31.5,32.0,,25.5,21.5,8.5,14.0,18.5,27.0,31.0,3.0,30.0,7.0,26.0,28.0,5.0,28.0,26.0,5.0,28.0,22.0,21.0,31.25,25.0,28.6875,26.84375,22.4,21.25785123966942,32.0,30.0,32.0,32.0,23.5,25.0
2013.0,LAC,396.0,6293.0,1060.0,5.9,21.0,167.0,6.6,37.7,27.3,193.0,2.33,32231.0,14.0,10.0,0.7142857142857143,373.0,378.0,544.0,4328.0,32.0,11.0,7.5,230.0,486.0,1965.0,9.0,4.0,104.0,95.0,765.0,39.0,44.9,11.4,178.64,69.5,5.9,2.0,8.2,8.5,11.8,105.5,30.0,150.0,7.8,5.2,203.42,-10.93,37.0,34.0,2.0,2.0,91.9,100.0,0.0,0.0,0.0,-4.0,48.0,429.0,0.5415094339622641,0.4584905660377359,0.6877482917527411,0.3122517082472589,0.7804878048780488,0.2195121951219512,,2.2115384615384617,0.4521739130434783,0.10455764075067024,2.05,12.0,5.0,12.0,5.5,11.0,167.0,6.6,37.7,27.3,193.0,2.33,32231.0,14.0,10.0,0.7142857142857143,3.0,6.0,22.0,4.0,6.0,8.0,2.0,3.0,6.0,13.0,25.5,22.0,14.0,12.0,9.0,4.5,2.0,13.0,2.0,1.0,5.0,8.5,4.0,4.0,12.5,2.0,4.5,2.0,2.5,5.5,2.0,,4.5,4.0,9.0,14.0,20.5,12.0,9.0,26.0,7.0,15.0,18.0,4.0,29.0,4.0,18.0,12.0,21.0,11.0,5.0,9.166666666666666,4.95,17.375,11.1625,9.7,13.367217630853991,7.0,3.0,19.0,5.0,8.0,10.0
