Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2008.0,HOU,366.0,6113.0,1019.0,6.0,32.0,173.0,6.1,35.3,29.8,178.0,2.0,30794.0,28.0,12.0,0.42857142857142855,340.0,367.0,555.0,4267.0,21.0,20.0,7.3,210.0,432.0,1846.0,16.0,4.3,106.0,80.0,664.0,24.0,38.2,17.3,76.37,66.1,3.8,3.6,8.1,7.2,12.2,88.4,32.0,207.0,6.5,5.5,71.31,17.97,33.0,29.0,3.0,2.0,87.9,100.0,2.0,1.0,0.0,-10.0,-28.0,728.0,0.5760549558390579,0.4239450441609421,0.6980206118108948,0.3019793881891052,0.5675675675675675,0.4324324324324325,,1.9811320754716983,0.5047619047619047,0.07058823529411765,1.8837209302325584,17.0,3.0,8.5,4.0,30.0,173.0,6.1,35.3,29.8,178.0,2.0,30794.0,28.0,12.0,0.42857142857142855,4.0,5.0,7.0,4.0,14.0,30.0,4.5,5.0,16.0,13.0,12.0,11.5,12.0,11.0,13.0,8.0,9.0,30.0,9.0,4.0,17.0,25.0,2.0,8.0,5.5,8.0,16.5,16.0,10.0,17.0,9.0,,14.0,10.0,12.0,13.5,29.0,21.0,8.0,11.0,22.0,5.0,28.0,20.0,13.0,20.0,28.0,9.0,24.0,13.0,6.0,11.666666666666664,10.3,14.0,12.15,16.2,16.82382920110193,10.0,10.0,11.0,8.0,17.5,18.0
2009.0,HOU,388.0,6129.0,1043.0,5.9,28.0,187.0,5.7,32.8,30.2,164.0,1.91,30668.0,21.0,11.0,0.5238095238095238,340.0,399.0,593.0,4654.0,29.0,17.0,7.5,231.0,425.0,1475.0,13.0,3.5,93.0,95.0,833.0,16.0,33.7,15.0,73.01,67.3,4.9,2.9,8.1,7.8,12.0,96.3,25.0,149.0,7.2,4.0,140.88,-60.27,32.0,21.0,4.0,2.0,65.6,97.7,2.0,1.0,2.0,-1.0,55.0,931.0,0.5925215723873442,0.4074784276126559,0.7593408386359928,0.2406591613640072,0.6904761904761905,0.30952380952380953,,2.4838709677419355,0.4025974025974026,0.047058823529411764,2.3142857142857136,10.0,4.0,6.0,5.5,17.0,187.0,5.7,32.8,30.2,164.0,1.91,30668.0,21.0,11.0,0.5238095238095238,4.0,2.0,4.0,1.0,5.5,18.0,3.0,2.0,20.0,30.0,18.0,30.5,18.0,17.0,21.0,30.0,13.0,20.0,8.0,3.0,8.5,15.0,5.5,7.5,8.0,7.0,5.0,6.0,6.5,5.0,6.0,,8.0,23.0,28.0,23.5,19.0,11.0,7.0,9.0,24.0,2.0,31.0,11.0,22.0,11.0,31.0,5.0,28.0,32.0,2.0,11.416666666666664,5.55,22.9375,14.24375,10.0,12.369146005509641,11.0,5.5,24.0,14.0,9.0,10.0
2010.0,WAS,302.0,5392.0,1002.0,5.4,31.0,205.0,5.1,26.0,28.8,135.0,1.38,27675.0,29.0,12.0,0.4137931034482759,295.0,349.0,605.0,3931.0,21.0,19.0,6.0,194.0,351.0,1461.0,9.0,4.2,72.0,90.0,647.0,29.0,26.3,14.6,-67.32,57.7,3.5,3.1,7.1,6.4,12.3,78.1,46.0,348.0,5.4,7.1,-14.25,-36.32,35.0,24.0,3.0,0.0,68.6,100.0,4.0,2.0,0.0,-4.0,-75.0,-836.0,0.6497005988023952,0.35029940119760483,0.7290430267062314,0.2709569732937685,0.7,0.30000000000000004,,2.6944444444444446,0.3711340206185567,0.09830508474576273,1.6904761904761902,25.0,18.0,19.0,14.5,23.0,205.0,5.1,26.0,28.8,135.0,1.38,27675.0,29.0,12.0,0.4137931034482759,20.5,11.0,4.0,8.0,22.0,21.0,17.5,12.0,31.0,30.0,26.0,15.5,31.0,12.5,5.0,4.5,28.0,18.0,25.0,23.5,25.0,17.0,15.5,18.0,7.5,22.0,28.0,31.0,20.5,23.0,24.0,,7.0,19.0,32.0,12.5,20.0,27.0,26.0,2.0,31.0,3.0,30.0,9.0,24.0,9.0,30.0,2.0,31.0,5.0,16.0,19.916666666666668,13.65,26.4375,20.04375,24.2,22.513223140495867,21.0,17.0,31.0,25.0,27.0,27.0
2011.0,WAS,288.0,5387.0,1032.0,5.2,35.0,188.0,5.7,28.6,29.1,155.0,1.5,29140.0,25.0,11.0,0.44,312.0,346.0,591.0,3773.0,19.0,24.0,6.0,204.0,400.0,1614.0,8.0,4.0,79.0,91.0,897.0,29.0,30.9,18.6,-43.52,58.5,3.2,4.1,6.9,5.7,11.7,73.3,41.0,285.0,4.9,6.5,-14.58,-22.34,41.0,31.0,6.0,4.0,75.6,96.2,2.0,1.0,0.0,-14.0,-79.0,-50.0,0.6124031007751938,0.3875968992248062,0.7003898273621681,0.29961017263783185,0.7037037037037037,0.2962962962962963,,2.5822784810126582,0.3872549019607843,0.09294871794871797,1.725,26.0,16.0,9.0,18.5,30.0,188.0,5.7,28.6,29.1,155.0,1.5,29140.0,25.0,11.0,0.44,15.5,12.0,5.0,14.0,23.0,29.5,16.5,10.0,25.0,25.0,27.0,23.0,26.5,7.5,21.0,14.5,21.0,31.0,21.0,21.0,25.0,26.5,19.0,24.5,18.0,27.0,21.5,25.0,22.5,19.0,21.0,,2.0,6.5,29.0,32.0,30.5,24.0,16.0,5.0,28.0,9.0,24.0,8.0,25.0,8.0,24.0,4.0,29.0,17.0,14.0,21.166666666666668,17.1,25.125,21.1125,21.5,20.28581267217631,22.0,19.0,28.0,27.0,24.0,24.0
2012.0,WAS,436.0,6131.0,994.0,6.2,14.0,183.0,5.6,33.6,27.5,164.0,2.23,30012.0,26.0,6.0,0.2307692307692308,341.0,291.0,442.0,3422.0,24.0,8.0,7.2,171.0,519.0,2709.0,22.0,5.2,144.0,116.0,985.0,26.0,39.3,7.7,130.52,65.8,5.4,1.8,8.3,8.6,12.6,102.1,33.0,244.0,7.5,6.9,94.01,49.66,30.0,24.0,3.0,1.0,80.0,98.0,1.0,1.0,0.0,17.0,48.0,88.0,0.4778672032193159,0.5221327967806841,0.5581471211874083,0.4418528788125917,0.5217391304347826,0.4782608695652174,,1.1875,0.8421052631578947,0.07624633431085044,1.5961538461538465,4.0,5.0,23.5,1.5,1.0,183.0,5.6,33.6,27.5,164.0,2.23,30012.0,26.0,6.0,0.2307692307692308,8.0,26.0,30.0,20.0,14.0,2.0,2.5,22.5,3.0,1.0,2.0,2.0,2.0,29.0,30.0,18.0,6.5,1.0,7.0,6.0,5.0,3.5,1.0,1.5,4.0,3.0,12.5,19.5,2.0,21.0,12.0,,23.5,24.5,25.0,28.0,3.0,12.0,13.0,31.0,2.0,29.0,4.0,29.0,4.0,29.0,4.0,31.0,2.0,24.0,26.0,3.75,12.3,2.375,7.3375,11.0,12.341597796143253,1.0,11.0,1.0,2.0,10.0,10.0
2013.0,WAS,334.0,5915.0,1107.0,5.3,34.0,199.0,5.7,29.5,25.3,149.0,1.51,29651.0,30.0,15.0,0.5,329.0,355.0,611.0,3751.0,20.0,19.0,5.7,198.0,453.0,2164.0,14.0,4.8,112.0,99.0,802.0,19.0,27.6,16.6,-43.76,58.1,3.3,3.1,6.6,5.9,11.4,76.1,43.0,306.0,5.0,6.6,-27.01,-8.25,26.0,21.0,3.0,1.0,80.8,100.0,5.0,2.0,0.0,-8.0,-144.0,250.0,0.5907859078590786,0.4092140921409214,0.6341504649196957,0.36584953508030427,0.5882352941176471,0.4117647058823529,,1.7678571428571428,0.5656565656565656,0.05775075987841945,1.375,23.0,9.0,4.0,17.0,30.5,199.0,5.7,29.5,25.3,149.0,1.51,29651.0,30.0,15.0,0.5,11.5,17.0,9.0,16.0,24.0,21.5,23.5,15.5,13.0,5.0,14.5,3.0,7.0,16.0,15.0,29.5,27.0,30.0,23.0,26.0,25.0,22.0,25.0,24.0,18.0,23.0,18.0,24.0,22.0,14.0,25.0,,27.5,29.0,24.5,14.0,25.5,30.0,11.0,16.0,17.0,23.0,10.0,24.0,9.0,24.0,10.0,22.0,11.0,31.0,31.0,16.75,18.1,11.5,14.8,21.9,21.258539944903585,17.0,19.0,11.0,16.0,24.0,24.0
2014.0,CLE,299.0,5193.0,1010.0,5.1,23.0,193.0,5.4,26.8,26.8,140.0,1.44,27020.0,17.0,7.0,0.4117647058823529,294.0,274.0,502.0,3465.0,12.0,16.0,6.5,179.0,477.0,1728.0,17.0,3.6,88.0,116.0,932.0,27.0,28.0,10.9,-32.0,54.6,2.4,3.2,7.3,6.4,13.4,72.8,31.0,213.0,5.6,5.8,23.61,-47.08,32.0,25.0,3.0,1.0,78.1,100.0,2.0,0.0,1.0,6.0,-38.0,-664.0,0.5277227722772277,0.4722772277227722,0.6672443674176777,0.3327556325823223,0.4137931034482759,0.5862068965517242,,2.034090909090909,0.4916201117318436,0.09183673469387756,2.0277777777777777,27.0,23.0,19.0,26.5,15.5,193.0,5.4,26.8,26.8,140.0,1.44,27020.0,17.0,7.0,0.4117647058823529,24.0,32.0,26.0,20.0,32.0,21.0,16.0,22.0,6.0,17.0,4.0,29.0,19.5,23.0,17.5,24.0,27.0,11.0,25.0,32.0,32.0,26.5,13.5,24.5,1.0,31.0,13.5,15.0,23.0,15.0,21.0,,16.0,19.0,28.0,13.5,9.5,25.0,26.0,27.0,6.0,20.0,13.0,32.0,1.0,32.0,13.0,20.0,13.0,19.0,4.0,22.41666666666667,21.9,12.9375,17.41875,22.0,20.81267217630854,26.0,28.0,14.0,21.0,26.0,26.0
2015.0,ATL,339.0,5985.0,1073.0,5.6,30.0,174.0,6.3,34.2,27.0,178.0,1.84,30972.0,26.0,13.0,0.5,359.0,410.0,621.0,4379.0,21.0,17.0,6.7,230.0,420.0,1606.0,13.0,3.8,95.0,100.0,969.0,34.0,34.5,17.2,60.21,66.0,3.4,2.7,7.4,6.9,11.2,87.8,32.0,220.0,6.2,4.9,132.47,-62.96,31.0,25.0,3.0,3.0,80.6,100.0,3.0,1.0,0.0,-7.0,-6.0,423.0,0.608574091332712,0.391425908667288,0.7316624895572263,0.26833751044277365,0.6176470588235294,0.38235294117647056,,2.421052631578948,0.4130434782608696,0.0947075208913649,1.947368421052632,21.5,7.0,7.0,10.5,27.0,174.0,6.3,34.2,27.0,178.0,1.84,30972.0,26.0,13.0,0.5,3.0,5.0,8.0,6.0,24.0,24.5,10.0,5.0,16.0,19.0,13.0,26.0,13.0,8.0,22.0,13.0,17.0,31.0,10.0,8.0,25.0,23.0,12.0,20.0,20.5,21.0,9.0,12.0,17.5,9.0,7.0,,16.5,19.5,29.0,3.0,27.0,15.0,10.0,15.0,18.0,7.0,26.0,25.5,7.5,25.5,26.0,13.0,20.0,18.0,7.0,15.75,12.95,18.5,15.725,13.6,15.316528925619837,13.0,13.0,19.0,18.0,10.0,13.0
2016.0,ATL,540.0,6653.0,995.0,6.7,11.0,204.0,5.9,38.7,29.5,170.0,2.98,34680.0,8.0,4.0,0.5,379.0,374.0,537.0,4725.0,38.0,7.0,8.2,239.0,421.0,1928.0,20.0,4.6,108.0,104.0,848.0,32.0,52.9,5.9,299.18,69.6,7.1,1.3,9.2,10.1,13.3,116.8,37.0,235.0,9.0,6.4,286.22,20.78,37.0,34.0,8.0,6.0,91.9,98.2,6.0,2.0,0.0,11.0,134.0,714.0,0.5768844221105528,0.4231155778894472,0.7102059221403878,0.2897940778596122,0.6551724137931034,0.3448275862068966,,2.212962962962963,0.4518828451882845,0.08443271767810026,2.0,1.0,2.0,26.0,1.0,1.5,204.0,5.9,38.7,29.5,170.0,2.98,34680.0,8.0,4.0,0.5,2.0,12.0,26.0,3.0,2.5,5.0,1.0,2.0,12.0,5.0,3.5,5.0,7.0,13.5,9.5,13.5,1.0,2.0,1.0,3.0,1.0,5.5,1.0,1.0,1.0,1.0,21.5,19.0,1.0,24.0,1.0,,6.5,4.5,3.0,6.0,4.5,2.0,4.0,22.0,11.0,12.0,21.0,13.5,19.5,13.5,21.0,18.0,15.0,22.0,4.5,2.083333333333333,3.65,5.375,4.5125,3.9,8.656611570247932,1.0,1.0,3.0,1.0,2.0,2.0
Mean year,,365.77777777777777,5877.555555555556,1030.5555555555557,5.711111111111112,26.444444444444443,189.55555555555554,5.722222222222221,31.72222222222222,28.222222222222225,159.22222222222223,1.8655555555555554,30068.0,23.333333333333332,10.11111111111111,0.438745332497868,332.1111111111111,351.6666666666667,561.8888888888889,4040.777777777778,22.77777777777778,16.333333333333332,6.78888888888889,206.22222222222223,433.1111111111111,1836.7777777777778,14.666666666666666,4.222222222222222,99.66666666666667,99.0,841.8888888888889,26.22222222222222,34.599999999999994,13.755555555555558,50.2988888888889,62.63333333333334,4.111111111111111,2.8666666666666667,7.666666666666667,7.2222222222222205,12.233333333333334,87.96666666666664,35.55555555555556,245.22222222222223,6.366666666666667,5.966666666666666,76.96222222222224,-16.534444444444446,33.0,26.0,4.0,2.2222222222222223,78.78888888888889,98.9,3.0,1.2222222222222223,0.3333333333333333,-1.1111111111111112,-14.777777777777779,176.0,0.5791682916225419,0.420831708377458,0.6875782966375203,0.31242170336247965,0.6064816069294222,0.39351839307057773,,2.1516877350178554,0.4922284993260118,0.0793194365522914,1.839975875553191,17.166666666666668,9.666666666666666,13.555555555555555,11.0,19.5,189.55555555555554,5.722222222222221,31.72222222222222,28.222222222222225,159.22222222222223,1.8655555555555554,30068.0,23.333333333333332,10.11111111111111,0.438745332497868,10.277777777777779,13.555555555555555,13.222222222222221,10.222222222222221,17.88888888888889,19.166666666666668,10.5,10.666666666666666,15.777777777777779,16.11111111111111,13.333333333333334,16.166666666666668,15.11111111111111,15.277777777777779,17.11111111111111,17.22222222222222,16.61111111111111,19.333333333333332,14.333333333333334,14.055555555555555,18.166666666666668,18.22222222222222,10.5,14.333333333333334,9.277777777777779,15.88888888888889,16.166666666666668,18.61111111111111,13.88888888888889,16.333333333333332,14.0,,13.444444444444445,17.22222222222222,23.38888888888889,16.22222222222222,18.666666666666668,18.555555555555557,13.444444444444445,15.333333333333334,17.666666666666668,12.222222222222221,20.77777777777778,19.11111111111111,13.88888888888889,19.11111111111111,20.77777777777778,13.777777777777779,19.22222222222222,20.11111111111111,12.277777777777779,13.87962962962963,12.833333333333336,15.465277777777779,14.149305555555555,16.033333333333335,16.708662381389654,13.555555555555555,13.722222222222221,15.777777777777779,14.666666666666666,16.61111111111111,17.11111111111111
