Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
1997.0,SF,375.0,5112.0,999.0,5.1,20.0,,,,,,,,22.0,9.0,0.4090909090909091,294.0,278.0,432.0,3143.0,20.0,11.0,6.6,167.0,523.0,1969.0,16.0,3.8,106.0,115.0,979.0,21.0,0.0,0.0,,64.4,4.6,2.5,7.9,7.7,12.3,93.6,44.0,289.0,6.4,9.2,,,36.0,29.0,3.0,1.0,80.6,100.0,3.0,2.0,0.0,21.0,110.0,1099.0,0.4764764764764765,0.5235235235235236,0.6148278560250391,0.3851721439749609,0.5555555555555556,0.4444444444444444,,1.5754716981132075,0.6347305389221557,0.07142857142857142,2.0789473684210527,5.5,12.0,23.0,11.5,3.5,,,,,,,,22.0,9.0,0.4090909090909091,15.0,23.0,28.0,18.0,15.5,7.0,3.0,20.0,4.0,8.0,8.0,18.0,8.0,23.0,24.0,21.5,15.5,15.5,,1.0,9.0,10.5,1.0,2.5,11.5,1.0,19.0,18.0,4.0,24.0,,,7.0,4.0,12.0,11.0,2.0,4.0,2.0,28.0,3.0,23.0,8.0,20.0,11.0,20.0,8.0,21.0,10.0,23.0,2.0,9.5,12.85,8.5,10.675,,,8.0,14.0,7.0,7.0,,
1998.0,SF,479.0,6800.0,1100.0,6.2,30.0,219.0,5.6,33.5,31.0,154.0,2.37,33726.0,22.0,15.0,0.6818181818181818,381.0,347.0,556.0,4256.0,41.0,15.0,7.0,223.0,491.0,2544.0,19.0,5.2,129.0,133.0,1156.0,29.0,39.3,15.5,,62.4,7.4,2.7,8.1,8.4,13.0,101.2,53.0,254.0,7.2,8.7,,,27.0,18.0,0.0,0.0,66.7,96.1,7.0,5.0,0.0,3.0,151.0,1457.0,0.5536363636363636,0.4463636363636364,0.6258823529411764,0.3741176470588236,0.6833333333333333,0.31666666666666665,,1.7286821705426356,0.5784753363228701,0.07611548556430446,1.5576923076923077,3.0,1.0,1.0,1.5,16.5,219.0,5.6,33.5,31.0,154.0,2.37,33726.0,22.0,15.0,0.6818181818181818,1.0,2.0,6.0,2.0,1.5,12.5,4.0,1.0,7.0,1.0,4.0,1.0,2.0,28.0,28.0,13.0,3.0,19.0,,2.0,2.0,8.5,3.0,3.0,6.0,2.0,24.0,17.0,2.0,23.0,,,19.5,27.0,27.5,26.0,11.5,4.0,1.0,16.0,15.0,19.0,12.0,12.0,19.0,12.0,12.0,14.0,17.0,25.0,25.0,4.416666666666667,3.4,5.3125,4.35625,7.1,9.92190082644628,3.0,1.0,2.0,1.0,6.5,8.0
1999.0,SF,295.0,5380.0,1012.0,5.3,32.0,182.0,5.7,29.5,28.5,160.0,1.42,29120.0,29.0,13.0,0.4482758620689655,300.0,324.0,560.0,3285.0,14.0,19.0,5.5,172.0,418.0,2095.0,14.0,5.0,102.0,120.0,1045.0,26.0,26.9,15.9,,57.9,2.5,3.4,6.3,5.3,10.9,70.7,34.0,241.0,4.6,5.7,,,23.0,21.0,1.0,1.0,91.3,96.8,2.0,1.0,1.0,-12.0,-158.0,-307.0,0.5869565217391305,0.4130434782608695,0.6105947955390335,0.3894052044609665,0.5,0.5,,1.6862745098039216,0.5930232558139535,0.08666666666666667,1.26,22.0,10.0,18.0,7.5,17.0,182.0,5.7,29.5,28.5,160.0,1.42,29120.0,29.0,13.0,0.4482758620689655,13.0,10.5,7.0,21.0,29.0,20.5,21.5,17.0,22.0,1.0,8.0,1.0,12.5,27.0,29.0,11.0,20.0,21.0,,14.0,29.0,19.0,23.0,25.5,25.5,26.0,8.5,15.5,22.5,9.0,,,29.0,21.5,1.0,23.5,29.0,28.0,22.0,10.0,22.0,25.0,7.0,29.0,3.0,29.0,7.0,18.0,14.0,14.0,30.0,14.083333333333336,19.0,9.0625,14.03125,24.5,22.134297520661157,14.0,22.5,7.0,14.0,28.0,28.0
2000.0,SF,388.0,6040.0,1024.0,5.9,19.0,181.0,5.8,33.3,30.6,159.0,2.07,28779.0,22.0,9.0,0.4090909090909091,334.0,366.0,583.0,4239.0,32.0,10.0,7.0,211.0,416.0,1801.0,15.0,4.3,98.0,134.0,1135.0,25.0,34.3,10.5,114.25,62.8,5.5,1.7,7.5,7.9,12.0,97.0,25.0,161.0,7.3,4.1,132.43,-10.85,22.0,15.0,1.0,0.0,68.2,95.6,4.0,3.0,0.0,2.0,-34.0,331.0,0.59375,0.40625,0.7018211920529801,0.2981788079470199,0.6808510638297872,0.3191489361702128,,2.153061224489796,0.4644549763033176,0.0748502994011976,1.7441860465116281,6.5,4.0,13.0,4.5,1.0,181.0,5.8,33.3,30.6,159.0,2.07,28779.0,22.0,9.0,0.4090909090909091,5.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,21.0,18.0,10.0,9.0,19.0,31.0,31.0,18.0,7.0,3.5,4.0,2.0,5.0,1.0,6.0,2.5,10.0,2.0,3.0,5.0,2.0,3.0,3.0,,29.0,29.0,27.0,28.0,13.5,21.0,14.0,11.0,21.0,7.0,25.0,9.0,23.0,9.0,25.0,9.0,23.0,22.0,14.0,5.083333333333333,3.1,13.5625,8.33125,16.7,17.397520661157028,3.0,1.0,15.0,3.0,20.0,21.0
2001.0,DET,270.0,4994.0,1026.0,4.9,38.0,188.0,5.6,26.4,28.4,146.0,1.3,27448.0,24.0,14.0,0.5833333333333334,289.0,343.0,609.0,3596.0,18.0,24.0,5.3,184.0,351.0,1398.0,8.0,4.0,74.0,116.0,1081.0,31.0,25.0,19.7,-96.62,56.3,3.0,3.9,6.5,5.3,11.6,69.6,66.0,373.0,4.3,9.8,-42.39,-41.8,30.0,21.0,7.0,4.0,70.0,100.0,7.0,2.0,0.0,-16.0,-154.0,-527.0,0.6578947368421053,0.3421052631578947,0.7200640768922707,0.2799359231077293,0.6923076923076923,0.3076923076923077,,2.4864864864864864,0.4021739130434783,0.10726643598615918,1.625,26.0,16.0,10.5,21.0,28.0,188.0,5.6,26.4,28.4,146.0,1.3,27448.0,24.0,14.0,0.5833333333333334,15.5,5.0,1.0,6.0,19.0,29.5,26.0,8.0,31.0,28.0,27.5,17.0,29.0,28.0,31.0,2.0,26.0,29.0,25.0,25.0,26.5,22.5,22.5,27.0,13.5,28.0,31.0,29.0,27.5,28.0,26.0,,19.0,21.5,23.0,8.0,30.0,29.0,27.0,1.0,31.0,1.0,31.0,6.5,25.5,6.5,31.0,2.0,30.0,2.0,16.0,21.416666666666668,13.75,26.4375,20.09375,27.9,24.816391184573003,26.0,14.0,31.0,29.0,31.0,31.0
2002.0,DET,306.0,4471.0,955.0,4.7,31.0,196.0,5.0,22.8,31.7,128.0,1.35,25088.0,14.0,6.0,0.42857142857142855,242.0,277.0,577.0,2994.0,19.0,25.0,5.0,150.0,358.0,1477.0,9.0,4.1,69.0,104.0,916.0,23.0,26.0,14.8,-138.8,48.0,3.3,4.3,5.5,4.2,11.4,57.9,20.0,174.0,3.8,3.4,-98.44,-33.88,28.0,23.0,3.0,0.0,82.1,100.0,3.0,1.0,0.0,-7.0,-145.0,-1646.0,0.625130890052356,0.37486910994764394,0.6696488481324089,0.3303511518675911,0.6785714285714286,0.3214285714285714,,2.1739130434782608,0.46,0.0950413223140496,1.3414634146341464,26.0,28.0,28.0,27.0,20.0,196.0,5.0,22.8,31.7,128.0,1.35,25088.0,14.0,6.0,0.42857142857142855,29.0,25.0,9.0,25.0,21.5,31.0,29.5,27.0,31.0,29.0,27.0,18.0,31.0,16.5,23.0,23.0,26.0,16.0,29.0,32.0,25.5,30.5,31.5,32.0,14.0,32.0,1.0,6.0,30.0,1.0,30.0,,20.0,18.0,7.5,11.0,24.0,30.0,31.0,3.0,30.0,12.0,21.0,10.0,23.0,10.0,21.0,6.0,27.0,13.0,30.0,25.08333333333333,23.8,24.3125,24.05625,25.5,24.02203856749311,28.0,28.0,28.0,28.0,27.0,28.0
2006.0,PHI,398.0,6103.0,988.0,6.2,24.0,183.0,5.5,33.2,30.0,152.0,1.98,27816.0,26.0,15.0,0.5769230769230769,312.0,323.0,544.0,4119.0,31.0,9.0,7.2,189.0,416.0,1984.0,13.0,4.8,106.0,112.0,983.0,17.0,33.9,11.5,83.65,59.4,5.7,1.7,7.9,8.3,13.3,96.7,28.0,190.0,7.6,4.9,83.24,17.96,23.0,18.0,0.0,0.0,78.3,100.0,1.0,1.0,0.0,5.0,70.0,854.0,0.5789473684210527,0.42105263157894735,0.6749139767327543,0.3250860232672457,0.7045454545454546,0.2954545454545454,,1.7830188679245282,0.5608465608465608,0.05448717948717949,1.6458333333333337,6.0,2.0,22.0,1.0,9.5,183.0,5.5,33.2,30.0,152.0,1.98,27816.0,26.0,15.0,0.5769230769230769,9.5,13.0,8.0,3.0,1.5,3.0,3.0,8.0,27.0,11.0,15.5,5.0,11.0,27.5,32.0,29.5,10.0,7.5,4.0,19.0,1.0,3.0,3.5,1.5,1.0,2.0,8.5,11.5,2.0,8.0,8.0,,31.0,30.5,19.0,11.5,9.0,8.0,5.0,9.0,24.0,10.0,23.0,3.0,30.0,3.0,23.0,15.0,18.0,31.0,18.0,5.833333333333332,3.95,15.3125,9.63125,12.3,13.037052341597796,3.0,3.0,17.0,4.0,9.0,8.0
2007.0,PHI,336.0,5729.0,1047.0,5.5,27.0,182.0,5.9,31.5,29.2,163.0,1.86,29666.0,24.0,12.0,0.5,323.0,350.0,577.0,3755.0,24.0,15.0,6.0,186.0,421.0,1974.0,12.0,4.7,118.0,83.0,649.0,19.0,34.1,13.2,49.64,60.7,4.2,2.6,6.9,6.6,11.4,84.6,49.0,250.0,5.7,7.8,36.73,20.15,32.0,24.0,4.0,1.0,75.0,100.0,2.0,0.0,0.0,-8.0,36.0,747.0,0.5978987583572111,0.4021012416427889,0.6554372490836097,0.3445627509163903,0.6666666666666666,0.33333333333333337,,1.5762711864406782,0.6344086021505376,0.05882352941176471,1.4680851063829787,17.0,6.0,5.0,10.5,13.0,182.0,5.9,31.5,29.2,163.0,1.86,29666.0,24.0,12.0,0.5,5.5,9.0,7.0,10.0,12.5,12.5,17.5,15.0,20.0,8.0,16.5,2.0,6.5,12.0,10.0,20.5,10.0,12.0,8.0,17.0,14.5,8.5,15.5,10.5,12.5,13.0,28.0,21.0,16.0,24.5,13.0,,12.5,18.0,27.5,12.0,25.0,11.0,7.0,10.0,23.0,17.0,16.0,17.0,16.0,17.0,16.0,24.0,9.0,22.5,28.0,10.166666666666666,10.55,11.6875,11.11875,15.8,14.755371900826447,7.0,9.5,11.0,6.0,13.5,13.0
2008.0,PHI,416.0,5608.0,1056.0,5.3,26.0,200.0,5.5,28.0,31.2,151.0,1.83,30200.0,16.0,10.0,0.625,318.0,362.0,606.0,3911.0,23.0,16.0,6.2,204.0,427.0,1697.0,15.0,4.0,94.0,74.0,635.0,20.0,35.5,11.5,24.99,59.7,3.8,2.6,6.7,6.3,11.2,81.4,23.0,149.0,5.8,3.7,59.11,-29.13,40.0,33.0,5.0,2.0,82.5,100.0,0.0,0.0,1.0,3.0,127.0,1219.0,0.5956439393939394,0.40435606060606055,0.6973965763195435,0.30260342368045645,0.6052631578947368,0.3947368421052632,,2.1702127659574466,0.4607843137254902,0.06289308176100629,1.675,6.0,9.0,3.0,14.5,18.0,200.0,5.5,28.0,31.2,151.0,1.83,30200.0,16.0,10.0,0.625,8.0,6.0,4.0,6.0,9.0,21.5,12.0,6.0,17.0,22.0,15.5,23.0,22.0,4.0,9.0,16.5,13.0,12.5,14.0,21.0,17.0,13.5,20.0,19.5,19.0,20.0,7.0,8.0,14.5,5.0,12.0,,1.5,3.0,22.0,13.5,14.0,4.0,1.0,7.0,26.0,6.0,27.0,14.0,19.0,14.0,27.0,4.0,29.0,21.0,14.0,12.666666666666664,9.7,19.0,14.35,9.6,9.80550964187328,11.5,9.0,21.0,14.0,5.0,4.0
2009.0,PHI,429.0,5726.0,975.0,5.9,23.0,192.0,5.3,29.8,30.6,141.0,1.99,27072.0,23.0,10.0,0.43478260869565216,290.0,335.0,553.0,4089.0,27.0,13.0,6.9,182.0,384.0,1637.0,14.0,4.3,87.0,115.0,951.0,21.0,38.0,10.4,44.15,60.6,4.9,2.4,7.9,7.8,13.1,92.0,38.0,291.0,6.8,6.4,56.49,-2.51,37.0,32.0,3.0,1.0,86.5,95.6,2.0,2.0,2.0,15.0,92.0,589.0,0.6061538461538462,0.39384615384615385,0.7141110723017814,0.2858889276982186,0.6585365853658537,0.3414634146341463,,2.0919540229885056,0.4780219780219781,0.07241379310344828,1.8372093023255816,5.0,11.0,24.0,5.5,8.0,192.0,5.3,29.8,30.6,141.0,1.99,27072.0,23.0,10.0,0.43478260869565216,19.0,16.0,11.0,10.0,11.0,9.0,10.5,18.0,28.0,22.0,16.0,12.5,20.0,29.0,30.0,20.0,6.0,6.0,13.0,18.0,8.5,9.0,8.0,7.5,2.0,11.0,21.0,27.0,11.0,19.0,13.0,,1.0,1.5,10.0,30.0,2.0,10.0,11.0,5.0,28.0,5.0,28.0,14.0,19.0,14.0,28.0,10.0,23.0,20.0,10.0,11.0,10.2,18.75,14.475,14.9,13.615289256198347,9.5,11.0,19.0,15.0,13.0,11.0
