Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2003.0,CIN,346.0,5329.0,1038.0,5.1,22.0,180.0,5.9,29.6,29.0,165.0,1.84,16.0,7.0,0.4375,313.0,324.0,520.0,3342.0,26.0,15.0,6.0,181.0,481.0,1987.0,12.0,4.1,101.0,107.0,846.0,31.0,33.3,11.1,37.91,62.3,5.0,2.9,6.9,6.6,11.1,87.4,37.0,249.0,5.7,6.6,65.25,-14.97,25.0,22.0,2.0,0.0,88.0,100.0,0.0,0.0,0.0,0.5366088631984586,0.4633911368015414,0.6271345468192907,0.3728654531807093,0.6842105263157895,0.3157894736842105,1.7920792079207921,0.5580110497237569,0.09904153354632587,1.6829268292682928,13.0,13.0,8.5,16.5,3.0,7.0,5.5,11.0,2.0,5.0,5.5,3.0,7.0,5.5,11.0,8.5,7.0,15.5,12.0,7.0,10.5,13.5,9.5,10.5,13.0,19.0,14.5,15.0,18.0,14.0,5.5,11.0,5.0,7.0,8.5,6.0,10.5,11.0,8.5,22.0,8.0,18.5,22.0,11.0,16.0,6.0,11.0,26.0,19.5,5.5,8.5,20.0,13.0,17.0,16.0,10.0,23.0,10.0,11.0,22.0,9.0,12.0,11.333333333333336,8.65,13.625,11.1375,9.0,8.0,13.0,8.0
2004.0,CIN,374.0,5140.0,1004.0,5.1,32.0,202.0,5.1,25.4,32.1,139.0,1.68,17.0,10.0,0.5882352941176471,286.0,324.0,536.0,3301.0,23.0,22.0,5.8,172.0,437.0,1839.0,14.0,4.2,93.0,103.0,810.0,21.0,31.7,15.8,-74.72,60.4,4.3,4.1,6.6,5.6,10.9,77.0,31.0,219.0,4.9,5.5,-21.48,-33.1,31.0,27.0,4.0,3.0,87.1,100.0,1.0,0.0,0.0,0.5647410358565738,0.43525896414342624,0.6422178988326849,0.3577821011673151,0.6216216216216216,0.3783783783783784,1.849462365591397,0.5406976744186046,0.07342657342657342,1.5714285714285712,10.0,18.0,13.5,20.5,28.0,23.0,29.0,16.0,2.5,10.5,24.0,28.0,23.0,29.0,16.0,18.0,11.0,11.5,17.0,14.0,29.0,20.5,16.5,18.0,17.0,13.5,15.0,19.0,7.5,4.0,29.5,15.0,23.5,23.0,13.0,16.0,28.5,22.5,26.0,26.5,19.0,7.5,13.0,23.0,8.0,21.0,19.0,6.5,5.5,5.0,12.0,13.0,20.0,15.0,18.0,17.0,16.0,17.0,13.0,20.0,29.0,24.0,17.583333333333332,16.95,15.4375,16.19375,17.5,19.0,13.0,17.0
2005.0,CIN,421.0,5730.0,1018.0,5.6,20.0,179.0,5.9,32.0,34.3,165.0,2.31,18.0,6.0,0.3333333333333333,342.0,362.0,538.0,3820.0,32.0,14.0,6.8,203.0,459.0,1910.0,15.0,4.2,109.0,110.0,920.0,30.0,41.9,11.2,86.71,67.3,5.9,2.6,7.3,7.3,10.9,97.6,21.0,115.0,6.9,3.8,111.15,-10.64,32.0,28.0,1.0,0.0,87.5,100.0,1.0,1.0,0.0,0.5491159135559921,0.4508840864440079,0.6666666666666666,0.33333333333333337,0.6808510638297872,0.3191489361702128,1.8623853211009167,0.5369458128078818,0.08771929824561403,1.738095238095238,4.0,6.0,18.0,4.5,3.5,3.0,6.0,3.0,4.5,1.0,5.0,3.5,3.0,6.0,3.0,4.0,4.0,12.0,5.0,1.0,11.0,7.0,6.0,14.0,11.0,12.5,10.0,9.0,14.0,17.0,13.0,2.0,6.0,5.0,2.0,2.0,9.0,8.5,7.5,22.0,2.0,2.0,2.0,3.5,2.0,5.0,7.0,10.0,5.0,6.5,10.0,16.0,17.0,11.0,22.0,6.0,27.0,6.0,16.0,17.0,18.0,13.0,6.0,5.05,10.125,7.5875,5.0,2.0,8.0,4.0
2006.0,CIN,373.0,5462.0,994.0,5.5,24.0,188.0,5.5,29.0,31.0,146.0,1.96,25.0,11.0,0.44,313.0,327.0,523.0,3833.0,28.0,13.0,6.9,200.0,435.0,1629.0,14.0,3.7,88.0,92.0,717.0,25.0,35.6,12.2,45.9,62.5,5.4,2.5,7.8,7.7,12.4,94.1,36.0,233.0,6.8,6.4,90.31,-29.92,30.0,25.0,4.0,2.0,83.3,95.2,0.0,0.0,0.0,0.562374245472837,0.43762575452716296,0.7017575979494689,0.29824240205053104,0.6666666666666666,0.33333333333333337,2.272727272727273,0.44,0.07987220447284345,2.108108108108108,8.0,8.0,19.5,7.0,17.0,9.0,27.0,7.0,18.0,15.0,9.5,17.0,9.0,27.0,7.0,8.0,10.0,15.0,6.0,3.0,9.0,5.0,6.0,20.0,26.0,12.0,26.5,23.0,14.0,10.0,13.0,6.0,10.0,8.0,7.0,3.0,8.0,5.0,4.0,4.5,4.0,18.5,19.0,4.5,16.5,6.0,17.0,13.0,13.5,14.0,32.0,13.0,20.0,5.0,28.0,10.5,22.5,10.5,2.0,31.0,15.0,3.0,10.833333333333336,5.6,20.0625,12.83125,8.0,5.0,22.0,11.0
2007.0,CIN,380.0,5568.0,1008.0,5.5,30.0,177.0,5.9,31.4,31.1,159.0,1.95,20.0,10.0,0.5,320.0,373.0,575.0,4012.0,26.0,20.0,6.8,213.0,416.0,1556.0,10.0,3.7,81.0,90.0,670.0,26.0,37.9,15.3,30.63,64.9,4.5,3.5,7.2,6.5,11.1,86.7,17.0,119.0,6.1,2.9,80.79,-36.71,34.0,31.0,1.0,0.0,91.2,100.0,3.0,1.0,1.0,0.5873015873015873,0.4126984126984127,0.7205459770114943,0.2794540229885057,0.7222222222222222,0.2777777777777778,2.6296296296296298,0.38028169014084506,0.08125,1.9459459459459456,11.0,10.0,15.0,10.5,7.0,7.0,14.5,7.0,8.0,12.0,20.0,7.0,7.0,14.5,7.0,9.0,4.0,8.0,7.0,11.0,25.0,5.5,4.0,23.0,24.0,20.5,28.5,24.0,15.0,14.0,7.0,6.0,19.5,9.0,5.0,11.5,20.0,11.0,13.0,20.5,10.5,2.0,2.0,10.0,2.0,8.0,19.0,8.0,3.0,3.0,12.0,13.0,20.0,5.0,28.0,8.0,25.0,8.0,5.0,28.0,10.0,6.0,14.0,10.0,22.0625,16.03125,13.5,7.0,25.0,17.0
2008.0,CIN,204.0,3926.0,984.0,4.0,26.0,186.0,5.4,21.0,30.1,151.0,0.99,27.0,11.0,0.4074074074074074,245.0,303.0,513.0,2406.0,11.0,15.0,4.3,145.0,420.0,1520.0,6.0,3.6,80.0,75.0,591.0,20.0,21.0,13.4,-156.24,59.1,2.1,2.9,5.2,4.3,8.8,68.0,51.0,271.0,3.5,9.0,-89.66,-63.28,25.0,22.0,0.0,0.0,88.0,100.0,2.0,0.0,0.0,0.573170731707317,0.426829268292683,0.6128374936321956,0.3871625063678044,0.6470588235294118,0.3529411764705882,1.8125,0.5517241379310345,0.08163265306122447,1.4444444444444444,32.0,32.0,17.0,32.0,24.5,32.0,24.0,32.0,22.5,18.5,18.0,24.5,32.0,24.0,32.0,29.0,20.5,16.0,30.0,31.0,18.0,32.0,26.0,21.0,29.0,31.5,30.0,29.5,5.0,4.5,16.5,32.0,19.0,31.0,23.5,31.5,19.0,31.5,31.0,32.0,30.0,30.0,26.0,31.0,30.0,29.0,31.0,27.5,25.5,10.0,13.5,13.0,20.0,21.0,12.0,8.5,24.5,8.5,14.0,19.0,6.0,27.0,28.83333333333333,23.7,27.5,25.6,32.0,30.0,31.0,31.0
2009.0,CIN,305.0,4946.0,1011.0,4.9,25.0,177.0,5.9,27.8,29.7,176.0,1.58,24.0,12.0,0.5,295.0,286.0,477.0,2890.0,21.0,13.0,5.7,159.0,505.0,2056.0,9.0,4.1,109.0,114.0,863.0,27.0,29.9,13.0,-31.87,60.0,4.4,2.7,6.6,6.2,11.0,82.7,29.0,244.0,5.4,5.7,11.94,-30.48,28.0,23.0,4.0,2.0,82.1,96.6,5.0,2.0,0.0,0.5004945598417408,0.4995054401582592,0.5843105539830166,0.4156894460169834,0.7,0.30000000000000004,1.4587155963302751,0.6855345911949685,0.09152542372881356,1.6097560975609757,22.0,24.0,18.0,24.5,5.5,19.0,2.0,20.5,17.0,23.5,13.0,5.5,19.0,2.0,20.5,18.0,25.0,27.0,26.0,17.5,9.0,20.0,22.5,4.0,9.0,23.0,21.5,10.0,27.0,26.0,8.0,19.0,13.0,19.0,20.0,15.5,13.5,18.0,17.0,22.5,17.0,9.0,20.0,19.0,10.5,17.0,16.0,20.0,17.5,19.0,28.0,28.0,5.0,27.0,6.0,8.5,24.5,8.5,27.0,6.0,10.0,16.0,19.75,17.5,15.375,16.4375,21.0,20.0,14.0,20.0
2010.0,CIN,322.0,5289.0,1046.0,5.1,34.0,190.0,5.7,27.9,31.2,158.0,1.63,21.0,14.0,0.6666666666666666,317.0,365.0,590.0,3767.0,26.0,20.0,6.1,206.0,428.0,1522.0,8.0,3.6,85.0,90.0,725.0,26.0,30.5,16.3,-37.44,61.9,4.4,3.4,6.8,6.1,10.9,82.4,28.0,221.0,5.5,4.5,49.8,-81.08,31.0,24.0,4.0,2.0,77.4,93.8,4.0,2.0,0.0,0.5908221797323135,0.4091778202676865,0.7122329362828512,0.2877670637171488,0.7647058823529411,0.2352941176470589,2.4235294117647057,0.41262135922330095,0.08201892744479496,1.8888888888888888,22.0,20.0,8.0,22.0,13.0,18.5,14.0,21.0,12.0,25.5,27.0,13.0,18.5,14.0,21.0,12.0,5.5,5.5,13.0,12.5,23.5,16.0,5.0,16.5,27.0,29.5,32.0,21.5,12.5,12.0,9.0,21.0,26.0,21.0,15.0,18.0,22.5,20.0,22.5,24.0,18.0,8.5,14.5,18.5,6.0,15.0,32.0,11.0,19.0,26.0,32.0,9.0,24.0,7.0,26.0,3.0,30.0,3.0,6.0,27.0,12.0,6.0,21.5,12.75,26.0625,19.40625,23.0,16.0,30.0,23.0
2011.0,CIN,344.0,5118.0,1015.0,5.0,22.0,197.0,5.3,26.0,30.1,148.0,1.6,17.0,8.0,0.4705882352941176,285.0,308.0,535.0,3340.0,21.0,14.0,6.0,160.0,455.0,1778.0,10.0,3.9,93.0,99.0,874.0,32.0,32.5,9.6,-34.31,57.6,3.9,2.6,6.6,6.2,11.4,79.6,25.0,167.0,5.6,4.5,13.03,-39.47,38.0,33.0,0.0,0.0,86.8,97.1,1.0,0.0,1.0,0.5517241379310345,0.4482758620689655,0.6525986713559985,0.34740132864400153,0.6774193548387096,0.3225806451612904,1.7204301075268815,0.58125,0.11228070175438597,1.6923076923076923,18.0,20.0,17.0,24.0,24.5,21.5,21.0,20.0,11.0,12.5,9.5,24.5,21.5,21.0,20.0,22.0,20.0,20.0,20.0,15.0,14.0,16.5,25.0,10.0,19.0,21.5,27.0,17.0,14.0,20.0,8.0,16.5,4.0,19.0,23.0,18.5,13.5,23.5,18.0,24.0,16.0,4.5,5.0,17.5,5.5,17.0,26.0,5.5,2.5,8.0,31.0,24.0,9.0,18.0,15.0,10.0,23.0,10.0,22.0,11.0,2.0,19.5,18.83333333333333,16.6,18.4375,17.51875,18.0,17.0,19.0,20.0
2012.0,CIN,391.0,5323.0,1016.0,5.2,26.0,195.0,5.4,27.2,31.2,150.0,1.86,19.0,10.0,0.5263157894736842,292.0,335.0,540.0,3578.0,28.0,16.0,6.1,173.0,430.0,1745.0,11.0,4.1,95.0,99.0,857.0,24.0,35.4,12.8,-3.9,62.0,5.2,3.0,7.1,6.8,11.4,88.1,46.0,229.0,5.8,7.8,5.27,-6.56,35.0,30.0,4.0,2.0,85.7,100.0,0.0,0.0,0.0,0.5767716535433071,0.42322834645669294,0.6721773436032312,0.3278226563967688,0.7179487179487181,0.28205128205128205,1.821052631578948,0.5491329479768786,0.0821917808219178,1.7317073170731707,12.0,22.0,16.0,22.5,25.5,24.0,25.5,17.0,10.0,18.5,19.5,25.5,24.0,25.5,17.0,24.5,15.0,19.5,17.0,7.0,19.5,19.0,20.0,17.0,18.0,19.0,19.0,17.0,12.0,17.5,23.5,15.0,19.0,20.0,13.0,8.5,25.0,14.5,15.5,20.0,12.5,26.0,15.0,18.0,24.5,23.0,10.0,7.5,7.5,15.0,14.0,18.0,15.0,18.0,15.0,11.0,22.0,11.0,18.0,15.0,20.0,13.0,19.33333333333333,14.2,18.1875,16.19375,19.0,17.0,18.0,18.0
