Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
1997.0,CHI,263.0,4990.0,1128.0,4.4,41.0,,,,,,,,33.0,19.0,0.5757575757575758,305.0,336.0,595.0,3244.0,14.0,22.0,5.1,188.0,490.0,1746.0,14.0,3.6,94.0,107.0,867.0,23.0,0.0,0.0,,56.5,2.4,3.7,5.9,4.7,10.4,66.1,43.0,257.0,4.0,6.7,,,26.0,21.0,1.0,1.0,80.8,100.0,8.0,5.0,1.0,-11.0,-158.0,102.0,0.5656028368794326,0.4343971631205674,0.6501002004008016,0.3498997995991984,0.5,0.5,,2.0,0.5,0.07540983606557378,1.6388888888888888,28.0,17.0,1.0,28.0,27.0,,,,,,,,33.0,19.0,0.5757575757575758,10.0,3.0,3.0,15.0,27.0,26.0,25.0,6.0,7.0,16.0,13.0,23.5,18.0,20.0,18.0,15.5,15.5,15.5,,14.0,29.0,24.0,28.0,27.0,30.0,26.0,17.0,14.0,26.0,13.0,,,24.5,24.0,11.0,11.0,26.0,29.0,11.0,13.0,18.0,16.0,15.0,25.0,6.0,25.0,15.0,9.0,22.0,18.0,17.0,21.75,17.1,16.8125,16.95625,,,24.5,21.0,16.0,23.0,,
1998.0,CHI,276.0,4766.0,979.0,4.9,34.0,185.0,5.4,25.0,29.5,150.0,1.25,27750.0,29.0,21.0,0.7241379310344828,264.0,284.0,494.0,3053.0,16.0,13.0,5.8,154.0,454.0,1713.0,9.0,3.8,89.0,86.0,714.0,21.0,24.3,17.8,,57.5,3.2,2.6,6.6,6.1,11.5,77.5,31.0,224.0,5.3,5.9,,,26.0,21.0,1.0,1.0,80.8,96.4,2.0,1.0,2.0,-6.0,-92.0,-337.0,0.5362614913176711,0.4637385086823289,0.6405791019723038,0.35942089802769617,0.64,0.36,,1.7303370786516854,0.577922077922078,0.07954545454545454,1.7368421052631582,25.0,21.0,24.5,17.0,25.0,185.0,5.4,25.0,29.5,150.0,1.25,27750.0,29.0,21.0,0.7241379310344828,24.0,16.0,20.0,23.0,24.0,6.0,17.0,19.5,14.0,17.0,22.5,20.0,20.5,4.0,5.0,26.0,24.5,28.0,,14.0,23.0,6.5,20.0,16.5,22.0,16.0,8.0,11.0,15.5,7.5,,,24.5,19.0,14.5,24.0,22.0,24.0,18.0,21.0,10.0,16.0,15.0,16.0,15.0,16.0,15.0,13.0,18.0,23.0,16.0,22.0,16.2,20.4375,18.31875,20.6,19.487327823691466,25.0,19.0,20.0,21.0,20.0,22.0
1999.0,BAL,324.0,4778.0,1033.0,4.6,31.0,217.0,4.9,22.0,32.8,131.0,1.35,28427.0,24.0,11.0,0.4583333333333333,259.0,270.0,546.0,3024.0,21.0,20.0,5.0,148.0,431.0,1754.0,9.0,4.1,87.0,125.0,1010.0,24.0,26.7,13.8,,49.5,3.8,3.7,6.2,5.3,12.4,66.5,56.0,336.0,4.2,9.3,,,33.0,28.0,5.0,2.0,84.8,100.0,1.0,1.0,1.0,0.0,47.0,556.0,0.5827686350435625,0.4172313649564375,0.6329007953118461,0.3670992046881541,0.7,0.30000000000000004,,1.7011494252873562,0.5878378378378378,0.09266409266409266,1.5121951219512195,14.0,24.0,13.0,25.0,14.0,217.0,4.9,22.0,32.8,131.0,1.35,28427.0,24.0,11.0,0.4583333333333333,27.0,29.0,13.5,25.0,15.5,22.5,27.5,26.0,16.0,16.0,22.0,10.0,19.0,28.0,27.0,15.0,22.0,12.0,,31.0,18.0,23.5,26.0,25.5,11.5,27.0,28.5,27.0,26.5,27.0,,,11.0,7.0,7.5,10.5,14.0,11.0,5.0,13.0,19.0,21.0,11.0,12.0,20.0,12.0,11.0,17.0,15.0,11.0,27.0,19.416666666666668,20.8,16.75,18.775,11.4,12.508539944903582,23.0,27.0,17.0,23.0,7.0,8.0
2000.0,BAL,333.0,5014.0,1058.0,4.7,26.0,195.0,5.6,25.5,36.8,164.0,1.58,31980.0,26.0,7.0,0.2692307692307692,288.0,287.0,504.0,2815.0,20.0,19.0,5.1,156.0,511.0,2199.0,9.0,4.3,116.0,95.0,730.0,16.0,32.8,12.8,-117.72,56.9,4.0,3.8,6.2,5.3,10.8,72.7,43.0,287.0,4.3,7.9,-57.46,-48.51,39.0,35.0,3.0,2.0,89.7,100.0,2.0,2.0,1.0,23.0,168.0,1047.0,0.5170132325141777,0.4829867674858223,0.5614280015955325,0.4385719984044675,0.6896551724137931,0.31034482758620685,,1.3448275862068966,0.7435897435897436,0.05555555555555555,1.4418604651162792,14.0,16.0,6.0,22.0,10.5,195.0,5.6,25.5,36.8,164.0,1.58,31980.0,26.0,7.0,0.2692307692307692,18.0,21.0,20.0,22.0,15.5,21.5,24.5,21.5,5.0,5.0,24.5,9.0,6.5,11.5,10.0,26.5,10.0,9.5,24.0,23.0,12.5,21.5,22.5,21.5,24.5,20.0,19.5,25.0,23.0,21.0,24.0,,1.0,1.0,4.0,12.5,1.0,2.0,4.0,23.0,9.0,28.0,4.0,8.0,24.0,8.0,4.0,26.0,6.0,26.0,27.5,15.333333333333336,18.3,10.0625,14.18125,2.0,5.96969696969697,16.0,21.0,6.0,15.0,1.0,1.0
2001.0,BAL,303.0,5124.0,1080.0,4.7,36.0,202.0,5.5,25.3,33.4,141.0,1.45,28482.0,31.0,16.0,0.5161290322580645,299.0,320.0,557.0,3314.0,18.0,20.0,5.6,180.0,483.0,1810.0,11.0,3.7,92.0,89.0,728.0,27.0,29.2,16.3,-132.23,57.5,3.2,3.6,6.5,5.5,11.2,72.7,40.0,281.0,4.6,6.7,-41.41,-74.55,35.0,30.0,0.0,0.0,85.7,100.0,6.0,1.0,0.0,-8.0,38.0,678.0,0.5527777777777778,0.4472222222222222,0.646760343481655,0.3532396565183449,0.6206896551724138,0.3793103448275862,,1.9565217391304348,0.5111111111111111,0.0903010033444816,1.7567567567567566,18.0,14.0,1.0,23.5,25.0,202.0,5.5,25.3,33.4,141.0,1.45,28482.0,31.0,16.0,0.5161290322580645,8.0,11.0,8.0,16.0,19.0,21.0,19.5,11.5,5.0,11.0,16.5,26.0,17.5,12.0,10.0,6.0,18.0,22.5,27.0,20.5,23.5,18.5,22.5,25.0,22.5,25.0,18.0,22.0,25.5,14.0,25.0,,6.0,3.0,5.0,8.0,23.0,11.0,4.0,20.0,12.0,19.0,13.0,20.0,12.0,20.0,13.0,13.0,19.0,8.0,11.0,18.416666666666668,15.45,16.4375,15.94375,13.8,12.696143250688705,22.0,18.0,17.0,17.5,14.0,9.0
2002.0,BAL,316.0,4639.0,947.0,4.9,32.0,185.0,5.3,24.9,30.4,144.0,1.48,26640.0,34.0,18.0,0.5294117647058824,261.0,262.0,479.0,2847.0,20.0,14.0,5.5,145.0,427.0,1792.0,9.0,4.2,90.0,101.0,846.0,26.0,27.6,15.1,-68.23,54.7,4.2,2.9,6.5,6.0,11.9,76.5,41.0,271.0,5.0,7.9,-20.68,-34.52,26.0,21.0,1.0,1.0,80.8,100.0,3.0,2.0,0.0,-1.0,-38.0,-714.0,0.5491024287222809,0.4508975712777191,0.6137098512610476,0.3862901487389524,0.6896551724137931,0.31034482758620685,,1.6111111111111112,0.6206896551724138,0.09961685823754787,1.5476190476190474,23.5,26.0,30.5,24.0,22.5,185.0,5.3,24.9,30.4,144.0,1.48,26640.0,34.0,18.0,0.5294117647058824,27.0,29.0,25.5,27.0,19.0,10.0,24.5,29.0,18.0,16.0,27.0,14.0,23.0,13.0,13.0,14.0,24.0,18.0,25.0,26.0,12.5,15.0,20.0,20.0,6.0,22.5,22.0,25.0,22.0,26.0,24.0,,24.5,23.0,10.0,11.0,17.0,22.0,27.0,21.0,12.0,22.0,11.0,8.0,25.0,8.0,11.0,20.0,13.0,9.0,20.0,22.91666666666667,19.5,21.25,20.375,24.3,21.450964187327823,26.0,25.0,22.0,26.0,26.0,26.0
2003.0,BAL,391.0,4929.0,1009.0,4.9,38.0,217.0,4.8,22.7,35.0,136.0,1.6,29512.0,37.0,19.0,0.5135135135135135,259.0,217.0,415.0,2255.0,16.0,19.0,4.9,121.0,552.0,2674.0,18.0,4.8,115.0,126.0,970.0,23.0,31.8,16.6,-125.2,52.3,3.9,4.6,6.1,4.8,11.6,64.7,42.0,262.0,3.8,9.2,-61.15,-44.86,40.0,34.0,4.0,1.0,85.0,100.0,5.0,4.0,0.0,3.0,110.0,588.0,0.4529236868186323,0.5470763131813676,0.4574964495840941,0.5425035504159059,0.4705882352941176,0.5294117647058824,,1.0521739130434782,0.950413223140496,0.0888030888030888,1.2708333333333333,8.0,21.0,16.0,18.5,30.5,217.0,4.8,22.7,35.0,136.0,1.6,29512.0,37.0,19.0,0.5135135135135135,27.0,32.0,32.0,32.0,26.5,22.0,29.0,32.0,1.0,1.0,5.5,4.5,9.5,28.5,24.0,21.5,13.0,26.0,28.0,31.0,17.0,31.5,25.0,29.0,10.5,29.0,22.0,26.0,29.0,31.5,24.0,,2.0,3.0,9.0,8.5,9.0,6.5,10.0,32.0,1.0,32.0,1.0,27.0,6.0,27.0,1.0,32.0,1.0,12.0,30.0,20.0,25.95,7.375,16.6625,8.3,10.422727272727274,20.0,31.0,3.0,18.0,6.0,4.0
2004.0,BAL,317.0,4375.0,991.0,4.4,23.0,192.0,5.3,22.8,34.2,149.0,1.33,28608.0,26.0,12.0,0.4615384615384616,260.0,258.0,465.0,2312.0,13.0,11.0,4.6,135.0,491.0,2063.0,11.0,4.2,103.0,94.0,894.0,22.0,27.6,10.9,-121.69,55.5,2.8,2.4,5.5,5.0,9.9,70.7,35.0,247.0,4.2,7.0,-72.82,-39.3,32.0,29.0,3.0,2.0,90.6,100.0,2.0,1.0,0.0,11.0,49.0,-428.0,0.5045408678102926,0.4954591321897074,0.5284571428571428,0.4715428571428572,0.5416666666666666,0.4583333333333334,,1.3106796116504855,0.762962962962963,0.08461538461538462,1.3095238095238095,20.0,31.0,19.0,28.0,9.0,192.0,5.3,22.8,34.2,149.0,1.33,28608.0,26.0,12.0,0.4615384615384616,30.0,28.0,26.0,31.0,30.0,4.5,31.0,29.0,8.0,9.0,17.5,15.0,10.5,4.0,14.0,26.5,24.0,5.5,27.0,29.0,29.0,6.0,32.0,28.0,32.0,27.0,13.0,20.0,27.0,19.0,29.0,,4.5,2.5,3.0,12.0,5.5,9.0,23.0,26.0,7.0,30.0,3.0,26.0,7.0,26.0,3.0,28.0,5.0,19.0,32.0,22.66666666666667,22.15,13.4375,17.79375,11.7,13.030440771349866,25.0,30.0,11.0,22.0,9.0,9.0
Mean year,,315.375,4826.875,1028.125,4.6875,32.625,199.0,5.257142857142857,24.02857142857143,33.15714285714286,145.0,1.4342857142857142,28771.285714285714,30.0,15.375,0.5060065476715103,274.375,279.25,506.875,2858.0,17.25,17.25,5.2,153.375,479.875,1968.875,11.25,4.0875,98.25,102.875,844.875,22.75,25.0,12.912500000000001,-113.01399999999998,55.05,3.4374999999999996,3.4124999999999996,6.1875,5.3375,11.2125,70.925,41.375,270.625,4.425,7.575000000000001,-50.704,-48.348,32.125,27.375,2.25,1.25,84.77499999999999,99.55,3.625,2.125,0.625,1.375,15.5,186.5,0.5326238696104785,0.4673761303895216,0.5914289858080529,0.408571014191947,0.6065318627450981,0.393468137254902,,1.588350058135181,0.6568158264670804,0.08331390922889743,1.5268149410565617,18.8125,21.25,13.875,23.25,20.4375,199.0,5.257142857142857,24.02857142857143,33.15714285714286,145.0,1.4342857142857142,28771.285714285714,30.0,15.375,0.5060065476715103,21.375,21.125,18.5,23.875,22.0625,16.6875,24.75,21.8125,9.25,11.375,18.5625,15.25,15.5625,15.125,15.125,18.875,18.875,17.125,26.2,23.5625,20.5625,18.3125,24.5,24.0625,19.875,24.0625,18.5,21.25,24.3125,19.875,25.2,,12.25,10.3125,8.0,12.1875,14.6875,14.3125,12.75,21.125,11.0,23.0,9.125,17.75,14.375,17.75,9.125,19.75,12.375,15.75,22.5625,20.3125,19.43125,15.3203125,17.37578125,13.157142857142857,13.652262888626527,22.6875,24.0,14.0,20.6875,11.857142857142858,11.285714285714286
Median year,,316.5,4853.5,1021.0,4.7,33.0,195.0,5.3,24.9,33.4,144.0,1.45,28482.0,30.0,17.0,0.514821272885789,262.5,277.0,499.0,2935.5,17.0,19.0,5.1,151.0,486.5,1801.0,10.0,4.15,93.0,98.0,856.5,23.0,27.6,14.45,-121.69,56.0,3.5,3.6500000000000004,6.2,5.3,11.35,71.7,41.5,266.5,4.25,7.45,-57.46,-44.86,32.5,28.5,2.0,1.0,84.9,100.0,2.5,1.5,0.5,-0.5,42.5,329.0,0.5426819600199759,0.457318039980024,0.6233053232864468,0.3766946767135533,0.6303448275862069,0.3696551724137931,,1.6561302681992336,0.6042637465051258,0.08670923670923672,1.5299070847851335,19.0,21.0,14.5,23.75,23.75,195.0,5.3,24.9,33.4,144.0,1.45,28482.0,30.0,17.0,0.514821272885789,25.5,24.5,20.0,24.0,21.5,21.25,24.75,23.75,7.5,13.5,19.75,14.5,17.75,12.5,13.5,18.5,20.0,16.75,27.0,24.5,20.5,20.0,23.75,25.25,22.25,25.5,18.75,23.5,25.75,20.0,24.0,,8.5,5.0,8.25,11.0,15.5,11.0,10.5,21.0,11.0,21.5,11.0,18.0,13.5,18.0,11.0,18.5,14.0,15.0,23.5,20.875,18.9,16.59375,17.375,11.7,12.696143250688705,23.75,23.0,16.5,21.5,9.0,9.0
