Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2000.0,NO,354.0,5397.0,1041.0,5.2,26.0,182.0,5.9,29.5,31.0,166.0,1.76,30212.0,26.0,11.0,0.4230769230769231,312.0,298.0,497.0,3329.0,22.0,15.0,6.2,169.0,505.0,2068.0,14.0,4.1,117.0,124.0,1024.0,26.0,32.4,12.6,35.12,60.0,4.4,3.0,7.2,6.7,12.0,84.2,39.0,244.0,5.8,7.3,77.03,-25.75,29.0,23.0,2.0,0.0,79.3,100.0,4.0,1.0,0.0,9.0,49.0,654.0,0.5148895292987512,0.4851104707012488,0.6168241615712433,0.3831758384287567,0.6111111111111112,0.3888888888888888,,1.4444444444444444,0.6923076923076923,0.08333333333333333,1.75609756097561,10.0,10.0,7.0,10.0,10.5,182.0,5.9,29.5,31.0,166.0,1.76,30212.0,26.0,11.0,0.4230769230769231,10.0,20.0,22.0,14.0,10.0,11.5,9.5,17.0,7.0,8.0,14.0,16.5,5.0,30.0,29.0,14.0,12.5,8.0,7.0,11.0,8.0,14.0,9.5,10.0,10.0,10.0,17.0,16.5,10.0,17.0,8.0,,19.0,19.0,18.0,12.5,8.0,12.0,10.0,24.0,8.0,22.0,10.0,17.0,15.0,17.0,10.0,23.0,9.0,18.0,12.0,11.083333333333336,12.0,10.375,11.1875,10.8,11.90137741046832,9.0,12.0,7.0,9.0,8.5,9.0
2001.0,NO,333.0,5226.0,1031.0,5.1,35.0,196.0,5.4,26.3,33.2,144.0,1.66,28224.0,35.0,13.0,0.3714285714285713,294.0,313.0,562.0,3514.0,27.0,22.0,5.7,184.0,419.0,1712.0,8.0,4.1,87.0,119.0,1025.0,23.0,31.6,16.8,-68.88,55.7,4.8,3.9,6.8,6.0,12.3,76.7,50.0,330.0,5.0,8.2,2.37,-55.65,31.0,27.0,1.0,1.0,87.1,100.0,3.0,1.0,1.0,-5.0,-76.0,156.0,0.5935984481086324,0.4064015518913676,0.6724071947952545,0.32759280520474554,0.7714285714285715,0.2285714285714285,,2.1149425287356323,0.4728260869565217,0.0782312925170068,1.6585365853658538,13.0,10.0,7.0,15.0,23.5,196.0,5.4,26.3,33.2,144.0,1.66,28224.0,35.0,13.0,0.3714285714285713,11.5,16.0,6.0,10.0,5.5,25.0,17.0,8.0,20.0,18.5,27.5,14.0,21.5,29.5,29.5,15.5,9.5,24.5,21.0,27.0,7.5,22.5,16.0,15.5,6.5,19.0,27.0,27.0,19.0,25.0,12.0,,15.0,8.5,3.0,8.0,21.0,24.0,13.0,7.0,25.0,11.0,21.0,3.0,29.0,3.0,21.0,9.0,23.0,18.0,14.5,14.833333333333336,11.85,20.8125,16.33125,19.2,17.969146005509643,13.0,10.0,25.0,20.0,21.0,19.0
2002.0,NO,432.0,5205.0,1001.0,5.2,30.0,192.0,5.4,27.0,35.6,145.0,2.05,27840.0,29.0,15.0,0.5172413793103449,291.0,291.0,538.0,3441.0,27.0,15.0,6.0,169.0,426.0,1764.0,16.0,4.1,91.0,119.0,911.0,31.0,38.5,14.6,-12.05,54.1,5.0,2.8,6.8,6.6,12.7,80.8,37.0,244.0,5.7,6.4,12.17,-9.3,35.0,31.0,1.0,0.0,88.6,100.0,8.0,4.0,0.0,8.0,44.0,-591.0,0.5744255744255744,0.4255744255744256,0.6610951008645534,0.33890489913544664,0.627906976744186,0.372093023255814,,1.8571428571428568,0.5384615384615384,0.10652920962199312,1.6585365853658538,3.0,19.0,22.0,17.0,17.5,192.0,5.4,27.0,35.6,145.0,2.05,27840.0,29.0,15.0,0.5172413793103449,22.0,23.5,21.5,16.0,5.0,14.0,14.5,19.0,19.5,17.0,12.0,18.0,21.0,28.0,21.0,7.0,4.0,15.0,21.0,27.0,3.5,13.5,14.0,10.0,2.0,17.0,18.5,18.0,13.0,18.5,20.0,,6.0,3.0,2.0,11.0,9.0,10.0,25.0,14.0,19.0,14.0,19.0,17.0,16.0,17.0,19.0,15.0,18.0,5.0,14.0,15.666666666666664,12.6,17.4375,15.01875,14.0,15.077134986225893,18.0,16.0,16.0,18.0,14.0,14.0
2003.0,NO,340.0,5438.0,1019.0,5.3,28.0,186.0,5.6,29.1,30.7,158.0,1.71,29388.0,33.0,20.0,0.6060606060606061,302.0,314.0,535.0,3438.0,25.0,8.0,6.0,177.0,448.0,2000.0,11.0,4.5,100.0,103.0,878.0,25.0,31.2,14.5,-0.48,58.7,4.7,1.5,6.8,7.1,11.6,88.7,36.0,203.0,6.3,6.3,41.67,-27.29,30.0,22.0,3.0,1.0,73.3,97.3,2.0,1.0,1.0,-1.0,14.0,204.0,0.5603532875368008,0.4396467124631992,0.6322177271055535,0.36778227289444654,0.6944444444444444,0.3055555555555556,,1.77,0.5649717514124294,0.08278145695364239,1.5111111111111108,14.0,11.0,13.0,10.5,14.5,186.0,5.6,29.1,30.7,158.0,1.71,29388.0,33.0,20.0,0.6060606060606061,13.5,12.0,8.0,8.0,8.5,1.0,13.5,11.5,15.0,11.0,21.0,8.5,16.0,13.5,16.0,16.0,14.0,19.5,12.0,14.5,8.0,1.0,13.0,5.5,10.5,6.0,16.5,13.0,5.0,14.0,11.0,,14.5,19.5,22.5,20.0,19.0,17.0,15.0,14.0,19.0,14.0,19.0,9.0,24.0,9.0,19.0,12.0,21.0,17.0,21.0,12.5,7.15,16.9375,12.04375,16.7,16.336914600550966,11.0,5.0,18.0,9.0,18.0,18.0
2004.0,NO,348.0,5193.0,989.0,5.3,26.0,193.0,5.3,26.8,30.5,142.0,1.65,27406.0,23.0,10.0,0.43478260869565216,291.0,309.0,542.0,3587.0,21.0,16.0,6.2,177.0,406.0,1606.0,15.0,4.0,82.0,129.0,1141.0,32.0,30.1,13.0,-39.43,57.0,3.9,3.0,7.0,6.5,12.3,79.5,41.0,223.0,5.6,7.0,24.76,-47.44,27.0,22.0,3.0,2.0,81.5,100.0,2.0,1.0,1.0,7.0,-57.0,-948.0,0.58948432760364,0.41051567239635994,0.6907375312921241,0.309262468707876,0.5833333333333334,0.4166666666666666,,2.158536585365854,0.4632768361581921,0.1099656357388316,1.75,14.0,15.0,21.0,13.5,12.5,193.0,5.3,26.8,30.5,142.0,1.65,27406.0,23.0,10.0,0.43478260869565216,17.0,13.5,10.0,12.0,17.0,15.0,16.5,12.0,26.0,27.0,10.0,20.0,29.0,31.0,32.0,6.5,17.0,12.0,17.0,22.0,20.0,13.0,16.5,15.0,12.5,17.0,21.5,14.0,15.0,19.0,14.0,,17.0,16.0,17.0,12.0,10.0,24.0,31.0,8.0,25.0,10.0,23.0,19.5,13.5,19.5,23.0,10.0,23.0,8.0,16.5,15.833333333333336,12.8,19.9375,16.36875,21.2,19.81349862258953,15.0,13.0,22.0,18.0,25.0,25.0
2005.0,SF,239.0,3587.0,865.0,4.1,35.0,196.0,4.6,18.2,27.6,135.0,1.01,26460.0,31.0,14.0,0.4516129032258064,191.0,204.0,389.0,1898.0,8.0,21.0,4.3,96.0,428.0,1689.0,9.0,3.9,70.0,106.0,780.0,25.0,21.9,16.3,-209.26,52.4,2.1,5.4,5.6,3.6,10.7,53.6,48.0,292.0,2.5,11.0,-128.51,-63.62,29.0,26.0,3.0,2.0,89.7,100.0,2.0,1.0,0.0,-9.0,-189.0,-2672.0,0.5052023121387283,0.4947976878612717,0.5291329802063005,0.4708670197936995,0.4705882352941176,0.5294117647058824,,1.3714285714285714,0.7291666666666666,0.13089005235602094,1.4358974358974361,30.0,32.0,32.0,32.0,27.0,196.0,4.6,18.2,27.6,135.0,1.01,26460.0,31.0,14.0,0.4516129032258064,32.0,32.0,31.0,32.0,32.0,28.0,31.5,32.0,20.5,17.0,25.5,17.5,30.0,10.5,6.0,21.0,32.0,25.0,32.0,30.5,32.0,32.0,31.0,32.0,23.5,32.0,28.0,24.0,32.0,31.0,32.0,,19.0,10.0,3.0,10.0,27.0,32.0,32.0,25.0,8.0,30.0,3.0,29.0,4.0,29.0,3.0,25.0,8.0,6.0,28.0,28.33333333333333,28.3,22.0,25.15,30.6,27.145730027548215,32.0,32.0,21.0,31.0,32.0,32.0
2006.0,GB,301.0,5458.0,1085.0,5.0,33.0,199.0,5.6,27.3,30.4,148.0,1.34,29452.0,25.0,15.0,0.6,301.0,350.0,630.0,3795.0,18.0,18.0,5.8,185.0,431.0,1663.0,9.0,3.9,93.0,90.0,689.0,23.0,26.6,16.1,-66.98,55.6,2.9,2.9,6.3,5.6,11.3,72.1,24.0,152.0,5.1,3.7,-1.86,-53.68,35.0,26.0,3.0,1.0,74.3,96.9,0.0,0.0,0.0,0.0,-65.0,324.0,0.6027649769585254,0.3972350230414746,0.6953096372297545,0.3046903627702455,0.6666666666666666,0.33333333333333337,,1.9892473118279568,0.5027027027027027,0.07641196013289038,1.6153846153846154,22.0,9.0,1.0,21.0,26.0,199.0,5.6,27.3,30.4,148.0,1.34,29452.0,25.0,15.0,0.6,13.0,5.0,1.0,8.0,20.5,20.5,18.0,10.0,21.5,23.0,24.5,20.0,22.0,11.5,8.0,17.0,26.0,26.0,23.0,27.0,26.5,12.0,25.5,25.0,19.5,27.0,5.0,6.5,17.5,3.0,16.0,,5.5,10.0,25.0,28.0,18.5,23.0,13.0,4.0,29.0,6.0,27.0,10.5,22.5,10.5,27.0,11.0,22.0,18.0,19.5,18.0,13.0,23.125,18.0625,16.7,17.121349862258953,18.0,12.5,26.0,21.0,18.0,18.0
2007.0,GB,435.0,5931.0,985.0,6.0,24.0,190.0,5.4,31.0,31.5,153.0,2.07,29070.0,25.0,9.0,0.36,307.0,383.0,578.0,4334.0,30.0,15.0,7.3,210.0,388.0,1597.0,13.0,4.1,69.0,113.0,1006.0,28.0,38.9,12.1,101.36,66.3,5.2,2.6,7.7,7.6,11.6,95.9,19.0,127.0,7.1,3.2,151.93,-42.03,39.0,31.0,5.0,3.0,79.5,100.0,0.0,0.0,0.0,4.0,144.0,918.0,0.6060913705583756,0.3939086294416244,0.7307368066093407,0.2692631933906593,0.6976744186046512,0.3023255813953488,,3.0434782608695654,0.32857142857142857,0.09120521172638436,1.878048780487805,4.0,2.0,23.0,2.5,9.0,190.0,5.4,31.0,31.5,153.0,2.07,29070.0,25.0,9.0,0.36,12.5,3.0,6.0,2.0,6.5,12.5,3.0,7.5,28.0,21.0,14.0,12.5,29.0,29.0,31.0,3.0,5.0,8.0,5.0,3.0,8.0,8.5,3.5,5.5,9.0,6.0,3.5,3.0,3.0,3.0,3.0,,1.5,3.0,24.0,12.0,10.5,3.0,5.0,8.0,25.0,4.0,29.0,12.0,21.0,12.0,29.0,1.0,32.0,3.0,9.0,7.166666666666668,5.2,18.625,11.9125,7.5,8.864325068870523,5.0,2.0,19.0,7.0,5.0,5.0
2008.0,GB,419.0,5618.0,1012.0,5.6,21.0,179.0,5.8,31.2,28.2,170.0,1.98,30430.0,25.0,8.0,0.32,299.0,343.0,541.0,3813.0,28.0,13.0,6.6,182.0,437.0,1805.0,11.0,4.1,99.0,110.0,984.0,18.0,36.9,11.2,64.12,63.4,5.2,2.4,7.5,7.4,11.8,93.3,34.0,231.0,6.6,5.9,82.1,-15.98,34.0,27.0,6.0,3.0,79.4,100.0,2.0,2.0,0.0,7.0,39.0,269.0,0.5681818181818182,0.43181818181818177,0.6787112851548593,0.32128871484514065,0.7179487179487181,0.28205128205128205,,1.8383838383838385,0.5439560439560439,0.06020066889632107,1.8292682926829267,5.0,8.0,12.0,10.0,9.5,179.0,5.8,31.2,28.2,170.0,1.98,30430.0,25.0,8.0,0.32,15.0,9.0,9.5,8.0,5.0,13.0,10.5,13.0,14.0,17.0,24.0,19.0,18.0,31.0,32.0,22.0,12.0,10.0,10.0,10.0,4.0,10.0,8.0,6.5,12.0,6.0,19.0,21.0,8.5,18.0,8.0,,11.0,16.0,27.0,13.5,6.0,14.0,17.0,16.0,17.0,11.0,22.0,3.0,30.0,3.0,22.0,13.0,20.0,24.0,8.0,11.166666666666664,7.9,17.625,12.7625,14.3,15.072176308539946,8.0,5.0,16.0,10.0,14.0,15.0
2009.0,GB,461.0,6065.0,1042.0,5.8,16.0,191.0,5.6,31.7,32.3,166.0,2.26,31706.0,20.0,8.0,0.4,335.0,357.0,553.0,4180.0,30.0,8.0,6.9,201.0,438.0,1885.0,20.0,4.3,102.0,118.0,1057.0,32.0,40.3,7.9,168.95,64.6,5.4,1.4,8.1,8.6,12.6,101.8,51.0,312.0,7.3,8.4,155.69,21.84,36.0,27.0,6.0,2.0,75.0,98.0,5.0,3.0,1.0,24.0,164.0,1514.0,0.5796545105566219,0.4203454894433781,0.6892003297609234,0.3107996702390766,0.6,0.4,,1.9705882352941173,0.5074626865671642,0.0955223880597015,1.8837209302325584,3.0,6.0,7.0,10.0,1.0,191.0,5.6,31.7,32.3,166.0,2.26,31706.0,20.0,8.0,0.4,6.5,8.0,11.0,7.0,4.0,2.0,10.5,10.0,15.5,14.0,5.0,12.5,13.5,32.0,31.0,4.0,5.0,1.0,2.0,9.0,5.0,2.0,5.5,2.5,5.5,4.0,32.0,30.0,5.0,29.0,5.0,,2.5,7.5,25.5,19.0,1.0,2.0,1.0,11.0,22.0,11.0,22.0,23.0,10.0,23.0,22.0,13.0,20.0,8.0,7.0,6.583333333333332,4.95,10.625,7.7875,3.6,6.514876033057853,3.0,4.0,7.0,2.0,1.0,1.0
