Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2009.0,DEN,326.0,5463.0,1032.0,5.3,23.0,189.0,5.6,28.9,29.0,153.0,1.59,15.0,10.0,0.6666666666666666,306.0,341.0,558.0,3627.0,21.0,13.0,6.1,186.0,440.0,1836.0,9.0,4.2,95.0,93.0,800.0,25.0,31.7,11.6,-20.87,61.1,3.8,2.3,6.9,6.6,11.2,84.4,34.0,198.0,5.8,5.7,24.63,-32.94,35.0,30.0,3.0,2.0,85.7,100.0,2.0,0.0,0.0,0.5736434108527132,0.4263565891472868,0.6639209225700164,0.33607907742998355,0.7,0.30000000000000004,1.957894736842105,0.510752688172043,0.08169934640522876,1.6428571428571428,20.0,15.0,9.5,15.5,17.0,17.5,18.5,19.0,3.0,13.5,8.0,17.0,17.5,18.5,19.0,15.0,11.0,9.0,13.0,17.5,9.0,15.0,16.0,14.0,18.0,23.0,16.5,17.0,14.5,18.0,13.0,17.0,8.0,18.0,14.5,20.0,8.0,15.5,14.5,19.0,15.0,16.5,12.0,14.0,10.5,15.0,19.0,4.5,3.5,12.5,8.5,14.0,19.0,16.0,17.0,8.5,24.5,8.5,14.0,19.0,13.0,14.0,14.916666666666664,12.05,17.875,14.9625,16.0,13.0,16.0,19.0
2010.0,DEN,344.0,5582.0,1018.0,5.5,27.0,196.0,5.3,28.4,27.5,138.0,1.69,29.0,15.0,0.5172413793103449,309.0,334.0,580.0,4038.0,25.0,12.0,6.5,204.0,398.0,1544.0,13.0,3.9,81.0,98.0,944.0,24.0,30.6,11.7,-15.18,57.6,4.3,2.1,7.4,7.4,12.9,86.8,40.0,269.0,6.4,6.5,58.91,-64.53,25.0,22.0,3.0,2.0,88.0,97.4,1.0,0.0,0.0,0.6090373280943026,0.3909626719056975,0.7233966320315299,0.2766033679684701,0.6578947368421053,0.3421052631578947,2.5185185185185186,0.3970588235294117,0.07766990291262135,1.8974358974358976,19.0,13.0,17.5,12.5,23.0,15.0,27.0,19.0,26.0,27.0,16.0,23.0,15.0,27.0,19.0,14.0,15.0,7.0,7.0,15.5,7.5,9.5,6.5,27.0,26.0,14.5,23.5,26.5,18.0,28.0,12.5,20.0,12.5,19.0,25.5,19.0,7.5,8.0,9.0,3.0,14.0,23.5,23.0,9.0,18.5,13.0,30.0,28.5,26.0,8.5,25.0,6.0,27.0,4.0,29.0,17.0,16.0,17.0,3.0,30.0,14.0,5.0,15.833333333333336,8.95,23.125,16.0375,17.0,8.5,27.0,18.0
2011.0,DEN,309.0,5066.0,1017.0,5.0,30.0,204.0,5.1,24.8,26.7,140.0,1.34,30.0,17.0,0.5666666666666667,286.0,217.0,429.0,2434.0,20.0,13.0,5.2,130.0,546.0,2632.0,11.0,4.8,129.0,101.0,843.0,27.0,24.5,14.2,-93.02,50.6,4.7,3.0,6.3,5.9,12.5,73.5,42.0,274.0,4.8,8.9,-68.25,-19.17,25.0,19.0,4.0,3.0,76.0,100.0,6.0,3.0,0.0,0.4631268436578171,0.5368731563421829,0.4804579549940782,0.5195420450059218,0.6451612903225806,0.3548387096774194,1.007751937984496,0.9923076923076924,0.0944055944055944,1.3125,25.0,23.0,14.5,24.0,31.0,27.0,28.0,27.0,31.5,32.0,26.0,31.0,27.0,28.0,27.0,20.5,32.0,32.0,31.0,20.0,9.5,29.0,31.0,1.5,1.0,19.5,6.0,4.0,16.5,13.0,19.0,27.0,22.0,28.0,32.0,9.0,19.0,28.0,22.0,11.5,26.0,23.5,23.0,24.0,27.5,30.0,14.0,29.0,30.5,27.5,13.0,32.0,1.0,32.0,1.0,15.5,17.5,15.5,32.0,1.0,15.0,31.0,21.58333333333333,22.15,10.5625,16.35625,24.0,29.0,8.0,18.0
2012.0,DEN,481.0,6366.0,1090.0,5.8,25.0,188.0,6.0,33.9,29.1,160.0,2.24,22.0,14.0,0.6363636363636364,380.0,402.0,588.0,4534.0,37.0,11.0,7.4,232.0,481.0,1832.0,12.0,3.8,112.0,100.0,805.0,36.0,39.9,12.2,135.85,68.4,6.3,1.9,7.9,8.4,11.6,105.3,21.0,137.0,7.8,3.4,197.32,-59.03,32.0,26.0,4.0,3.0,81.3,100.0,2.0,1.0,2.0,0.5587155963302752,0.4412844036697248,0.7122211749921458,0.28777882500785423,0.7551020408163265,0.2448979591836735,2.0714285714285716,0.4827586206896552,0.09473684210526316,2.0789473684210527,2.0,4.0,4.5,7.0,6.0,3.0,11.0,4.5,18.5,26.0,16.0,6.0,3.0,11.0,4.5,3.0,5.5,10.0,5.0,3.0,6.5,1.0,6.0,9.0,16.0,15.0,25.0,9.0,13.0,8.0,6.5,4.0,16.0,6.0,2.0,4.0,5.0,5.0,3.5,13.5,2.0,2.0,1.0,1.0,1.0,3.0,30.0,16.0,18.5,23.0,14.0,21.0,12.0,8.0,25.0,9.0,24.0,9.0,14.0,19.0,12.0,3.0,8.5,4.4,16.375,10.3875,5.0,2.0,15.0,5.0
2013.0,LAC,396.0,6293.0,1060.0,5.9,21.0,167.0,6.6,37.7,27.3,193.0,2.33,14.0,10.0,0.7142857142857143,373.0,378.0,544.0,4328.0,32.0,11.0,7.5,230.0,486.0,1965.0,9.0,4.0,104.0,95.0,765.0,39.0,44.9,11.4,178.64,69.5,5.9,2.0,8.2,8.5,11.8,105.5,30.0,150.0,7.8,5.2,203.42,-10.93,37.0,34.0,2.0,2.0,91.9,100.0,0.0,0.0,0.0,0.5415094339622641,0.4584905660377359,0.6877482917527411,0.3122517082472589,0.7804878048780488,0.2195121951219512,2.2115384615384617,0.4521739130434783,0.10455764075067024,2.05,12.0,5.0,12.0,5.5,1.0,1.0,1.0,2.0,3.5,20.0,11.0,1.0,1.0,1.0,2.0,3.0,6.0,22.0,4.0,6.0,8.0,2.0,3.0,6.0,13.0,25.5,22.0,14.0,12.0,9.0,4.5,2.0,13.0,2.0,1.0,5.0,8.5,4.0,4.0,12.5,2.0,4.5,2.0,2.5,5.5,2.0,11.0,4.5,4.0,9.0,14.0,26.0,7.0,15.0,18.0,4.0,29.0,4.0,12.0,21.0,11.0,5.0,9.166666666666666,4.95,17.375,11.1625,7.0,3.0,19.0,5.0
2014.0,LAC,348.0,5465.0,1009.0,5.4,23.0,174.0,5.9,31.3,26.4,171.0,1.87,15.0,5.0,0.3333333333333333,326.0,380.0,574.0,4098.0,31.0,18.0,6.7,214.0,398.0,1367.0,6.0,3.4,75.0,111.0,967.0,37.0,33.9,12.6,51.84,66.2,5.4,3.1,7.5,7.2,11.3,93.4,37.0,198.0,6.4,6.1,111.54,-48.68,26.0,22.0,4.0,3.0,84.6,100.0,0.0,0.0,1.0,0.6055500495540139,0.3944499504459861,0.7498627630375114,0.2501372369624886,0.8378378378378378,0.16216216216216214,2.853333333333333,0.3504672897196261,0.11349693251533742,2.2058823529411766,17.0,18.0,20.5,15.0,10.5,11.0,6.5,15.0,3.5,4.0,15.5,10.5,11.0,6.5,15.0,15.0,11.0,14.0,10.0,8.0,27.5,10.0,11.0,23.0,30.0,30.0,31.0,26.0,18.0,23.0,7.0,17.0,19.5,12.0,5.5,6.5,23.5,9.0,12.5,20.5,9.5,17.0,12.5,12.0,17.0,9.0,27.0,26.0,26.0,16.0,13.5,12.0,21.0,3.0,30.0,2.0,31.0,2.0,6.0,27.0,5.0,1.0,17.75,11.8,25.5,18.65,18.0,11.0,29.0,23.0
2015.0,LAC,320.0,5949.0,1100.0,5.4,24.0,178.0,6.4,33.4,23.3,172.0,1.78,20.0,11.0,0.55,344.0,442.0,667.0,4591.0,30.0,13.0,6.5,230.0,393.0,1358.0,4.0,3.5,79.0,117.0,942.0,35.0,33.7,12.4,22.23,66.3,4.5,1.9,7.3,7.3,11.0,94.5,40.0,264.0,6.5,5.7,93.92,-66.3,32.0,26.0,5.0,4.0,81.3,87.5,3.0,2.0,0.0,0.6427272727272727,0.3572727272727273,0.7717263405614389,0.22827365943856115,0.8823529411764706,0.11764705882352945,2.911392405063291,0.34347826086956523,0.10174418604651164,2.085714285714286,26.0,9.0,3.0,19.0,1.0,6.0,4.0,21.0,14.5,24.5,19.0,1.0,6.0,4.0,21.0,6.0,2.0,2.5,4.0,13.5,17.5,14.5,5.0,22.0,31.0,32.0,32.0,25.0,23.5,21.0,10.5,19.0,21.0,19.0,5.5,16.5,8.0,14.5,12.0,26.5,11.5,21.0,23.0,11.0,15.5,12.0,32.0,12.5,17.0,24.5,30.0,5.0,28.0,1.0,32.0,1.0,32.0,1.0,4.0,29.0,15.0,1.0,17.75,8.2,28.6875,18.44375,17.0,4.0,32.0,23.0
2016.0,LAC,410.0,5708.0,1014.0,5.6,35.0,181.0,5.8,31.4,28.1,162.0,2.09,22.0,14.0,0.6363636363636364,340.0,349.0,580.0,4198.0,33.0,21.0,6.8,214.0,398.0,1510.0,10.0,3.8,90.0,107.0,780.0,36.0,38.1,18.2,44.64,60.2,5.7,3.6,7.6,7.1,12.6,87.6,36.0,188.0,6.4,5.8,81.34,-32.24,32.0,26.0,3.0,0.0,81.3,91.3,2.0,0.0,1.0,0.6074950690335306,0.39250493096646943,0.735459004905396,0.26454099509460405,0.7674418604651163,0.2325581395348837,2.3777777777777778,0.4205607476635514,0.10588235294117647,2.0,9.0,14.0,17.0,13.5,16.0,13.0,15.0,10.0,19.5,30.5,32.0,16.0,13.0,15.0,10.0,10.5,20.0,15.0,8.0,4.5,31.0,8.5,9.0,22.5,26.0,23.5,26.0,19.5,16.5,3.0,9.0,10.0,32.0,16.0,23.0,5.5,30.0,9.0,17.0,3.0,17.0,19.5,11.0,16.5,17.0,16.0,22.0,16.0,20.5,22.0,24.0,12.0,21.0,6.0,27.0,4.0,29.0,4.0,12.0,21.0,12.0,4.5,16.666666666666668,12.4,24.6875,18.54375,16.0,13.0,27.0,21.0
Mean year,,366.75,5736.5,1042.5,5.4875,26.0,184.625,5.8374999999999995,31.225,27.175000000000004,161.125,1.8662500000000002,20.875,12.0,0.5776151291237499,333.0,355.375,565.0,3981.0,28.625,14.0,6.5875,205.0,442.5,1755.5,9.25,3.925,95.625,102.75,855.75,32.375,34.6625,13.037500000000001,38.01625,62.487500000000004,5.075,2.4875000000000003,7.3875,7.3,11.862499999999999,91.375,35.0,209.75,6.4875,5.9125,87.85374999999999,-41.727500000000006,30.5,25.625,3.5,2.375,83.76249999999999,97.02499999999999,2.0,0.75,0.5,0.5752256255265237,0.4247743744734764,0.6905991356056072,0.30940086439439274,0.7532848140423107,0.24671518595768924,2.238704467810819,0.49369475449937794,0.09677409976030042,1.9091671309211944,16.25,12.625,12.3125,14.0,13.1875,11.6875,13.875,14.6875,15.0,22.1875,17.9375,13.1875,11.6875,13.875,14.6875,10.875,12.8125,13.9375,10.25,11.0,14.5625,11.1875,10.9375,15.625,20.125,22.875,22.75,17.625,16.5,15.375,10.25,14.5,18.0,15.0,13.625,10.6875,13.6875,11.625,11.8125,13.6875,12.125,15.9375,13.4375,11.25,14.0625,12.5,23.125,17.125,18.25,17.875,17.75,16.0,17.0,10.625,22.375,7.625,25.375,7.625,12.125,20.875,12.125,8.0625,15.270833333333334,10.6125,20.5234375,15.56796875,15.0,10.4375,21.625,16.5
Median year,,346.0,5645.0,1025.0,5.45,24.5,184.5,5.85,31.35,27.4,161.0,1.8250000000000002,21.0,12.5,0.6015151515151516,333.0,363.5,577.0,4148.0,30.5,13.0,6.6,214.0,419.0,1688.0,9.5,3.8499999999999996,92.5,100.5,824.0,35.5,33.8,12.3,33.435,63.650000000000006,5.050000000000001,2.2,7.45,7.25,11.7,90.5,36.5,198.0,6.4,5.75,87.63,-40.81,32.0,26.0,3.5,2.5,82.94999999999999,100.0,2.0,0.0,0.0,0.5895967302033636,0.41040326979663644,0.7178089035118378,0.2821910964881622,0.7612719506407214,0.2387280493592786,2.29465811965812,0.4363673303535148,0.09824051407588741,2.025,18.0,13.5,13.25,14.25,13.25,12.0,13.0,17.0,16.5,25.25,16.0,13.25,12.0,13.0,17.0,12.25,11.0,12.0,7.5,10.75,9.25,9.75,7.75,18.0,22.0,23.25,24.25,18.25,16.5,15.5,9.75,17.0,17.75,17.0,10.0,7.75,8.25,9.0,12.25,13.0,12.75,18.25,12.25,11.5,16.25,12.5,24.5,16.0,19.5,19.0,14.0,13.0,20.0,7.0,26.0,6.25,26.75,6.25,12.0,21.0,12.5,4.75,16.25,10.375,20.5,16.196875,16.5,9.75,23.0,18.5
