Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2001.0,PIT,352.0,5887.0,1065.0,5.5,21.0,182.0,6.1,32.2,32.2,183.0,1.76,28.0,9.0,0.32142857142857145,314.0,274.0,454.0,3113.0,16.0,12.0,6.4,150.0,580.0,2774.0,17.0,4.8,148.0,86.0,737.0,16.0,34.6,11.5,50.57,60.4,3.5,2.6,7.3,6.8,12.0,83.4,31.0,182.0,6.0,6.4,66.89,-13.34,44.0,30.0,2.0,2.0,68.2,91.9,1.0,0.0,0.0,0.4553990610328639,0.5446009389671361,0.5287922541192458,0.4712077458807542,0.4848484848484849,0.5151515151515151,1.0135135135135136,0.9866666666666668,0.050955414012738856,1.5208333333333333,7.0,3.0,3.0,5.5,1.0,2.0,1.0,6.0,21.0,6.0,3.0,1.0,2.0,1.0,6.0,6.0,27.0,28.0,21.0,24.5,3.5,8.0,25.0,1.0,1.0,2.5,2.0,1.0,10.0,12.0,28.0,5.0,8.0,4.0,10.5,18.0,5.0,7.5,6.5,10.5,8.5,11.0,8.0,5.5,13.0,5.0,7.0,1.0,3.0,25.0,31.0,31.0,1.0,30.0,2.0,30.0,2.0,30.0,30.0,2.0,29.0,27.0,4.833333333333333,15.9,2.125,9.0125,2.0,20.5,1.0,4.0
2002.0,PIT,390.0,5952.0,1097.0,5.4,36.0,196.0,5.8,30.2,33.7,164.0,1.91,26.0,14.0,0.5384615384615384,343.0,350.0,551.0,3832.0,26.0,22.0,6.6,200.0,512.0,2120.0,15.0,4.1,119.0,90.0,712.0,24.0,35.7,16.8,31.07,63.5,4.7,4.0,7.3,6.5,11.5,84.6,34.0,204.0,5.7,5.8,70.06,-37.55,40.0,29.0,2.0,1.0,72.5,94.6,5.0,5.0,0.0,0.5332725615314494,0.4667274384685506,0.6438172043010753,0.35618279569892475,0.6341463414634146,0.36585365853658536,1.680672268907563,0.595,0.06997084548104958,1.7804878048780488,8.5,5.0,1.0,9.0,9.5,10.0,7.5,12.0,16.5,20.5,28.0,9.5,10.0,7.5,12.0,6.5,10.5,16.0,7.0,8.5,27.0,5.5,6.0,3.0,9.0,14.5,18.0,8.0,6.0,5.0,19.0,10.0,26.0,10.0,6.0,7.0,27.0,6.5,12.5,12.5,13.0,13.0,13.0,13.0,13.0,8.0,23.0,1.5,5.0,23.0,28.5,26.0,7.0,16.0,17.0,16.0,17.0,16.0,17.0,16.0,24.5,8.0,11.916666666666664,10.8,12.0625,11.43125,10.0,11.0,10.0,7.0
2003.0,PIT,300.0,4792.0,1020.0,4.7,28.0,192.0,5.5,24.9,32.9,154.0,1.42,24.0,11.0,0.4583333333333333,275.0,306.0,532.0,3304.0,19.0,17.0,5.8,174.0,446.0,1488.0,10.0,3.3,77.0,111.0,1005.0,24.0,27.1,13.5,-99.78,57.5,3.6,3.2,6.7,5.9,11.6,76.4,42.0,244.0,5.1,7.3,-9.05,-76.75,32.0,23.0,1.0,1.0,71.9,96.9,1.0,1.0,0.0,0.5627450980392157,0.4372549019607843,0.6894824707846411,0.3105175292153589,0.6551724137931034,0.3448275862068966,2.25974025974026,0.4425287356321839,0.08727272727272728,2.0303030303030303,19.0,22.0,12.0,25.0,14.5,20.5,15.5,22.0,14.5,15.0,14.5,14.5,20.5,15.5,22.0,21.0,16.0,10.0,14.0,17.0,16.0,18.0,13.0,16.5,31.0,23.0,31.5,31.0,22.5,26.0,18.5,22.0,13.5,23.0,21.0,20.0,14.5,16.0,15.5,10.5,16.0,22.0,21.0,17.0,21.5,18.0,30.0,12.0,14.5,26.0,24.0,13.0,20.0,5.0,28.0,14.0,19.0,14.0,3.0,30.0,14.0,2.0,21.0,13.75,25.25,19.5,21.0,14.0,29.0,23.0
2004.0,BUF,395.0,4691.0,982.0,4.8,29.0,187.0,5.4,24.8,36.2,156.0,1.73,26.0,12.0,0.4615384615384616,271.0,262.0,461.0,2817.0,21.0,17.0,5.6,149.0,483.0,1874.0,15.0,3.9,102.0,121.0,1047.0,20.0,32.1,14.4,-87.44,56.8,4.6,3.7,6.6,5.8,11.6,76.7,38.0,215.0,5.0,7.6,-22.58,-56.36,28.0,24.0,0.0,0.0,85.7,100.0,1.0,0.0,1.0,0.5081466395112016,0.4918533604887984,0.6005116179918993,0.3994883820081007,0.5833333333333334,0.4166666666666666,1.46078431372549,0.6845637583892618,0.07380073800738007,1.6923076923076923,7.0,25.0,23.0,26.0,18.0,25.0,15.0,13.0,20.5,21.0,19.5,18.0,25.0,15.0,13.0,25.5,27.0,27.0,27.0,17.0,18.0,23.0,25.0,9.0,13.0,10.0,23.0,12.0,24.5,30.5,31.0,13.5,18.0,24.0,23.0,13.5,23.5,22.5,22.0,19.0,20.5,18.5,12.0,21.0,21.0,22.0,28.0,13.0,10.5,7.0,12.0,25.0,8.0,25.0,8.0,19.5,13.5,19.5,23.0,10.0,28.0,20.0,20.5,20.4,13.875,17.1375,24.0,24.0,12.0,20.0
2005.0,BUF,271.0,4122.0,930.0,4.4,26.0,177.0,5.5,23.1,33.8,157.0,1.44,26.0,10.0,0.38461538461538464,259.0,269.0,459.0,2515.0,18.0,16.0,5.0,129.0,428.0,1607.0,6.0,3.8,96.0,120.0,897.0,34.0,29.9,14.1,-100.87,58.6,3.9,3.5,6.2,5.4,10.6,75.4,43.0,337.0,4.3,8.6,-38.29,-51.38,35.0,29.0,3.0,3.0,82.9,100.0,0.0,0.0,1.0,0.5397849462365591,0.4602150537634409,0.6101407083939835,0.3898592916060165,0.75,0.25,1.34375,0.7441860465116279,0.13127413127413126,1.6315789473684212,24.0,28.0,30.0,28.5,18.0,30.0,15.5,21.0,17.5,10.5,14.0,18.0,30.0,15.5,21.0,26.0,26.5,26.0,29.0,21.0,19.0,29.0,30.0,20.5,20.0,29.0,21.5,16.0,20.0,15.0,7.0,15.0,19.0,24.0,20.0,14.5,23.5,26.5,24.5,25.5,23.0,23.0,30.0,25.0,27.0,22.0,19.0,3.5,4.0,12.0,10.0,19.0,14.0,24.0,9.0,4.0,29.0,4.0,27.0,6.0,5.0,20.0,23.75,22.55,20.8125,21.68125,27.0,28.0,20.0,27.0
2006.0,MIA,260.0,4960.0,1034.0,4.8,25.0,190.0,5.6,26.0,31.5,152.0,1.26,19.0,6.0,0.3157894736842105,281.0,342.0,591.0,3287.0,16.0,19.0,5.2,180.0,402.0,1673.0,7.0,4.2,82.0,90.0,789.0,19.0,25.8,12.6,-83.13,57.9,2.7,3.2,6.1,5.1,10.5,71.2,41.0,290.0,4.4,6.5,-34.02,-44.36,36.0,26.0,6.0,1.0,72.2,100.0,4.0,2.0,0.0,0.6112185686653772,0.3887814313346229,0.6627016129032258,0.3372983870967742,0.6956521739130435,0.3043478260869565,2.1951219512195124,0.4555555555555556,0.06761565836298933,1.4523809523809523,29.0,20.0,8.0,26.0,12.5,21.0,18.0,28.0,4.5,2.5,12.0,12.5,21.0,18.0,28.0,24.0,6.0,4.0,13.0,25.5,23.5,28.0,13.0,29.0,22.0,29.0,12.0,28.0,11.5,15.0,27.5,27.0,11.5,26.0,22.5,29.0,16.0,29.5,27.5,28.0,28.0,21.5,24.0,27.0,18.5,24.0,24.0,3.5,10.0,29.0,11.5,2.0,31.0,13.0,20.0,7.0,26.0,7.0,5.0,28.0,26.0,27.0,20.83333333333333,16.5,21.6875,19.09375,23.0,21.0,24.0,26.0
2008.0,ATL,391.0,5779.0,1011.0,5.7,21.0,174.0,6.0,33.1,30.6,172.0,2.11,18.0,10.0,0.5555555555555556,313.0,265.0,434.0,3336.0,16.0,11.0,7.4,157.0,560.0,2443.0,23.0,4.4,131.0,71.0,591.0,25.0,39.7,10.3,88.17,61.1,3.7,2.5,7.9,7.5,13.0,87.7,17.0,104.0,7.0,3.8,100.79,-11.66,31.0,29.0,2.0,1.0,93.5,100.0,1.0,1.0,1.0,0.4460929772502473,0.5539070227497527,0.577262502163004,0.4227374978369961,0.41025641025641024,0.5897435897435898,1.1984732824427482,0.8343949044585988,0.07987220447284345,1.7954545454545454,10.0,6.0,13.0,7.5,7.0,6.0,6.0,8.0,9.5,15.0,9.5,7.0,6.0,6.0,8.0,9.0,26.5,29.0,14.0,22.5,6.5,3.0,21.0,2.0,2.0,3.0,8.0,3.0,2.5,4.5,6.0,6.0,7.0,8.0,15.0,20.5,12.0,4.5,5.0,2.0,10.0,5.0,5.0,4.5,6.0,6.0,11.0,18.0,10.0,2.0,13.5,31.0,2.0,26.0,7.0,30.0,3.0,30.0,31.0,2.0,7.0,10.0,7.583333333333332,14.35,4.75,9.55,2.0,14.0,3.0,4.0
2009.0,ATL,363.0,5447.0,1048.0,5.2,25.0,170.0,6.3,32.1,30.6,169.0,2.02,19.0,8.0,0.42105263157894735,330.0,332.0,570.0,3571.0,26.0,17.0,6.0,192.0,451.0,1876.0,15.0,4.2,105.0,78.0,664.0,33.0,35.3,13.5,64.33,58.2,4.6,3.0,6.5,6.1,11.1,80.4,27.0,126.0,5.6,4.5,79.8,-11.06,29.0,19.0,4.0,2.0,65.5,97.7,1.0,0.0,0.0,0.5696564885496184,0.4303435114503816,0.6555902331558656,0.3444097668441344,0.6341463414634146,0.36585365853658536,1.8285714285714283,0.546875,0.1,1.5476190476190474,13.0,16.0,4.0,18.0,1.0,9.0,6.5,8.0,6.0,5.5,13.0,1.0,9.0,6.5,8.0,10.5,17.0,7.0,14.0,13.5,18.0,17.0,12.0,11.0,15.0,14.0,16.5,11.0,5.0,5.0,2.5,10.0,16.5,10.0,22.0,13.0,17.0,21.0,18.0,21.0,19.0,8.0,4.0,16.0,7.0,11.0,11.0,15.0,27.0,29.0,23.5,17.0,16.0,19.0,14.0,19.0,14.0,19.0,20.0,13.0,6.0,18.0,14.333333333333336,14.0,12.75,13.375,13.0,16.0,11.0,11.0
2010.0,ATL,414.0,5458.0,1097.0,5.0,17.0,178.0,6.3,30.7,31.1,177.0,2.12,12.0,8.0,0.6666666666666666,353.0,361.0,577.0,3567.0,28.0,9.0,5.9,200.0,497.0,1891.0,14.0,3.8,111.0,58.0,598.0,42.0,39.3,9.0,87.95,62.6,4.9,1.6,6.5,6.7,10.3,90.8,23.0,158.0,6.2,3.8,118.37,-27.41,31.0,28.0,1.0,1.0,90.3,100.0,3.0,2.0,0.0,0.5469462169553327,0.4530537830446673,0.6535360938072554,0.3464639061927446,0.6666666666666666,0.33333333333333337,1.8018018018018016,0.555,0.1189801699716714,1.7105263157894737,5.0,16.0,1.0,26.0,1.5,11.5,1.5,6.5,2.0,7.0,3.0,1.5,11.5,1.5,6.5,4.0,7.0,8.0,15.0,8.5,4.5,21.0,9.0,5.0,12.0,10.0,26.5,9.0,1.0,2.0,1.0,6.0,3.0,8.0,10.0,14.0,3.0,26.5,13.0,30.0,10.5,3.0,3.0,12.0,3.5,6.0,12.0,11.0,7.0,4.0,12.5,24.0,9.0,17.0,16.0,14.5,18.5,14.5,19.0,14.0,1.0,15.0,12.583333333333336,9.7,11.4375,10.56875,13.0,10.0,11.0,5.0
2011.0,ATL,402.0,6026.0,1073.0,5.6,21.0,187.0,5.9,32.2,28.5,166.0,2.04,12.0,8.0,0.6666666666666666,349.0,365.0,594.0,4192.0,29.0,13.0,6.8,215.0,453.0,1834.0,14.0,4.0,100.0,93.0,769.0,34.0,37.4,10.7,66.87,61.4,4.9,2.2,7.3,7.3,12.0,91.1,26.0,173.0,6.8,4.2,113.03,-38.04,29.0,27.0,2.0,2.0,93.1,100.0,1.0,0.0,0.0,0.5778191985088537,0.4221808014911464,0.6956521739130435,0.3043478260869565,0.6744186046511628,0.32558139534883723,2.15,0.4651162790697674,0.09742120343839544,1.825,7.0,10.0,3.0,14.0,5.5,9.5,4.0,7.0,2.0,12.5,7.5,5.5,9.5,4.0,7.0,6.5,7.5,4.0,8.0,6.5,9.5,13.0,9.0,11.0,17.0,13.0,23.0,11.5,10.0,7.0,3.0,9.0,7.5,10.0,11.5,6.5,8.5,13.5,10.5,14.5,9.0,6.0,6.5,8.0,4.0,8.0,24.0,19.0,14.0,1.0,13.0,16.0,17.0,11.0,22.0,11.0,22.0,11.0,14.0,19.0,12.5,6.0,11.166666666666664,7.7,14.75,11.225,10.0,6.0,14.0,6.0
