Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
1996.0,TB,221.0,4316.0,996.0,4.3,34.0,,,,,,,,28.0,14.0,0.5,260.0,274.0,494.0,2727.0,12.0,20.0,5.2,152.0,472.0,1589.0,8.0,3.4,90.0,95.0,787.0,18.0,0.0,0.0,,55.5,2.4,4.0,6.0,4.6,10.7,64.4,30.0,217.0,3.9,5.7,,,32.0,25.0,3.0,1.0,78.1,94.7,2.0,1.0,0.0,-5.0,-72.0,-498.0,0.5261044176706827,0.4738955823293173,0.6318350324374421,0.3681649675625579,0.6,0.4,,1.6888888888888889,0.5921052631578947,0.06923076923076922,1.7647058823529411,30.0,28.0,22.0,29.0,23.5,,,,,,,,28.0,14.0,0.5,27.0,23.0,21.5,29.0,29.0,21.0,27.5,24.0,11.5,22.0,25.0,25.5,22.5,9.5,9.0,26.5,15.5,15.5,,22.0,30.0,24.0,27.5,29.0,26.0,29.0,7.5,11.0,28.5,11.5,,,10.5,11.5,16.0,28.0,22.0,25.0,24.0,22.0,9.0,22.0,9.0,18.0,13.0,18.0,9.0,19.0,12.0,21.0,15.5,26.91666666666667,23.55,21.9375,22.74375,,,28.0,29.0,23.0,28.0,,
1997.0,TB,299.0,4376.0,915.0,4.8,23.0,,,,,,,,31.0,11.0,0.3548387096774194,249.0,224.0,404.0,2442.0,21.0,12.0,5.6,134.0,479.0,1934.0,15.0,4.0,88.0,77.0,660.0,27.0,0.0,0.0,,55.4,5.2,3.0,6.5,6.2,11.8,80.4,32.0,196.0,5.3,7.3,,,17.0,13.0,3.0,1.0,76.5,91.4,3.0,0.0,0.0,3.0,36.0,-252.0,0.4765027322404372,0.5234972677595628,0.5580438756855576,0.4419561243144424,0.5833333333333334,0.4166666666666666,,1.5227272727272727,0.6567164179104478,0.10843373493975904,1.625,23.5,29.0,30.0,17.5,11.5,,,,,,,,31.0,11.0,0.3548387096774194,29.0,29.0,30.0,30.0,12.5,10.5,17.0,28.0,8.0,11.0,10.0,13.5,20.5,1.0,2.0,6.5,15.5,15.5,,20.0,6.0,16.5,19.5,14.0,19.0,12.0,6.5,4.0,15.0,16.0,,,29.0,28.5,19.5,30.0,12.5,12.0,18.0,27.0,4.0,28.0,3.0,18.0,13.0,18.0,3.0,23.0,8.0,3.0,18.0,20.58333333333333,18.85,11.9375,15.39375,,,23.0,24.0,11.0,18.0,,
1998.0,TB,314.0,4754.0,1000.0,4.8,31.0,188.0,5.4,25.0,33.0,160.0,1.53,30080.0,23.0,13.0,0.5652173913043478,262.0,234.0,449.0,2606.0,21.0,18.0,5.5,139.0,523.0,2148.0,12.0,4.1,111.0,99.0,840.0,12.0,28.2,16.0,,52.1,4.7,4.0,6.2,5.3,11.9,70.3,28.0,181.0,4.6,5.9,,,28.0,21.0,1.0,1.0,75.0,96.7,6.0,3.0,0.0,-5.0,19.0,409.0,0.47700000000000004,0.523,0.5481699621371476,0.4518300378628524,0.6363636363636364,0.3636363636363637,,1.2522522522522523,0.7985611510791367,0.04580152671755725,1.5121951219512195,18.0,22.0,17.0,22.0,18.0,188.0,5.4,25.0,33.0,160.0,1.53,30080.0,23.0,13.0,0.5652173913043478,26.0,30.0,29.0,27.0,15.0,20.5,21.0,28.0,3.0,4.0,13.5,11.0,7.0,7.0,7.0,30.0,17.0,20.0,,28.0,10.0,25.5,25.0,24.0,16.5,23.0,7.0,4.0,23.0,7.5,,,15.0,19.0,21.5,23.0,21.0,12.0,9.0,30.0,1.0,30.0,1.0,17.0,14.0,17.0,1.0,28.0,3.0,30.0,26.0,19.33333333333333,21.3,9.25,15.275,12.2,12.577272727272728,19.0,27.0,7.5,14.0,11.0,11.0
1999.0,TB,270.0,4254.0,991.0,4.3,35.0,206.0,5.0,20.5,32.2,150.0,1.24,30900.0,25.0,19.0,0.76,245.0,268.0,447.0,2478.0,18.0,16.0,5.1,132.0,502.0,1776.0,7.0,3.5,97.0,75.0,583.0,16.0,25.2,16.0,,60.0,4.0,3.6,6.2,5.4,10.4,76.5,42.0,303.0,4.3,8.6,,,32.0,27.0,4.0,3.0,84.4,100.0,2.0,0.0,1.0,-4.0,35.0,-26.0,0.4934409687184662,0.5065590312815338,0.5825105782792666,0.41748942172073344,0.72,0.28,,1.3608247422680413,0.7348484848484849,0.0653061224489796,1.7714285714285716,27.0,28.0,24.0,28.5,24.0,206.0,5.0,20.5,32.2,150.0,1.24,30900.0,25.0,19.0,0.76,29.0,30.0,31.0,30.0,23.0,12.5,26.0,30.0,4.0,15.0,27.5,23.5,14.5,2.0,2.0,30.0,24.0,22.0,,4.5,13.0,21.5,26.0,23.5,29.5,17.0,18.5,23.0,24.5,24.5,,,14.0,8.5,9.0,10.5,17.5,14.0,19.0,31.0,1.0,30.0,2.0,8.0,24.0,8.0,2.0,29.0,3.0,25.0,14.0,26.25,22.6,19.5,21.05,13.3,14.270523415977962,29.0,29.0,19.0,27.0,12.0,12.0
2013.0,CAR,366.0,5069.0,999.0,5.1,19.0,170.0,6.0,29.8,29.4,180.0,1.99,30600.0,12.0,6.0,0.5,319.0,292.0,473.0,3043.0,24.0,13.0,5.9,169.0,483.0,2026.0,14.0,4.2,122.0,80.0,671.0,28.0,36.5,9.4,70.12,61.7,5.1,2.7,7.1,6.9,11.6,88.8,43.0,336.0,5.7,8.3,54.85,17.76,27.0,24.0,6.0,6.0,88.9,100.0,0.0,0.0,0.0,11.0,125.0,249.0,0.5165165165165165,0.4834834834834834,0.6003156441112646,0.3996843558887354,0.631578947368421,0.368421052631579,,1.3852459016393444,0.7218934911242604,0.0877742946708464,1.6904761904761902,18.0,26.0,26.0,22.5,5.5,170.0,6.0,29.8,29.4,180.0,1.99,30600.0,12.0,6.0,0.5,15.0,28.0,30.0,29.0,16.5,13.5,19.0,25.0,7.0,11.0,14.5,15.0,2.0,5.5,4.0,17.5,12.0,7.0,10.0,12.0,9.0,16.0,14.0,12.5,14.5,13.0,18.0,28.0,17.5,25.5,17.0,,24.5,21.0,15.0,14.0,6.0,5.0,12.0,29.0,4.0,28.0,5.0,19.0,14.0,19.0,5.0,29.0,4.0,18.0,18.0,16.416666666666668,18.75,9.75,14.25,6.6,9.429476584022037,15.0,23.0,7.5,14.0,2.0,3.0
2014.0,CAR,339.0,5547.0,1060.0,5.2,23.0,178.0,6.2,31.0,27.7,174.0,1.79,30972.0,25.0,11.0,0.44,347.0,327.0,545.0,3511.0,23.0,12.0,6.0,199.0,473.0,2036.0,10.0,4.3,117.0,83.0,756.0,31.0,34.8,11.8,29.83,60.0,4.2,2.2,7.0,6.9,11.7,86.2,42.0,317.0,5.8,7.2,56.09,-18.45,35.0,29.0,3.0,1.0,82.9,100.0,2.0,1.0,0.0,3.0,-35.0,110.0,0.5537735849056604,0.4462264150943396,0.6329547503154859,0.3670452496845141,0.696969696969697,0.303030303030303,,1.7008547008547008,0.5879396984924623,0.0893371757925072,1.627906976744186,19.0,16.0,9.0,22.5,15.5,178.0,6.2,31.0,27.7,174.0,1.79,30972.0,25.0,11.0,0.44,9.0,19.5,19.0,19.0,15.5,10.0,21.5,14.0,8.0,7.0,22.0,13.0,3.0,4.0,6.0,17.0,14.0,16.0,16.0,24.5,17.0,11.0,22.0,16.0,15.0,19.0,20.5,25.0,20.0,21.5,17.0,,9.0,10.5,20.0,13.5,13.0,23.0,12.0,25.0,8.0,25.0,8.0,16.0,17.0,16.0,8.0,27.0,6.0,23.0,21.0,15.666666666666664,14.55,12.875,13.7125,13.9,15.722727272727273,14.0,15.0,12.5,12.0,13.0,17.0
2015.0,CAR,500.0,5871.0,1060.0,5.5,19.0,198.0,5.5,29.9,30.7,155.0,2.4,30690.0,12.0,9.0,0.75,357.0,300.0,501.0,3589.0,35.0,10.0,6.7,197.0,526.0,2282.0,19.0,4.3,136.0,103.0,887.0,24.0,42.9,9.6,125.65,59.9,7.0,2.0,7.7,8.2,12.9,99.2,33.0,284.0,7.2,6.2,122.36,1.76,36.0,30.0,4.0,2.0,83.3,94.9,0.0,0.0,0.0,20.0,192.0,704.0,0.5037735849056604,0.4962264150943396,0.6113098279679782,0.3886901720320218,0.6481481481481481,0.35185185185185186,,1.4485294117647058,0.6903553299492385,0.06722689075630252,1.7906976744186047,1.0,11.0,8.0,14.0,9.0,198.0,5.5,29.9,30.7,155.0,2.4,30690.0,12.0,9.0,0.75,4.0,29.0,27.0,24.0,4.0,8.0,10.0,16.0,1.0,2.0,2.0,9.5,1.0,10.0,14.0,26.5,2.0,9.5,5.0,26.5,1.5,12.0,7.5,5.0,3.0,7.0,12.5,25.0,6.5,21.0,9.0,,7.5,8.0,19.5,17.0,1.0,1.0,5.0,31.0,2.0,29.0,4.0,21.0,12.0,21.0,4.0,28.0,5.0,30.0,14.0,7.416666666666668,12.85,4.4375,8.64375,3.3,6.648622589531679,3.0,12.0,2.0,1.0,1.5,2.0
2016.0,CAR,369.0,5499.0,1052.0,5.2,29.0,193.0,5.6,28.5,30.4,153.0,1.81,29529.0,13.0,10.0,0.7692307692307693,318.0,306.0,563.0,3685.0,21.0,19.0,6.2,194.0,453.0,1814.0,16.0,4.0,99.0,98.0,835.0,25.0,34.7,14.0,-5.0,54.4,3.7,3.4,7.0,6.3,12.9,75.1,36.0,277.0,5.4,6.0,21.25,-24.98,38.0,30.0,6.0,3.0,78.9,91.2,6.0,3.0,1.0,-2.0,-33.0,-257.0,0.5693916349809885,0.43060836501901145,0.6701218403346063,0.3298781596653937,0.5675675675675675,0.4324324324324325,,1.95959595959596,0.5103092783505154,0.07861635220125786,1.75,15.0,19.0,8.5,22.5,28.0,193.0,5.6,28.5,30.4,153.0,1.81,29529.0,13.0,10.0,0.7692307692307693,20.0,30.0,20.5,21.5,19.5,28.5,20.0,20.0,7.5,10.0,11.0,21.5,11.0,7.0,7.0,26.5,20.0,26.0,23.0,32.0,20.0,28.5,18.5,25.0,2.0,29.0,19.5,26.0,24.5,21.0,26.0,,5.0,9.0,26.0,25.0,21.5,25.0,25.0,26.0,7.0,23.0,10.0,26.0,7.0,26.0,10.0,23.0,10.0,26.0,15.0,20.58333333333333,20.75,13.125,16.9375,19.1,18.939807162534443,22.5,26.0,11.0,19.0,23.0,25.0
Mean year,,334.75,4960.75,1009.125,4.9,26.625,188.83333333333334,5.616666666666666,27.45,30.566666666666666,162.0,1.7933333333333332,30461.833333333332,21.125,11.625,0.5799108587765671,294.625,278.125,484.5,3010.125,21.875,15.0,5.775,164.5,488.875,1950.625,12.625,3.975,107.5,88.75,752.375,22.625,25.2875,9.600000000000001,55.150000000000006,57.37499999999999,4.5375,3.1125,6.7125,6.225,11.7375,80.11250000000001,35.75,263.875,5.2749999999999995,6.9,63.6375,-5.977499999999999,30.625,24.875,3.75,2.25,80.99999999999999,96.1125,2.625,1.0,0.25,2.625,33.375,54.875,0.5145629299923015,0.4854370700076985,0.6044076889085936,0.3955923110914064,0.6354951662188505,0.3645048337811496,,1.5398648912488957,0.6615911393640551,0.07646585834474738,1.691551302171464,18.9375,22.375,18.0625,22.3125,16.875,188.83333333333334,5.616666666666666,27.45,30.566666666666666,162.0,1.7933333333333332,30461.833333333332,21.125,11.625,0.5799108587765671,19.875,27.3125,26.0,26.1875,16.875,15.5625,20.25,23.125,6.25,10.25,15.6875,16.5625,10.1875,5.75,6.375,22.5625,15.0,16.4375,13.5,21.1875,13.3125,19.375,20.0,18.625,15.6875,18.625,13.75,18.25,19.9375,18.5625,17.25,,14.3125,14.5,18.3125,20.125,14.3125,14.625,15.5,27.625,4.5,26.875,5.25,17.875,14.25,17.875,5.25,25.75,6.375,22.0,17.6875,19.14583333333333,19.150000000000002,12.8515625,16.000781250000003,11.4,12.931404958677687,19.1875,23.125,11.6875,16.625,10.416666666666666,11.666666666666666
Median year,,326.5,4911.5,999.5,4.949999999999999,26.0,190.5,5.55,29.15,30.549999999999997,157.5,1.8,30645.0,24.0,11.0,0.5326086956521738,290.0,283.0,483.5,2885.0,21.0,14.5,5.75,160.5,481.0,1980.0,13.0,4.05,105.0,89.0,771.5,24.5,31.450000000000003,10.7,49.975,57.7,4.45,3.2,6.75,6.25,11.75,78.45,34.5,280.5,5.35,6.7,55.47,-8.344999999999999,32.0,26.0,3.5,1.5,80.9,95.80000000000001,2.0,0.5,0.0,0.5,27.0,42.0,0.5101450507110885,0.4898549492889115,0.6058127360396214,0.3941872639603786,0.6339712918660287,0.36602870813397137,,1.4856283422459893,0.6735358739298432,0.07392356071601354,1.7202380952380951,18.5,24.0,19.5,22.5,16.75,190.5,5.55,29.15,30.549999999999997,157.5,1.8,30645.0,24.0,11.0,0.5326086956521738,23.0,29.0,28.0,28.0,16.0,13.0,20.5,24.5,7.25,10.5,14.0,14.25,9.0,6.25,6.5,26.5,15.5,15.75,13.0,23.25,11.5,19.0,20.75,19.75,15.75,18.0,15.25,24.0,21.5,21.0,17.0,,12.25,11.0,19.5,20.0,15.25,13.0,15.0,28.0,4.0,28.0,4.5,18.0,13.5,18.0,4.5,27.5,5.5,24.0,16.75,19.95833333333333,19.8,12.40625,15.334375000000001,12.75,13.423898071625345,20.75,25.0,11.0,16.0,11.5,11.5
