Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2007.0,PIT,393.0,5239.0,1000.0,5.2,22.0,175.0,5.9,29.8,32.4,184.0,2.11,21.0,8.0,0.3809523809523809,298.0,282.0,442.0,3071.0,34.0,14.0,6.3,179.0,511.0,2168.0,9.0,4.2,108.0,80.0,651.0,11.0,37.7,11.4,58.06,63.8,7.7,3.2,7.7,7.8,12.1,99.9,47.0,347.0,6.4,9.6,99.53,-32.69,25.0,23.0,1.0,0.0,92.0,100.0,2.0,2.0,0.0,0.489,0.511,0.5861805688108418,0.4138194311891582,0.7906976744186046,0.2093023255813954,1.6574074074074074,0.6033519553072626,0.03691275167785235,1.8333333333333333,9.5,17.0,18.5,17.0,7.0,11.0,2.0,5.0,11.0,6.5,6.0,7.0,11.0,2.0,5.0,17.0,27.0,31.0,22.0,3.0,8.0,14.0,17.0,3.0,3.0,23.0,8.5,10.0,9.0,11.0,31.0,7.0,5.0,6.0,9.0,2.0,15.5,3.5,3.5,4.0,2.0,25.5,31.0,7.0,31.0,6.0,17.0,26.0,22.5,1.0,12.0,30.0,3.0,28.0,5.0,2.0,31.0,2.0,22.0,11.0,31.0,12.0,12.0,12.1,10.0,11.05,9.0,11.0,7.0,5.0
2008.0,PIT,347.0,4991.0,1015.0,4.9,25.0,190.0,5.5,26.1,31.1,160.0,1.72,28.0,10.0,0.35714285714285715,290.0,303.0,506.0,3301.0,19.0,15.0,5.9,179.0,460.0,1690.0,16.0,3.7,93.0,95.0,812.0,18.0,32.6,12.6,-27.31,59.9,3.8,3.0,7.1,6.5,11.9,81.9,49.0,306.0,5.4,8.8,45.99,-62.68,31.0,27.0,2.0,1.0,87.1,97.3,1.0,0.0,1.0,0.5467980295566502,0.4532019704433498,0.6613905029052294,0.3386094970947706,0.5428571428571428,0.4571428571428572,1.924731182795699,0.5195530726256983,0.06206896551724138,1.9189189189189184,20.0,22.0,10.0,24.5,20.5,24.5,18.0,19.0,25.5,15.0,15.0,20.5,24.5,18.0,19.0,20.0,20.5,20.0,17.0,18.0,18.0,21.0,14.0,9.0,23.0,12.0,29.0,24.0,20.0,25.0,22.0,21.0,16.0,19.0,20.0,17.0,21.5,14.0,16.0,9.5,17.0,29.0,29.0,19.0,29.0,14.0,30.0,18.0,16.0,14.0,29.0,20.0,13.0,13.0,20.0,22.0,11.0,22.0,11.0,22.0,22.0,5.0,21.166666666666668,15.8,18.375,17.0875,23.0,19.0,18.5,22.0
2009.0,PIT,368.0,5941.0,1014.0,5.9,25.0,183.0,5.7,32.4,29.5,172.0,1.9,21.0,11.0,0.5238095238095238,331.0,351.0,536.0,4148.0,28.0,14.0,7.1,210.0,428.0,1793.0,10.0,4.2,96.0,85.0,769.0,25.0,35.5,12.6,63.95,65.5,5.2,2.6,8.4,8.3,12.8,98.1,50.0,348.0,7.0,8.5,99.35,-31.47,31.0,27.0,2.0,0.0,87.1,100.0,0.0,0.0,0.0,0.5779092702169625,0.4220907297830375,0.6981989564046457,0.3018010435953543,0.7368421052631579,0.2631578947368421,2.1875,0.4571428571428571,0.0755287009063444,2.0,12.0,7.0,16.5,5.5,13.0,7.0,4.0,12.5,11.0,19.0,13.0,13.0,7.0,4.0,12.5,9.0,9.0,18.5,9.0,8.0,13.0,7.5,8.0,18.0,19.0,20.5,16.5,16.0,9.5,16.0,13.0,9.0,12.0,11.0,7.0,6.5,11.5,2.0,6.0,4.0,5.0,31.0,32.0,9.0,30.0,10.0,17.0,11.0,7.5,9.0,8.5,13.0,20.0,7.0,26.0,6.0,27.0,6.0,9.0,24.0,18.0,4.0,10.833333333333336,7.75,18.5625,13.15625,8.0,9.0,18.0,9.0
2010.0,PIT,375.0,5525.0,993.0,5.6,18.0,179.0,5.8,30.8,31.5,174.0,1.93,22.0,9.0,0.4090909090909091,295.0,298.0,479.0,3601.0,22.0,9.0,6.9,175.0,471.0,1924.0,15.0,4.1,106.0,100.0,903.0,14.0,36.9,9.5,49.6,62.2,4.6,1.9,8.1,8.2,13.1,95.2,43.0,289.0,7.0,8.2,96.31,-45.75,37.0,29.0,4.0,2.0,78.4,100.0,2.0,2.0,0.0,0.525679758308157,0.47432024169184295,0.6517647058823529,0.3482352941176471,0.5945945945945946,0.4054054054054054,1.650943396226415,0.6057142857142858,0.04745762711864407,1.9756097560975607,12.0,14.0,21.0,9.0,9.0,10.0,3.0,10.0,14.5,10.5,4.5,9.0,10.0,3.0,10.0,20.5,21.0,27.0,14.0,21.0,4.5,5.0,17.5,8.0,11.0,8.0,17.5,10.0,20.0,24.0,32.0,8.0,6.0,10.0,11.0,16.5,5.0,2.0,3.0,2.0,5.0,25.0,24.0,4.0,29.0,8.0,22.0,6.0,6.0,25.0,12.5,27.0,6.0,18.0,15.0,24.0,9.0,24.0,24.0,9.0,32.0,3.0,12.25,12.0,10.5,11.25,11.0,12.0,9.0,8.0
2011.0,PIT,325.0,5957.0,1015.0,5.9,28.0,168.0,6.2,35.4,26.8,186.0,1.83,16.0,13.0,0.8125,341.0,341.0,539.0,4054.0,21.0,15.0,7.0,221.0,434.0,1903.0,13.0,4.4,96.0,101.0,854.0,24.0,33.9,16.7,68.04,63.3,3.9,2.8,8.0,7.6,12.7,89.7,42.0,279.0,6.5,7.2,95.51,-17.78,31.0,23.0,2.0,1.0,74.2,100.0,0.0,0.0,2.0,0.5724137931034483,0.4275862068965517,0.6805438979352023,0.3194561020647977,0.6176470588235294,0.38235294117647056,2.302083333333333,0.4343891402714932,0.07038123167155426,1.8181818181818181,21.5,12.0,17.0,10.5,3.5,5.0,1.0,14.0,8.0,27.0,21.0,3.5,5.0,1.0,14.0,9.0,13.0,19.0,10.0,15.0,17.5,8.0,6.0,19.0,14.0,15.0,10.0,16.0,16.5,19.0,24.0,14.0,29.0,9.0,6.0,18.5,17.0,5.0,8.0,9.0,10.0,23.5,24.0,10.0,23.0,9.0,13.0,14.5,23.5,31.5,13.0,17.0,16.0,13.0,20.0,22.0,11.0,22.0,12.0,21.0,27.0,7.0,13.583333333333336,10.85,16.25,13.55,13.0,9.0,17.0,12.0
2012.0,PIT,336.0,5324.0,1023.0,5.2,30.0,186.0,5.7,28.6,26.8,166.0,1.77,33.0,16.0,0.4848484848484849,307.0,354.0,574.0,3787.0,27.0,14.0,6.2,202.0,412.0,1537.0,8.0,3.7,80.0,92.0,938.0,25.0,33.9,15.6,1.4,61.7,4.7,2.4,7.0,6.8,11.3,88.1,37.0,225.0,6.1,6.1,65.43,-58.31,31.0,28.0,3.0,1.0,90.3,100.0,2.0,1.0,0.0,0.5972629521016618,0.4027370478983382,0.7113072877535688,0.2886927122464312,0.7714285714285715,0.2285714285714285,2.525,0.3960396039603961,0.08143322475570032,1.8918918918918919,22.0,21.0,13.0,22.5,14.0,22.0,5.0,18.0,31.0,27.5,26.0,14.0,22.0,5.0,18.0,17.0,10.5,12.0,14.0,9.0,13.0,17.0,10.0,20.0,26.0,27.5,28.5,23.0,6.5,24.0,20.5,17.0,28.0,18.0,14.0,13.5,11.0,16.5,15.5,23.0,12.5,18.5,14.0,15.0,14.5,15.0,29.0,19.5,14.0,7.0,14.0,12.0,21.0,10.0,23.0,8.0,25.0,8.0,8.0,25.0,21.0,5.0,21.91666666666667,10.7,25.75,18.225,24.0,8.0,27.0,22.0
2013.0,PIT,379.0,5400.0,1023.0,5.3,24.0,189.0,5.6,28.6,29.8,157.0,1.85,16.0,10.0,0.625,312.0,377.0,586.0,4017.0,28.0,14.0,6.4,207.0,394.0,1383.0,9.0,3.5,81.0,80.0,677.0,24.0,35.4,12.7,12.94,64.3,4.8,2.4,7.3,7.2,11.4,92.3,43.0,289.0,6.3,6.8,68.54,-55.82,32.0,30.0,0.0,0.0,93.8,100.0,2.0,1.0,1.0,0.6148582600195504,0.3851417399804497,0.7438888888888889,0.2561111111111111,0.7567567567567568,0.2432432432432432,2.5555555555555562,0.39130434782608703,0.07692307692307693,2.085714285714286,16.5,20.0,18.5,17.0,15.0,17.0,10.5,17.0,7.5,20.0,14.0,15.0,17.0,10.5,17.0,17.0,7.0,13.5,12.0,9.0,15.0,12.5,9.0,25.0,27.5,25.5,29.5,24.0,5.5,5.0,23.5,13.0,18.0,18.0,6.0,11.0,14.0,11.5,10.0,18.0,8.0,18.0,20.0,11.5,18.0,14.0,29.0,13.5,10.5,3.0,14.0,8.0,25.0,5.0,28.0,6.0,27.0,6.0,8.0,25.0,24.0,1.0,18.25,9.85,25.5625,17.70625,21.0,10.0,28.0,20.0
2014.0,PIT,436.0,6577.0,1068.0,6.2,21.0,174.0,6.3,37.5,25.7,179.0,2.23,16.0,11.0,0.6875,379.0,411.0,612.0,4825.0,33.0,10.0,7.5,243.0,423.0,1752.0,10.0,4.1,98.0,103.0,834.0,38.0,41.4,11.5,162.53,67.2,5.4,1.6,8.2,8.5,12.2,103.2,33.0,172.0,7.8,5.1,189.59,-29.11,32.0,29.0,3.0,1.0,90.6,100.0,4.0,4.0,1.0,0.6039325842696629,0.3960674157303371,0.7336171506766003,0.2663828493233997,0.7674418604651163,0.2325581395348837,2.479591836734694,0.4032921810699589,0.10026385224274406,2.0,7.0,2.0,6.0,1.5,2.0,2.0,1.0,6.0,7.0,21.0,10.0,2.0,2.0,1.0,6.0,2.0,3.0,6.0,2.0,6.5,5.5,2.5,3.0,15.0,16.0,22.0,17.5,13.5,13.0,9.5,4.5,4.0,14.0,4.0,3.0,6.5,5.0,3.5,3.0,8.0,3.0,16.0,7.0,3.0,12.5,4.0,18.0,16.0,10.5,4.5,13.5,13.0,20.0,6.0,27.0,7.0,26.0,7.0,10.0,23.0,14.0,5.0,6.833333333333332,3.7,17.875,10.7875,2.0,1.0,19.0,8.0
2015.0,PIT,423.0,6327.0,1011.0,6.3,28.0,190.0,5.5,33.3,28.2,150.0,2.1,16.0,7.0,0.4375,331.0,391.0,590.0,4603.0,26.0,21.0,7.4,207.0,388.0,1724.0,16.0,4.4,91.0,94.0,868.0,33.0,40.5,13.7,115.87,66.3,4.4,3.6,8.2,7.5,12.3,91.2,33.0,219.0,6.7,5.3,138.45,-18.38,42.0,35.0,2.0,2.0,83.3,94.1,11.0,8.0,0.0,0.6162215628090999,0.3837784371909001,0.7275169906748854,0.2724830093251146,0.6190476190476191,0.3809523809523809,2.2747252747252737,0.4396135265700483,0.09969788519637462,1.8636363636363635,4.5,3.0,22.5,1.5,25.0,7.0,21.0,7.0,5.5,4.0,23.5,25.0,7.0,21.0,7.0,12.5,9.0,16.0,3.0,16.5,29.5,2.0,13.0,24.0,16.0,7.5,8.0,17.0,3.5,10.0,15.5,5.0,22.0,6.0,5.5,18.0,30.0,3.0,10.0,5.5,14.0,12.5,11.0,9.5,11.0,6.0,6.0,1.0,1.0,19.5,18.0,13.0,20.0,9.0,24.0,24.0,9.0,24.0,18.0,15.0,16.0,9.0,8.916666666666666,12.35,12.5,12.425,6.0,11.0,12.0,9.0
2016.0,PIT,399.0,5962.0,1026.0,5.8,18.0,213.0,5.8,33.2,27.7,164.0,2.16,15.0,3.0,0.2,336.0,381.0,596.0,4202.0,33.0,15.0,6.8,210.0,409.0,1760.0,13.0,4.3,97.0,112.0,1068.0,29.0,39.4,10.8,122.31,63.9,5.5,2.5,7.3,7.3,11.5,93.9,21.0,175.0,6.8,3.4,154.88,-16.84,28.0,24.0,2.0,0.0,85.7,100.0,9.0,3.0,1.0,0.601364522417154,0.398635477582846,0.7047970479704797,0.2952029520295203,0.7173913043478259,0.28260869565217395,2.164948453608248,0.4619047619047619,0.08630952380952381,1.6976744186046513,10.5,7.0,14.0,7.5,16.0,8.5,12.0,8.0,4.5,1.0,12.0,16.0,8.5,12.0,8.0,12.0,8.0,9.5,5.5,4.5,19.5,8.5,11.0,16.5,14.0,17.5,13.5,14.0,23.5,27.0,18.0,9.0,15.0,7.0,14.0,8.5,19.5,13.5,14.0,16.5,11.0,2.0,7.0,8.5,2.0,6.0,15.0,23.5,22.0,13.5,3.0,16.0,17.0,15.0,18.0,7.0,26.0,7.0,20.0,13.0,21.0,18.0,10.583333333333334,9.15,13.5,11.325,8.0,6.0,13.0,8.0
