Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2009.0,NO,510.0,6461.0,1032.0,6.3,28.0,185.0,5.7,34.9,31.4,164.0,2.44,25.0,16.0,0.64,348.0,378.0,544.0,4355.0,34.0,12.0,7.7,215.0,468.0,2106.0,21.0,4.5,115.0,89.0,787.0,18.0,41.6,13.5,170.92,69.5,6.3,2.2,8.3,8.5,11.9,106.0,20.0,135.0,8.0,3.5,188.33,-12.64,28.0,22.0,1.0,0.0,78.6,95.2,1.0,0.0,0.0,0.5465116279069767,0.4534883720930233,0.6740442655935613,0.32595573440643866,0.6181818181818182,0.3818181818181817,1.8695652173913044,0.5348837209302325,0.05172413793103448,1.8444444444444448,1.0,1.0,9.5,1.5,13.0,3.0,12.5,2.0,21.0,29.5,17.0,13.0,3.0,12.5,2.0,2.0,5.0,15.0,4.0,2.0,6.0,2.0,6.5,7.5,6.0,3.5,6.0,5.0,13.0,17.0,24.0,3.0,16.5,1.0,1.0,1.0,6.5,3.0,4.0,9.0,2.0,4.0,5.0,2.0,4.0,4.0,12.0,20.0,20.0,24.0,31.0,24.0,9.0,14.0,19.0,22.0,11.0,22.0,17.0,16.0,29.0,9.0,4.833333333333333,3.9,8.375,6.1375,1.0,1.0,6.0,1.0
2010.0,NO,384.0,5960.0,1067.0,5.6,31.0,174.0,6.3,34.2,29.2,177.0,2.12,23.0,9.0,0.39130434782608703,351.0,450.0,661.0,4441.0,33.0,22.0,6.5,236.0,380.0,1519.0,9.0,4.0,94.0,90.0,884.0,21.0,38.5,16.7,98.07,68.1,5.0,3.3,7.0,6.5,10.3,90.8,26.0,195.0,6.0,3.8,137.35,-36.1,31.0,25.0,2.0,2.0,80.6,100.0,0.0,0.0,1.0,0.6438612933458294,0.3561387066541706,0.7451342281879194,0.2548657718120806,0.7857142857142857,0.2142857142857143,2.5106382978723403,0.3983050847457627,0.05982905982905984,1.75,11.0,6.0,4.0,9.0,1.5,3.0,1.5,6.5,18.0,10.5,23.0,1.5,3.0,1.5,6.5,5.0,1.5,2.0,3.0,2.5,30.0,9.5,2.5,30.0,28.0,26.0,20.5,15.5,12.5,22.0,19.5,7.0,27.0,6.0,1.0,11.0,20.0,17.0,16.0,30.0,10.5,5.0,9.5,15.0,3.5,5.0,19.0,11.0,14.0,21.0,12.5,3.0,30.0,2.0,31.0,2.0,31.0,2.0,4.5,28.5,26.0,13.0,12.5,8.2,23.0625,15.63125,12.0,6.0,26.0,17.0
2011.0,NO,547.0,7474.0,1117.0,6.7,19.0,175.0,6.6,42.6,28.2,175.0,2.96,6.0,5.0,0.8333333333333334,416.0,472.0,662.0,5347.0,46.0,14.0,7.8,280.0,431.0,2127.0,16.0,4.9,116.0,99.0,851.0,20.0,51.4,10.9,330.95,71.3,6.9,2.1,8.3,8.8,11.7,110.5,24.0,158.0,8.2,3.5,294.47,43.36,34.0,28.0,5.0,2.0,82.4,100.0,3.0,2.0,0.0,0.6141450313339302,0.3858549686660698,0.7154134332352154,0.2845865667647845,0.7419354838709677,0.25806451612903225,2.413793103448276,0.4142857142857143,0.04807692307692308,1.6938775510204085,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.5,4.5,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,14.0,3.0,1.0,20.0,6.0,8.0,4.5,6.0,14.0,16.0,28.5,1.0,9.0,1.0,1.0,2.0,6.5,4.0,3.0,18.0,2.0,2.5,3.0,3.0,1.0,1.0,3.0,10.0,11.5,19.0,13.0,4.0,29.0,6.0,27.0,5.0,28.0,5.0,9.0,24.0,31.0,18.0,2.6666666666666665,3.25,7.625,5.4375,1.0,3.0,6.0,1.0
2012.0,NO,461.0,6574.0,1067.0,6.2,24.0,190.0,5.7,34.7,24.2,146.0,2.24,13.0,5.0,0.38461538461538464,352.0,423.0,671.0,4997.0,43.0,19.0,7.2,267.0,370.0,1577.0,10.0,4.3,64.0,104.0,911.0,21.0,37.4,12.1,142.9,63.0,6.4,2.8,7.7,7.7,12.3,96.4,26.0,190.0,7.2,3.7,157.98,-7.95,22.0,18.0,4.0,3.0,81.8,100.0,1.0,1.0,0.0,0.6532333645735707,0.3467666354264293,0.7601156069364162,0.2398843930635837,0.8113207547169812,0.18867924528301885,4.171875,0.2397003745318352,0.05965909090909091,1.7906976744186047,3.0,2.0,7.0,1.5,14.0,2.0,27.0,4.5,3.5,3.5,14.5,14.0,2.0,27.0,4.5,5.0,3.0,2.0,1.0,1.0,29.0,2.5,2.0,29.0,25.0,22.5,12.5,31.0,21.5,22.0,30.0,10.0,15.0,5.0,10.0,3.0,19.0,7.5,8.0,7.0,8.0,3.5,7.0,5.0,3.0,5.0,11.0,31.0,31.0,20.5,14.0,4.0,29.0,3.0,30.0,5.0,28.0,5.0,1.0,32.0,32.0,9.0,6.583333333333332,6.45,21.375,13.9125,3.0,5.0,24.0,13.0
2013.0,NO,414.0,6391.0,1079.0,5.9,19.0,181.0,6.1,35.3,27.8,173.0,2.29,12.0,7.0,0.5833333333333334,359.0,446.0,651.0,4918.0,39.0,12.0,7.1,244.0,391.0,1473.0,10.0,3.8,87.0,95.0,817.0,28.0,40.3,8.3,152.24,68.5,6.0,1.8,7.9,8.3,11.6,104.5,37.0,244.0,7.5,5.4,177.27,-22.06,32.0,24.0,1.0,1.0,75.0,100.0,1.0,0.0,0.0,0.6376274328081557,0.3623725671918443,0.7695196369895165,0.2304803630104835,0.7959183673469388,0.20408163265306128,2.8045977011494254,0.35655737704918034,0.07799442896935932,2.0789473684210527,10.0,4.0,9.0,5.5,2.0,3.0,3.0,3.0,1.5,6.0,5.5,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,11.0,4.0,2.0,26.0,25.0,23.5,25.5,21.0,12.0,16.0,17.5,6.0,2.0,3.0,2.0,4.0,5.0,6.0,5.0,14.5,3.0,9.5,12.0,4.0,7.0,3.0,19.0,13.5,21.0,30.0,14.0,5.0,28.0,2.0,31.0,2.0,31.0,2.0,3.0,30.0,23.0,3.0,8.833333333333334,3.4,21.9375,12.66875,6.0,2.0,24.0,10.0
2014.0,NO,401.0,6582.0,1095.0,6.0,30.0,174.0,6.4,37.7,25.5,169.0,2.3,22.0,13.0,0.5909090909090909,395.0,456.0,659.0,4764.0,33.0,17.0,6.9,258.0,406.0,1818.0,16.0,4.5,101.0,80.0,670.0,36.0,39.1,16.7,142.36,69.2,5.0,2.6,7.5,7.4,10.9,97.0,30.0,188.0,6.8,4.4,143.71,4.07,22.0,19.0,2.0,1.0,86.4,97.9,1.0,0.0,2.0,0.6292237442922375,0.3707762557077625,0.7237921604375569,0.276207839562443,0.6734693877551021,0.326530612244898,2.5544554455445545,0.39147286821705424,0.09113924050632913,1.6666666666666667,9.0,1.0,3.0,4.5,1.0,1.0,9.0,5.0,20.0,26.5,28.0,1.0,1.0,9.0,5.0,1.0,1.0,2.0,3.0,6.5,24.5,6.5,1.0,19.0,13.0,6.5,7.5,11.0,2.0,3.0,9.5,9.0,30.0,5.0,1.0,8.0,19.0,9.0,8.0,25.5,6.0,10.5,11.0,7.0,6.5,8.0,2.0,30.0,30.0,11.0,27.0,5.0,28.0,10.0,23.0,18.0,15.0,18.0,9.0,24.0,20.0,20.0,8.833333333333334,7.35,12.875,10.1125,6.0,6.0,12.5,6.0
2015.0,NO,408.0,6461.0,1096.0,5.9,20.0,182.0,6.2,35.5,26.4,165.0,2.14,17.0,8.0,0.4705882352941176,381.0,460.0,667.0,4970.0,32.0,12.0,7.1,247.0,397.0,1491.0,16.0,3.8,98.0,130.0,1112.0,36.0,36.3,10.4,144.2,69.0,4.8,1.8,7.8,8.0,11.3,100.6,32.0,235.0,7.3,4.6,178.88,-19.87,26.0,18.0,5.0,3.0,69.2,95.7,4.0,1.0,0.0,0.6377737226277372,0.3622262773722628,0.7692307692307693,0.23076923076923075,0.6666666666666666,0.33333333333333337,2.520408163265306,0.3967611336032389,0.09448818897637797,2.0526315789473686,8.0,2.0,4.0,4.0,3.0,1.0,11.0,6.0,9.0,10.5,11.5,3.0,1.0,11.0,6.0,1.0,1.0,2.5,1.0,10.0,13.5,4.5,1.0,20.0,24.0,7.5,26.0,12.0,28.0,29.0,8.0,11.0,14.0,2.0,2.0,14.0,5.5,5.0,6.0,18.0,6.0,9.0,15.0,5.0,6.0,2.0,9.0,28.0,30.0,31.0,13.0,6.0,27.0,2.0,31.0,19.5,13.5,19.5,12.0,21.0,19.0,5.0,8.833333333333334,4.8,16.4375,10.61875,5.0,2.0,17.0,4.0
2016.0,NO,469.0,6816.0,1105.0,6.2,24.0,181.0,6.3,37.8,27.4,164.0,2.59,17.0,9.0,0.5294117647058824,395.0,472.0,674.0,5074.0,38.0,15.0,7.2,265.0,404.0,1742.0,17.0,4.3,105.0,107.0,969.0,25.0,45.9,12.7,181.68,70.0,5.6,2.2,7.8,7.9,11.1,102.5,27.0,184.0,7.4,3.9,179.51,15.68,34.0,28.0,7.0,3.0,82.4,98.0,5.0,2.0,1.0,0.6343891402714932,0.3656108597285068,0.744424882629108,0.255575117370892,0.6909090909090909,0.3090909090909091,2.5238095238095237,0.3962264150943397,0.06329113924050632,1.8139534883720927,2.0,1.0,1.0,3.0,2.5,2.0,12.0,2.0,8.5,17.5,19.5,2.5,2.0,12.0,2.0,1.0,1.0,2.0,1.0,2.5,19.5,4.0,1.0,19.0,16.0,7.5,13.5,8.0,16.5,23.0,26.5,2.0,22.0,4.0,2.0,7.0,15.5,6.0,5.5,20.0,4.0,6.0,10.0,5.0,5.0,4.0,4.0,13.0,12.5,21.0,7.0,5.0,28.0,3.0,30.0,9.0,24.0,9.0,8.0,25.0,31.0,14.0,6.833333333333332,5.0,13.125,9.0625,3.0,2.0,11.0,4.0
Mean year,,449.25,6589.875,1082.25,6.1,24.375,180.25,6.1625,36.5875,27.512500000000003,166.625,2.3850000000000002,16.875,9.0,0.5529369362521537,374.625,444.625,648.625,4858.25,37.25,15.375,7.1875,251.5,405.875,1731.625,14.375,4.2625,97.5,99.25,875.125,25.625,41.31249999999999,12.662500000000001,170.41500000000002,68.57499999999999,5.75,2.3499999999999996,7.7875,7.887499999999999,11.3875,101.03750000000001,27.75,191.125,7.299999999999999,4.1,182.18750000000003,-4.43875,28.625,22.75,3.375,1.875,79.55,98.35000000000001,2.0,0.75,0.5,0.6245956696449912,0.3754043303550087,0.7377093729050078,0.26229062709499207,0.7230144818952313,0.2769855181047686,2.6711428065600913,0.3910240860571697,0.06827527617983513,1.8364023465363297,5.75,2.25,4.8125,3.75,4.75,2.0,9.875,3.75,10.3125,13.3125,15.4375,4.75,2.0,9.875,3.75,2.5,1.9375,3.9375,2.0,3.5625,18.4375,4.5,2.125,21.3125,17.875,13.125,14.5,13.6875,14.9375,18.5,20.4375,6.125,16.9375,3.375,2.5,6.25,12.125,7.1875,6.9375,17.75,5.1875,6.25,9.0625,5.75,4.5,4.0,9.875,19.5625,21.25,22.1875,16.4375,7.0,26.0,5.25,27.75,10.3125,22.6875,10.3125,7.9375,25.0625,26.375,11.375,7.489583333333334,5.293749999999999,15.6015625,10.44765625,4.625,3.375,15.8125,7.0
Median year,,437.5,6517.5,1087.0,6.1,24.0,181.0,6.25,35.4,27.6,167.0,2.295,17.0,8.5,0.5563725490196079,370.0,453.0,661.5,4944.0,36.0,14.5,7.15,252.5,400.5,1659.5,16.0,4.3,99.5,97.0,867.5,23.0,39.7,12.399999999999999,148.22,69.1,5.8,2.2,7.8,7.95,11.45,101.55,26.5,189.0,7.35,3.8499999999999996,178.075,-10.295,29.5,23.0,3.0,2.0,81.19999999999999,99.0,1.0,0.5,0.0,0.6360082865398244,0.36399171346017556,0.7447795554085137,0.2552204445914863,0.7164222873900293,0.28357771260997067,2.522108843537415,0.3964937743487893,0.06156009953478308,1.8023255813953487,5.5,1.5,4.0,3.5,2.25,2.0,10.0,3.75,8.75,10.5,15.75,2.25,2.0,10.0,3.75,1.5,1.25,2.0,1.5,2.25,16.75,4.0,1.5,20.0,20.0,7.75,13.0,11.5,13.5,19.5,21.75,6.5,15.75,3.5,1.5,5.5,11.0,6.0,5.75,18.0,5.0,5.5,9.75,5.0,4.5,4.0,10.0,16.75,20.5,21.0,13.5,5.0,28.0,3.0,30.0,7.0,26.0,7.0,8.5,24.5,27.5,11.0,7.833333333333333,4.9,14.78125,10.365625000000001,4.0,2.5,14.75,5.0
