Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
1994.0,NYJ,264.0,4703.0,983.0,4.8,28.0,,,,,,,,28.0,10.0,0.35714285714285715,265.0,310.0,539.0,3137.0,18.0,18.0,5.5,164.0,416.0,1566.0,8.0,3.8,90.0,95.0,754.0,11.0,0.0,0.0,,57.5,3.3,3.3,6.2,5.3,10.7,72.9,28.0,186.0,4.7,4.9,,,23.0,20.0,0.0,0.0,87.0,96.3,2.0,2.0,0.0,10.0,-56.0,-635.0,0.5768056968463886,0.4231943031536114,0.6670210503933659,0.3329789496066341,0.6923076923076923,0.3076923076923077,,1.8222222222222224,0.5487804878048781,0.04150943396226415,1.6315789473684212,25.0,22.0,19.0,22.0,12.5,,,,,,,,28.0,10.0,0.35714285714285715,26.0,12.0,14.0,20.0,19.5,18.0,24.0,16.5,22.0,16.0,23.0,11.0,17.5,12.0,9.0,28.0,14.5,14.5,,16.5,21.5,17.0,25.0,24.5,26.0,21.0,10.5,12.0,23.5,10.0,,,25.5,21.0,4.0,24.0,5.0,21.0,25.0,14.0,15.0,15.0,14.0,8.0,21.0,8.0,14.0,15.0,14.0,28.0,23.0,20.08333333333333,16.75,17.0625,16.90625,,,23.0,22.0,19.0,21.0,,
1997.0,NE,369.0,5014.0,960.0,5.2,22.0,,,,,,,,17.0,7.0,0.4117647058823529,267.0,321.0,532.0,3550.0,31.0,15.0,6.3,173.0,398.0,1464.0,6.0,3.7,71.0,99.0,845.0,23.0,0.0,0.0,,60.3,5.8,2.8,7.2,7.1,11.9,89.9,30.0,258.0,6.2,5.3,,,29.0,25.0,1.0,1.0,86.2,100.0,1.0,0.0,1.0,10.0,80.0,-71.0,0.5854166666666667,0.4145833333333333,0.7080175508575988,0.29198244914240123,0.8378378378378378,0.16216216216216214,,2.4366197183098586,0.4104046242774567,0.08614232209737828,1.9459459459459456,8.0,15.0,27.0,9.0,8.5,,,,,,,,17.0,7.0,0.4117647058823529,26.0,6.0,15.0,7.0,2.0,14.5,6.0,11.5,28.0,26.0,28.5,21.5,29.0,13.0,14.0,15.5,15.5,15.5,,4.0,2.0,14.0,5.5,8.0,16.0,4.5,4.0,15.0,5.5,4.0,,,17.0,13.5,5.0,11.0,4.5,5.0,14.0,7.0,24.0,3.0,28.0,1.0,30.0,1.0,28.0,1.0,30.0,12.0,5.0,14.166666666666664,6.95,23.8125,15.38125,,,13.0,4.0,27.0,17.0,,
1998.0,NE,337.0,5140.0,999.0,5.1,24.0,193.0,5.5,26.7,31.3,146.0,1.62,28178.0,20.0,7.0,0.35,281.0,295.0,556.0,3660.0,23.0,17.0,6.1,184.0,403.0,1480.0,9.0,3.7,68.0,108.0,853.0,29.0,32.6,13.5,,53.1,4.1,3.1,7.2,6.7,13.6,77.4,40.0,344.0,5.6,6.7,,,39.0,31.0,2.0,2.0,79.5,100.0,3.0,1.0,0.0,7.0,8.0,-42.0,0.5965965965965966,0.4034034034034034,0.7120622568093385,0.28793774319066145,0.71875,0.28125,,2.7058823529411766,0.3695652173913043,0.10320284697508897,1.9459459459459456,11.0,11.0,18.0,13.0,9.5,193.0,5.5,26.7,31.3,146.0,1.62,28178.0,20.0,7.0,0.35,15.5,13.0,6.0,5.0,12.5,17.0,10.5,8.0,26.0,27.0,22.5,23.0,28.5,11.0,10.5,13.0,11.0,12.5,,25.0,15.0,15.5,9.5,10.0,3.0,17.0,17.0,25.0,11.0,15.5,,,3.0,4.0,17.0,9.0,9.0,14.0,15.0,5.0,26.0,2.0,29.0,7.0,24.0,7.0,29.0,1.0,30.0,11.0,6.0,13.416666666666664,9.8,22.75,16.275,13.4,13.649035812672176,12.0,6.0,28.0,17.0,12.0,12.0
1999.0,NE,299.0,5062.0,1021.0,5.0,33.0,206.0,5.1,24.5,33.0,136.0,1.33,28016.0,27.0,12.0,0.4444444444444444,280.0,305.0,540.0,3636.0,19.0,21.0,6.1,184.0,425.0,1426.0,9.0,3.4,72.0,95.0,812.0,24.0,26.2,15.5,,56.5,3.5,3.9,7.4,6.3,13.1,75.4,56.0,349.0,5.2,9.4,,,33.0,26.0,2.0,1.0,78.8,96.7,2.0,0.0,0.0,-2.0,15.0,254.0,0.5837414299706171,0.4162585700293829,0.7182931647570129,0.281706835242987,0.6785714285714286,0.3214285714285714,,2.555555555555556,0.39130434782608703,0.08571428571428573,2.1764705882352944,20.5,18.0,17.0,15.5,19.5,206.0,5.1,24.5,33.0,136.0,1.33,28016.0,27.0,12.0,0.4444444444444444,21.0,16.0,15.0,10.0,20.0,25.0,10.0,11.0,18.0,23.0,22.0,26.0,26.0,7.0,10.0,15.0,23.0,19.5,,20.5,22.0,27.0,6.5,12.5,4.0,18.0,28.5,29.0,15.5,28.5,,,11.0,10.5,18.0,25.0,15.5,16.0,12.0,12.0,20.0,8.0,24.0,13.5,18.5,13.5,24.0,5.0,27.0,15.0,2.0,19.166666666666668,14.55,22.0625,18.30625,15.8,14.984710743801653,21.5,15.0,23.5,21.0,17.0,16.0
2010.0,SEA,310.0,4765.0,964.0,4.9,31.0,196.0,5.1,24.2,30.8,135.0,1.35,26460.0,18.0,11.0,0.6111111111111112,260.0,324.0,544.0,3341.0,14.0,20.0,5.8,159.0,385.0,1424.0,13.0,3.7,81.0,101.0,890.0,20.0,26.5,14.8,-91.33,59.6,2.6,3.7,6.5,5.4,10.9,72.1,35.0,195.0,4.7,6.0,-23.61,-58.26,30.0,25.0,2.0,1.0,83.3,100.0,2.0,2.0,1.0,-9.0,-97.0,-1132.0,0.6006224066390041,0.3993775933609959,0.7011542497376705,0.2988457502623295,0.5185185185185185,0.4814814814814815,,1.9629629629629632,0.5094339622641509,0.07692307692307693,1.7567567567567566,23.0,28.0,24.0,28.5,23.0,196.0,5.1,24.2,30.8,135.0,1.35,26460.0,18.0,11.0,0.6111111111111112,28.0,17.0,14.5,19.0,28.5,23.5,25.5,26.0,29.0,31.0,14.5,30.0,26.5,22.0,23.0,23.5,27.0,20.5,29.0,21.0,30.0,24.0,26.5,28.5,24.0,29.0,16.0,9.5,28.0,14.0,27.0,,14.5,14.0,14.0,12.5,27.5,28.0,30.0,7.0,26.0,9.0,24.0,29.0,4.0,29.0,24.0,15.0,18.0,15.0,11.0,26.25,21.2,24.375,22.7875,26.1,24.001101928374663,30.0,27.0,29.0,30.0,28.0,28.0
2011.0,SEA,321.0,4861.0,1003.0,4.8,23.0,198.0,5.2,24.4,31.3,138.0,1.44,27324.0,22.0,9.0,0.4090909090909091,265.0,299.0,509.0,3105.0,15.0,14.0,5.6,153.0,444.0,1756.0,15.0,4.0,89.0,138.0,1047.0,23.0,27.8,11.6,-73.36,58.7,2.9,2.8,6.8,6.1,11.5,77.6,50.0,339.0,5.0,8.9,-12.21,-39.1,30.0,25.0,4.0,2.0,83.3,100.0,1.0,0.0,1.0,8.0,6.0,-454.0,0.5573280159521435,0.4426719840478565,0.63875745731331,0.3612425426866901,0.5,0.5,,1.7191011235955056,0.5816993464052288,0.08679245283018867,1.7,23.0,28.0,21.0,28.0,13.0,198.0,5.2,24.4,31.3,138.0,1.44,27324.0,22.0,9.0,0.4090909090909091,30.0,23.5,25.0,22.0,28.0,14.0,25.5,28.5,15.0,21.0,10.5,23.0,21.5,31.0,30.0,25.5,25.0,14.0,24.0,20.0,26.5,17.0,20.0,19.5,21.5,20.0,29.0,30.0,21.0,27.5,20.0,,16.5,16.0,16.0,13.0,5.5,18.0,23.0,20.0,13.0,21.0,12.0,31.0,2.0,31.0,12.0,23.0,10.0,21.0,17.0,23.75,20.3,17.5625,18.93125,15.9,15.995454545454544,26.0,25.0,18.0,23.0,16.0,16.0
2012.0,SEA,412.0,5610.0,974.0,5.8,18.0,170.0,5.9,32.9,29.4,180.0,2.19,30600.0,16.0,8.0,0.5,311.0,259.0,405.0,3031.0,27.0,10.0,6.9,153.0,536.0,2579.0,16.0,4.8,129.0,110.0,890.0,29.0,39.4,10.0,129.06,64.0,6.7,2.5,8.0,8.2,12.5,100.6,33.0,203.0,7.1,7.5,129.26,14.14,27.0,24.0,4.0,1.0,88.9,95.8,0.0,0.0,0.0,13.0,167.0,711.0,0.4496919917864477,0.5503080082135523,0.5402852049910873,0.4597147950089127,0.627906976744186,0.372093023255814,,1.186046511627907,0.8431372549019608,0.0932475884244373,1.6666666666666667,9.0,17.0,29.0,7.0,7.5,170.0,5.9,32.9,29.4,180.0,2.19,30600.0,16.0,8.0,0.5,16.0,32.0,32.0,27.0,9.0,5.0,7.5,31.0,1.0,3.0,9.5,5.5,3.0,27.0,21.0,14.0,5.0,7.0,8.0,7.5,2.0,14.5,3.5,5.0,5.0,5.0,12.5,8.0,6.5,23.0,6.0,,28.0,24.5,10.5,31.0,5.5,3.0,7.0,32.0,1.0,30.0,3.0,18.0,15.0,18.0,3.0,32.0,1.0,15.0,17.0,10.416666666666666,15.8,5.75,10.775,4.9,7.848071625344352,9.0,22.0,3.0,6.0,2.0,2.0
2013.0,SEA,417.0,5424.0,973.0,5.6,19.0,182.0,5.5,29.7,31.0,161.0,2.12,29302.0,26.0,10.0,0.38461538461538464,307.0,267.0,420.0,3236.0,27.0,9.0,7.0,160.0,509.0,2188.0,14.0,4.3,116.0,128.0,1183.0,31.0,40.7,9.3,50.15,63.6,6.4,2.1,8.4,8.7,13.1,102.4,44.0,272.0,7.3,9.5,111.62,-43.64,35.0,33.0,3.0,3.0,94.3,100.0,1.0,0.0,2.0,20.0,186.0,1046.0,0.4768756423432682,0.5231243576567317,0.5966076696165191,0.4033923303834809,0.6585365853658537,0.3414634146341463,,1.3793103448275863,0.725,0.1009771986970684,1.9534883720930245,8.5,17.0,29.0,9.0,5.5,182.0,5.5,29.7,31.0,161.0,2.12,29302.0,26.0,10.0,0.38461538461538464,20.5,30.0,31.0,26.0,10.0,3.5,5.5,28.0,2.0,4.0,14.5,12.5,4.0,32.0,32.0,14.5,5.0,6.0,11.0,9.0,2.0,10.0,2.0,3.0,3.0,5.0,21.5,16.5,5.0,32.0,6.0,,10.5,6.5,2.0,14.0,1.0,2.0,3.0,31.0,2.0,29.0,4.0,18.0,15.0,18.0,4.0,30.0,3.0,12.0,8.0,11.583333333333336,14.55,9.4375,11.99375,4.8,7.102479338842976,9.0,15.0,6.0,7.0,1.0,1.0
2014.0,SEA,394.0,6012.0,1021.0,5.9,14.0,175.0,6.0,34.2,30.5,178.0,2.13,31150.0,23.0,7.0,0.3043478260869565,328.0,287.0,454.0,3250.0,20.0,7.0,6.6,160.0,525.0,2762.0,20.0,5.3,144.0,130.0,1009.0,24.0,40.6,6.9,135.41,63.2,4.4,1.5,7.7,7.9,12.2,95.1,42.0,242.0,6.7,8.5,88.28,65.66,37.0,31.0,4.0,2.0,83.8,100.0,1.0,0.0,1.0,10.0,140.0,1738.0,0.485798237022527,0.5142017629774731,0.540585495675316,0.459414504324684,0.5,0.5,,1.1111111111111112,0.9,0.07317073170731707,1.4528301886792454,10.0,9.0,14.5,6.5,3.0,175.0,6.0,34.2,30.5,178.0,2.13,31150.0,23.0,7.0,0.3043478260869565,14.0,30.5,32.0,27.0,24.0,3.0,13.5,29.0,2.0,1.0,1.0,1.0,1.0,32.0,27.0,26.5,5.0,1.0,6.0,15.0,14.5,3.5,6.5,5.0,8.0,8.0,20.5,18.5,9.5,24.0,12.0,,5.0,5.0,17.0,13.5,4.0,2.0,1.0,31.0,2.0,32.0,1.0,30.5,2.5,30.5,1.0,32.0,1.0,30.0,29.0,8.416666666666666,17.45,1.875,9.6625,2.2,6.418870523415978,5.0,20.0,1.0,4.0,1.0,1.0
2015.0,SEA,423.0,6058.0,1035.0,5.9,16.0,174.0,6.1,34.6,29.2,178.0,2.27,30972.0,17.0,8.0,0.4705882352941176,335.0,333.0,489.0,3790.0,34.0,8.0,7.1,190.0,500.0,2268.0,10.0,4.5,128.0,117.0,1007.0,17.0,42.0,8.6,132.31,68.1,7.0,1.6,8.3,9.0,12.2,109.8,46.0,271.0,7.7,8.6,171.26,-19.96,31.0,29.0,6.0,6.0,93.5,90.9,5.0,1.0,0.0,7.0,146.0,1390.0,0.5169082125603864,0.4830917874396136,0.6256190161769561,0.3743809838230439,0.7727272727272727,0.2272727272727273,,1.484375,0.6736842105263158,0.05074626865671642,1.8444444444444448,4.5,4.0,16.0,4.0,3.0,174.0,6.1,34.6,29.2,178.0,2.27,30972.0,17.0,8.0,0.4705882352941176,10.5,25.0,28.0,20.0,6.5,3.5,4.5,24.0,3.0,3.0,18.5,7.0,2.0,23.5,23.0,32.0,4.0,4.5,3.0,3.0,1.5,4.0,2.0,1.0,7.5,1.0,26.5,24.0,2.5,28.0,3.0,,16.5,11.5,3.0,27.0,6.0,4.0,1.0,29.0,4.0,27.0,6.0,10.0,23.0,10.0,6.0,27.0,6.0,32.0,11.0,5.583333333333332,11.15,8.1875,9.66875,3.3,5.487465564738292,1.0,8.0,5.0,3.0,1.5,1.0
