Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2006.0,DEN,319.0,4951.0,973.0,5.1,30.0,192.0,5.2,25.7,27.0,152.0,1.59,29184.0,29.0,12.0,0.4137931034482759,285.0,256.0,454.0,2799.0,20.0,18.0,5.8,151.0,488.0,2152.0,12.0,4.4,106.0,67.0,478.0,28.0,30.7,14.6,-32.97,56.4,4.4,4.0,6.6,5.7,11.7,74.7,31.0,196.0,4.9,6.4,-18.0,-7.3,29.0,27.0,1.0,1.0,93.1,100.0,0.0,0.0,0.0,0.0,14.0,-269.0,0.4984583761562179,0.5015416238437821,0.5653403352858009,0.4346596647141992,0.625,0.375,,1.4245283018867925,0.7019867549668874,0.09824561403508772,1.4999999999999998,17.0,21.0,24.0,16.0,21.0,192.0,5.2,25.7,27.0,152.0,1.59,29184.0,29.0,12.0,0.4137931034482759,21.0,30.0,26.0,25.0,16.0,20.5,18.0,24.0,9.0,8.0,19.5,9.0,11.0,1.0,1.0,6.5,18.0,19.0,17.0,26.0,13.0,25.0,19.5,21.5,13.5,23.0,13.0,13.5,21.5,16.5,19.0,,16.5,7.0,2.0,11.5,18.5,14.0,20.0,28.0,5.0,27.0,6.0,17.0,16.0,17.0,6.0,25.0,8.0,7.0,24.0,17.833333333333332,20.1,12.6875,16.39375,19.7,17.818319559228648,17.0,26.0,10.5,18.0,21.0,20.0
2007.0,DEN,320.0,5541.0,976.0,5.7,29.0,177.0,5.7,31.1,28.0,160.0,1.68,28320.0,30.0,14.0,0.4666666666666667,305.0,326.0,515.0,3584.0,21.0,15.0,6.6,187.0,429.0,1957.0,10.0,4.6,96.0,90.0,610.0,22.0,32.8,14.7,2.8,63.3,4.1,2.9,7.3,6.8,11.5,86.7,32.0,175.0,6.1,5.9,36.56,-25.59,31.0,27.0,2.0,1.0,87.1,100.0,1.0,0.0,1.0,1.0,-89.0,165.0,0.5604508196721312,0.4395491803278688,0.6468146543945136,0.3531853456054864,0.6774193548387096,0.3225806451612904,,1.9479166666666667,0.5133689839572193,0.07213114754098361,1.5869565217391306,21.0,11.0,25.0,4.0,16.0,177.0,5.7,31.1,28.0,160.0,1.68,28320.0,30.0,14.0,0.4666666666666667,15.0,17.0,21.0,13.0,16.0,12.5,9.0,14.0,18.0,9.0,20.5,4.0,16.0,15.0,6.0,13.5,14.0,16.0,13.0,10.0,16.0,12.5,8.5,9.0,10.5,10.5,16.0,12.0,10.0,15.0,14.0,,15.5,10.5,10.0,12.0,14.0,23.0,15.0,20.0,13.0,19.0,14.0,15.0,18.0,15.0,14.0,15.0,18.0,14.0,24.0,12.666666666666664,12.25,15.125,13.6875,19.2,18.279752066115698,10.0,12.0,15.0,14.0,19.0,18.0
2008.0,DEN,370.0,6333.0,1019.0,6.2,30.0,167.0,6.3,37.9,26.0,165.0,2.13,27555.0,18.0,12.0,0.6666666666666666,354.0,386.0,620.0,4471.0,25.0,18.0,7.1,223.0,387.0,1862.0,15.0,4.8,103.0,77.0,739.0,28.0,38.9,17.4,122.17,62.3,4.0,2.9,7.3,6.8,11.8,85.9,12.0,74.0,6.6,1.9,123.98,5.37,34.0,25.0,6.0,5.0,73.5,97.5,2.0,2.0,0.0,-17.0,-78.0,340.0,0.620215897939156,0.379784102060844,0.7059845255013422,0.29401547449865784,0.625,0.375,,2.1650485436893203,0.4618834080717489,0.07909604519774012,1.5208333333333333,16.0,2.0,8.5,2.0,25.0,167.0,6.3,37.9,26.0,165.0,2.13,27555.0,18.0,12.0,0.6666666666666666,2.5,4.0,3.0,3.0,7.0,24.5,6.5,3.0,28.0,12.0,15.5,3.0,14.5,6.5,20.0,3.0,8.0,31.0,4.0,14.0,13.0,19.0,10.0,11.5,12.0,11.0,1.5,1.0,8.5,1.0,5.0,,11.0,20.5,30.0,28.0,31.5,25.0,14.0,2.0,31.0,4.0,29.0,13.0,20.0,13.0,29.0,5.0,28.0,8.0,23.0,9.166666666666666,8.05,15.375,11.7125,24.8,22.544628099173554,7.0,6.0,14.0,7.0,28.0,27.0
2010.0,HOU,390.0,6186.0,1029.0,6.0,18.0,179.0,5.9,34.5,25.6,158.0,2.17,28282.0,15.0,6.0,0.4,360.0,365.0,574.0,4144.0,24.0,12.0,6.8,222.0,423.0,2042.0,20.0,4.8,118.0,90.0,690.0,20.0,39.7,10.1,131.89,63.6,4.2,2.1,7.6,7.5,12.0,92.0,32.0,226.0,6.7,5.3,107.12,29.35,30.0,27.0,4.0,3.0,90.0,100.0,1.0,1.0,0.0,0.0,-37.0,155.0,0.5889212827988338,0.4110787172011662,0.6698997736825089,0.33010022631749114,0.5454545454545454,0.4545454545454546,,1.88135593220339,0.5315315315315315,0.05555555555555555,1.5833333333333333,9.0,3.0,15.0,2.5,4.5,179.0,5.9,34.5,25.6,158.0,2.17,28282.0,15.0,6.0,0.4,2.0,5.5,10.0,4.0,18.0,7.5,6.0,4.0,19.0,7.0,1.0,3.0,4.5,12.5,10.0,23.5,5.0,8.0,2.0,7.0,20.0,7.5,5.0,7.0,11.5,8.0,12.5,16.0,6.0,10.0,7.0,,14.5,8.5,5.0,12.5,13.5,18.0,13.0,10.0,23.0,14.0,19.0,27.0,6.0,27.0,19.0,17.0,16.0,30.0,21.0,4.583333333333333,7.35,5.6875,6.51875,19.1,17.995592286501378,1.0,5.0,3.0,2.0,20.0,19.0
2011.0,HOU,381.0,5954.0,1046.0,5.7,20.0,191.0,5.7,31.1,30.3,164.0,1.93,31324.0,20.0,11.0,0.55,321.0,288.0,467.0,3506.0,20.0,9.0,7.0,176.0,546.0,2448.0,18.0,4.5,131.0,99.0,852.0,14.0,37.2,10.5,46.86,61.7,4.3,1.9,7.9,7.9,12.8,92.7,33.0,190.0,7.0,6.6,69.3,-13.04,38.0,32.0,5.0,4.0,84.2,97.5,1.0,0.0,0.0,7.0,103.0,1383.0,0.4780114722753346,0.5219885277246654,0.5888478333893181,0.4111521666106819,0.5263157894736842,0.4736842105263158,,1.3435114503816794,0.7443181818181818,0.04361370716510903,1.7555555555555555,10.0,13.0,6.0,12.5,6.0,191.0,5.7,31.1,30.3,164.0,1.93,31324.0,20.0,11.0,0.55,13.0,26.0,30.0,18.0,20.0,3.0,8.0,17.0,1.5,2.0,4.0,7.5,3.0,14.0,17.0,32.0,10.0,6.0,12.0,9.0,11.5,4.0,7.5,6.0,8.0,7.0,12.5,9.5,6.5,20.0,12.0,,5.5,4.5,15.0,29.0,7.5,6.0,3.0,31.0,2.0,29.0,4.0,28.5,4.5,28.5,4.0,29.0,4.0,32.0,10.5,9.583333333333334,13.35,5.8125,9.58125,4.9,7.186225895316805,7.0,11.0,2.0,4.0,1.0,1.0
2012.0,HOU,416.0,5953.0,1090.0,5.5,17.0,202.0,5.6,29.5,27.0,160.0,1.88,32320.0,12.0,4.0,0.3333333333333333,341.0,354.0,554.0,3830.0,22.0,13.0,6.6,205.0,508.0,2123.0,19.0,4.2,114.0,108.0,873.0,22.0,35.6,8.4,84.0,63.9,4.0,2.3,7.3,7.0,11.4,89.2,28.0,216.0,6.3,4.8,121.0,-29.02,38.0,31.0,9.0,4.0,81.6,100.0,0.0,0.0,1.0,12.0,85.0,781.0,0.5339449541284403,0.4660550458715597,0.6433730891987234,0.3566269108012766,0.5365853658536586,0.4634146341463414,,1.7982456140350878,0.5560975609756098,0.06451612903225806,1.738095238095238,8.0,7.0,4.5,14.5,6.0,202.0,5.6,29.5,27.0,160.0,1.88,32320.0,12.0,4.0,0.3333333333333333,8.0,10.5,18.0,11.0,19.5,10.5,12.5,9.0,4.0,8.0,4.0,15.5,7.0,24.5,20.0,28.0,14.0,6.0,11.0,9.0,17.0,8.0,12.5,12.5,20.0,10.0,7.5,12.0,12.5,9.0,8.0,,4.0,5.5,22.0,14.0,7.0,8.5,6.0,24.0,9.0,22.0,11.0,26.0,7.0,26.0,11.0,20.0,13.0,31.0,12.0,9.5,11.15,6.5,8.825,8.3,9.702341597796142,6.0,9.0,5.0,3.0,6.0,5.0
2013.0,HOU,276.0,5556.0,1089.0,5.1,31.0,201.0,5.6,27.6,25.8,150.0,1.29,30150.0,21.0,9.0,0.42857142857142855,307.0,371.0,633.0,3813.0,19.0,22.0,5.6,198.0,414.0,1743.0,7.0,4.2,90.0,112.0,1138.0,19.0,25.9,14.9,-90.62,58.6,3.0,3.5,6.6,5.6,11.3,74.0,42.0,370.0,4.7,6.2,-65.73,-17.63,35.0,26.0,5.0,1.0,74.3,100.0,1.0,1.0,1.0,-20.0,-152.0,475.0,0.6198347107438017,0.3801652892561983,0.6862850971922246,0.31371490280777536,0.7307692307692307,0.2692307692307693,,2.2,0.4545454545454545,0.06188925081433225,1.5714285714285712,31.0,11.0,8.0,22.5,27.0,201.0,5.6,27.6,25.8,150.0,1.29,30150.0,21.0,9.0,0.42857142857142855,20.5,10.5,6.0,15.0,25.5,29.0,25.5,15.5,22.0,20.5,29.0,15.0,18.5,26.5,31.0,29.5,30.0,26.5,28.0,22.5,30.0,26.0,25.0,28.0,22.0,27.0,16.0,31.0,28.0,10.0,30.0,,10.5,15.0,31.0,14.0,32.0,31.0,6.0,7.0,26.0,16.0,17.0,9.5,23.5,9.5,17.0,13.0,20.0,29.0,25.0,21.66666666666667,18.7,20.8125,19.75625,20.0,19.51584022038568,25.0,22.0,23.0,25.0,21.0,21.0
2015.0,DEN,355.0,5688.0,1056.0,5.4,31.0,199.0,5.5,28.6,25.9,147.0,1.58,29253.0,16.0,8.0,0.5,314.0,368.0,606.0,3970.0,19.0,23.0,6.2,201.0,411.0,1718.0,13.0,4.2,85.0,115.0,1063.0,28.0,31.2,15.1,-56.3,60.7,3.1,3.8,7.0,5.9,11.5,76.3,39.0,246.0,5.1,6.0,-0.66,-58.86,35.0,30.0,7.0,5.0,85.7,97.2,1.0,0.0,1.0,-4.0,59.0,1158.0,0.6107954545454546,0.3892045454545454,0.6979606188466948,0.3020393811533052,0.59375,0.40625,,2.364705882352941,0.4228855721393035,0.08917197452229299,1.6666666666666663,19.0,16.0,9.5,19.0,29.5,199.0,5.5,28.6,25.9,147.0,1.58,29253.0,16.0,8.0,0.5,19.0,13.0,13.0,14.0,28.0,32.0,19.0,14.5,17.0,17.0,13.0,13.0,21.0,22.0,25.0,22.5,24.0,27.0,30.0,24.5,28.0,31.0,22.0,28.0,12.5,31.0,20.0,17.5,30.5,18.5,28.0,,9.0,8.0,14.5,11.0,20.0,10.0,3.0,14.0,19.0,18.0,15.0,28.0,5.0,28.0,15.0,16.0,17.0,22.0,24.0,19.25,19.65,15.1875,17.41875,15.6,14.207713498622587,22.0,26.0,15.0,21.0,16.0,9.0
2016.0,DEN,333.0,5169.0,1020.0,5.1,25.0,197.0,5.3,26.2,28.7,141.0,1.54,27777.0,24.0,14.0,0.5833333333333334,290.0,339.0,570.0,3685.0,20.0,11.0,6.0,181.0,410.0,1484.0,11.0,3.6,76.0,119.0,985.0,33.0,30.5,11.2,-36.87,59.5,3.5,1.9,6.9,6.7,11.5,83.9,40.0,229.0,5.9,6.6,24.92,-57.61,34.0,29.0,6.0,3.0,85.3,97.0,2.0,1.0,0.0,2.0,36.0,112.0,0.5980392156862745,0.4019607843137255,0.7129038498742504,0.2870961501257496,0.6451612903225806,0.3548387096774194,,2.381578947368421,0.4198895027624309,0.11379310344827588,1.9166666666666667,22.0,27.0,15.0,26.0,22.0,197.0,5.3,26.2,28.7,141.0,1.54,27777.0,24.0,14.0,0.5833333333333334,28.0,23.0,17.0,21.5,22.0,12.5,22.5,24.5,15.0,27.0,20.5,28.5,27.5,27.0,25.0,11.0,25.5,17.0,27.0,25.5,22.5,11.0,21.0,20.0,16.5,21.0,24.0,18.0,21.0,25.0,24.0,,13.0,10.5,17.0,10.0,14.0,9.5,14.0,17.0,16.0,10.0,23.0,16.0,17.0,16.0,23.0,11.0,22.0,4.0,9.0,25.0,17.9,24.5625,21.23125,16.8,16.395867768595046,29.0,23.0,26.0,29.0,14.0,13.0
Mean year,,351.1111111111111,5703.444444444444,1033.111111111111,5.533333333333334,25.666666666666668,189.44444444444446,5.644444444444444,30.244444444444444,27.144444444444446,155.22222222222223,1.7544444444444443,29351.666666666668,20.555555555555557,10.0,0.48248494800218933,319.6666666666667,339.22222222222223,554.7777777777778,3755.777777777778,21.11111111111111,15.666666666666666,6.411111111111111,193.77777777777777,446.22222222222223,1947.6666666666667,13.88888888888889,4.366666666666667,102.11111111111111,97.44444444444444,825.3333333333334,23.77777777777778,33.611111111111114,12.988888888888889,18.995555555555555,61.111111111111114,3.8444444444444446,2.8111111111111113,7.166666666666667,6.655555555555556,11.722222222222221,83.93333333333334,32.111111111111114,213.55555555555554,5.9222222222222225,5.522222222222222,44.27666666666667,-19.369999999999997,33.77777777777778,28.22222222222222,5.0,3.0,83.86666666666666,98.80000000000001,1.0,0.5555555555555556,0.4444444444444444,-2.111111111111111,-6.555555555555555,477.77777777777777,0.567630242660627,0.4323697573393728,0.6574899752628196,0.3425100247371804,0.6117172863013788,0.3882827136986212,,1.9452101487315885,0.5340563278631519,0.07533472525684835,1.6488373207576104,17.0,12.333333333333334,12.833333333333334,13.222222222222221,17.444444444444443,189.44444444444446,5.644444444444444,30.244444444444444,27.144444444444446,155.22222222222223,1.7544444444444443,29351.666666666668,20.555555555555557,10.0,0.48248494800218933,14.333333333333334,15.5,16.0,13.833333333333334,19.11111111111111,16.88888888888889,14.11111111111111,13.944444444444445,14.833333333333334,12.277777777777779,14.11111111111111,10.944444444444445,13.666666666666666,16.555555555555557,17.22222222222222,18.833333333333332,16.5,17.38888888888889,16.0,16.38888888888889,19.0,16.0,14.555555555555555,15.944444444444445,14.055555555555555,16.5,13.666666666666666,14.5,16.055555555555557,13.88888888888889,16.333333333333332,,11.055555555555555,10.0,16.27777777777778,15.777777777777779,17.555555555555557,16.11111111111111,10.444444444444445,17.0,16.0,17.666666666666668,15.333333333333334,20.0,13.0,20.0,15.333333333333334,16.77777777777778,16.22222222222222,19.666666666666668,19.166666666666668,14.36111111111111,14.27777777777778,13.527777777777779,13.902777777777779,16.488888888888894,15.960697887970618,13.777777777777779,15.555555555555555,12.61111111111111,13.666666666666666,16.22222222222222,14.777777777777779
