Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2004.0,CLE,276.0,4481.0,921.0,4.9,40.0,198.0,4.8,22.3,32.6,137.0,1.32,32.0,19.0,0.59375,245.0,251.0,439.0,2824.0,21.0,21.0,5.9,125.0,441.0,1657.0,6.0,3.8,94.0,115.0,854.0,26.0,25.8,18.2,-160.1,57.2,4.8,4.8,7.0,5.8,12.3,74.9,41.0,252.0,4.8,8.5,-54.65,-89.03,29.0,24.0,1.0,1.0,82.8,100.0,1.0,1.0,0.0,0.5211726384364821,0.4788273615635179,0.6302164695380496,0.3697835304619505,0.7777777777777778,0.2222222222222222,1.3297872340425532,0.752,0.10612244897959183,1.842105263157895,27.0,28.0,32.0,24.5,31.5,29.0,30.0,28.0,26.5,30.5,30.5,31.5,29.0,30.0,28.0,31.0,29.0,29.0,25.0,17.0,26.5,19.0,30.0,16.5,23.0,31.5,26.0,17.5,17.5,8.0,17.5,26.0,27.0,29.0,20.0,10.5,32.0,16.5,22.0,12.5,23.0,21.5,22.0,24.0,26.5,27.0,32.0,9.0,10.5,12.5,12.0,23.0,10.0,20.0,13.0,4.0,29.0,4.0,27.0,6.0,12.0,9.0,26.91666666666667,21.8,24.9375,23.36875,28.5,29.0,28.0,29.0
2007.0,CLE,402.0,5621.0,1004.0,5.6,29.0,192.0,5.4,29.2,33.2,147.0,1.94,22.0,9.0,0.4090909090909091,315.0,305.0,545.0,3726.0,29.0,20.0,6.6,192.0,440.0,1895.0,13.0,4.3,110.0,114.0,868.0,13.0,35.4,14.6,-2.69,56.0,5.3,3.7,7.1,6.5,12.7,80.7,19.0,140.0,6.0,3.4,21.73,-11.28,30.0,26.0,2.0,1.0,86.7,97.7,3.0,2.0,1.0,0.5617529880478087,0.4382470119521913,0.6628713752001423,0.3371286247998577,0.6904761904761905,0.30952380952380953,1.7454545454545454,0.5729166666666666,0.04126984126984127,1.6511627906976745,8.0,8.0,16.0,6.5,20.5,12.0,26.0,8.0,13.5,9.5,16.0,20.5,12.0,26.0,8.0,10.0,22.0,16.0,12.0,8.0,25.0,9.0,11.5,16.0,10.0,14.0,6.0,9.0,30.0,28.0,28.5,9.0,15.0,14.0,30.0,7.0,25.5,13.5,13.0,1.0,17.0,3.5,6.0,13.0,4.0,15.0,11.0,17.5,13.0,11.0,25.0,19.0,14.0,15.0,18.0,14.0,19.0,14.0,20.0,13.0,29.0,18.0,9.5,13.75,11.0625,12.40625,6.0,17.0,10.0,9.0
2008.0,CLE,232.0,3985.0,921.0,4.3,26.0,172.0,5.6,23.1,29.8,154.0,1.22,17.0,6.0,0.35294117647058826,233.0,238.0,488.0,2380.0,11.0,20.0,4.6,127.0,409.0,1605.0,6.0,3.9,84.0,100.0,669.0,22.0,27.3,14.5,-148.88,48.8,2.3,4.1,5.2,3.8,10.7,54.8,24.0,157.0,3.3,4.7,-113.59,-25.6,36.0,30.0,6.0,3.0,83.3,100.0,2.0,2.0,0.0,0.5559174809989142,0.44408251900108575,0.5972396486825596,0.4027603513174404,0.6470588235294118,0.3529411764705882,1.511904761904762,0.6614173228346457,0.0944206008583691,1.3333333333333337,30.5,31.0,30.0,31.0,16.5,29.0,20.0,29.0,4.5,3.5,18.0,16.5,29.0,20.0,29.0,31.0,31.0,23.0,31.0,31.0,30.0,31.0,31.0,24.0,26.0,31.5,26.5,27.0,24.0,14.5,10.5,27.0,22.0,30.0,32.0,30.0,31.0,31.5,32.0,26.0,32.0,8.0,10.0,32.0,9.0,31.0,19.0,7.0,6.5,20.0,13.5,18.0,15.0,23.0,10.0,8.5,24.5,8.5,22.0,11.0,3.0,31.0,28.0,27.85,24.5,26.175,31.0,32.0,27.0,32.0
2011.0,CAR,406.0,6237.0,999.0,6.2,23.0,179.0,5.7,34.8,27.9,162.0,2.21,13.0,6.0,0.4615384615384616,345.0,312.0,519.0,3829.0,21.0,17.0,6.9,175.0,445.0,2408.0,26.0,5.4,139.0,113.0,1013.0,31.0,38.5,12.8,131.27,60.1,4.0,3.3,7.9,7.2,13.1,84.8,35.0,260.0,6.3,6.3,71.12,66.46,28.0,22.0,2.0,0.0,78.6,97.8,3.0,2.0,2.0,0.5545545545545546,0.4454454454454454,0.6139169472502806,0.3860830527497193,0.44680851063829785,0.5531914893617021,1.2589928057553956,0.7942857142857143,0.08985507246376813,1.4629629629629632,5.5,7.0,23.0,4.5,9.5,6.0,7.5,5.0,3.5,6.0,13.0,9.5,6.0,7.5,5.0,8.0,18.0,23.0,13.0,15.0,21.5,11.0,18.5,14.0,3.0,1.0,1.0,1.0,26.5,28.0,11.0,6.0,18.5,4.0,15.5,15.0,22.0,7.5,12.0,4.0,13.0,15.5,21.0,11.0,15.0,10.0,1.0,23.0,26.5,24.5,27.5,23.0,10.0,25.0,8.0,32.0,1.0,32.0,30.0,3.0,19.0,26.0,7.583333333333332,14.35,3.75,9.05,4.0,14.0,1.0,3.0
2012.0,CAR,357.0,5771.0,988.0,5.8,22.0,175.0,5.8,32.9,25.8,164.0,1.91,22.0,10.0,0.4545454545454545,328.0,284.0,490.0,3683.0,19.0,12.0,7.0,171.0,462.0,2088.0,21.0,4.5,123.0,98.0,835.0,34.0,32.6,10.3,96.36,58.0,3.9,2.4,8.0,7.7,13.8,86.5,36.0,244.0,6.7,6.8,86.83,20.16,21.0,16.0,3.0,1.0,76.2,97.7,0.0,0.0,1.0,0.5323886639676113,0.4676113360323887,0.6381909547738693,0.36180904522613067,0.475,0.525,1.3902439024390243,0.7192982456140351,0.10365853658536583,1.7777777777777777,18.5,12.0,25.5,7.0,9.5,8.5,8.0,11.0,18.5,18.5,10.5,9.5,8.5,8.0,11.0,12.0,29.0,26.0,16.0,24.0,8.5,5.0,22.5,11.0,9.0,3.0,9.0,5.0,10.5,13.0,9.5,19.0,8.5,10.0,25.5,19.0,11.0,3.5,8.0,1.0,15.0,16.0,19.5,9.0,19.5,13.0,4.0,32.0,32.0,29.0,29.0,25.0,8.0,24.0,9.0,30.0,3.0,30.0,28.0,5.0,8.0,11.0,11.166666666666664,15.45,8.4375,11.94375,11.0,20.0,7.0,9.0
2013.0,CLE,308.0,5423.0,1078.0,5.0,29.0,195.0,5.7,27.8,26.4,141.0,1.4,17.0,9.0,0.5294117647058824,301.0,379.0,681.0,4040.0,26.0,20.0,5.5,200.0,348.0,1383.0,4.0,4.0,77.0,104.0,920.0,24.0,26.2,13.8,-74.76,55.7,3.8,2.9,6.4,5.9,11.5,75.7,49.0,332.0,5.0,6.7,-52.64,-9.49,26.0,21.0,4.0,2.0,80.8,100.0,2.0,2.0,0.0,0.6771799628942486,0.32282003710575136,0.7449751060298727,0.2550248939701273,0.8666666666666667,0.1333333333333333,2.5974025974025974,0.385,0.07973421926910297,1.6,27.0,18.0,10.0,26.0,11.0,19.0,26.5,28.5,9.5,12.0,23.0,11.0,19.0,26.5,28.5,22.5,5.0,1.0,11.0,11.5,25.0,27.5,14.0,30.0,27.5,32.0,22.0,26.5,22.0,23.0,23.5,29.0,21.5,25.0,31.0,23.0,18.5,29.0,24.0,16.0,25.0,30.0,27.0,22.0,16.5,28.0,9.0,27.5,29.0,24.5,14.0,2.0,31.0,3.0,30.0,1.0,32.0,1.0,7.0,26.0,21.0,22.5,23.33333333333333,13.65,26.1875,19.91875,26.5,13.5,29.0,27.0
2015.0,IND,333.0,5142.0,1052.0,4.9,30.0,194.0,5.6,26.5,26.8,149.0,1.54,19.0,11.0,0.5789473684210527,311.0,355.0,619.0,3704.0,26.0,19.0,5.6,195.0,396.0,1438.0,6.0,3.6,77.0,108.0,931.0,39.0,29.4,14.4,-42.31,57.4,4.2,3.1,6.3,5.8,11.1,77.5,37.0,224.0,5.1,5.6,18.03,-57.39,27.0,25.0,5.0,4.0,92.6,91.4,2.0,1.0,1.0,0.623574144486692,0.376425855513308,0.720342279268767,0.27965772073123296,0.8125,0.1875,2.5324675324675323,0.3948717948717949,0.12540192926045016,1.75,24.0,28.0,12.0,31.5,20.5,30.0,22.5,26.0,13.0,24.5,27.0,20.5,30.0,22.5,26.0,22.0,17.5,9.5,22.0,16.5,28.0,32.0,17.5,21.0,29.0,28.0,31.0,26.5,18.0,20.0,4.0,26.0,25.0,26.0,32.0,19.5,28.0,31.0,29.5,23.0,29.0,17.5,13.0,30.5,13.5,24.0,28.5,24.5,19.5,4.0,24.5,10.0,23.0,12.0,21.0,6.0,27.0,6.0,11.0,22.0,3.0,17.0,27.33333333333333,19.9,27.125,23.5125,32.0,28.0,30.0,32.0
2016.0,IND,411.0,5830.0,1037.0,5.6,22.0,179.0,6.0,32.5,27.9,165.0,2.21,16.0,7.0,0.4375,351.0,370.0,584.0,4202.0,32.0,15.0,6.7,220.0,409.0,1628.0,13.0,4.0,93.0,103.0,883.0,38.0,40.2,12.3,89.3,63.4,5.5,2.6,7.7,7.6,12.1,94.5,44.0,289.0,6.6,7.0,107.54,-4.97,31.0,27.0,9.0,7.0,87.1,100.0,3.0,2.0,0.0,0.6055930568948891,0.3944069431051109,0.720754716981132,0.279245283018868,0.7111111111111111,0.2888888888888889,2.3655913978494625,0.4227272727272727,0.10826210826210826,1.925,8.0,10.0,12.0,13.5,8.0,10.0,9.0,7.0,6.5,8.5,16.0,8.0,10.0,9.0,7.0,5.5,13.0,13.0,5.5,6.5,19.5,11.5,6.5,16.5,23.0,17.5,21.5,16.5,11.5,16.0,5.0,7.0,21.0,11.0,16.0,8.5,22.0,8.0,8.0,6.0,10.0,28.0,28.5,11.5,28.0,12.0,8.0,19.5,16.5,8.0,3.0,14.0,19.0,9.0,24.0,8.0,25.0,8.0,13.0,20.0,9.0,8.0,12.083333333333336,9.3,18.0,13.65,11.0,7.0,19.0,13.0
Mean year,,340.625,5311.25,1000.0,5.2875000000000005,27.625,185.5,5.575,28.6375,28.800000000000004,152.375,1.71875,19.75,9.625,0.4772156418465436,303.625,311.75,545.625,3548.5,23.125,18.0,6.1000000000000005,175.625,418.75,1762.75,11.875,4.1875,99.625,106.875,871.625,28.375,31.924999999999997,13.862499999999999,-13.976249999999995,57.074999999999996,4.225,3.3625,6.95,6.2875,12.1625,78.67500000000001,35.625,237.25,5.4750000000000005,6.125000000000001,10.546250000000002,-13.892500000000002,28.5,23.875,4.0,2.375,83.5125,98.075,2.0,1.5,0.625,0.57901668628515,0.4209833137148499,0.6660634372155841,0.3339365627844158,0.678424885024932,0.321575114975068,1.841480597164484,0.5878146271250162,0.09359059461857469,1.6677927659912057,18.5625,17.75,20.0625,18.0625,15.875,17.9375,18.6875,17.8125,11.9375,14.125,19.25,15.875,17.9375,18.6875,17.8125,17.75,20.5625,17.5625,16.9375,16.1875,23.0,18.25,18.9375,18.625,18.8125,19.8125,17.875,16.125,20.0,18.8125,13.6875,18.625,19.8125,18.625,25.25,16.5625,23.75,17.5625,18.5625,11.1875,20.5,17.5,18.375,19.125,16.5,20.0,14.0625,20.0,19.1875,16.6875,18.5625,16.75,16.25,16.375,16.625,12.9375,20.0625,12.9375,19.75,13.25,13.0,17.8125,18.239583333333332,17.00625,18.0,17.503125,18.75,20.0625,18.875,19.25
Median year,,345.0,5522.0,1001.5,5.3,27.5,185.5,5.65,28.5,27.9,151.5,1.725,18.0,9.0,0.458041958041958,313.0,308.5,532.0,3715.0,23.5,19.5,6.25,183.5,424.5,1642.5,9.5,4.0,93.5,106.0,875.5,28.5,31.0,14.100000000000001,-22.5,57.3,4.1,3.2,7.05,6.2,12.2,79.1,36.5,248.0,5.55,6.5,19.880000000000003,-10.385,28.5,24.5,3.5,1.5,83.05,98.9,2.0,2.0,0.5,0.5588352345233615,0.4411647654766385,0.6505311649870058,0.3494688350129942,0.7007936507936507,0.29920634920634925,1.6286796536796537,0.6171669947506562,0.09903956872186748,1.7005813953488373,21.25,15.0,19.5,19.0,13.75,15.5,21.25,18.5,11.25,10.75,17.0,13.75,15.5,21.25,18.5,17.0,20.0,19.5,14.5,15.75,25.0,15.25,18.0,16.5,23.0,22.75,21.75,17.0,20.0,18.0,10.75,22.5,21.25,19.5,27.75,17.0,23.75,15.0,17.5,9.25,20.0,16.75,20.25,17.5,15.75,19.5,10.0,21.25,18.0,16.25,19.25,18.5,14.5,17.5,15.5,8.25,24.75,8.25,21.0,12.0,10.5,17.5,17.708333333333332,14.899999999999999,21.25,16.784375,18.75,18.5,23.0,20.0
