Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassTdPercentRunYdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,TO_Low_Rank,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,TimeOfPossession,Fmb,FL,FumbleLostPercent,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRushing_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,TO_Differential_High_Rank,PF_Differential_High_Rank,Yds_Differential_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,RunYdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,GameControlScore,GameControlPlusBalance,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank,GameControlScore_Rank,GameControlPlusBalance_Rank
2002.0,MIN,390.0,6192.0,1080.0,5.7,41.0,191.0,5.8,32.3,31.3,160.0,2.01,30560.0,40.0,18.0,0.45,350.0,337.0,558.0,3685.0,19.0,23.0,6.1,191.0,473.0,2507.0,26.0,5.3,139.0,137.0,1139.0,20.0,35.6,19.9,65.12,60.4,3.4,4.1,7.1,5.9,11.7,76.1,49.0,266.0,5.0,8.1,11.14,68.92,29.0,23.0,1.0,1.0,79.3,93.2,1.0,1.0,1.0,-18.0,-52.0,423.0,0.562037037037037,0.437962962962963,0.5951227390180879,0.4048772609819121,0.4222222222222222,0.5777777777777777,,1.3741007194244603,0.7277486910994765,0.057142857142857134,1.339622641509434,8.5,2.0,3.0,4.0,31.0,191.0,5.8,32.3,31.3,160.0,2.01,30560.0,40.0,18.0,0.45,4.0,15.0,13.0,9.0,21.5,30.0,11.0,10.0,8.0,1.0,1.5,1.0,3.5,32.0,32.0,27.5,11.0,31.0,5.0,17.0,24.0,29.0,10.0,21.5,9.0,24.0,29.0,23.0,22.0,27.5,21.0,,17.5,18.0,13.5,32.0,31.0,24.0,12.0,18.0,15.0,29.0,4.0,32.0,1.0,32.0,4.0,27.0,6.0,29.0,31.0,9.583333333333334,15.5,5.8125,10.65625,18.0,17.632920110192835,5.0,19.0,4.0,5.0,19.0,19.0
2003.0,MIN,416.0,6294.0,1055.0,6.0,24.0,183.0,5.9,34.3,29.9,172.0,2.09,31476.0,31.0,11.0,0.3548387096774194,336.0,333.0,520.0,3951.0,32.0,13.0,7.0,194.0,493.0,2343.0,15.0,4.8,124.0,127.0,1029.0,18.0,35.5,13.1,91.52,64.0,6.2,2.5,8.0,8.1,12.5,99.0,42.0,218.0,7.1,7.5,91.9,7.86,25.0,18.0,3.0,1.0,72.0,100.0,2.0,2.0,2.0,11.0,63.0,938.0,0.5327014218009478,0.4672985781990522,0.6277407054337464,0.3722592945662536,0.6808510638297872,0.3191489361702128,,1.564516129032258,0.6391752577319587,0.05357142857142857,1.6666666666666667,6.0,1.0,2.0,1.0,8.0,183.0,5.9,34.3,29.9,172.0,2.09,31476.0,31.0,11.0,0.3548387096774194,4.0,6.0,15.5,4.0,1.5,6.5,4.0,5.0,7.0,4.0,12.5,4.5,3.0,30.5,28.0,29.0,8.0,12.0,3.0,3.0,2.0,7.0,1.5,2.0,2.0,2.5,22.0,17.0,3.0,23.5,4.0,,26.0,27.0,25.0,8.5,5.0,11.0,5.0,21.0,12.0,16.0,17.0,11.0,22.0,11.0,17.0,17.0,16.0,31.0,14.5,4.583333333333333,3.7,7.8125,5.75625,10.2,12.889256198347105,2.0,3.0,5.0,1.0,8.0,10.0
2004.0,MIN,405.0,6339.0,985.0,6.4,21.0,167.0,6.0,37.6,27.3,174.0,2.29,29058.0,20.0,9.0,0.45,351.0,380.0,552.0,4516.0,39.0,12.0,7.6,225.0,387.0,1823.0,8.0,4.7,98.0,117.0,884.0,28.0,38.9,12.0,190.81,68.8,7.1,2.2,8.6,9.0,12.5,109.8,46.0,238.0,8.0,7.7,219.52,-11.07,22.0,18.0,0.0,0.0,81.8,100.0,4.0,3.0,0.0,1.0,10.0,437.0,0.6071065989847716,0.3928934010152284,0.7124152074459694,0.2875847925540306,0.8297872340425532,0.17021276595744686,,2.295918367346939,0.4355555555555555,0.07977207977207977,1.8297872340425527,6.0,4.0,22.0,2.0,5.5,167.0,6.0,37.6,27.3,174.0,2.29,29058.0,20.0,9.0,0.45,4.5,2.0,8.0,2.0,2.0,7.0,2.0,4.0,28.0,18.0,29.0,2.0,14.5,21.0,13.0,15.0,5.0,9.0,2.0,1.0,2.0,5.0,2.0,2.0,6.5,2.0,25.0,17.0,2.0,22.0,2.0,,31.5,27.0,15.5,12.0,18.5,13.0,11.0,5.0,28.0,4.0,29.0,2.0,31.0,2.0,29.0,7.0,26.0,24.0,10.0,4.0,2.8,18.0625,10.43125,17.5,17.454545454545453,2.0,2.0,18.0,7.0,18.5,18.0
2005.0,MIA,318.0,5198.0,1026.0,5.1,30.0,202.0,5.2,25.4,31.5,130.0,1.51,26260.0,31.0,14.0,0.4516129032258064,274.0,291.0,556.0,3300.0,22.0,16.0,5.7,159.0,444.0,1898.0,11.0,4.3,93.0,132.0,1055.0,22.0,28.7,14.4,-60.09,52.3,4.0,2.9,6.2,5.7,11.9,72.8,26.0,158.0,5.2,4.5,-6.74,-34.89,30.0,25.0,2.0,1.0,83.3,100.0,1.0,0.0,3.0,1.0,1.0,120.0,0.5672514619883041,0.4327485380116959,0.6348595613697576,0.3651404386302424,0.6666666666666666,0.33333333333333337,,1.7096774193548387,0.5849056603773585,0.08029197080291971,1.4418604651162792,16.0,14.0,11.0,13.5,21.5,202.0,5.2,25.4,31.5,130.0,1.51,26260.0,31.0,14.0,0.4516129032258064,24.0,21.0,10.0,16.0,11.0,19.0,18.0,22.0,17.0,12.0,19.0,7.5,17.0,26.0,25.0,27.5,19.0,21.0,17.0,32.0,13.0,12.5,26.5,22.0,11.0,24.0,4.0,4.0,18.0,4.0,18.0,,15.0,13.0,10.5,10.0,15.0,17.0,18.0,14.0,19.0,18.0,15.0,7.0,26.0,7.0,15.0,19.0,14.0,22.0,27.0,16.833333333333332,15.5,15.8125,15.65625,17.8,16.592837465564738,15.0,19.0,15.0,16.0,17.5,16.0
2006.0,LAR,367.0,5767.0,1065.0,5.4,18.0,183.0,6.0,31.4,28.1,164.0,1.94,30012.0,20.0,10.0,0.5,332.0,371.0,592.0,3962.0,24.0,8.0,6.2,212.0,424.0,1805.0,13.0,4.3,94.0,116.0,960.0,26.0,37.7,8.7,68.36,62.7,4.1,1.4,7.3,7.5,11.7,92.7,49.0,366.0,6.4,7.6,97.9,-14.91,37.0,32.0,3.0,3.0,86.5,100.0,2.0,1.0,0.0,14.0,-14.0,405.0,0.6018779342723005,0.3981220657276995,0.6870123114270852,0.3129876885729148,0.6486486486486487,0.3513513513513513,,2.25531914893617,0.4433962264150944,0.0783132530120482,1.6976744186046513,10.0,6.0,3.0,9.5,3.0,183.0,6.0,31.4,28.1,164.0,1.94,30012.0,20.0,10.0,0.5,3.0,3.0,3.0,4.0,9.5,1.0,10.5,2.0,23.0,17.0,15.5,10.0,21.0,29.5,31.0,10.0,4.0,2.0,7.0,5.0,15.0,1.0,7.5,5.5,13.5,6.0,28.0,30.0,6.0,23.0,4.0,,1.5,1.5,11.0,11.5,2.0,18.0,11.0,5.0,28.0,7.0,26.0,13.0,20.0,13.0,26.0,3.0,30.0,17.0,15.0,7.083333333333332,4.15,16.375,10.2625,12.7,14.622727272727273,4.0,4.0,18.0,7.0,10.0,11.0
2007.0,LAR,263.0,4760.0,1026.0,4.6,37.0,193.0,5.5,24.6,28.4,150.0,1.24,28950.0,25.0,9.0,0.36,281.0,333.0,574.0,3233.0,19.0,28.0,5.2,193.0,404.0,1527.0,5.0,3.8,65.0,94.0,794.0,23.0,24.9,18.7,-129.19,58.0,3.3,4.9,6.2,4.7,10.7,67.0,48.0,328.0,3.8,7.7,-69.2,-47.34,32.0,24.0,4.0,3.0,75.0,100.0,2.0,1.0,1.0,-10.0,-175.0,-697.0,0.6062378167641326,0.3937621832358674,0.6792016806722689,0.32079831932773106,0.7916666666666666,0.2083333333333333,,2.9692307692307693,0.3367875647668393,0.08185053380782918,1.6315789473684212,28.0,24.0,10.0,28.0,29.5,193.0,5.5,24.6,28.4,150.0,1.24,28950.0,25.0,9.0,0.36,23.5,15.0,9.0,19.0,18.0,32.0,27.0,10.0,24.0,25.0,32.0,24.5,31.5,18.5,23.0,11.5,29.5,31.0,29.0,24.0,21.0,32.0,27.5,31.0,24.0,31.0,27.0,27.0,31.0,23.0,31.0,,12.5,18.0,27.5,12.0,27.0,32.0,25.0,7.0,26.0,14.0,19.0,1.0,32.0,1.0,19.0,3.0,30.0,8.0,20.0,26.08333333333333,19.05,25.4375,22.24375,25.8,24.18443526170799,30.0,22.0,29.0,29.0,30.0,31.0
2008.0,LAR,232.0,4596.0,982.0,4.7,31.0,190.0,5.4,24.2,27.2,149.0,1.19,28310.0,18.0,12.0,0.6666666666666666,249.0,292.0,520.0,2947.0,11.0,19.0,5.2,140.0,417.0,1649.0,8.0,4.0,95.0,97.0,718.0,14.0,26.3,16.3,-174.37,56.2,2.1,3.7,6.3,5.1,11.2,66.9,45.0,321.0,4.1,8.0,-118.3,-44.03,36.0,31.0,8.0,6.0,86.1,100.0,1.0,0.0,0.0,-5.0,-233.0,-1354.0,0.575356415478615,0.42464358452138495,0.6412097476066144,0.3587902523933856,0.5789473684210527,0.42105263157894735,,1.4736842105263157,0.6785714285714286,0.056224899598393566,1.575,30.5,27.0,18.0,28.5,28.0,190.0,5.4,24.2,27.2,149.0,1.19,28310.0,18.0,12.0,0.6666666666666666,28.0,23.0,15.0,26.0,31.0,27.0,28.5,30.0,22.5,25.0,30.0,23.0,20.0,22.0,17.0,28.5,29.0,26.5,32.0,28.0,31.5,27.5,26.5,30.0,19.0,31.0,27.0,30.0,30.0,25.0,32.0,,7.0,5.0,15.0,13.5,23.0,31.0,28.0,12.0,21.0,17.0,16.0,18.0,15.0,18.0,16.0,23.0,10.0,27.0,21.0,27.5,24.8,24.75,24.775,26.4,25.636639118457303,29.5,31.0,28.0,30.0,31.0,31.0
2009.0,DET,262.0,4784.0,1037.0,4.6,41.0,194.0,5.5,24.6,27.7,143.0,1.23,27742.0,25.0,9.0,0.36,281.0,316.0,585.0,3168.0,16.0,32.0,5.0,168.0,409.0,1616.0,9.0,4.0,82.0,98.0,768.0,31.0,23.7,20.1,-150.57,54.0,2.7,5.5,5.9,4.0,11.0,58.1,43.0,303.0,3.3,6.8,-105.84,-32.24,28.0,21.0,4.0,1.0,75.0,100.0,3.0,1.0,2.0,-18.0,-232.0,-1490.0,0.6055930568948891,0.3944069431051109,0.6622073578595318,0.3377926421404682,0.64,0.36,,2.048780487804878,0.4880952380952381,0.1103202846975089,1.475,27.0,26.0,8.0,29.0,32.0,194.0,5.5,24.6,27.7,143.0,1.23,27742.0,25.0,9.0,0.36,22.0,20.0,6.0,21.0,25.0,32.0,28.5,21.0,24.0,24.0,23.0,26.5,21.0,20.0,15.0,5.0,28.0,32.0,29.0,28.0,29.0,31.5,29.0,31.0,22.5,31.0,24.0,28.0,31.0,22.0,29.0,,20.0,23.0,25.5,8.5,32.0,31.0,29.0,6.0,27.0,17.0,16.0,18.0,15.0,18.0,16.0,11.0,22.0,3.0,22.0,27.0,22.55,21.75,22.15,29.4,27.51955922865013,29.0,25.0,23.0,28.0,31.0,32.0
2010.0,DET,362.0,5423.0,1064.0,5.1,25.0,193.0,5.7,28.1,29.3,148.0,1.73,28564.0,20.0,9.0,0.45,304.0,383.0,633.0,3810.0,26.0,16.0,5.8,199.0,404.0,1613.0,11.0,4.0,83.0,136.0,1018.0,22.0,32.1,12.4,-15.31,60.5,4.1,2.5,6.3,6.0,10.4,82.0,27.0,191.0,5.5,4.1,24.52,-34.08,30.0,25.0,6.0,5.0,83.3,97.2,5.0,2.0,1.0,4.0,-7.0,-74.0,0.6203007518796992,0.3796992481203008,0.7025631569242117,0.2974368430757883,0.7027027027027027,0.2972972972972973,,2.397590361445783,0.4170854271356784,0.07236842105263158,1.575,15.0,17.0,5.0,22.0,13.0,193.0,5.7,28.1,29.3,148.0,1.73,28564.0,20.0,9.0,0.45,17.0,3.0,3.0,12.0,12.5,16.5,25.5,10.0,24.0,23.0,19.0,20.5,24.0,31.0,29.0,17.0,18.0,15.0,20.0,17.0,21.0,13.0,29.0,24.0,27.5,19.0,6.5,8.0,18.5,5.0,19.0,,14.5,14.0,14.0,26.0,11.5,17.0,20.0,5.0,28.0,8.0,25.0,8.0,25.0,8.0,25.0,7.0,26.0,17.0,22.0,18.0,12.05,20.375,16.2125,17.7,17.49325068870523,19.0,13.0,20.0,19.0,18.0,18.0
2011.0,DET,474.0,6337.0,1058.0,6.0,23.0,197.0,5.5,32.2,28.7,147.0,2.14,28959.0,20.0,7.0,0.35,349.0,423.0,666.0,4814.0,41.0,16.0,6.9,244.0,356.0,1523.0,9.0,4.3,71.0,128.0,1075.0,34.0,37.6,10.7,126.56,63.5,6.2,2.4,7.6,7.8,12.0,97.2,36.0,257.0,7.0,5.1,137.29,-11.64,29.0,24.0,7.0,5.0,82.8,100.0,3.0,3.0,1.0,11.0,87.0,456.0,0.6635160680529301,0.33648393194706994,0.7596654568407764,0.24033454315922365,0.82,0.18000000000000005,,3.436619718309859,0.29098360655737704,0.09742120343839544,1.7674418604651163,4.0,5.0,4.0,7.5,13.0,197.0,5.5,32.2,28.7,147.0,2.14,28959.0,20.0,7.0,0.35,6.5,2.0,1.0,4.0,3.0,19.5,11.0,3.0,31.0,29.0,24.0,13.0,30.5,30.0,31.0,3.0,8.0,7.5,5.0,5.0,4.0,11.5,12.0,7.0,14.5,5.0,17.0,20.0,6.5,10.0,5.0,,19.0,19.0,17.5,13.0,4.0,8.0,9.0,1.0,32.0,2.0,31.0,2.0,31.0,2.0,31.0,1.0,32.0,12.5,9.0,8.75,6.2,23.625,14.9125,9.5,12.596418732782366,5.0,5.0,26.0,17.0,8.0,10.0
