Year,Tm,PF,TotalYds,Ply,Y/Play,TO,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,Fmb,FL,FumbleLostPercent,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,ExpectedPointsRunning,TFGA,TFGM,FGA50Plus,FGM50Plus,FG%,XP%,2PA,2PM,Sfty,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,Y/Play_High_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Fmb_Low_Rank,FL_Low_Rank,TO_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,1stD_High_Rank,Cmp_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,Int_Low_Rank,NY/A_High_Rank,1stDpass_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,Pen_Low_Rank,PenYds_Low_Rank,1stPy_High_Rank,Sc%_High_Rank,TO%_Low_Rank,ExpectedPoints_High_Rank,Cmp%_High_Rank,PassTD%_High_Rank,Int%_Low_Rank,Y/Apass_High_Rank,AY/A_High_Rank,Y/C_High_Rank,QbRating_High_Rank,Sk_Low_Rank,SkYds_Low_Rank,ANY/A_High_Rank,Sk%_Low_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning_High_Rank,TFGA_High_Rank,TFGM_High_Rank,FG%_High_Rank,XP%_High_Rank,PassPercent_High_Rank,RunPercent_High_Rank,PassYdPercent_High_Rank,RunYdPercent_High_Rank,PassTdPercent_High_Rank,RunTdPercent_High_Rank,PassTdPercent_High_Rank,PassRun1dRatio_High_Rank,RunPass1dRatio_High_Rank,Penalty1dPercent_High_Rank,YppYprRatio_High_Rank,Oscore,FantasyPassScore,FantasyRushScore,FantasyOffenseScore,Oscore_Rank,FantasyPassScore_Rank,FantasyRushScore_Rank,FantasyOffenseScore_Rank
2000.0,NYG,328.0,5376.0,1064.0,5.1,24.0,192.0,5.7,28.0,33.0,158.0,1.68,25.0,11.0,0.44,310.0,311.0,529.0,3367.0,22.0,13.0,6.0,195.0,507.0,2009.0,16.0,4.0,100.0,91.0,839.0,15.0,29.7,12.0,-23.57,58.8,4.2,2.5,6.8,6.6,11.6,83.1,28.0,243.0,5.8,5.0,60.06,-73.75,25.0,19.0,0.0,0.0,76.0,100.0,0.0,0.0,0.0,0.5234962406015038,0.4765037593984962,0.6263020833333334,0.3736979166666666,0.5789473684210527,0.42105263157894735,1.95,0.5128205128205128,0.04838709677419355,1.7,15.0,13.0,5.0,13.0,6.0,10.0,12.5,13.0,16.5,10.5,5.5,6.0,10.0,12.5,13.0,11.0,15.5,17.0,13.0,10.0,6.5,12.5,8.0,6.0,11.0,7.5,18.5,17.0,10.0,15.0,28.5,17.0,7.0,12.0,13.5,9.5,6.0,13.5,11.5,14.0,12.0,6.0,15.0,10.0,4.5,9.0,29.0,24.5,25.0,21.0,12.5,22.0,10.0,19.0,13.0,19.0,13.0,19.0,13.0,19.0,30.0,19.0,12.583333333333336,9.55,11.125,10.3375,10.0,8.5,10.0,8.0
2001.0,NYG,294.0,5335.0,1028.0,5.2,29.0,196.0,5.4,26.9,29.0,147.0,1.42,40.0,13.0,0.325,295.0,327.0,568.0,3558.0,19.0,16.0,5.9,189.0,424.0,1777.0,11.0,4.2,93.0,97.0,905.0,13.0,27.0,12.8,-46.04,57.6,3.3,2.8,6.6,6.0,11.5,77.1,36.0,206.0,5.3,6.0,-7.77,-36.56,30.0,23.0,7.0,2.0,76.7,96.7,2.0,2.0,0.0,0.5875486381322957,0.41245136186770426,0.666916588566073,0.3330834114339269,0.6333333333333333,0.3666666666666667,2.032258064516129,0.49206349206349204,0.04406779661016949,1.5714285714285712,21.5,9.0,9.0,9.5,20.5,14.0,22.0,23.0,31.0,19.0,17.5,20.5,14.0,22.0,23.0,10.0,7.5,5.0,8.5,15.5,13.5,14.0,4.5,19.0,15.0,16.5,11.5,16.0,19.0,25.0,31.0,21.0,10.5,15.0,19.0,21.0,9.0,20.5,15.5,16.0,18.0,14.0,13.0,12.5,12.0,17.0,15.0,19.0,17.0,20.0,24.0,9.0,23.0,15.0,17.0,17.0,15.0,17.0,12.0,20.0,31.0,24.0,13.916666666666664,10.3,16.0625,13.18125,8.5,6.0,14.0,9.0
2002.0,NYG,320.0,5826.0,1059.0,5.5,27.0,189.0,5.8,30.5,30.2,161.0,1.63,31.0,13.0,0.41935483870967744,323.0,338.0,549.0,3951.0,19.0,14.0,6.9,195.0,486.0,1875.0,14.0,3.9,95.0,113.0,955.0,33.0,31.2,13.8,25.44,61.6,3.5,2.6,7.5,7.0,12.1,85.4,24.0,152.0,6.5,4.2,122.09,-83.01,32.0,26.0,0.0,0.0,81.3,93.8,3.0,1.0,0.0,0.5410764872521246,0.4589235127478754,0.6781668383110195,0.3218331616889805,0.5757575757575758,0.4242424242424242,2.0526315789473686,0.4871794871794872,0.1021671826625387,1.9230769230769231,22.0,6.0,6.0,6.0,9.5,8.0,11.0,20.0,27.0,17.0,12.0,9.5,8.0,11.0,20.0,10.0,13.5,17.0,6.0,21.5,10.0,2.0,9.0,7.0,14.0,16.0,25.0,17.0,26.0,26.0,3.5,20.0,13.0,11.0,10.5,23.0,10.0,4.0,4.0,4.0,10.0,5.5,5.0,4.0,5.0,2.0,30.0,11.0,9.5,9.0,30.5,25.0,8.0,11.0,22.0,22.0,11.0,22.0,8.0,25.0,7.0,2.0,12.833333333333336,10.15,15.75,12.95,12.0,9.0,14.0,12.0
2006.0,NO,413.0,6264.0,1075.0,5.8,23.0,190.0,5.8,33.0,29.2,161.0,2.09,23.0,10.0,0.43478260869565216,330.0,372.0,580.0,4503.0,27.0,13.0,7.5,207.0,472.0,1761.0,19.0,3.7,99.0,79.0,597.0,24.0,36.8,12.1,89.67,64.1,4.7,2.2,8.0,7.9,12.4,94.9,23.0,123.0,7.4,3.8,129.8,-30.28,26.0,23.0,2.0,1.0,88.5,97.9,2.0,2.0,0.0,0.5609302325581396,0.4390697674418605,0.7188697318007663,0.2811302681992337,0.5869565217391305,0.4130434782608695,2.090909090909091,0.4782608695652174,0.07272727272727272,2.162162162162162,5.0,1.0,2.0,3.0,6.5,3.0,11.0,4.0,14.0,12.0,7.0,6.5,3.0,11.0,4.0,4.5,1.5,5.0,1.0,4.0,9.0,1.5,4.0,12.5,19.0,5.0,26.5,18.5,6.0,4.0,15.0,5.0,9.0,3.0,3.5,9.0,6.0,1.5,3.0,4.5,3.0,4.0,3.0,3.0,4.0,2.0,18.0,25.5,19.5,9.0,23.5,14.0,19.0,3.0,30.0,20.0,13.0,20.0,8.0,25.0,20.0,2.0,7.583333333333332,3.2,14.6875,8.94375,5.0,2.0,13.0,3.0
2007.0,NO,379.0,5780.0,1060.0,5.5,30.0,180.0,6.0,32.1,28.5,166.0,1.88,25.0,12.0,0.48,346.0,440.0,652.0,4314.0,28.0,18.0,6.5,232.0,392.0,1466.0,14.0,3.7,94.0,68.0,581.0,20.0,31.7,16.1,50.74,67.5,4.3,2.8,6.8,6.4,10.1,89.4,16.0,109.0,6.1,2.4,83.29,-28.37,22.0,15.0,6.0,2.0,68.2,100.0,5.0,4.0,1.0,0.6301886792452829,0.36981132075471707,0.7463667820069204,0.2536332179930796,0.6666666666666666,0.33333333333333337,2.4680851063829787,0.4051724137931034,0.05780346820809248,1.8378378378378373,12.5,4.0,1.0,10.5,5.0,4.5,5.0,10.5,18.0,16.0,20.0,5.0,4.5,5.0,10.5,3.0,1.0,1.0,3.0,9.5,20.0,11.0,2.0,26.0,28.0,11.0,28.5,18.0,4.0,4.0,18.5,20.0,24.0,7.0,2.0,13.0,11.0,17.5,15.5,30.0,9.0,1.0,1.0,10.0,1.0,7.0,15.0,31.0,32.0,32.0,12.0,2.0,31.0,2.0,31.0,17.0,16.0,17.0,8.0,25.0,24.0,11.0,13.166666666666664,7.65,20.8125,14.23125,11.0,6.0,23.0,16.0
2008.0,NO,463.0,6571.0,1047.0,6.3,26.0,178.0,6.0,36.7,29.9,164.0,2.49,18.0,8.0,0.4444444444444444,354.0,413.0,636.0,4977.0,34.0,18.0,7.7,232.0,398.0,1594.0,20.0,4.0,103.0,86.0,797.0,19.0,42.7,14.0,159.5,64.9,5.3,2.8,8.0,7.8,12.3,95.4,13.0,92.0,7.5,2.0,174.21,-6.46,27.0,22.0,2.0,1.0,81.5,98.1,3.0,0.0,1.0,0.6198662846227316,0.3801337153772684,0.7574189621062243,0.2425810378937757,0.6296296296296297,0.3703703703703704,2.25242718446602,0.44396551724137934,0.05367231638418079,2.0,1.0,1.0,4.0,1.0,7.0,2.0,13.5,1.0,9.5,8.0,18.0,7.0,2.0,13.5,1.0,2.5,2.0,1.0,1.0,1.5,24.5,1.5,1.0,26.0,28.0,6.0,23.0,14.5,14.5,24.0,18.5,4.0,21.0,1.0,7.0,2.5,16.5,3.0,2.5,4.0,4.0,3.0,4.0,2.0,2.0,1.0,9.0,24.5,25.5,23.0,27.0,3.0,30.0,3.0,30.0,12.0,21.0,12.0,3.0,30.0,28.0,4.0,7.833333333333332,5.2,17.4375,11.31875,4.0,2.0,15.0,6.0
2009.0,NO,510.0,6461.0,1032.0,6.3,28.0,185.0,5.7,34.9,31.4,164.0,2.44,25.0,16.0,0.64,348.0,378.0,544.0,4355.0,34.0,12.0,7.7,215.0,468.0,2106.0,21.0,4.5,115.0,89.0,787.0,18.0,41.6,13.5,170.92,69.5,6.3,2.2,8.3,8.5,11.9,106.0,20.0,135.0,8.0,3.5,188.33,-12.64,28.0,22.0,1.0,0.0,78.6,95.2,1.0,0.0,0.0,0.5465116279069767,0.4534883720930233,0.6740442655935613,0.32595573440643866,0.6181818181818182,0.3818181818181817,1.8695652173913044,0.5348837209302325,0.05172413793103448,1.8444444444444448,1.0,1.0,9.5,1.5,13.0,3.0,12.5,2.0,21.0,29.5,17.0,13.0,3.0,12.5,2.0,2.0,5.0,15.0,4.0,2.0,6.0,2.0,6.5,7.5,6.0,3.5,6.0,5.0,13.0,17.0,24.0,3.0,16.5,1.0,1.0,1.0,6.5,3.0,4.0,9.0,2.0,4.0,5.0,2.0,4.0,4.0,12.0,20.0,20.0,24.0,31.0,24.0,9.0,14.0,19.0,22.0,11.0,22.0,17.0,16.0,29.0,9.0,4.833333333333333,3.9,8.375,6.1375,1.0,1.0,6.0,1.0
2010.0,NO,384.0,5960.0,1067.0,5.6,31.0,174.0,6.3,34.2,29.2,177.0,2.12,23.0,9.0,0.39130434782608703,351.0,450.0,661.0,4441.0,33.0,22.0,6.5,236.0,380.0,1519.0,9.0,4.0,94.0,90.0,884.0,21.0,38.5,16.7,98.07,68.1,5.0,3.3,7.0,6.5,10.3,90.8,26.0,195.0,6.0,3.8,137.35,-36.1,31.0,25.0,2.0,2.0,80.6,100.0,0.0,0.0,1.0,0.6438612933458294,0.3561387066541706,0.7451342281879194,0.2548657718120806,0.7857142857142857,0.2142857142857143,2.5106382978723403,0.3983050847457627,0.05982905982905984,1.75,11.0,6.0,4.0,9.0,1.5,3.0,1.5,6.5,18.0,10.5,23.0,1.5,3.0,1.5,6.5,5.0,1.5,2.0,3.0,2.5,30.0,9.5,2.5,30.0,28.0,26.0,20.5,15.5,12.5,22.0,19.5,7.0,27.0,6.0,1.0,11.0,20.0,17.0,16.0,30.0,10.5,5.0,9.5,15.0,3.5,5.0,19.0,11.0,14.0,21.0,12.5,3.0,30.0,2.0,31.0,2.0,31.0,2.0,4.5,28.5,26.0,13.0,12.5,8.2,23.0625,15.63125,12.0,6.0,26.0,17.0
2011.0,NO,547.0,7474.0,1117.0,6.7,19.0,175.0,6.6,42.6,28.2,175.0,2.96,6.0,5.0,0.8333333333333334,416.0,472.0,662.0,5347.0,46.0,14.0,7.8,280.0,431.0,2127.0,16.0,4.9,116.0,99.0,851.0,20.0,51.4,10.9,330.95,71.3,6.9,2.1,8.3,8.8,11.7,110.5,24.0,158.0,8.2,3.5,294.47,43.36,34.0,28.0,5.0,2.0,82.4,100.0,3.0,2.0,0.0,0.6141450313339302,0.3858549686660698,0.7154134332352154,0.2845865667647845,0.7419354838709677,0.25806451612903225,2.413793103448276,0.4142857142857143,0.04807692307692308,1.6938775510204085,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.5,4.5,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,14.0,3.0,1.0,20.0,6.0,8.0,4.5,6.0,14.0,16.0,28.5,1.0,9.0,1.0,1.0,2.0,6.5,4.0,3.0,18.0,2.0,2.5,3.0,3.0,1.0,1.0,3.0,10.0,11.5,19.0,13.0,4.0,29.0,6.0,27.0,5.0,28.0,5.0,9.0,24.0,31.0,18.0,2.6666666666666665,3.25,7.625,5.4375,1.0,3.0,6.0,1.0
2013.0,NO,414.0,6391.0,1079.0,5.9,19.0,181.0,6.1,35.3,27.8,173.0,2.29,12.0,7.0,0.5833333333333334,359.0,446.0,651.0,4918.0,39.0,12.0,7.1,244.0,391.0,1473.0,10.0,3.8,87.0,95.0,817.0,28.0,40.3,8.3,152.24,68.5,6.0,1.8,7.9,8.3,11.6,104.5,37.0,244.0,7.5,5.4,177.27,-22.06,32.0,24.0,1.0,1.0,75.0,100.0,1.0,0.0,0.0,0.6376274328081557,0.3623725671918443,0.7695196369895165,0.2304803630104835,0.7959183673469388,0.20408163265306128,2.8045977011494254,0.35655737704918034,0.07799442896935932,2.0789473684210527,10.0,4.0,9.0,5.5,2.0,3.0,3.0,3.0,1.5,6.0,5.5,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,11.0,4.0,2.0,26.0,25.0,23.5,25.5,21.0,12.0,16.0,17.5,6.0,2.0,3.0,2.0,4.0,5.0,6.0,5.0,14.5,3.0,9.5,12.0,4.0,7.0,3.0,19.0,13.5,21.0,30.0,14.0,5.0,28.0,2.0,31.0,2.0,31.0,2.0,3.0,30.0,23.0,3.0,8.833333333333334,3.4,21.9375,12.66875,6.0,2.0,24.0,10.0
