Name,Exp,Tm,Dscore_Rank,PF_Defense_Low_Rank,TotalYds_Defense_Low_Rank,Ply_Defense_Low_Rank,1stD_Defense_Low_Rank,Y/Play_Defense_Low_Rank,TO_Defense_High_Rank,TO%_Defense_High_Rank,Pen_Defense_Low_Rank,Plays/Drive_Defense_Low_Rank,Yds/Drive_Defense_Low_Rank,AvgDriveTime_Defense_Low_Rank,Pts/Drive_Defense_Low_Rank,Sc%_Defense_Low_Rank,PassAtt_Defense_Low_Rank,PassYds_Defense_Low_Rank,PassTD_Defense_Low_Rank,ANY/A_Defense_Low_Rank,Sk_Defense_High_Rank,Sk%_Defense_High_Rank,Int_Defense_High_Rank,Int%_Defense_High_Rank,1stDpass_Defense_Low_Rank,Cmp%_Defense_Low_Rank,Y/C_Defense_Low_Rank,QbRating_Defense_Low_Rank,RushAtt_Defense_Low_Rank,RushYds_Defense_Low_Rank,RushTD_Defense_Low_Rank,Y/Arun_Defense_Low_Rank,1stDrun_Defense_Low_Rank,FL_Defense_High_Rank,DefensivePtsScored_High_Rank,#Dr_Defense,1stD_Defense,1stDpass_Defense,1stDrun_Defense,1stPy_Defense,1stPy_Defense_Low_Rank,2PM_Defense,ANY/A_Defense,AY/A_Defense,AY/A_Defense_Low_Rank,AvgDriveTime_Defense,Cmp%_Defense,Cmp_Defense,Cmp_Defense_Low_Rank,Dscore,ExpectedPointsPassing_Defense,ExpectedPointsPassing_Defense_High_Rank,ExpectedPointsRunning_Defense,ExpectedPointsRunning_Defense_High_Rank,ExpectedPoints_Defense,ExpectedPoints_Defense_High_Rank,Experience,FG%_Defense,FG%_Defense_Low_Rank,FL_Defense,FL_Defense_High_Rank.1,FantasyDstScore,FantasyDstScore_Rank,Int%_Defense,Int_Defense,NY/A_Defense,NY/A_Defense_Low_Rank,PF_Defense,PassAtt_Defense,PassPercent_Defense,PassPercent_Defense_High_Rank,PassTD%_Defense,PassTD%_Defense_Low_Rank,PassTD_Defense,PassTdPercent_Defense,PassTdPercent_Defense.1,PassTdPercent_Defense_High_Rank,PassTdPercent_Defense_High_Rank.1,PassYdPercent_Defense,PassYdPercent_Defense_High_Rank,PassYds_Defense,PenYds_Defense,PenYds_Defense_Low_Rank,Pen_Defense,Penalty1dPercent_Defense,Penalty1dPercent_Defense_High_Rank,Plays/Drive_Defense,Ply_Defense,Pts/Drive_Defense,QbRating_Defense,RunPercent_Defense,RunPercent_Defense_High_Rank,RunTdPercent_Defense,RunTdPercent_Defense_High_Rank,RunYdPercent_Defense,RunYdPercent_Defense.1,RunYdPercent_Defense_High_Rank,RushAtt_Defense,RushTD_Defense,RushYds_Defense,Sc%_Defense,Sfty_Defense,Sk%_Defense,SkYds_Defense,SkYds_Defense_High_Rank,Sk_Defense,TFGA_Defense,TFGA_Defense_Low_Rank,TFGM_Defense,TFGM_Defense_Low_Rank,TO%_Defense,TO_Defense,TimeOfPossession_Defense,TotalYds_Defense,XP%_Defense,XP%_Defense_Low_Rank,Y/Apass_Defense,Y/Apass_Defense_Low_Rank,Y/Arun_Defense,Y/C_Defense,Y/Play_Defense,Yds/Drive_Defense,YppYprRatio_Defense,YppYprRatio_Defense_High_Rank
Adam Gase,1.0,MIA,24.0,18.0,29.0,31.0,26.0,21.0,12.0,9.0,18.5,15.5,18.0,15.5,19.0,15.0,24.0,15.0,26.0,13.5,21.0,22.0,10.0,10.5,18.0,13.0,14.0,16.5,28.0,30.0,14.5,31.5,28.5,17.5,13.5,205.0,349.0,199.0,109.0,41.0,32.0,5.0,6.0,6.7,12.0,159.0,62.3,368.0,17.5,21.58333333333333,-63.98,13.0,-10.5,30.0,-80.0,20.0,,74.3,5.0,9.0,17.5,16.916666666666668,16.0,2.7,16.0,6.2,13.0,380.0,591.0,0.5735294117647058,23.0,5.1,26.0,30.0,0.7142857142857143,0.7142857142857143,9.0,9.0,0.6329630839594904,29.0,3875.0,919.0,13.0,109.0,0.1174785100286533,4.0,5.7,1088.0,1.97,88.5,0.42647058823529416,10.0,0.2857142857142857,24.0,0.3670369160405096,0.3670369160405096,4.0,464.0,12.0,2247.0,35.6,0.0,5.3,226.0,17.0,33.0,35.0,25.0,26.0,14.5,13.2,25.0,32595.0,6122.0,89.5,5.0,6.9,12.5,4.8,11.1,5.6,31.5,1.4375000000000002,31.0
Andy Reid,18.0,KC,11.694444444444445,10.694444444444443,13.083333333333336,20.666666666666668,14.111111111111109,10.333333333333334,13.166666666666664,13.888888888888891,17.86111111111111,14.75,11.305555555555555,14.611111111111109,10.5,10.222222222222221,20.194444444444443,11.944444444444445,14.166666666666664,9.888888888888891,10.166666666666666,11.194444444444445,14.305555555555555,15.222222222222221,12.027777777777779,10.027777777777779,14.222222222222221,11.055555555555555,17.333333333333332,17.666666666666668,10.638888888888891,17.083333333333332,16.72222222222222,14.583333333333336,12.611111111111109,193.44444444444446,298.3888888888889,172.88888888888889,96.77777777777777,28.722222222222218,20.666666666666668,0.7777777777777778,5.122222222222224,6.011111111111112,10.972222222222221,152.5,58.16111111111112,318.72222222222223,14.611111111111109,12.879629629629626,7.350588235294121,10.176470588235292,33.99235294117647,14.0,52.4129411764706,10.235294117647056,,81.4833333333333,16.11111111111111,12.277777777777779,14.583333333333336,12.222222222222221,9.138888888888891,3.0722222222222215,17.0,5.677777777777778,9.138888888888891,309.6111111111111,547.8888888888888,0.5720671101836817,15.277777777777779,3.9277777777777785,13.25,21.444444444444443,0.6808596809390264,0.6808596809390264,12.527777777777779,12.527777777777779,0.6452091393129733,20.0,3348.722222222222,841.8333333333335,15.805555555555555,103.27777777777777,0.0963843606202876,11.5,5.522222222222222,1031.611111111111,1.509444444444444,78.3888888888889,0.4279328898163183,17.555555555555557,0.3191403190609736,20.305555555555557,0.3547908606870266,0.3547908606870266,12.833333333333336,441.61111111111114,9.888888888888891,1839.2777777777774,28.63888888888889,0.16666666666666666,7.138888888888888,271.1666666666667,9.888888888888891,42.111111111111114,28.944444444444446,12.722222222222221,23.61111111111111,13.75,13.944444444444445,29.277777777777782,29441.777777777777,5188.0,98.71666666666664,17.722222222222218,6.611111111111112,10.277777777777779,4.172222222222223,11.366666666666667,5.027777777777779,26.91666666666667,1.5924515078104728,21.194444444444443
Ben McAdoo,1.0,NYG,2.5,2.0,10.0,27.0,5.0,6.0,12.0,18.5,12.0,7.5,6.0,9.0,3.0,6.0,29.0,23.0,2.0,3.0,14.5,22.0,6.0,10.5,15.0,3.0,18.0,2.0,12.5,3.5,7.0,2.5,6.0,21.0,6.5,211.0,298.0,191.0,82.0,25.0,6.5,0.0,5.3,6.0,2.0,154.0,58.6,369.0,19.5,6.333333333333332,-36.26,8.0,62.69,2.0,37.91,3.0,,85.0,16.5,8.0,21.0,9.75,4.0,2.7,17.0,6.0,6.5,284.0,630.0,0.6261770244821092,7.0,2.4,1.5,15.0,0.6,0.6,20.5,20.5,0.7392824287028519,5.0,4018.0,853.0,8.0,104.0,0.08389261744966442,24.0,5.5,1062.0,1.49,75.8,0.3738229755178908,26.0,0.4,12.5,0.2607175712971481,0.2607175712971481,28.0,397.0,10.0,1417.0,30.8,1.0,5.3,242.0,10.0,35.0,40.0,29.5,34.0,30.5,11.4,25.0,32494.0,5435.0,96.0,24.0,6.8,8.5,3.6,11.5,5.1,27.7,1.8888888888888888,7.5
Bill Belichick,31.0,NE,11.983870967741936,8.14516129032258,13.967741935483868,17.032258064516128,15.016129032258064,12.870967741935484,13.403225806451614,12.209677419354836,16.725806451612904,18.526315789473685,17.026315789473685,14.81578947368421,10.157894736842103,11.419354838709678,21.29032258064516,16.403225806451616,13.725806451612904,12.225806451612904,13.193548387096774,14.951612903225806,11.903225806451614,12.774193548387096,18.161290322580644,12.967741935483868,14.967741935483868,11.93548387096774,11.64516129032258,12.258064516129034,9.548387096774192,13.193548387096774,13.096774193548386,15.258064516129034,13.338709677419354,187.68421052631575,298.4193548387097,180.29032258064515,92.90322580645163,25.225806451612907,15.967741935483868,0.7096774193548387,5.112903225806453,5.9870967741935495,12.5,153.42105263157896,57.777419354838706,318.3870967741936,18.40322580645161,12.741935483870964,-19.721764705882357,14.0,27.425882352941183,15.294117647058822,17.757058823529416,14.411764705882351,,76.06774193548388,12.048387096774194,12.419354838709678,15.258064516129034,12.854838709677422,10.080645161290322,3.3741935483870966,18.548387096774192,5.822580645161289,12.725806451612904,290.2903225806452,550.8387096774194,0.5816275541235818,10.451612903225808,3.67741935483871,12.096774193548386,20.258064516129032,0.6661880359755972,0.6661880359755972,12.790322580645164,12.790322580645164,0.6705015953279982,11.870967741935484,3446.935483870968,853.4516129032259,18.016129032258068,103.0,0.08440034228102987,15.112903225806454,5.63157894736842,1016.5806451612905,1.5347368421052632,76.64838709677419,0.4183724458764181,20.967741935483872,0.33381196402440283,18.62903225806452,0.3294984046720017,0.3294984046720017,19.548387096774192,425.35483870967744,9.935483870967742,1685.838709677419,17.46129032258065,0.41935483870967744,6.8290322580645135,278.96774193548384,12.451612903225806,40.38709677419355,27.967741935483872,12.838709677419354,21.161290322580644,11.129032258064516,9.583870967741936,30.967741935483872,28745.631578947367,5132.774193548386,98.2935483870968,17.112903225806452,6.7548387096774185,12.85483870967742,3.967741935483872,11.706451612903225,5.038709677419353,28.71052631578947,1.7095095930919817,16.20967741935484
Bill O'Brien,3.0,HOU,6.666666666666668,8.5,6.666666666666668,11.333333333333336,8.833333333333334,5.833333333333332,13.666666666666664,15.0,19.33333333333333,3.8333333333333335,3.0,2.1666666666666665,4.5,3.1666666666666665,16.0,8.666666666666666,13.833333333333336,7.166666666666668,16.333333333333332,14.833333333333336,13.333333333333336,13.0,10.0,5.833333333333332,11.166666666666664,7.166666666666668,11.166666666666664,10.666666666666666,10.833333333333336,13.166666666666664,10.5,13.666666666666664,11.5,203.66666666666663,294.0,178.66666666666663,85.0,30.33333333333333,15.666666666666664,0.3333333333333333,5.5,6.3,7.5,142.66666666666666,59.56666666666666,336.0,10.0,9.25,3.6399999999999992,3.6666666666666665,40.676666666666655,9.666666666666666,53.11666666666667,3.6666666666666665,,83.16666666666667,15.333333333333336,10.333333333333334,13.666666666666664,12.763888888888893,10.666666666666666,2.6,15.0,5.7666666666666675,4.666666666666667,316.0,564.6666666666666,0.5995413301740172,12.333333333333336,4.2,14.5,24.0,0.7118241235888294,0.7118241235888294,12.666666666666664,12.666666666666664,0.6818778121653186,18.666666666666668,3494.0,908.6666666666665,16.666666666666668,109.66666666666669,0.10316249616375664,12.0,5.266666666666667,1004.3333333333335,1.5366666666666668,82.5,0.4004586698259828,20.666666666666668,0.2881758764111705,20.33333333333333,0.31812218783468144,0.31812218783468144,14.333333333333336,401.66666666666674,9.666666666666666,1624.333333333333,28.100000000000005,0.3333333333333333,6.3,253.33333333333331,13.833333333333336,38.0,25.66666666666667,5.666666666666668,21.33333333333333,6.166666666666668,12.5,25.33333333333333,29063.33333333333,5118.333333333333,95.2,11.5,6.633333333333333,4.833333333333333,4.033333333333333,11.133333333333335,5.1,25.96666666666667,1.6449186991869922,22.16666666666667
Bob Sutton,7.0,KC,13.714285714285715,8.642857142857142,16.571428571428573,22.071428571428577,18.857142857142858,13.857142857142858,14.285714285714285,12.0,22.57142857142857,23.07142857142857,18.785714285714285,18.714285714285715,10.642857142857142,11.428571428571427,21.5,15.214285714285715,14.0,11.285714285714285,13.214285714285715,13.571428571428573,13.285714285714285,14.571428571428573,17.428571428571427,10.142857142857142,15.928571428571427,10.571428571428571,16.714285714285715,20.571428571428573,9.714285714285714,21.214285714285715,20.071428571428573,15.928571428571427,12.571428571428573,183.42857142857144,315.7142857142857,191.28571428571428,101.28571428571428,23.142857142857146,12.071428571428573,1.7142857142857142,5.514285714285713,6.328571428571428,11.285714285714285,159.71428571428572,59.414285714285704,332.0,13.428571428571427,15.321428571428573,-13.658571428571427,10.428571428571429,10.604285714285714,20.714285714285715,7.184285714285713,13.285714285714285,,83.58571428571429,16.0,10.857142857142858,15.928571428571427,12.654761904761909,10.714285714285714,2.8285714285714287,16.0,5.971428571428571,12.357142857142858,312.85714285714283,559.4285714285714,0.5776561412467137,14.428571428571427,3.928571428571429,13.0,22.142857142857146,0.6992707047854108,0.6992707047854108,11.714285714285715,11.714285714285715,0.6535032955627871,20.0,3571.142857142857,815.4285714285713,15.714285714285715,104.14285714285714,0.07314386268406503,21.857142857142854,5.871428571428572,1035.2857142857142,1.6357142857142857,81.34285714285714,0.4223438587532864,18.571428571428573,0.30072929521458924,21.285714285714285,0.3464967044372129,0.3464967044372129,13.0,436.8571428571428,9.714285714285714,1889.4285714285716,31.185714285714287,0.2857142857142857,6.514285714285713,243.57142857142856,13.857142857142858,39.0,28.714285714285715,11.357142857142858,24.142857142857146,13.428571428571427,13.771428571428574,26.857142857142854,29191.142857142862,5460.571428571428,98.47142857142856,19.285714285714285,6.828571428571428,12.714285714285715,4.314285714285714,11.485714285714286,5.271428571428571,30.014285714285716,1.5941230182629778,22.214285714285715
Bruce Arians,4.0,ARI,7.25,8.375,9.25,13.25,5.375,10.25,7.75,10.0,30.0,5.875,9.25,5.875,7.625,7.5,20.625,13.75,13.25,8.25,13.0,14.0,7.875,8.5,13.625,11.5,13.75,9.25,8.75,7.25,10.75,9.625,7.0,11.875,5.0,192.75,296.5,188.75,78.5,29.25,14.875,0.75,5.500000000000001,6.45,9.5,146.25,61.125,354.75,17.75,8.5,-14.155,5.75,48.875,7.0,42.745,4.75,,85.45,15.75,11.25,11.875,11.041666666666664,7.25,3.0500000000000003,17.75,6.025,10.625,324.5,581.0,0.6142257856246935,8.5,4.1,13.125,24.0,0.7143647226664305,0.7143647226664305,13.25,13.25,0.7110679618870491,8.5,3733.0,1091.0,29.5,123.5,0.09857103476642573,15.75,5.4,1013.25,1.6175000000000002,83.05,0.3857742143753065,24.5,0.2856352773335696,19.75,0.288932038112951,0.288932038112951,24.5,390.75,9.75,1517.0,30.625,0.25,6.675000000000002,306.25,8.0,41.5,29.75,13.375,25.25,13.25,14.05,29.0,28161.25,5250.0,96.4,16.625,6.95,11.875,3.9,11.375,5.175,27.250000000000004,1.7855372855372855,13.125
Chuck Pagano,6.0,IND,19.416666666666668,16.5,19.33333333333333,14.916666666666664,16.416666666666668,21.5,18.416666666666668,17.25,25.83333333333333,16.666666666666668,18.5,14.583333333333336,15.5,15.083333333333336,14.0,16.833333333333332,14.416666666666664,18.166666666666668,15.416666666666664,14.666666666666664,19.416666666666668,19.25,15.416666666666664,13.833333333333336,22.0,16.166666666666668,17.833333333333332,20.83333333333333,18.83333333333333,21.83333333333333,16.166666666666668,15.666666666666664,16.416666666666668,186.66666666666663,317.6666666666667,192.83333333333331,94.5,30.33333333333333,18.33333333333333,0.3333333333333333,6.133333333333334,6.999999999999999,18.416666666666668,153.0,60.15,333.0,11.333333333333336,18.347222222222218,-61.58000000000001,16.833333333333332,12.453333333333333,20.166666666666668,-38.653333333333336,17.666666666666668,,81.48333333333333,11.833333333333336,9.5,15.666666666666664,16.895833333333332,16.0,2.3833333333333333,13.166666666666664,6.366666666666666,17.583333333333332,359.66666666666674,552.6666666666666,0.5789871606038078,18.5,4.15,15.5,23.0,0.6284490046259757,0.6284490046259757,22.16666666666667,22.16666666666667,0.6657495391414044,20.166666666666668,3770.333333333334,1069.8333333333333,28.16666666666667,117.0,0.09525796570412193,16.0,5.666666666666668,1021.0,1.7899999999999998,86.28333333333335,0.4210128393961921,14.5,0.3715509953740243,10.833333333333336,0.3342504608585956,0.3342504608585956,12.833333333333336,429.83333333333326,13.0,1896.0,33.800000000000004,0.5,6.516666666666667,242.0,16.416666666666668,38.5,32.666666666666664,19.83333333333333,26.66666666666667,18.25,11.75,22.66666666666667,28502.16666666667,5666.333333333332,96.35,14.75,7.250000000000001,18.0,4.4,12.05,5.55,30.383333333333336,1.6599370321552118,20.5
Dan Quinn,4.0,ATL,11.25,10.75,10.75,9.75,14.625,11.25,13.625,10.75,10.875,19.25,14.0,21.375,12.0,10.875,13.875,12.0,9.0,9.5,19.375,18.875,12.5,12.375,13.375,17.5,4.0,10.125,8.5,10.375,14.625,12.5,15.25,15.375,7.75,184.25,313.0,190.0,88.75,34.25,20.75,1.5,5.175,5.85,8.375,159.75,62.775,353.5,14.0,12.041666666666664,-32.965,12.75,35.255,15.5,5.460000000000001,12.0,,86.47500000000002,19.125,10.0,15.375,13.583333333333332,12.375,3.1000000000000005,17.0,5.8,10.0,309.0,561.75,0.5988562665855407,13.25,3.65,9.0,20.75,0.660273132664437,0.660273132664437,16.75,16.75,0.6849796063593587,16.5,3467.75,798.5,11.75,94.0,0.1117838068528257,12.375,5.775,992.25,1.685,80.80000000000003,0.40114373341445936,19.75,0.339726867335563,16.25,0.3150203936406413,0.3150203936406413,16.5,397.0,11.75,1570.5,31.325,0.25,5.675000000000002,219.25,18.125,33.5,26.0,5.25,22.5,8.125,14.4,27.0,29475.75,5038.25,98.025,20.25,6.525,7.0,3.95,10.4,5.05,28.75,1.6621134992458522,20.875
Dean Pees,9.0,BAL,8.555555555555555,9.166666666666666,9.222222222222221,10.277777777777779,9.666666666666666,12.0,15.611111111111109,15.611111111111109,18.11111111111111,11.388888888888891,10.555555555555557,12.833333333333336,8.777777777777779,10.0,15.277777777777779,12.444444444444445,16.11111111111111,13.388888888888891,13.666666666666664,12.555555555555555,14.722222222222221,13.666666666666664,15.388888888888891,13.833333333333336,18.11111111111111,14.444444444444445,10.888888888888891,10.555555555555557,8.333333333333334,11.722222222222221,8.222222222222221,16.88888888888889,20.166666666666668,184.44444444444446,291.6666666666667,183.55555555555557,81.0,27.11111111111111,16.555555555555557,0.7777777777777778,5.666666666666668,6.566666666666666,14.444444444444445,152.88888888888889,60.56666666666666,327.3333333333333,13.277777777777779,11.555555555555554,-43.39333333333334,14.888888888888891,37.458888888888886,11.333333333333336,2.619999999999997,12.777777777777779,,81.7333333333333,14.444444444444445,10.222222222222221,16.88888888888889,13.087962962962964,8.833333333333334,2.833333333333334,15.222222222222221,6.066666666666666,13.944444444444445,313.8888888888889,539.6666666666666,0.5856008188430813,13.333333333333336,4.2333333333333325,16.833333333333332,22.777777777777782,0.7024625295317146,0.7024625295317146,11.333333333333336,11.333333333333336,0.6816167711682799,13.888888888888891,3510.222222222222,875.3333333333335,19.777777777777782,101.11111111111113,0.09219262459057792,14.555555555555555,5.5,987.6666666666665,1.5888888888888892,83.95555555555555,0.41439918115691854,19.666666666666668,0.2975374704682854,21.66666666666667,0.3183832288317202,0.3183832288317202,19.11111111111111,409.4444444444445,9.111111111111109,1636.0,29.844444444444452,0.4444444444444444,6.655555555555555,266.77777777777777,11.555555555555555,38.555555555555564,28.11111111111111,14.5,23.33333333333333,14.111111111111109,12.977777777777774,25.444444444444446,28180.0,5146.222222222223,97.6,15.166666666666664,6.988888888888888,15.444444444444445,3.98888888888889,11.566666666666668,5.211111111111112,27.800000000000004,1.7614364151698338,12.722222222222221
