Name,Exp,Tm,Dscore_Rank,PF_Defense_Low_Rank,TotalYds_Defense_Low_Rank,Ply_Defense_Low_Rank,1stD_Defense_Low_Rank,Y/Play_Defense_Low_Rank,TO_Defense_High_Rank,TO%_Defense_High_Rank,Pen_Defense_Low_Rank,Plays/Drive_Defense_Low_Rank,Yds/Drive_Defense_Low_Rank,AvgDriveTime_Defense_Low_Rank,Pts/Drive_Defense_Low_Rank,Sc%_Defense_Low_Rank,PassAtt_Defense_Low_Rank,PassYds_Defense_Low_Rank,PassTD_Defense_Low_Rank,ANY/A_Defense_Low_Rank,Sk_Defense_High_Rank,Sk%_Defense_High_Rank,Int_Defense_High_Rank,Int%_Defense_High_Rank,1stDpass_Defense_Low_Rank,Cmp%_Defense_Low_Rank,Y/C_Defense_Low_Rank,QbRating_Defense_Low_Rank,RushAtt_Defense_Low_Rank,RushYds_Defense_Low_Rank,RushTD_Defense_Low_Rank,Y/Arun_Defense_Low_Rank,1stDrun_Defense_Low_Rank,FL_Defense_High_Rank,DefensivePtsScored_High_Rank,#Dr_Defense,1stD_Defense,1stDpass_Defense,1stDrun_Defense,1stPy_Defense,1stPy_Defense_Low_Rank,2PM_Defense,ANY/A_Defense,AY/A_Defense,AY/A_Defense_Low_Rank,AvgDriveTime_Defense,Cmp%_Defense,Cmp_Defense,Cmp_Defense_Low_Rank,Dscore,ExpectedPointsPassing_Defense,ExpectedPointsPassing_Defense_High_Rank,ExpectedPointsRunning_Defense,ExpectedPointsRunning_Defense_High_Rank,ExpectedPoints_Defense,ExpectedPoints_Defense_High_Rank,Experience,FG%_Defense,FG%_Defense_Low_Rank,FL_Defense,FL_Defense_High_Rank.1,FantasyDstScore,FantasyDstScore_Rank,Int%_Defense,Int_Defense,NY/A_Defense,NY/A_Defense_Low_Rank,PF_Defense,PassAtt_Defense,PassPercent_Defense,PassPercent_Defense_High_Rank,PassTD%_Defense,PassTD%_Defense_Low_Rank,PassTD_Defense,PassTdPercent_Defense,PassTdPercent_Defense.1,PassTdPercent_Defense_High_Rank,PassTdPercent_Defense_High_Rank.1,PassYdPercent_Defense,PassYdPercent_Defense_High_Rank,PassYds_Defense,PenYds_Defense,PenYds_Defense_Low_Rank,Pen_Defense,Penalty1dPercent_Defense,Penalty1dPercent_Defense_High_Rank,Plays/Drive_Defense,Ply_Defense,Pts/Drive_Defense,QbRating_Defense,RunPercent_Defense,RunPercent_Defense_High_Rank,RunTdPercent_Defense,RunTdPercent_Defense_High_Rank,RunYdPercent_Defense,RunYdPercent_Defense.1,RunYdPercent_Defense_High_Rank,RushAtt_Defense,RushTD_Defense,RushYds_Defense,Sc%_Defense,Sfty_Defense,Sk%_Defense,SkYds_Defense,SkYds_Defense_High_Rank,Sk_Defense,TFGA_Defense,TFGA_Defense_Low_Rank,TFGM_Defense,TFGM_Defense_Low_Rank,TO%_Defense,TO_Defense,TimeOfPossession_Defense,TotalYds_Defense,XP%_Defense,XP%_Defense_Low_Rank,Y/Apass_Defense,Y/Apass_Defense_Low_Rank,Y/Arun_Defense,Y/C_Defense,Y/Play_Defense,Yds/Drive_Defense,YppYprRatio_Defense,YppYprRatio_Defense_High_Rank
Adam Gase,1.0,MIA,24.0,18.0,29.0,31.0,26.0,21.0,12.0,9.0,18.5,15.5,18.0,15.5,19.0,15.0,24.0,15.0,26.0,13.5,21.0,22.0,10.0,10.5,18.0,13.0,14.0,16.5,28.0,30.0,14.5,31.5,28.5,17.5,13.5,205.0,349.0,199.0,109.0,41.0,32.0,5.0,6.0,6.7,12.0,159.0,62.3,368.0,17.5,21.58333333333333,-63.98,13.0,-10.5,30.0,-80.0,20.0,,74.3,5.0,9.0,17.5,16.916666666666668,16.0,2.7,16.0,6.2,13.0,380.0,591.0,0.5735294117647058,23.0,5.1,26.0,30.0,0.7142857142857143,0.7142857142857143,9.0,9.0,0.6329630839594904,29.0,3875.0,919.0,13.0,109.0,0.1174785100286533,4.0,5.7,1088.0,1.97,88.5,0.42647058823529416,10.0,0.2857142857142857,24.0,0.3670369160405096,0.3670369160405096,4.0,464.0,12.0,2247.0,35.6,0.0,5.3,226.0,17.0,33.0,35.0,25.0,26.0,14.5,13.2,25.0,32595.0,6122.0,89.5,5.0,6.9,12.5,4.8,11.1,5.6,31.5,1.4375000000000002,31.0
Andy Reid,18.0,KC,10.0,7.0,11.25,22.0,13.0,10.75,12.25,13.5,18.5,10.75,10.75,14.25,7.5,9.5,22.0,11.0,13.25,7.5,7.25,7.75,12.0,14.5,11.25,11.0,12.5,9.5,17.5,19.0,11.25,16.5,16.0,16.75,11.5,194.0,301.0,172.0,91.0,31.0,22.75,1.0,4.95,5.8,8.5,152.5,58.2,316.0,13.5,13.416666666666668,-0.96,8.0,35.12,12.0,46.14,9.0,,81.69999999999997,18.0,11.5,16.75,12.0,7.5,3.05,17.0,5.6,6.75,302.5,547.5,0.5763055285621544,15.5,3.85,12.0,22.0,0.7037480063795853,0.7037480063795853,10.5,10.5,0.6445611605391728,20.0,3360.0,832.0,15.5,108.0,0.09929912486007936,8.0,5.4,1037.0,1.535,78.05,0.4236944714378456,17.5,0.29625199362041466,22.0,0.3554388394608273,0.3554388394608273,13.0,435.0,10.5,1860.0,28.5,0.0,7.15,286.5,7.75,44.5,28.0,10.5,22.5,12.25,14.5,29.0,29666.0,5220.5,100.0,20.25,6.55,8.25,4.2,11.4,5.0,26.75,1.5926829268292684,24.5
Ben McAdoo,1.0,NYG,2.5,2.0,10.0,27.0,5.0,6.0,12.0,18.5,12.0,7.5,6.0,9.0,3.0,6.0,29.0,23.0,2.0,3.0,14.5,22.0,6.0,10.5,15.0,3.0,18.0,2.0,12.5,3.5,7.0,2.5,6.0,21.0,6.5,211.0,298.0,191.0,82.0,25.0,6.5,0.0,5.3,6.0,2.0,154.0,58.6,369.0,19.5,6.333333333333332,-36.26,8.0,62.69,2.0,37.91,3.0,,85.0,16.5,8.0,21.0,9.75,4.0,2.7,17.0,6.0,6.5,284.0,630.0,0.6261770244821092,7.0,2.4,1.5,15.0,0.6,0.6,20.5,20.5,0.7392824287028519,5.0,4018.0,853.0,8.0,104.0,0.08389261744966442,24.0,5.5,1062.0,1.49,75.8,0.3738229755178908,26.0,0.4,12.5,0.2607175712971481,0.2607175712971481,28.0,397.0,10.0,1417.0,30.8,1.0,5.3,242.0,10.0,35.0,40.0,29.5,34.0,30.5,11.4,25.0,32494.0,5435.0,96.0,24.0,6.8,8.5,3.6,11.5,5.1,27.7,1.8888888888888888,7.5
Bill Belichick,31.0,NE,12.0,8.0,11.0,21.0,16.0,11.0,13.5,14.5,17.0,20.0,17.0,14.0,9.0,14.5,22.0,17.0,16.0,12.0,14.0,18.0,11.0,11.0,19.5,11.0,14.5,11.0,11.0,11.0,8.5,10.5,12.0,15.0,13.5,187.0,294.0,177.0,94.0,25.0,16.0,0.0,5.0,6.0,12.0,152.0,57.5,314.0,18.0,13.5,-28.61,12.0,33.41,16.0,-3.08,15.0,,75.8,11.0,12.0,15.0,12.333333333333336,8.0,3.4,18.0,5.9,11.0,298.0,544.0,0.5770456960680127,10.0,4.0,14.0,23.0,0.6785714285714286,0.6785714285714286,12.0,12.0,0.6592239323650553,10.0,3355.0,839.0,19.0,103.0,0.08532423208191127,15.0,5.6,1030.0,1.56,78.1,0.4229543039319873,21.0,0.3214285714285714,20.0,0.3407760676349447,0.3407760676349447,20.0,419.0,10.0,1669.0,24.0,0.0,6.2,259.0,10.0,39.0,29.0,10.0,21.0,8.5,12.1,33.0,28600.0,5086.0,100.0,20.0,6.8,13.5,3.9,11.8,5.0,28.6,1.7297297297297298,15.0
Bill O'Brien,3.0,HOU,6.0,7.5,3.0,5.0,3.0,6.0,13.5,21.0,23.5,1.5,2.0,2.0,4.5,3.5,14.0,3.0,12.5,7.0,19.0,17.0,14.5,12.0,4.0,5.0,10.5,7.0,12.5,10.0,13.0,13.0,8.5,12.0,15.5,199.0,281.0,173.0,87.0,29.0,14.5,0.0,5.4,6.4,8.0,142.0,59.0,326.0,5.0,9.416666666666666,7.39,4.0,40.94,10.0,47.11,4.0,,86.2,19.0,11.0,12.0,12.208333333333336,11.0,2.5,14.0,5.8,4.0,313.0,553.0,0.6064908722109533,11.0,4.3,15.5,24.0,0.7058823529411765,0.7058823529411765,17.0,17.0,0.6782188192625428,20.0,3366.0,949.0,20.0,114.0,0.10320284697508897,11.0,5.2,986.0,1.51,82.8,0.3935091277890467,22.0,0.2941176470588235,16.0,0.3217811807374572,0.3217811807374572,13.0,397.0,10.0,1597.0,27.3,0.0,5.8,251.0,15.0,38.0,26.0,4.0,20.0,4.0,11.1,25.0,28258.0,4963.0,97.0,2.5,6.6,4.5,4.0,11.3,5.1,25.1,1.65,21.0
Bob Sutton,7.0,KC,14.0,6.0,18.0,22.0,21.5,15.5,6.5,4.0,22.5,24.5,18.0,22.5,7.5,10.0,26.0,14.0,15.0,11.0,7.0,8.0,15.5,16.0,16.0,2.0,13.0,12.0,17.0,24.0,6.5,22.0,24.5,21.5,6.5,182.0,313.0,189.0,102.0,20.0,10.5,2.0,5.7,6.5,10.5,162.0,58.5,334.0,13.0,14.5,-17.03,9.0,8.98,21.0,-5.71,9.0,,83.3,12.0,9.0,21.5,11.666666666666664,6.0,3.0,16.0,6.1,15.5,305.0,572.0,0.5888993414863594,13.0,4.0,12.0,23.0,0.696969696969697,0.696969696969697,9.0,9.0,0.671302578018996,23.0,3698.0,843.0,16.0,107.0,0.0641025641025641,20.0,5.9,1024.0,1.57,79.8,0.41110065851364064,20.0,0.303030303030303,24.0,0.32869742198100405,0.32869742198100405,10.0,433.0,10.0,1938.0,32.6,0.0,6.7,253.0,13.0,41.0,28.0,10.0,25.0,11.5,15.3,29.0,28836.0,5306.0,100.0,20.0,6.9,12.5,4.4,11.4,5.2,29.5,1.6,26.5
Bruce Arians,4.0,ARI,5.0,7.25,5.5,14.75,3.25,6.75,6.25,11.25,30.5,5.5,5.0,4.75,7.5,7.0,21.75,11.0,10.75,6.75,13.5,14.75,7.25,9.0,11.5,11.5,12.5,9.0,6.25,7.5,8.75,5.25,7.0,10.25,5.5,190.5,296.5,186.0,78.0,28.0,11.75,0.5,5.35,6.4,7.75,146.5,61.4,354.5,17.25,6.458333333333332,-19.295,6.0,55.525,5.5,44.955,5.0,,83.69999999999997,15.0,12.0,10.25,9.416666666666668,4.5,3.1500000000000004,18.5,5.9,7.5,318.5,576.0,0.6140418624347159,6.5,4.0,12.75,23.0,0.7184750733137829,0.7184750733137829,14.0,14.0,0.7105717767603597,7.0,3707.5,1101.0,29.5,126.5,0.09707734461375764,16.0,5.4,1014.5,1.605,83.0,0.385958137565284,26.5,0.281524926686217,19.0,0.28942822323964035,0.28942822323964035,26.0,384.5,9.0,1489.0,30.75,0.0,6.45,303.5,7.5,41.5,30.0,12.5,25.0,12.5,13.35,29.0,28454.5,5113.0,96.55,16.75,6.85,9.25,3.8,11.3,5.050000000000002,26.4,1.762993762993763,13.5
Chuck Pagano,6.0,IND,21.25,20.0,23.0,13.75,17.0,25.0,14.5,15.0,30.5,18.5,22.75,15.5,16.75,16.0,13.25,17.0,17.5,18.5,16.25,14.0,19.5,20.5,15.75,13.5,22.75,16.0,16.5,25.0,20.75,23.5,17.75,13.75,18.25,185.5,322.0,190.5,97.0,31.5,17.75,0.0,6.3,7.15,18.75,156.0,60.45,329.0,9.5,19.25,-88.955,20.0,3.945,23.0,-63.96,20.0,,79.45,8.0,10.0,13.75,16.416666666666664,15.0,2.5,13.5,6.5,19.25,378.0,539.5,0.5791493130178305,18.5,4.449999999999998,18.5,25.0,0.6400791034937376,0.6400791034937376,22.0,22.0,0.6736828078563608,20.5,3749.5,1093.5,30.5,118.5,0.09791343940159017,16.0,5.75,1015.5,1.845,88.35,0.4208506869821696,14.5,0.3599208965062624,11.0,0.32631719214363925,0.32631719214363925,12.5,425.5,14.0,1939.0,34.15,0.5,6.3,249.5,17.75,38.0,33.0,21.0,28.0,21.25,12.5,25.5,28388.0,5850.5,100.0,19.0,7.4,20.75,4.4,12.05,5.65,31.15,1.6594315245478035,21.0
Dan Quinn,4.0,ATL,8.5,7.5,8.5,6.0,14.0,11.0,16.5,11.0,9.5,19.25,14.0,21.5,9.75,9.25,11.25,9.5,3.0,9.25,18.5,19.25,15.0,12.25,10.25,17.0,3.75,8.75,7.5,10.75,12.75,10.75,14.5,12.5,8.5,179.0,308.5,186.0,89.0,31.5,17.75,0.0,5.6,6.199999999999998,8.25,158.5,63.05,341.5,12.0,11.25,-54.195,12.5,35.78,16.0,-1.3000000000000007,10.0,,86.35,21.75,10.5,12.5,14.999999999999995,13.0,2.6500000000000004,14.0,5.85,8.25,299.5,542.5,0.5855369530068326,15.5,3.4,4.5,18.0,0.6769565217391305,0.6769565217391305,16.0,16.0,0.6964248846162971,14.0,3426.0,803.5,11.0,96.5,0.10403038956840346,13.5,5.7,993.0,1.665,83.65,0.4144630469931675,17.5,0.32304347826086954,17.0,0.30357511538370285,0.30357511538370285,19.0,398.0,11.5,1649.0,30.6,0.0,5.85,231.0,16.25,35.5,26.5,5.75,22.0,7.25,12.95,23.5,28368.0,4970.0,100.0,19.5,6.6,7.25,3.95,10.45,5.1,28.65,1.6541666666666668,22.25
Dean Pees,9.0,BAL,7.0,8.0,8.0,6.5,7.5,11.0,14.5,16.0,24.0,8.0,11.0,11.0,7.0,9.0,15.0,12.0,18.5,14.5,16.0,12.0,15.5,12.0,13.5,12.5,15.5,13.0,8.0,11.0,6.0,8.5,6.5,14.5,19.5,182.0,289.0,187.0,79.0,30.0,14.5,1.0,5.7,6.5,14.5,150.0,60.1,314.0,12.0,11.75,-51.65,14.0,36.52,9.0,-5.6,12.0,,83.3,14.5,10.0,14.5,13.75,10.0,3.0,16.0,6.2,14.5,309.0,545.0,0.5820000000000001,13.0,4.5,19.5,25.0,0.75,0.75,5.0,5.0,0.6800424628450106,16.0,3650.0,900.0,24.0,102.0,0.1020408163265306,12.0,5.4,993.0,1.64,82.2,0.418,20.0,0.25,28.0,0.3199575371549894,0.3199575371549894,17.0,398.0,8.0,1661.0,30.6,0.0,6.4,250.0,10.0,37.0,30.0,19.0,22.0,11.5,12.9,25.0,28077.0,5154.0,100.0,19.0,7.0,17.0,4.0,11.6,5.2,28.4,1.7804878048780488,11.0
