Name,Exp,Tm,Oscore_Rank,PF_High_Rank,TotalYds_High_Rank,Ply_High_Rank,1stD_High_Rank,Y/Play_High_Rank,TO_Low_Rank,TO%_Low_Rank,Pen_Low_Rank,Plays/Drive_High_Rank,Yds/Drive_High_Rank,AvgDriveTime_High_Rank,Pts/Drive_High_Rank,Sc%_High_Rank,PassAtt_High_Rank,PassYds_High_Rank,PassTD_High_Rank,ANY/A_High_Rank,Sk%_Low_Rank,Int_Low_Rank,Int%_Low_Rank,1stDpass_High_Rank,Cmp%_High_Rank,Y/C_High_Rank,QbRating_High_Rank,RushAtt_High_Rank,RushYds_High_Rank,RushTD_High_Rank,Y/Arun_High_Rank,1stDrun_High_Rank,FL_Low_Rank,#Dr,1stD,1stDpass,1stDrun,1stPy,1stPy_High_Rank,2PA,2PM,ANY/A,AY/A,AY/A_High_Rank,AvgDriveTime,AvgDriveTime_High_Rank.1,AvgStartingPosition,Cmp,Cmp%,Cmp_High_Rank,ExpectedPoints,ExpectedPointsPassing,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning,ExpectedPointsRunning_High_Rank,ExpectedPoints_High_Rank,Experience,FG%,FG%_High_Rank,FGA50Plus,FGM50Plus,FL,FantasyOffenseScore,FantasyOffenseScore_Rank,FantasyPassScore,FantasyPassScore_Rank,FantasyRushScore,FantasyRushScore_Rank,Fmb,Fmb_Low_Rank,FumbleLostPercent,Int,Int%,NY/A,NY/A_High_Rank,Oscore,PF,PassAtt,PassPercent,PassPercent_High_Rank,PassRun1dRatio,PassRun1dRatio_High_Rank,PassTD,PassTD%,PassTD%_High_Rank,PassTdPercent,PassTdPercent_High_Rank,PassTdPercent_High_Rank.1,PassYdPercent,PassYdPercent_High_Rank,PassYds,Pen,PenYds,PenYds_Low_Rank,Penalty1dPercent,Penalty1dPercent_High_Rank,Plays/Drive,Plays/Drive_High_Rank.1,Ply,Pts/Drive,Pts/Drive_High_Rank.1,QbRating,RunPass1dRatio,RunPass1dRatio_High_Rank,RunPercent,RunPercent_High_Rank,RunTdPercent,RunTdPercent_High_Rank,RunYdPercent,RunYdPercent_High_Rank,RushAtt,RushTD,RushYds,Sc%,Sfty,Sk,Sk%,SkYds,SkYds_Low_Rank,Sk_Low_Rank,TFGA,TFGA_High_Rank,TFGM,TFGM_High_Rank,TO,TO%,TotalYds,XP%,XP%_High_Rank,Y/Apass,Y/Apass_High_Rank,Y/Arun,Y/C,Y/Play,Yds/Drive,Yds/Drive_High_Rank.1,YppYprRatio,YppYprRatio_High_Rank
Adam Gase,4.0,MIA,10.625,10.75,12.5,14.5,14.75,8.125,14.0,13.5,23.125,17.5,12.5,20.25,10.25,10.625,16.875,13.5,9.75,7.5,10.125,13.875,16.125,15.0,8.0,10.25,7.25,11.75,12.5,11.375,16.25,12.5,15.875,194.0,346.25,216.0,100.75,29.5,19.0,2.5,1.25,7.375,7.975,7.625,153.5,20.25,29.0,377.5,66.025,13.75,112.9625,140.755,10.5,-24.2025,16.0,11.25,,84.95,17.25,5.25,3.75,9.5,12.0953125,8.75,11.175,13.5,13.015625,11.5,22.25,19.375,0.41569622507122506,13.0,2.35,7.199999999999998,5.5,12.291666666666668,446.5,570.5,0.5711887772858892,20.75,2.137272183016509,17.25,35.75,6.1,8.125,0.6945260646965136,13.375,13.375,0.6971132762996105,16.0,4317.0,115.25,1024.0,25.625,0.08494000555523751,22.0,5.575,17.5,1040.25,2.1975,10.25,100.25,0.4864993555496589,15.75,0.4288112227141108,12.25,0.3054739353034865,19.625,0.3028867237003895,17.0,444.5,14.5,1834.0,38.825,0.25,25.25,4.4,161.25,6.625,6.75,28.75,21.5,24.5,19.5,22.5,10.85,6151.0,98.55,11.875,7.85,6.5,4.15,11.85,5.875000000000001,31.975,12.5,1.8956808943089432,9.75
Andy Reid,18.0,KC,11.805555555555555,11.444444444444445,14.555555555555555,17.694444444444443,16.22222222222222,13.305555555555555,13.305555555555555,12.138888888888891,18.5,20.194444444444443,16.22222222222222,19.777777777777782,13.694444444444445,13.694444444444445,15.277777777777779,15.972222222222221,14.527777777777779,14.527777777777779,19.194444444444443,10.777777777777779,9.694444444444443,16.97222222222222,17.555555555555557,16.88888888888889,14.055555555555555,19.722222222222218,13.388888888888891,14.027777777777779,8.13888888888889,14.638888888888891,19.666666666666668,192.05555555555557,303.22222222222223,177.38888888888889,100.72222222222223,25.11111111111111,19.305555555555557,1.6666666666666667,0.8333333333333334,5.800000000000002,6.677777777777778,13.833333333333336,150.0,19.777777777777782,30.85,326.6111111111111,59.761111111111106,16.27777777777778,19.538235294117644,32.260588235294115,16.88235294117647,-1.9447058823529413,9.588235294117649,13.941176470588234,,82.49444444444444,15.388888888888891,2.9444444444444446,1.3333333333333333,12.555555555555555,13.906944444444445,12.5,13.18888888888889,14.25,14.625,14.611111111111109,24.055555555555557,16.36111111111111,0.5271846602728956,13.055555555555555,2.377777777777778,6.0166666666666675,17.22222222222222,13.481481481481481,373.4444444444445,546.7222222222222,0.5835953822902508,13.611111111111109,1.8032219833831915,18.694444444444443,23.16666666666667,4.261111111111111,14.722222222222221,0.6262129753679739,17.11111111111111,17.11111111111111,0.6477171944372428,18.61111111111111,3533.944444444445,105.55555555555556,867.5,17.722222222222218,0.08314880714594547,18.305555555555557,5.433333333333334,20.194444444444443,1005.3888888888887,1.7911111111111109,13.694444444444445,84.89444444444446,0.5734762478573556,14.138888888888891,0.4164046177097491,19.222222222222218,0.3737870246320261,15.722222222222221,0.35228280556275704,14.222222222222221,418.27777777777777,14.111111111111109,1902.4444444444446,33.516666666666666,0.5,40.388888888888886,6.927777777777778,239.61111111111111,17.63888888888889,19.722222222222218,32.05555555555556,13.694444444444445,26.5,13.027777777777779,25.61111111111111,12.155555555555555,5436.38888888889,98.08888888888887,17.777777777777782,6.905555555555557,17.166666666666668,4.538888888888889,11.527777777777775,5.405555555555555,28.422222222222228,16.22222222222222,1.525987896111442,23.972222222222218
Anthony Lynn,1.0,LAC,10.0,10.5,16.0,18.5,16.0,13.5,3.0,3.0,23.5,16.0,12.0,15.0,9.0,14.0,32.0,30.0,27.0,21.0,31.0,5.0,8.5,30.0,22.0,18.0,19.0,2.0,1.0,1.0,1.0,1.0,3.5,177.0,328.0,155.0,146.0,27.0,21.5,4.0,4.0,5.9,6.9,18.0,162.0,15.0,28.9,286.0,60.3,32.0,110.41,50.53,20.0,59.91,1.0,8.0,,76.0,30.0,2.0,1.0,5.0,11.24375,7.0,21.05,27.0,1.4375,1.0,15.0,4.5,0.3333333333333333,7.0,1.5,5.8,25.5,12.0,399.0,474.0,0.5138339920948617,31.0,1.0616438356164384,32.0,17.0,3.6,21.0,0.3695652173913043,32.0,32.0,0.5358277444405224,32.0,3036.0,112.0,960.0,21.0,0.08231707317073171,23.0,5.8,16.0,1012.0,2.14,9.0,86.7,0.9419354838709676,1.0,0.4861660079051383,2.0,0.6304347826086957,1.0,0.4641722555594776,1.0,492.0,29.0,2630.0,36.7,0.0,46.0,8.8,214.0,15.0,29.0,25.0,26.0,19.0,28.5,12.0,6.8,5666.0,88.9,27.0,6.9,21.0,5.3,11.4,5.6,31.8,12.0,1.3018867924528303,32.0
Ben McAdoo,3.0,NYG,18.83333333333333,15.0,14.333333333333336,10.333333333333334,17.833333333333332,15.0,21.0,19.33333333333333,7.5,18.33333333333333,17.0,25.66666666666667,16.833333333333332,17.833333333333332,8.0,10.333333333333334,8.0,12.833333333333336,5.333333333333333,19.5,17.833333333333332,14.666666666666664,16.666666666666668,17.666666666666668,14.666666666666664,17.166666666666668,23.33333333333333,24.83333333333333,25.66666666666667,26.16666666666667,19.666666666666668,195.0,318.6666666666667,205.33333333333331,77.66666666666667,35.666666666666664,12.0,1.0,0.3333333333333333,6.466666666666666,7.033333333333334,14.833333333333336,146.33333333333334,25.66666666666667,27.9,384.0,63.0,9.666666666666666,13.39333333333333,69.89333333333333,17.333333333333332,-46.35666666666666,24.33333333333333,19.33333333333333,,93.86666666666667,2.1666666666666665,2.6666666666666665,2.333333333333333,10.666666666666666,17.345833333333335,20.0,11.566666666666668,11.166666666666664,23.125,25.0,22.0,19.166666666666668,0.4903381642512077,14.666666666666664,2.4,6.566666666666666,13.0,17.805555555555557,370.0,609.3333333333334,0.6042924827135613,13.666666666666664,2.643514817140828,6.0,30.66666666666667,5.0,9.833333333333334,0.7960743996974854,6.0,6.0,0.7299837894088924,7.333333333333332,4164.666666666667,97.0,843.3333333333335,9.666666666666666,0.11103495808607194,10.666666666666666,5.633333333333333,18.33333333333333,1052.3333333333333,1.8066666666666664,16.833333333333332,90.9,0.3783789263207418,27.0,0.39570751728643866,19.33333333333333,0.20392560030251464,27.0,0.2700162105911077,25.66666666666667,416.66666666666674,8.0,1541.333333333333,33.36666666666667,0.3333333333333333,26.33333333333333,4.133333333333334,167.66666666666666,6.0,6.333333333333332,26.66666666666667,22.66666666666667,25.0,19.166666666666668,25.33333333333333,12.266666666666667,5706.0,95.46666666666664,16.166666666666668,7.1000000000000005,17.333333333333332,3.7,11.3,5.433333333333334,29.93333333333333,17.0,1.9232804232804237,8.333333333333334
Bill Belichick,22.0,NE,10.545454545454543,8.863636363636363,11.181818181818182,11.136363636363637,9.977272727272727,12.090909090909092,8.659090909090908,9.659090909090908,13.5,7.852941176470589,9.205882352941176,12.676470588235292,6.970588235294117,8.159090909090908,12.522727272727273,10.272727272727273,8.113636363636363,8.727272727272727,11.068181818181818,8.818181818181818,8.25,10.454545454545457,10.272727272727273,13.704545454545455,8.477272727272727,13.113636363636365,16.545454545454547,12.113636363636365,20.454545454545453,13.068181818181818,11.0,186.05882352941174,329.8181818181818,196.8636363636364,104.36363636363636,28.59090909090909,10.704545454545457,1.818181818181818,1.0,6.504545454545454,7.240909090909091,8.886363636363637,161.05882352941177,12.676470588235292,31.317647058823532,341.45454545454544,61.95909090909092,11.227272727272727,113.77882352941177,135.52941176470586,6.235294117647059,-15.630588235294116,13.352941176470587,7.0,,84.32727272727273,11.204545454545457,2.136363636363636,1.181818181818182,9.727272727272727,11.557386363636365,10.090909090909092,8.745454545454546,7.9318181818181825,14.369318181818182,13.636363636363635,20.363636363636363,11.068181818181818,0.4771436908488816,12.363636363636365,2.3227272727272723,6.540909090909091,10.136363636363637,11.545454545454547,404.8636363636364,549.7272727272727,0.5617876579798861,17.545454545454547,1.9184279756720104,15.136363636363635,27.681818181818183,5.00909090909091,9.090909090909092,0.6584679211394522,14.090909090909092,14.090909090909092,0.6820585127664638,12.545454545454545,3809.818181818182,96.95454545454544,833.9090909090909,16.09090909090909,0.08659091148375603,14.318181818181818,5.958823529411767,7.852941176470589,1034.409090909091,2.2311764705882355,6.970588235294117,91.1090909090909,0.536219254072173,16.954545454545453,0.438212342020114,14.545454545454545,0.34153207886054804,18.0,0.3179414872335364,19.545454545454547,452.59090909090907,14.590909090909092,1761.6818181818182,31.263636363636362,0.4545454545454545,32.09090909090909,5.581818181818181,194.6818181818182,10.590909090909092,11.590909090909092,30.863636363636363,14.568181818181818,26.22727272727273,12.772727272727273,22.09090909090909,7.9045454545454525,5571.5,98.85909090909092,14.75,7.281818181818181,11.931818181818182,3.8727272727272735,11.754545454545452,5.372727272727274,31.729411764705876,9.205882352941176,1.8876758913503369,9.068181818181818
Bill O'Brien,4.0,HOU,17.125,16.75,16.75,4.0,13.625,22.0,11.375,11.0,8.0,13.75,20.875,20.125,19.375,18.0,14.125,18.25,16.875,16.75,11.0,14.125,14.375,15.75,20.375,16.375,18.5,7.25,12.0,18.625,23.5,10.5,9.625,198.25,338.0,204.0,101.75,32.25,13.375,1.25,1.0,6.25,6.9,18.75,152.75,20.125,28.0,350.5,60.95,17.125,37.60499999999999,72.6675,20.0,-30.8325,21.125,20.75,,85.275,14.5,4.5,2.5,7.5,14.6078125,15.75,15.2,17.5,14.015625,12.375,18.5,12.5,0.405483989694516,13.25,2.325,6.4,17.875,16.645833333333336,375.75,574.75,0.5579450956321987,22.5,2.015335807220084,20.0,26.25,4.550000000000002,15.25,0.6972497046110588,13.0,13.0,0.6675253366754115,20.0,3861.25,93.75,856.75,12.625,0.09666310892147062,15.75,5.8500000000000005,13.75,1085.5,1.845,19.375,87.67500000000003,0.5145356745568197,13.0,0.4420549043678012,10.5,0.3027502953889412,20.0,0.3324746633245885,13.0,479.25,11.25,1878.75,35.075,0.5,31.5,5.2,192.25,11.5,10.5,34.0,11.75,29.0,11.125,20.75,10.15,5740.0,94.225,21.125,7.049999999999999,20.375,3.925,11.525,5.275,29.875,20.875,1.7983302486351267,15.25
Brad Childress,11.0,KC,15.954545454545455,14.727272727272727,16.545454545454547,17.727272727272727,18.90909090909091,16.045454545454547,16.318181818181817,14.863636363636365,21.772727272727273,23.13636363636364,18.818181818181817,20.363636363636363,17.318181818181817,17.454545454545453,17.727272727272727,17.90909090909091,18.227272727272727,17.40909090909091,19.181818181818183,14.909090909090908,15.454545454545455,18.5,17.5,15.954545454545455,17.454545454545453,16.09090909090909,13.818181818181818,12.409090909090908,11.681818181818182,15.954545454545455,19.13636363636364,193.45454545454547,297.27272727272725,172.72727272727272,98.72727272727272,25.818181818181817,15.409090909090908,1.9090909090909087,0.9090909090909092,5.545454545454546,6.381818181818183,17.136363636363637,150.63636363636363,20.363636363636363,30.7,317.54545454545456,60.27272727272727,16.863636363636363,-18.36727272727273,13.282727272727273,20.363636363636363,-19.66636363636364,14.545454545454545,19.181818181818183,,86.66363636363636,9.954545454545457,3.0,2.1818181818181817,11.818181818181818,14.989204545454545,15.181818181818182,15.563636363636364,18.0,14.414772727272727,14.227272727272727,24.363636363636363,17.227272727272727,0.4973458881433059,14.818181818181818,2.8454545454545457,6.009090909090909,18.863636363636363,16.174242424242422,359.3636363636364,526.6363636363636,0.5631677897514503,17.363636363636363,1.8427653066437921,17.818181818181817,20.63636363636364,3.909090909090908,18.09090909090909,0.5629068979360322,20.90909090909091,20.90909090909091,0.6360220237126041,19.454545454545453,3392.0,107.9090909090909,857.4545454545455,18.63636363636364,0.08715056360961318,14.727272727272727,5.363636363636363,23.13636363636364,1002.8181818181821,1.711818181818182,17.318181818181817,82.1727272727273,0.5906353433223225,15.181818181818182,0.4368322102485497,15.636363636363635,0.4370931020639677,12.090909090909092,0.3639779762873959,13.545454545454545,438.0,15.454545454545455,1935.7272727272727,31.92727272727273,0.6363636363636364,38.18181818181818,6.836363636363638,231.54545454545453,17.59090909090909,19.227272727272727,29.0,17.90909090909091,25.09090909090909,15.227272727272727,26.63636363636364,13.018181818181818,5327.727272727273,97.8,20.09090909090909,6.9,17.636363636363637,4.381818181818182,11.41818181818182,5.3090909090909095,27.61818181818182,18.818181818181817,1.5851459260686136,20.954545454545453
Bruce Arians,14.0,ARI,17.142857142857142,16.928571428571427,16.357142857142858,16.928571428571427,15.0,17.607142857142858,17.928571428571427,18.928571428571427,12.428571428571427,15.642857142857142,16.428571428571427,12.392857142857142,16.321428571428573,16.285714285714285,17.75,14.428571428571427,13.5,15.214285714285715,20.642857142857142,18.0,18.357142857142858,12.892857142857142,15.928571428571427,11.5,14.964285714285715,17.107142857142858,19.428571428571427,18.821428571428573,20.678571428571427,19.285714285714285,16.821428571428573,185.14285714285717,313.35714285714283,192.78571428571428,91.07142857142857,29.5,13.142857142857142,2.071428571428572,0.9285714285714286,5.942857142857143,6.9071428571428575,14.607142857142858,162.57142857142858,12.392857142857142,29.235714285714284,329.7857142857143,61.042857142857144,16.321428571428573,16.31571428571429,65.21857142857142,13.928571428571427,-41.33571428571429,21.5,15.428571428571427,,83.79285714285712,15.214285714285715,3.0,1.5,10.571428571428571,16.087053571428573,17.071428571428573,13.375,13.857142857142858,18.799107142857142,19.392857142857142,23.142857142857146,17.142857142857142,0.4623517693199371,16.0,2.9714285714285715,6.335714285714286,14.75,16.940476190476193,355.71428571428567,541.5,0.5728512962350724,16.0,2.146489839481701,12.714285714285715,24.57142857142857,4.578571428571428,14.142857142857142,0.6819019603742869,12.928571428571427,12.928571428571427,0.6829757639342302,12.428571428571427,3692.785714285714,95.07142857142857,804.5,13.928571428571427,0.09322188679640617,13.5,5.664285714285714,15.642857142857142,1015.2857142857144,1.7842857142857145,16.321428571428573,86.3857142857143,0.4802542618146767,20.214285714285715,0.4271487037649277,16.928571428571427,0.3180980396257132,20.0,0.3170242360657701,20.5,432.9285714285714,11.571428571428573,1701.357142857143,33.378571428571426,0.7142857142857143,40.857142857142854,7.121428571428571,274.7857142857143,22.25,20.714285714285715,30.57142857142857,16.857142857142858,25.57142857142857,16.0,26.57142857142857,13.635714285714286,5394.142857142857,97.84285714285716,18.464285714285715,7.328571428571428,12.321428571428573,3.914285714285714,12.021428571428574,5.307142857142859,29.15,16.428571428571427,1.882328299058741,8.214285714285714
Chuck Pagano,5.0,IND,16.0,14.2,13.2,9.5,10.1,18.2,19.3,19.3,10.6,12.9,15.5,15.6,14.0,13.6,8.9,10.5,11.9,16.1,13.1,20.1,18.1,10.4,23.5,11.9,17.8,18.4,23.3,20.0,22.7,19.4,16.2,189.2,342.2,213.0,89.6,39.6,3.7,3.2,1.6,6.1400000000000015,6.88,15.8,155.8,15.6,27.24,364.8,59.38,12.9,58.152,84.33200000000002,14.0,-21.752,15.7,13.4,,88.56000000000002,11.4,6.0,4.4,9.2,16.34125,18.0,12.27,13.1,20.4125,21.8,20.2,13.9,0.4429208100897405,15.6,2.54,6.34,16.1,15.933333333333332,390.0,614.8,0.6114086523323656,10.6,2.419384513336126,11.0,29.2,4.76,14.9,0.7257748538011697,10.2,10.2,0.7172817724382659,9.8,4130.6,95.2,807.8,11.6,0.11615778504269675,6.4,5.82,12.9,1065.2,1.932,14.0,86.34,0.4251806610680018,22.0,0.3885913476676344,22.4,0.2742251461988304,22.8,0.2827182275617342,23.2,413.8,10.8,1618.4,36.24,0.6,36.6,5.62,230.8,15.3,16.6,32.4,15.7,28.6,12.8,24.8,12.419999999999998,5749.0,98.28,13.8,7.1,16.4,3.92,11.94,5.38,30.380000000000006,15.5,1.814571917270816,12.6
Clyde Christensen,4.0,MIA,19.125,16.125,21.125,17.5,18.0,18.25,14.75,15.875,10.5,15.5,19.375,18.125,16.0,17.125,14.0,17.25,18.0,17.375,12.875,13.75,13.75,13.875,10.875,23.875,15.75,25.0,23.5,14.75,20.25,24.0,14.0,186.5,300.0,194.75,82.5,22.75,19.5,1.75,1.0,5.625,6.324999999999998,18.0,153.0,18.125,28.625,357.5,62.55,13.125,5.285000000000001,44.57249999999999,15.0,-34.245,19.25,16.0,,83.575,13.875,2.0,0.75,10.25,17.240624999999998,19.625,14.5125,16.25,19.96875,21.0,21.0,14.75,0.5010302197802198,14.5,2.55,6.0,17.375,17.9375,341.25,570.5,0.6008287861145568,11.75,2.3693424121272697,9.5,21.75,3.850000000000001,19.625,0.6114062148526623,17.125,17.125,0.6936347713181165,11.5,3606.75,89.25,768.0,12.5,0.0760284620034554,20.75,5.6000000000000005,15.5,999.5,1.7000000000000002,16.0,84.25,0.4332806177152013,23.25,0.3991712138854432,21.0,0.3885937851473377,15.625,0.30636522868188343,21.25,397.0,13.0,1568.0,31.6,0.0,32.0,5.449999999999998,208.25,14.375,12.875,27.75,21.25,23.25,18.125,24.75,12.875,5174.75,99.4,10.375,6.7,20.125,3.975,10.725,5.175,28.125,19.375,1.6929529706619488,15.75
