Year,#Dr,1stD,1stDpass,1stDrun,1stPy,2PA,2PM,ANY/A,APYd,AY/A,AllTD,AvgDriveTime,AvgStartingPosition,Cmp,Cmp%,DefensivePtsScored,ExpectedPoints,ExpectedPointsPassing,ExpectedPointsRunning,ExpectedPoints_Defense,FG%,FGA019,FGA2029,FGA3039,FGA4049,FGA50Plus,FGM019,FGM2029,FGM3039,FGM4049,FGM50Plus,FL,Fmb,FmbTD,FumbleLostPercent,Int,Int%,Int%_Defense,Int%_Defense_High_Rank,Int%_Low_Rank,IntTD,IntTD_Defense,Int_Defense,Int_Defense_High_Rank,Int_Low_Rank,KickRet,KickRet_Defense,KickRet_Defense_Low_Rank,KickRet_High_Rank,KrTD,KrTD_Defense,KrTD_Defense_Low_Rank,KrTD_High_Rank,KrYds,KrYds_Defense,KrYds_Defense_Low_Rank,KrYds_High_Rank,NY/A,NY/A_Defense,NY/A_Defense_Low_Rank,NY/A_High_Rank,Oscore,Oscore_Rank,OthTD,OthTD_Defense,PF,PF_Defense,PF_Defense_Low_Rank,PF_Differential,PF_Differential_High_Rank,PF_High_Rank,PassAtt,PassAtt_Defense,PassAtt_Defense_Low_Rank,PassAtt_High_Rank,PassPercent,PassPercent_Defense,PassPercent_Defense_High_Rank,PassPercent_High_Rank,PassRun1dRatio,PassRun1dRatio_High_Rank,PassTD,PassTD%,PassTD%_Defense,PassTD%_Defense_Low_Rank,PassTD%_High_Rank,PassTD_Defense,PassTD_Defense_Low_Rank,PassTD_High_Rank,PassTdPercent,PassTdPercent_Defense,PassTdPercent_Defense_High_Rank,PassTdPercent_High_Rank,PassYdPercent,PassYdPercent_Defense,PassYdPercent_Defense_High_Rank,PassYdPercent_High_Rank,PassYds,PassYds_Defense,PassYds_Defense_Low_Rank,PassYds_High_Rank,Pen,PenYds,PenYds_Defense,PenYds_Defense_Low_Rank,PenYds_Low_Rank,Pen_Defense,Pen_Defense_Low_Rank,Pen_Low_Rank,Penalty1dPercent,Penalty1dPercent_Defense,Penalty1dPercent_Defense_High_Rank,Penalty1dPercent_High_Rank,Plays/Drive,Plays/Drive_Defense,Plays/Drive_Defense_Low_Rank,Plays/Drive_High_Rank,Ply,Ply_Defense,Ply_Defense_Low_Rank,Ply_High_Rank,Pnt,PntBlck,PntBlck_Defense,PntBlck_Defense_Low_Rank,PntBlck_Low_Rank,PntRet_Defense,PntRet_Defense_Low_Rank,PntYds,PntYds_Defense,PntYds_Defense_Low_Rank,PntYds_High_Rank,Pnt_Defense,Pnt_Defense_Low_Rank,Pnt_High_Rank,PrTD,PrTD_Defense,PrTD_Defense_Low_Rank,PrTD_High_Rank,PrYds,PrYds_Defense,PrYds_Defense_Low_Rank,PrYds_High_Rank,Pts/Drive,Pts/Drive_Defense,Pts/Drive_Defense_Low_Rank,Pts/Drive_High_Rank,PuntRet,PuntRet_High_Rank,QbRating,QbRating_Defense,QbRating_Defense_Low_Rank,QbRating_High_Rank,RawPassYds,RawPassYds_High_Rank,RunPass1dRatio,RunPass1dRatio_High_Rank,RunPercent,RunPercent_Defense,RunPercent_Defense_High_Rank,RunPercent_High_Rank,RunTdPercent,RunTdPercent_Defense,RunTdPercent_Defense_High_Rank,RunTdPercent_High_Rank,RunYdPercent,RunYdPercent_Defense,RunYdPercent_Defense_High_Rank,RunYdPercent_High_Rank,RushAtt,RushAtt_Defense,RushAtt_Defense_Low_Rank,RushAtt_High_Rank,RushTD,RushTD_Defense,RushTD_Defense_Low_Rank,RushTD_High_Rank,RushYds,RushYds_Defense,RushYds_Defense_Low_Rank,RushYds_High_Rank,STscore,STscore_Rank,Sc%,Sc%_Defense,Sc%_Defense_Low_Rank,Sc%_High_Rank,Sfty,Sfty_Defense,Sk,Sk%,Sk%_Defense,Sk%_Defense_High_Rank,Sk%_Low_Rank,SkYds,SkYds_Defense,SkYds_Defense_High_Rank,SkYds_Low_Rank,Sk_Defense,Sk_Defense_High_Rank,Sk_Low_Rank,TFGA,TFGA_Defense,TFGA_Defense_Low_Rank,TFGA_High_Rank,TFGM,TFGM_Defense,TFGM_Defense_Low_Rank,TFGM_High_Rank,TO,TO%,TO%_Defense,TO%_Defense_High_Rank,TO%_Low_Rank,TO_Defense,TO_Defense_High_Rank,TO_Differential,TO_Differential_High_Rank,TO_Low_Rank,ThreePhaseScore,ThreePhaseScore_Rank,TimeOfPossession,TimeOfPossession_Defense,TimeOfPossession_High_Rank,TotalYds,TotalYds_Defense,TotalYds_Defense_Low_Rank,TotalYds_High_Rank,XP%,XP%_Defense,XP%_Defense_Low_Rank,XP%_High_Rank,XPA,XPA_Defense,XPA_Defense_Low_Rank,XPA_High_Rank,XPM,XPM_Defense,XPM_Defense_Low_Rank,XPM_High_Rank,Y/Apass,Y/Apass_Defense,Y/Apass_Defense_Low_Rank,Y/Apass_High_Rank,Y/Arun,Y/Arun_Defense,Y/Arun_Defense_Low_Rank,Y/Arun_High_Rank,Y/C,Y/C_Defense,Y/C_Defense_Low_Rank,Y/C_High_Rank,Y/KR,Y/KR_Defense,Y/KR_Defense_Low_Rank,Y/KR_High_Rank,Y/PR,Y/PR_Defense,Y/PR_Defense_Low_Rank,Y/PR_High_Rank,Y/Play,Y/Play_Defense,Y/Play_Defense_Low_Rank,Y/Play_High_Rank,Y/Pnt,Y/Pnt_Defense,Y/Pnt_Defense_Low_Rank,Y/Pnt_High_Rank,Yds/Drive,Yds/Drive_Defense,Yds/Drive_Defense_Low_Rank,Yds/Drive_High_Rank,Yds_Differential,Yds_Differential_High_Rank,YppYprRatio,YppYprRatio_Defense,YppYprRatio_Defense_High_Rank,YppYprRatio_High_Rank
1981,,310.4,163.4,121.8,25.3,0,0,5,7299.8,5.9,39.42857143,,,276.6,54.6,13.2,,,,,65.9,0.9,7.6,8.3,9.1,2.4,0.8,6.5,5.8,4.8,0.8,18.1,34.4,0.9,0.526162791,21.8,4.3,4.3,14.5,14.5,1.1,1.1,21.8,14.5,14.5,61,61,14.5,14.5,0.2,0.2,14.5,14.5,1238.6,1238.6,14.5,14.5,6,6,14.5,14.5,14.5,14.5,0,0,330.8,330.8,14.5,0,14.5,14.5,506.4,506.4,14.5,14.5,0.511687088,0.511687088,14.5,14.5,1.341543514,14.5,21.1,4.2,4.2,14.5,14.5,21.1,14.5,14.5,0.571815718,0.571815718,14.5,14.5,0.610949178,0.610949178,14.5,14.5,3269.8,3269.8,14.5,14.5,102.8928571,867.5357143,867.5357143,14.5,14.5,102.8928571,14.5,14.5,0.081507732,0.081507732,14.5,14.5,,,,,1061,1061,14.5,14.5,80,0.3,0.3,14.5,14.5,43.6,14.5,3290.4,3290.4,14.5,14.5,80,14.5,14.5,0.4,0.4,14.5,14.5,372.9,372.9,14.5,14.5,,,,,43.6,14.5,70.5,70.5,14.5,14.5,3561.5,14.5,0.745410037,14.5,0.488312912,0.488312912,14.5,14.5,0.428184282,0.428184282,14.5,14.5,0.389050822,0.389050822,14.5,14.5,518.1,518.1,14.5,14.5,15.8,15.8,14.5,14.5,2082.3,2082.3,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.6,0.6,36.5,6.7,6.7,14.5,14.5,291.7,291.7,14.5,14.5,36.5,14.5,14.5,28.3,28.3,14.5,14.5,18.6,18.6,14.5,14.5,39.9,0,0,14.5,14.5,39.9,14.5,0,14.5,14.5,14.5,14.5,,,,5352,5352,14.5,14.5,95.3,95.3,14.5,14.5,39,39,14.5,14.5,37.2,37.2,14.5,14.5,7,7,14.5,14.5,4,4,14.5,14.5,12.9,12.9,14.5,14.5,20.3,20.3,14.5,14.5,8.6,8.6,14.5,14.5,5,5,14.5,14.5,41.1,41.1,14.5,14.5,,,,,0,14.5,1.75,1.75,14.5,14.5
1983,,310.8,167,121.7,22.1,0,0,5,7363.7,6.1,41.57142857,,,285.5,56.9,20,,,,,71.5,0.8,7.2,8.5,8.5,2.5,0.8,6.5,6.5,5,1,17.6,34.2,1.2,0.514619883,22.1,4.4,4.4,14.5,14.5,1.8,1.8,22.1,14.5,14.5,63.6,63.6,14.5,14.5,0.1,0.1,14.5,14.5,1243.4,1243.4,14.5,14.5,6,6,14.5,14.5,14.5,14.5,0.1,0.1,349.3,349.3,14.5,0,14.5,14.5,501.7,501.7,14.5,14.5,0.517860536,0.517860536,14.5,14.5,1.372226787,14.5,22.3,4.4,4.4,14.5,14.5,22.3,14.5,14.5,0.588390501,0.588390501,14.5,14.5,0.611985495,0.611985495,14.5,14.5,3274,3274,14.5,14.5,100.0357143,846.8928571,846.8928571,14.5,14.5,100.0357143,14.5,14.5,0.071106821,0.071106821,14.5,14.5,,,,,1052.6,1052.6,14.5,14.5,80.3,0.5,0.5,14.5,14.5,44,14.5,3296.5,3296.5,14.5,14.5,80.3,14.5,14.5,0.4,0.4,14.5,14.5,378.9,378.9,14.5,14.5,,,,,44,14.5,73.1,73.1,14.5,14.5,3604.3,14.5,0.728742515,14.5,0.482139464,0.482139464,14.5,14.5,0.411609499,0.411609499,14.5,14.5,0.388014505,0.388014505,14.5,14.5,507.5,507.5,14.5,14.5,15.6,15.6,14.5,14.5,2075.8,2075.8,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.7,0.7,43.4,8,8,14.5,14.5,330.3,330.3,14.5,14.5,43.4,14.5,14.5,27.5,27.5,14.5,14.5,19.7,19.7,14.5,14.5,39.8,0,0,14.5,14.5,39.8,14.5,0,14.5,14.5,14.5,14.5,,,,5349.8,5349.8,14.5,14.5,95.8,95.8,14.5,14.5,41.2,41.2,14.5,14.5,39.4,39.4,14.5,14.5,7.2,7.2,14.5,14.5,4.1,4.1,14.5,14.5,12.6,12.6,14.5,14.5,19.5,19.5,14.5,14.5,8.6,8.6,14.5,14.5,5.1,5.1,14.5,14.5,41,41,14.5,14.5,,,,,0,14.5,1.756097561,1.756097561,14.5,14.5
1984,,309.2,171.7,115.1,22.4,0,0,5,7273.8,6.2,39.92857143,,,288.4,56.4,17.8,,,,,71.7,0.9,6.9,8.3,8.9,3.2,0.9,6.4,6.2,5.4,1.3,15.3,31.2,0.9,0.490384615,20.9,4.1,4.1,14.5,14.5,1.8,1.8,20.9,14.5,14.5,62.3,62.3,14.5,14.5,0.2,0.2,14.5,14.5,1233.7,1233.7,14.5,14.5,5.9,5.9,14.5,14.5,14.5,14.5,0.1,0.1,339.4,339.4,14.5,0,14.5,14.5,511.6,511.6,14.5,14.5,0.530994486,0.530994486,14.5,14.5,1.491746308,14.5,22,4.3,4.3,14.5,14.5,22,14.5,14.5,0.601092896,0.601092896,14.5,14.5,0.624315361,0.624315361,14.5,14.5,3294.2,3294.2,14.5,14.5,102.3214286,859.1428571,859.1428571,14.5,14.5,102.3214286,14.5,14.5,0.072445019,0.072445019,14.5,14.5,,,,,1051.8,1051.8,14.5,14.5,80.7,0.6,0.6,14.5,14.5,43.1,14.5,3336.4,3336.4,14.5,14.5,80.7,14.5,14.5,0.3,0.3,14.5,14.5,372,372,14.5,14.5,,,,,43.1,14.5,73.2,73.2,14.5,14.5,3651.2,14.5,0.670355271,14.5,0.469005514,0.469005514,14.5,14.5,0.398907104,0.398907104,14.5,14.5,0.375684639,0.375684639,14.5,14.5,493.3,493.3,14.5,14.5,14.6,14.6,14.5,14.5,1982.3,1982.3,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.5,0.5,46.9,8.4,8.4,14.5,14.5,357,357,14.5,14.5,46.9,14.5,14.5,28,28,14.5,14.5,20.1,20.1,14.5,14.5,36.1,0,0,14.5,14.5,36.1,14.5,0,14.5,14.5,14.5,14.5,,,,5276.5,5276.5,14.5,14.5,97.3,97.3,14.5,14.5,39.5,39.5,14.5,14.5,38.4,38.4,14.5,14.5,7.1,7.1,14.5,14.5,4,4,14.5,14.5,12.7,12.7,14.5,14.5,19.8,19.8,14.5,14.5,8.6,8.6,14.5,14.5,5,5,14.5,14.5,41.3,41.3,14.5,14.5,,,,,0,14.5,1.775,1.775,14.5,14.5
1985,,306.9,170.2,112.8,23.9,0,0,4.9,7328.5,6,40.17857143,,,282.5,54.8,16.2,,,,,72.2,0.6,7.9,9.8,8.3,2.9,0.6,6.9,7.8,4.9,1.1,16.7,31.9,0.7,0.523510972,21.5,4.2,4.2,14.5,14.5,1.5,1.5,21.5,14.5,14.5,61.9,61.9,14.5,14.5,0.3,0.3,14.5,14.5,1298.7,1298.7,14.5,14.5,5.8,5.8,14.5,14.5,14.5,14.5,0.3,0.3,344.5,344.5,14.5,0,14.5,14.5,515.1,515.1,14.5,14.5,0.535564455,0.535564455,14.5,14.5,1.508865248,14.5,21.4,4.1,4.1,14.5,14.5,21.4,14.5,14.5,0.575268817,0.575268817,14.5,14.5,0.620781241,0.620781241,14.5,14.5,3272.2,3272.2,14.5,14.5,100.6071429,806.8928571,806.8928571,14.5,14.5,100.6071429,14.5,14.5,0.077875529,0.077875529,14.5,14.5,,,,,1048.8,1048.8,14.5,14.5,81.4,0.6,0.6,14.5,14.5,40.6,14.5,3390.8,3390.8,14.5,14.5,81.4,14.5,14.5,0.3,0.3,14.5,14.5,377.3,377.3,14.5,14.5,,,,,40.6,14.5,70.7,70.7,14.5,14.5,3625.6,14.5,0.662749706,14.5,0.464435545,0.464435545,14.5,14.5,0.424731183,0.424731183,14.5,14.5,0.379218759,0.379218759,14.5,14.5,487,487,14.5,14.5,15.8,15.8,14.5,14.5,1998.9,1998.9,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.6,0.6,46.6,8.3,8.3,14.5,14.5,353.4,353.4,14.5,14.5,46.6,14.5,14.5,29.5,29.5,14.5,14.5,21.3,21.3,14.5,14.5,38.2,0,0,14.5,14.5,38.2,14.5,0,14.5,14.5,14.5,14.5,,,,5271.1,5271.1,14.5,14.5,96.7,96.7,14.5,14.5,39.6,39.6,14.5,14.5,38.3,38.3,14.5,14.5,7,7,14.5,14.5,4.1,4.1,14.5,14.5,12.8,12.8,14.5,14.5,21,21,14.5,14.5,9.3,9.3,14.5,14.5,5,5,14.5,14.5,41.7,41.7,14.5,14.5,,,,,0,14.5,1.707317073,1.707317073,14.5,14.5
1986,,303.3,169.6,108.5,25.1,0,0,5,7079.8,6,38.46428571,,,286.2,55.4,16,,,,,68.6,0.9,6.9,8.8,9.2,3.3,0.9,6.1,6.9,4.9,1.2,15.4,32.5,0.9,0.473846154,20.8,4,4,14.5,14.5,1,1,20.8,14.5,14.5,60.5,60.5,14.5,14.5,0.3,0.3,14.5,14.5,1194.3,1194.3,14.5,14.5,5.9,5.9,14.5,14.5,14.5,14.5,0.6,0.6,328.3,328.3,14.5,0,14.5,14.5,516.8,516.8,14.5,14.5,0.537044146,0.537044146,14.5,14.5,1.563133641,14.5,20.9,4.1,4.1,14.5,14.5,20.9,14.5,14.5,0.59375,0.59375,14.5,14.5,0.633934768,0.633934768,14.5,14.5,3288.6,3288.6,14.5,14.5,102.6785714,829.5357143,829.5357143,14.5,14.5,102.6785714,14.5,14.5,0.082756347,0.082756347,14.5,14.5,,,,,1042,1042,14.5,14.5,82.5,1,1,14.5,14.5,40.9,14.5,3378.8,3378.8,14.5,14.5,82.5,14.5,14.5,0.5,0.5,14.5,14.5,350.7,350.7,14.5,14.5,,,,,40.9,14.5,71.5,71.5,14.5,14.5,3611.7,14.5,0.639740566,14.5,0.462955854,0.462955854,14.5,14.5,0.40625,0.40625,14.5,14.5,0.366065232,0.366065232,14.5,14.5,482.5,482.5,14.5,14.5,14.3,14.3,14.5,14.5,1899,1899,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.5,0.5,42.8,7.6,7.6,14.5,14.5,323.1,323.1,14.5,14.5,42.8,14.5,14.5,29.1,29.1,14.5,14.5,20,20,14.5,14.5,36.1,0,0,14.5,14.5,36.1,14.5,0,14.5,14.5,14.5,14.5,,,,5187.6,5187.6,14.5,14.5,96.9,96.9,14.5,14.5,37.8,37.8,14.5,14.5,36.6,36.6,14.5,14.5,7,7,14.5,14.5,3.9,3.9,14.5,14.5,12.6,12.6,14.5,14.5,19.8,19.8,14.5,14.5,8.6,8.6,14.5,14.5,5,5,14.5,14.5,40.9,40.9,14.5,14.5,,,,,0,14.5,1.794871795,1.794871795,14.5,14.5
1988,,302.6,164.8,113.9,24,0,0,5,6993.2,5.9,37.53571429,,,273.9,54.3,14.4,,,,,71.7,0.8,7.7,8.8,8.6,2.5,0.8,6.9,6.8,5,1,14.7,29.4,0.7,0.5,19.8,3.9,3.9,14.5,14.5,1,1,19.8,14.5,14.5,60.5,60.5,14.5,14.5,0.3,0.3,14.5,14.5,1207.9,1207.9,14.5,14.5,5.9,5.9,14.5,14.5,14.5,14.5,0.4,0.4,324.1,324.1,14.5,0,14.5,14.5,504.7,504.7,14.5,14.5,0.52761274,0.52761274,14.5,14.5,1.446883231,14.5,19.9,3.9,3.9,14.5,14.5,19.9,14.5,14.5,0.568571429,0.568571429,14.5,14.5,0.623010945,0.623010945,14.5,14.5,3210.5,3210.5,14.5,14.5,99.64285714,808.7857143,808.7857143,14.5,14.5,99.64285714,14.5,14.5,0.079312624,0.079312624,14.5,14.5,,,,,1026.7,1026.7,14.5,14.5,77.8,0.8,0.8,14.5,14.5,40.5,14.5,3159.8,3159.8,14.5,14.5,77.8,14.5,14.5,0.2,0.2,14.5,14.5,343.5,343.5,14.5,14.5,,,,,40.5,14.5,70.6,70.6,14.5,14.5,3486.9,14.5,0.691140777,14.5,0.47238726,0.47238726,14.5,14.5,0.431428571,0.431428571,14.5,14.5,0.376989055,0.376989055,14.5,14.5,485,485,14.5,14.5,15.1,15.1,14.5,14.5,1942.7,1942.7,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.9,0.9,37,6.8,6.8,14.5,14.5,276.4,276.4,14.5,14.5,37,14.5,14.5,28.4,28.4,14.5,14.5,20.4,20.4,14.5,14.5,34.5,0,0,14.5,14.5,34.5,14.5,0,14.5,14.5,14.5,14.5,,,,5153.2,5153.2,14.5,14.5,96.1,96.1,14.5,14.5,37.3,37.3,14.5,14.5,35.9,35.9,14.5,14.5,6.9,6.9,14.5,14.5,4,4,14.5,14.5,12.7,12.7,14.5,14.5,20,20,14.5,14.5,8.5,8.5,14.5,14.5,5,5,14.5,14.5,40.6,40.6,14.5,14.5,,,,,0,14.5,1.725,1.725,14.5,14.5
1989,,300.3,170.4,107.6,22.3,0,0,5.2,7075.2,6.2,37.85714286,,,285.7,55.8,17.8,,,,,72.5,1,7.7,9,9.8,2.2,1,7.3,7.1,5.4,0.8,15.1,30,1,0.503333333,20,3.9,3.9,14.5,14.5,1.3,1.3,20,14.5,14.5,61.6,61.6,14.5,14.5,0.3,0.3,14.5,14.5,1195.5,1195.5,14.5,14.5,6.1,6.1,14.5,14.5,14.5,14.5,0.4,0.4,329.7,329.7,14.5,0,14.5,14.5,512.1,512.1,14.5,14.5,0.541687126,0.541687126,14.5,14.5,1.583643123,14.5,20.8,4.1,4.1,14.5,14.5,20.8,14.5,14.5,0.599423631,0.599423631,14.5,14.5,0.646552715,0.646552715,14.5,14.5,3374.1,3374.1,14.5,14.5,102.9285714,826.3571429,826.3571429,14.5,14.5,102.9285714,14.5,14.5,0.074259074,0.074259074,14.5,14.5,,,,,1018.3,1018.3,14.5,14.5,74.4,0.7,0.7,14.5,14.5,37.2,14.5,3018.2,3018.2,14.5,14.5,74.4,14.5,14.5,0.2,0.2,14.5,14.5,338.6,338.6,14.5,14.5,,,,,37.2,14.5,73.3,73.3,14.5,14.5,3659.2,14.5,0.631455399,14.5,0.458312874,0.458312874,14.5,14.5,0.400576369,0.400576369,14.5,14.5,0.353447285,0.353447285,14.5,14.5,466.7,466.7,14.5,14.5,13.9,13.9,14.5,14.5,1844.5,1844.5,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.8,0.8,39.5,7.2,7.2,14.5,14.5,285.1,285.1,14.5,14.5,39.5,14.5,14.5,29.6,29.6,14.5,14.5,21.5,21.5,14.5,14.5,35,0,0,14.5,14.5,35,14.5,0,14.5,14.5,14.5,14.5,,,,5218.6,5218.6,14.5,14.5,97.9,97.9,14.5,14.5,37.4,37.4,14.5,14.5,36.6,36.6,14.5,14.5,7.1,7.1,14.5,14.5,4,4,14.5,14.5,12.8,12.8,14.5,14.5,19.4,19.4,14.5,14.5,9.1,9.1,14.5,14.5,5.1,5.1,14.5,14.5,40.6,40.6,14.5,14.5,,,,,0,14.5,1.775,1.775,14.5,14.5
1990,,284.2,160.7,103.4,20.1,0,0,5.3,6653.6,6.3,36.96428571,,,270.4,56,17,,,,,74.4,1,7.3,8.9,8.4,2.8,0.9,6.9,7,5.2,1,14.6,28.9,1,0.505190311,17.1,3.6,3.6,14.5,14.5,1.3,1.3,17.1,14.5,14.5,58.3,58.3,14.5,14.5,0.2,0.2,14.5,14.5,1115.3,1115.3,14.5,14.5,6,6,14.5,14.5,14.5,14.5,0.3,0.3,322,322,14.5,0,14.5,14.5,482.7,482.7,14.5,14.5,0.53957729,0.53957729,14.5,14.5,1.554158607,14.5,20.5,4.3,4.3,14.5,14.5,20.5,14.5,14.5,0.602941176,0.602941176,14.5,14.5,0.631037486,0.631037486,14.5,14.5,3116,3116,14.5,14.5,97.25,763.8571429,763.8571429,14.5,14.5,97.25,14.5,14.5,0.070724842,0.070724842,14.5,14.5,,,,,965.2,965.2,14.5,14.5,68.5,0.8,0.8,14.5,14.5,35.6,14.5,2796,2796,14.5,14.5,68.5,14.5,14.5,0.3,0.3,14.5,14.5,299.9,299.9,14.5,14.5,,,,,35.6,14.5,75,75,14.5,14.5,3382.1,14.5,0.643434972,14.5,0.46042271,0.46042271,14.5,14.5,0.397058824,0.397058824,14.5,14.5,0.368962514,0.368962514,14.5,14.5,444.4,444.4,14.5,14.5,13.5,13.5,14.5,14.5,1821.9,1821.9,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.7,0.7,38.1,7.3,7.3,14.5,14.5,266.1,266.1,14.5,14.5,38.1,14.5,14.5,28.3,28.3,14.5,14.5,21.1,21.1,14.5,14.5,31.8,0,0,14.5,14.5,31.8,14.5,0,14.5,14.5,14.5,14.5,,,,4937.9,4937.9,14.5,14.5,97.4,97.4,14.5,14.5,36.6,36.6,14.5,14.5,35.6,35.6,14.5,14.5,7,7,14.5,14.5,4.1,4.1,14.5,14.5,12.5,12.5,14.5,14.5,19.1,19.1,14.5,14.5,8.4,8.4,14.5,14.5,5.1,5.1,14.5,14.5,40.8,40.8,14.5,14.5,,,,,0,14.5,1.707317073,1.707317073,14.5,14.5
1991,,284.1,166.3,98.5,19.3,0,0,5.2,6506.6,6,33.89285714,,,285.8,57.4,14,,,,,73.5,1.1,7.9,9.4,8.6,3.4,1.1,7.3,7.3,5,1.5,14.8,27.9,0.9,0.53046595,17.4,3.5,3.5,14.5,14.5,1.1,1.1,17.4,14.5,14.5,53.1,53.1,14.5,14.5,0.3,0.3,14.5,14.5,1003.4,1003.4,14.5,14.5,6,6,14.5,14.5,14.5,14.5,0.2,0.2,303.8,303.8,14.5,0,14.5,14.5,498.2,498.2,14.5,14.5,0.54885826,0.54885826,14.5,14.5,1.688324873,14.5,18.3,3.7,3.7,14.5,14.5,18.3,14.5,14.5,0.588424437,0.588424437,14.5,14.5,0.649024162,0.649024162,14.5,14.5,3185.8,3185.8,14.5,14.5,96.57142857,775.0357143,775.0357143,14.5,14.5,96.57142857,14.5,14.5,0.067933826,0.067933826,14.5,14.5,,,,,972.2,972.2,14.5,14.5,71,0.6,0.6,14.5,14.5,35.5,14.5,2960.8,2960.8,14.5,14.5,71,14.5,14.5,0.3,0.3,14.5,14.5,310,310,14.5,14.5,,,,,35.5,14.5,74.2,74.2,14.5,14.5,3432.1,14.5,0.592303067,14.5,0.45114174,0.45114174,14.5,14.5,0.411575563,0.411575563,14.5,14.5,0.350975838,0.350975838,14.5,14.5,438.5,438.5,14.5,14.5,12.8,12.8,14.5,14.5,1722.8,1722.8,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.4,0.4,35.4,6.6,6.6,14.5,14.5,246.3,246.3,14.5,14.5,35.4,14.5,14.5,30.3,30.3,14.5,14.5,22.3,22.3,14.5,14.5,32.2,0,0,14.5,14.5,32.2,14.5,0,14.5,14.5,14.5,14.5,,,,4908.6,4908.6,14.5,14.5,97.7,97.7,14.5,14.5,33.6,33.6,14.5,14.5,32.8,32.8,14.5,14.5,6.9,6.9,14.5,14.5,3.9,3.9,14.5,14.5,12,12,14.5,14.5,18.9,18.9,14.5,14.5,8.7,8.7,14.5,14.5,5,5,14.5,14.5,41.7,41.7,14.5,14.5,,,,,0,14.5,1.769230769,1.769230769,14.5,14.5
1992,,276.7,156.6,99.9,20.2,0,0,4.9,6378.3,5.9,34.21428571,,,275.2,57.5,19.4,,,,,72.6,0.8,7.2,9,8.1,2.6,0.8,6.5,6.9,4.7,1.3,14.2,27.6,1.2,0.514492754,18.5,3.9,3.9,14.5,14.5,1.7,1.7,18.5,14.5,14.5,49.8,49.8,14.5,14.5,0.2,0.2,14.5,14.5,966.4,966.4,14.5,14.5,5.8,5.8,14.5,14.5,14.5,14.5,0.2,0.2,299.7,299.7,14.5,0,14.5,14.5,478.9,478.9,14.5,14.5,0.542097027,0.542097027,14.5,14.5,1.567567568,14.5,18.4,3.8,3.8,14.5,14.5,18.4,14.5,14.5,0.607260726,0.607260726,14.5,14.5,0.629347029,0.629347029,14.5,14.5,3002.3,3002.3,14.5,14.5,95.75,771.8928571,771.8928571,14.5,14.5,95.75,14.5,14.5,0.073003253,0.073003253,14.5,14.5,,,,,958.5,958.5,14.5,14.5,73.5,0.5,0.5,14.5,14.5,34.8,14.5,3113.8,3113.8,14.5,14.5,73.5,14.5,14.5,0.6,0.6,14.5,14.5,318.2,318.2,14.5,14.5,,,,,34.8,14.5,72.8,72.8,14.5,14.5,3286.1,14.5,0.637931034,14.5,0.457902973,0.457902973,14.5,14.5,0.392739274,0.392739274,14.5,14.5,0.370652971,0.370652971,14.5,14.5,439,439,14.5,14.5,11.9,11.9,14.5,14.5,1768.2,1768.2,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.4,0.4,40.7,7.8,7.8,14.5,14.5,283.8,283.8,14.5,14.5,40.7,14.5,14.5,27.6,27.6,14.5,14.5,20,20,14.5,14.5,32.7,0,0,14.5,14.5,32.7,14.5,0,14.5,14.5,14.5,14.5,,,,4770.5,4770.5,14.5,14.5,98.3,98.3,14.5,14.5,34,34,14.5,14.5,33.4,33.4,14.5,14.5,6.9,6.9,14.5,14.5,4,4,14.5,14.5,11.9,11.9,14.5,14.5,19.4,19.4,14.5,14.5,9.1,9.1,14.5,14.5,5,5,14.5,14.5,42.4,42.4,14.5,14.5,,,,,0,14.5,1.725,1.725,14.5,14.5
