Coach,Team,Job,StartYr,EndYr
Bruce Arians,CLE,OC,2001,2003
Bruce Arians,PIT,OC,2007,2012
Bruce Arians,IND,OC,2012,2012
Bruce Arians,ARI,HC,2013,NA
Harold Goodwin,ARI,OC,2013,NA
James Bettcher,ARI,DC,2015,NA
Dan Quinn,SEA,DC,2013,2014
Dan Quinn,ATL,HC,2015,NA
Richard Smith,MIA,DC,2005,2005
Richard Smith,HOU,DC,2006,2008
Richard Smith,ATL,DC,2015,2016
John Harbaugh,BAL,HC,2008,NA
Marty Mornhinweg,SF,OC,1997,2000
Marty Mornhinweg,DET,HC,2001,2002
Marty Mornhinweg,PHI,OC,2006,2012
Marty Mornhinweg,NYJ,OC,2013,2014
Marty Mornhinweg,BAL,OC,2017,NA
Dean Pees,NE,DC,2006,2009
Dean Pees,BAL,DC,2012,NA
Sean McDermott,PHI,DC,2009,2010
Sean McDermott,CAR,DC,2010,2016
Sean McDermott,BUF,HC,2017,NA
Rick Dennison,DEN,OC,2006,2008
Rick Dennison,HOU,OC,2010,2013
Rick Dennison,DEN,OC,2015,2016
Rick Dennison,BUF,OC,2017,NA
Ron Rivera,CHI,DC,2004,2006
Ron Rivera,LAC,DC,2008,2010
Ron Rivera,CAR,HC,2011,NA
Mike Shula,TB,OC,1996,1999
Mike Shula,CAR,OC,2013,NA
Leslie Frazier,CIN,DC,2003,2004
Leslie Frazier,MIN,DC,2007,2010
Leslie Frazier,MIN,HC,2011,2013
Leslie Frazier,TB,DC,2014,2015
Leslie Frazier,BUF,DC,2017,NA
Steve Wilks,CAR,DC,2017,NA
John Fox,OAK,DC,1994,1995
John Fox,NYG,DC,1997,2001
John Fox,CAR,HC,2002,2010
John Fox,DEN,HC,2011,2014
John Fox,CHI,HC,2015,NA
Dowell Loggains,TEN,OC,2013,2013
Dowell Loggains,CHI,OC,2016,NA
Vic Fangio,CAR,DC,1995,1998
Vic Fangio,IND,DC,1999,2001
Vic Fangio,HOU,DC,2002,2005
Vic Fangio,SF,DC,2011,2014
Vic Fangio,CHI,DC,2015,NA
Marvin Lewis,BAL,DC,1996,2001
Marvin Lewis,WAS,DC,2002,2002
Marvin Lewis,CIN,HC,2003,NA
Ken Zampese,CIN,OC,2016,NA
Paul Guenther,CIN,DC,2014,NA
Hue Jackson,WAS,OC,2003,2003
Hue Jackson,ATL,OC,2007,2007
Hue Jackson,OAK,OC,2010,2010
Hue Jackson,OAK,HC,2011,2011
Hue Jackson,CIN,OC,2014,2015
Hue Jackson,CLE,HC,2016,NA
Gregg Williams,TEN,DC,1997,2000
Gregg Williams,BUF,HC,2001,2003
Gregg Williams,WAS,DC,2004,2007
Gregg Williams,JAX,DC,2008,2008
Gregg Williams,NO,DC,2009,2011
Gregg Williams,LAR,DC,2014,2016
Gregg Williams,CLE,DC,2017,NA
Jason Garrett,DAL,OC,2007,2010
Jason Garrett,DAL,HC,2011,NA
Scott Linehan,MIN,OC,2002,2004
Scott Linehan,MIA,OC,2005,2005
Scott Linehan,LAR,HC,2006,2008
Scott Linehan,DET,OC,2009,2013
Scott Linehan,DAL,OC,2015,NA
Rod Marinelli,DET,HC,2006,2008
Rod Marinelli,CHI,DC,2010,2012
Rod Marinelli,DAL,DC,2014,NA
Vance Joseph,MIA,DC,2016,NA
Vance Joseph,DEN,HC,2017,NA
Mike McCoy,DEN,OC,2009,2012
Mike McCoy,LAC,HC,2013,2016
Mike McCoy,DEN,OC,2017,NA
Joe Woods,DEN,DC,2017,NA
Jim Caldwell,IND,HC,2009,2011
Jim Caldwell,BAL,OC,2013,2013
Jim Caldwell,DET,HC,2014,NA
Jim Bob Cooter,DET,OC,2016,NA
Teryl Austin,DET,DC,2014,NA
Mike McCarthy,NO,OC,2000,2004
Mike McCarthy,SF,OC,2005,2005
