Team,HC,OC,DC,OC2
ARI,Bruce Arians,Harold Goodwin,James Bettcher,Vacant
ATL,Dan Quinn,Steve Sarkisian,Marquand Manuel,Vacant
BAL,John Harbaugh,Marty Mornhinweg,Dean Pees,Vacant
BUF,Sean McDermott,Rick Dennison,Leslie Frazier,Vacant
CAR,Ron Rivera,Mike Shula,Steve Wilks,Vacant
CHI,John Fox,Dowell Loggains,Vic Fangio,Vacant
CIN,Marvin Lewis,Ken Zampese,Paul Guenther,Vacant
CLE,Hue Jackson,Vacant,Gregg Williams,Vacant
DAL,Jason Garrett,Scott Linehan,Rod Marinelli,Vacant
DEN,Vance Joseph,Mike McCoy,Joe Woods,Vacant
DET,Jim Caldwell,Jim Bob Cooter,Teryl Austin,Vacant
GB,Mike McCarthy,Edgar Bennett,Dom Capers,Vacant
HOU,Bill O'Brien,Vacant,Romeo Crennel,Vacant
IND,Chuck Pagano,Rob Chudzinski,Ted Monachino,Vacant
JAX,Doug Marrone,Nathaniel Hackett,Todd Wash,Vacant
KC,Andy Reid,Brad Childress,Bob Sutton,Matt Nagy
LAC,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Vacant
LAR,Sean McVay,Matt LaFleur,Wade Phillips,Vacant
MIA,Adam Gase,Clyde Christensen,Matt Burke,Vacant
MIN,Mike Zimmer,Pat Shurmur,George Edwards,Vacant
NE,Bill Belichick,Josh McDaniels,Matt Patricia,Vacant
NO,Sean Payton,Pete Carmichael Jr.,Dennis Allen,Vacant
NYG,Ben McAdoo,Mike Sullivan,Steve Spagnuolo,Vacant
NYJ,Todd Bowles,John Morton,Kacy Rodgers,Vacant
OAK,Jack Del Rio,Todd Downing,Ken Norton Jr.,Vacant
PHI,Doug Pederson,Frank Reich,Jim Schwartz,Vacant
PIT,Mike Tomlin,Todd Haley,Keith Butler,Vacant
SF,Kyle Shanahan,Vacant,Robert Saleh,Vacant
SEA,Pete Carroll,Darrell Bevell,Kris Richard,Vacant
TB,Dirk Koetter,Todd Monken,Mike Smith,Vacant
TEN,Mike Mularkey,Terry Robiskie,Dick LeBeau,Vacant
WAS,Jay Gruden,Matt Cavanaugh,Greg Manusky,Vacant
