Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Denver Broncos,16,204,1043,24.5,14.2,5.1,24.8,Own 26.7,2:20,1.34
2,New York Jets,16,203,1055,29.6,13.8,5.2,24.4,Own 30.9,2:26,1.69
3,New York Giants,16,200,1052,32.5,11.5,5.3,30.7,Own 26.4,2:22,1.90
4,Chicago Bears,16,199,1010,28.6,14.6,5.1,25.2,Own 27.0,2:27,1.44
5,Arizona Cardinals,16,199,1017,26.1,15.6,5.1,26.0,Own 25.6,2:18,1.45
6,Seattle Seahawks,16,198,1033,27.8,11.6,5.2,24.4,Own 31.3,2:18,1.44
7,Cincinnati Bengals,16,197,1053,32.5,9.6,5.3,26.0,Own 30.1,2:28,1.60
8,Detroit Lions,16,197,1087,37.6,10.7,5.5,32.2,Own 28.7,2:27,2.14
9,St. Louis Rams,16,196,1041,18.9,11.2,5.3,23.0,Own 26.4,2:18,0.89
10,Miami Dolphins,16,195,1029,32.8,12.8,5.3,25.9,Own 29.5,2:31,1.62
11,Jacksonville Jaguars,16,194,1027,22.7,11.3,5.3,20.8,Own 28.8,2:29,1.11
12,Oakland Raiders,16,193,1050,34.7,15.5,5.4,31.4,Own 27.2,2:29,1.79
13,San Francisco 49ers,16,192,1045,39.6,5.2,5.4,25.9,Own 33.5,2:41,1.85
14,Houston Texans,16,191,1084,37.2,10.5,5.7,31.1,Own 30.3,2:44,1.93
15,Philadelphia Eagles,16,190,1063,34.7,17.9,5.6,33.7,Own 28.7,2:38,1.93
16,Kansas City Chiefs,16,189,1051,22.2,12.7,5.6,26.3,Own 24.6,2:30,1.05
17,Buffalo Bills,16,189,1023,31.2,15.9,5.4,29.8,Own 26.2,2:33,1.70
18,Minnesota Vikings,16,189,1035,31.7,13.2,5.5,27.9,Own 29.1,2:26,1.76
19,Tennessee Titans,16,188,1016,31.4,11.7,5.4,28.5,Own 27.4,2:22,1.58
20,Washington Redskins,16,188,1073,30.9,18.6,5.7,28.6,Own 29.1,2:35,1.50
21,Atlanta Falcons,16,187,1102,37.4,10.7,5.9,32.2,Own 28.5,2:46,2.04
22,Baltimore Ravens,16,186,1075,35.5,11.8,5.8,29.1,Own 28.9,2:38,1.84
23,Indianapolis Colts,16,186,978,24.2,15.6,5.3,24.6,Own 23.5,2:15,1.20
24,Dallas Cowboys,16,185,1054,37.8,11.4,5.7,32.4,Own 29.0,2:43,1.96
25,Tampa Bay Buccaneers,16,181,994,28.7,20.4,5.5,28.0,Own 27.0,2:34,1.44
26,Green Bay Packers,16,180,1016,48.3,6.1,5.6,36.0,Own 30.8,2:42,2.85
27,Cleveland Browns,16,180,1053,24.4,10.0,5.9,25.6,Own 27.1,2:36,1.18
28,New England Patriots,16,180,1115,47.2,8.3,6.2,37.9,Own 29.3,2:33,2.68
29,Carolina Panthers,16,179,1027,38.5,12.8,5.7,34.8,Own 27.9,2:42,2.21
30,New Orleans Saints,16,175,1151,51.4,10.9,6.6,42.6,Own 28.2,2:55,2.96
31,San Diego Chargers,16,172,1083,41.3,16.3,6.3,36.6,Own 27.9,3:01,2.24
32,Pittsburgh Steelers,16,168,1046,33.9,16.7,6.2,35.4,Own 26.8,3:06,1.83
,League Total,,6050,33581,32.8,12.8,5.6,29.3,Own 28.2,2:33,1.74
