Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Atlanta Falcons,16,169,1076,42.6,14.2,6.4,37.6,Own 27.9,2:54,2.25
2,New Orleans Saints,16,171,1054,43.3,9.9,6.2,35.8,Own 26.1,2:51,2.30
3,Seattle Seahawks,16,171,948,26.9,12.3,5.5,25.0,Own 25.7,2:37,1.39
4,Pittsburgh Steelers,16,174,976,39.7,11.5,5.6,32.4,Own 27.5,2:32,2.09
5,San Francisco 49ers,16,175,1009,32.0,16.6,5.8,29.3,Own 25.8,2:40,1.78
6,Green Bay Packers,16,175,1078,33.1,14.9,6.2,31.6,Own 27.5,2:42,1.84
7,Chicago Bears,16,177,1047,44.6,12.4,5.9,34.0,Own 32.8,2:43,2.38
8,Kansas City Chiefs,16,178,1061,32.6,6.7,6.0,29.7,Own 27.7,2:42,1.56
9,San Diego Chargers,16,179,1022,35.8,9.5,5.7,30.2,Own 28.5,2:37,1.88
10,Minnesota Vikings,16,179,1056,34.1,10.1,5.9,30.6,Own 28.2,2:49,1.83
11,Carolina Panthers,16,179,1027,34.1,14.0,5.7,30.3,Own 27.6,2:34,1.89
12,Dallas Cowboys,16,179,996,31.3,16.8,5.6,31.7,Own 26.9,2:30,1.83
13,Baltimore Ravens,16,180,1070,33.3,11.7,5.9,29.8,Own 27.3,2:42,1.67
14,Miami Dolphins,16,180,1063,36.7,13.3,5.9,30.3,Own 29.5,2:39,1.99
15,Detroit Lions,16,182,1007,26.9,14.3,5.5,26.3,Own 26.1,2:29,1.49
16,St. Louis Rams,16,182,1034,30.2,13.2,5.7,30.8,Own 25.6,2:42,1.57
17,Washington Redskins,16,182,1002,37.4,8.8,5.5,31.2,Own 30.0,2:36,2.13
18,New England Patriots,16,182,1070,32.4,13.2,5.9,30.2,Own 25.5,2:40,1.63
19,New York Jets,16,183,1008,37.2,5.5,5.5,28.4,Own 28.5,2:34,2.03
20,Cincinnati Bengals,16,184,1099,32.6,13.6,6.0,31.1,Own 26.2,2:39,1.72
21,Tampa Bay Buccaneers,16,185,1106,38.9,13.0,6.0,31.8,Own 31.2,2:52,2.10
22,Arizona Cardinals,16,188,1042,29.8,12.8,5.5,31.3,Own 26.0,2:34,1.55
23,Tennessee Titans,16,191,1138,40.8,8.4,6.0,31.2,Own 29.9,2:43,2.17
24,Jacksonville Jaguars,16,193,1120,36.3,9.8,5.8,30.7,Own 29.8,2:43,1.90
25,Denver Broncos,16,195,1059,31.3,11.8,5.4,24.9,Own 28.3,2:26,1.72
26,New York Giants,16,195,1038,35.4,12.8,5.3,30.8,Own 28.5,2:24,1.88
27,Oakland Raiders,16,197,1079,39.6,6.6,5.5,29.1,Own 32.9,2:34,2.12
28,Cleveland Browns,16,198,1152,32.3,13.6,5.8,29.3,Own 27.5,2:34,1.68
29,Buffalo Bills,16,198,1064,28.3,14.1,5.4,25.2,Own 26.9,2:28,1.37
30,Houston Texans,16,199,1099,26.6,16.1,5.5,27.8,Own 27.6,2:22,1.48
31,Indianapolis Colts,16,199,1026,28.1,12.6,5.2,27.5,Own 25.5,2:16,1.67
32,Philadelphia Eagles,16,212,1140,31.1,12.7,5.4,28.2,Own 26.4,2:31,1.76
,League Total,,5911,33766,34.1,12.1,5.7,30.1,Own 27.9,2:37,1.83
