Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Chicago Bears,16,,,6,6,12,12,11,8,,,29,26,89.7%,41,41,100.0%,96,3957,67,0,41.2
2,Philadelphia Eagles,16,2,2,11,11,12,10,10,8,5,2,40,33,82.5%,45,45,100.0%,78,3377,65,1,43.3
3,Tennessee Titans,16,,,6,6,7,7,19,15,1,1,33,29,87.9%,40,40,100.0%,87,3725,75,0,42.8
4,Baltimore Ravens,16,,,11,11,12,11,9,5,3,1,35,28,80.0%,41,41,100.0%,84,3777,74,0,45.0
5,Carolina Panthers,16,,,7,7,9,9,12,11,3,1,31,28,90.3%,46,46,100.0%,76,3349,63,3,44.1
6,Tampa Bay Buccaneers,16,,,12,12,15,15,8,5,3,,38,32,84.2%,36,35,97.2%,77,3426,64,0,44.5
7,Minnesota Vikings,16,,,10,10,9,7,9,6,6,6,34,29,85.3%,40,40,100.0%,74,3521,62,1,47.6
8,Seattle Seahawks,16,,,7,7,10,9,6,5,4,3,27,24,88.9%,30,30,100.0%,90,4052,63,1,45.0
9,Pittsburgh Steelers,16,1,1,9,9,9,8,10,8,2,1,31,27,87.1%,37,36,97.3%,78,3107,61,0,39.8
10,Oakland Raiders,16,,,11,11,8,8,4,2,7,3,30,24,80.0%,26,25,96.2%,90,4391,70,0,48.8
11,Green Bay Packers,16,1,1,8,8,13,10,6,5,6,3,34,27,79.4%,46,46,100.0%,65,2688,65,0,41.4
12,Cincinnati Bengals,16,1,1,6,6,7,6,11,9,,,25,22,88.0%,18,18,100.0%,101,3984,57,1,39.4
13,New York Giants,16,1,1,15,15,15,14,7,5,1,1,39,36,92.3%,41,41,100.0%,64,2814,61,0,44.0
14,Washington Redskins,16,,,7,7,9,7,16,11,4,1,36,26,72.2%,25,25,100.0%,82,3362,62,1,41.0
15,Dallas Cowboys,16,,,1,1,8,7,11,10,2,2,22,20,90.9%,42,42,100.0%,78,3432,70,1,44.0
16,Miami Dolphins,16,,,4,4,7,7,13,9,1,1,25,21,84.0%,40,40,100.0%,74,3249,71,0,43.9
17,St. Louis Rams,16,,,8,8,7,7,13,10,8,6,36,31,86.1%,19,19,100.0%,83,4120,68,0,49.6
18,Atlanta Falcons,16,,,11,11,8,7,10,10,2,1,31,29,93.5%,42,42,100.0%,65,2647,60,2,40.7
19,Detroit Lions,16,,,3,3,5,4,6,6,8,8,22,21,95.5%,26,25,96.2%,90,3952,66,0,43.9
20,Kansas City Chiefs,16,,,9,9,7,4,4,3,2,,22,16,72.7%,31,31,100.0%,82,3622,73,0,44.2
21,New Orleans Saints,16,,,6,6,9,8,10,7,2,1,27,22,81.5%,54,53,98.1%,53,2364,70,0,44.6
22,San Francisco 49ers,16,,,9,9,10,10,11,8,3,2,33,29,87.9%,34,34,100.0%,67,3203,82,1,47.8
23,Arizona Cardinals,16,,,9,9,11,9,6,6,2,1,28,25,89.3%,44,44,100.0%,60,2509,59,0,41.8
24,New England Patriots,16,,,12,10,16,16,11,9,1,1,40,36,90.0%,40,40,100.0%,50,2200,70,0,44.0
25,Buffalo Bills,16,1,1,8,7,11,11,15,10,3,1,38,30,78.9%,34,34,100.0%,58,2557,63,0,44.1
26,Cleveland Browns,16,,,10,10,14,12,6,5,6,3,36,30,83.3%,18,18,100.0%,76,3443,65,0,45.3
27,New York Jets,16,,,9,9,13,9,5,4,2,2,29,24,82.8%,41,41,100.0%,59,2533,61,1,42.9
28,San Diego Chargers,16,,,13,13,10,10,8,3,1,1,32,27,84.4%,46,46,100.0%,51,2332,67,0,45.7
29,Jacksonville Jaguars,16,,,7,7,6,3,7,5,5,4,25,19,76.0%,33,33,100.0%,67,2904,60,0,43.3
30,Houston Texans,16,,,10,9,10,10,10,8,3,2,33,29,87.9%,37,37,100.0%,53,2240,59,0,42.3
31,Indianapolis Colts,16,,,3,3,13,11,7,4,2,2,25,20,80.0%,43,43,100.0%,53,2343,64,0,44.2
32,Denver Broncos,16,,,8,7,9,8,11,5,6,5,34,25,73.5%,40,39,97.5%,46,2150,64,0,46.7
,Avg Team,,0.2,0.2,8.3,8.2,10.0,8.9,9.4,7.0,3.3,2.1,31.3,26.4,84.5%,36.8,36.6,99.5%,72.1,3166.6,66,0.4,43.9
,League Total,,7,7,266,261,321,286,302,225,104,66,1000,845,84.5%,1176,1170,99.5%,2307,101330,82,13,43.9
,Avg Tm/G,,,,0.5,0.5,0.6,0.6,0.6,0.4,0.2,0.1,2.0,1.7,84.5%,2.3,2.3,99.5%,4.5,197.9,,0.0,43.9
