Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,New Orleans Saints,16,25,19,76.0%,46,45,97.8%,69,3043,,44.1
2,Baltimore Colts,16,31,20,64.5%,68,65,95.6%,48,1819,,37.9
3,Seattle Seahawks,16,29,23,79.3%,46,41,89.1%,55,2338,,42.5
4,Houston Oilers,16,42,27,64.3%,39,38,97.4%,70,2933,,41.9
5,Cleveland Browns,16,34,21,61.8%,45,40,88.9%,78,3175,,40.7
6,New England Patriots,16,39,25,64.1%,41,39,95.1%,74,2871,,38.8
7,St. Louis Cardinals,16,26,20,76.9%,50,48,96.0%,69,2850,,41.3
8,Philadelphia Eagles,16,28,14,50.0%,26,23,88.5%,76,3093,,40.7
9,Buffalo Bills,16,26,22,84.6%,30,30,100.0%,77,3234,,42.0
10,Green Bay Packers,16,24,16,66.7%,45,43,95.6%,69,2739,,39.7
11,Kansas City Chiefs,16,27,19,70.4%,34,29,85.3%,80,3112,,38.9
12,Washington Redskins,16,24,17,70.8%,43,38,88.4%,80,3336,,41.7
13,Detroit Lions,16,22,19,86.4%,38,37,97.4%,81,3475,,42.9
14,Pittsburgh Steelers,16,33,18,54.5%,35,33,94.3%,78,3284,,42.1
15,Tampa Bay Buccaneers,16,33,25,75.8%,27,27,100.0%,73,3008,,41.2
16,Minnesota Vikings,16,27,17,63.0%,46,42,91.3%,84,3419,,40.7
17,San Diego Chargers,16,26,19,73.1%,48,45,93.8%,72,2902,,40.3
18,Los Angeles Rams,16,33,26,78.8%,39,37,94.9%,94,3854,,41.0
19,Miami Dolphins,16,21,14,66.7%,33,33,100.0%,87,3567,,41.0
20,Denver Broncos,16,27,15,55.6%,35,34,97.1%,88,3793,,43.1
21,Oakland Raiders,16,30,17,56.7%,42,38,90.5%,101,3929,,38.9
22,Cincinnati Bengals,16,21,12,57.1%,38,38,100.0%,81,3264,,40.3
23,Dallas Cowboys,16,29,14,48.3%,34,31,91.2%,80,3296,,41.2
24,New York Jets,16,20,12,60.0%,36,33,91.7%,94,3798,,40.4
25,San Francisco 49ers,16,23,13,56.5%,30,29,96.7%,83,3436,,41.4
26,New York Giants,16,33,22,66.7%,27,27,100.0%,105,4158,,39.6
27,Chicago Bears,16,29,17,58.6%,39,37,94.9%,98,3989,,40.7
28,Atlanta Falcons,16,29,18,62.1%,43,41,95.3%,96,4051,,42.2
,Avg Team,,28.3,18.6,65.9%,39.0,37.2,95.3%,80.0,3290.4,0.3,41.1
,League Total,,791,521,65.9%,1092,1041,95.3%,2240,92131,9,41.1
,Avg Tm/G,,1.8,1.2,65.9%,2.4,2.3,95.3%,5.0,205.6,0.0,41.1
