Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Francisco 49ers,16,473,6435,1022,6.3,30,13,372,354,524,4302,29,17,7.7,212,463,2133,26,4.6,134,95,800,26,,
2,Dallas Cowboys,16,376,5615,994,5.6,22,16,322,317,475,3454,18,6,6.9,172,490,2161,20,4.4,120,94,744,30,,
3,Denver Broncos,16,373,5461,1060,5.2,28,18,327,350,553,3768,27,10,6.4,187,468,1693,13,3.6,105,112,822,35,,
4,Houston Oilers,16,368,5658,1066,5.3,45,20,330,357,614,3866,23,25,5.9,208,409,1792,11,4.4,101,132,1005,21,,
5,Miami Dolphins,16,349,5812,1030,5.6,34,16,309,342,581,4353,27,18,7.1,207,419,1459,10,3.5,85,81,663,17,,
6,Green Bay Packers,16,340,4750,1006,4.7,34,10,282,322,528,3131,19,24,5.6,166,448,1619,14,3.6,98,85,734,18,,
7,Buffalo Bills,16,329,5260,1078,4.9,35,17,316,304,497,3317,20,18,6.3,176,550,1943,12,3.5,117,94,630,23,,
8,Kansas City Chiefs,16,328,4835,970,5.0,28,18,300,287,490,3180,20,10,6.1,180,445,1655,14,3.7,94,121,969,26,,
9,Phoenix Cardinals,16,326,5213,1007,5.2,31,11,295,310,522,3404,21,20,6.1,173,452,1809,12,4.0,107,77,644,15,,
10,San Diego Chargers,16,322,4967,1050,4.7,19,5,313,301,563,3143,18,14,5.3,171,455,1824,14,4.0,120,87,699,22,,
11,New Orleans Saints,16,317,4707,935,5.0,34,13,264,274,481,2941,18,21,5.6,158,414,1766,10,4.3,94,81,663,12,,
12,Atlanta Falcons,16,316,5110,1008,5.1,42,17,292,334,573,3520,28,25,5.7,185,395,1590,4,4.0,91,111,838,16,,
13,Pittsburgh Steelers,16,308,5235,1079,4.9,27,15,307,299,540,3232,16,12,5.5,180,491,2003,13,4.1,116,100,861,11,,
14,Los Angeles Raiders,16,306,5014,978,5.1,25,11,292,281,495,3589,17,14,6.6,168,433,1425,10,3.3,95,148,1181,29,,
15,Cleveland Browns,16,304,4740,948,5.0,36,17,264,262,478,3039,23,19,5.8,152,425,1701,8,4.0,91,121,842,21,,
16,Detroit Lions,16,298,4658,937,5.0,32,13,248,264,435,2714,15,19,5.6,139,456,1944,9,4.3,101,93,665,8,,
17,Philadelphia Eagles,16,293,4922,1054,4.7,34,21,303,328,556,3161,23,13,5.3,184,456,1761,7,3.9,104,101,770,15,,
18,New York Giants,16,288,5145,1024,5.0,17,8,300,257,424,2935,17,9,6.3,153,560,2210,11,3.9,127,90,596,20,,
19,Seattle Seahawks,16,280,4669,1019,4.6,31,13,279,280,498,2654,13,18,4.9,144,473,2015,13,4.3,114,99,745,21,,
20,Minnesota Vikings,16,277,4824,1008,4.8,24,10,283,315,526,3200,18,14,5.7,182,447,1624,8,3.6,85,109,806,16,,
21,New York Jets,16,270,5212,1031,5.1,28,16,304,294,489,3332,16,12,6.5,173,521,1880,14,3.6,106,86,555,25,,
22,New England Patriots,16,238,5065,1091,4.6,34,10,315,289,566,3285,17,24,5.6,169,502,1780,9,3.5,116,64,468,30,,
23,Tampa Bay Buccaneers,16,237,4311,949,4.5,36,11,241,262,508,3021,19,25,5.5,141,402,1290,6,3.2,80,89,765,20,,
24,Chicago Bears,16,234,3717,913,4.1,30,14,226,230,388,2040,7,16,4.7,113,477,1677,10,3.5,98,68,587,15,,
25,Washington Redskins,16,230,4273,969,4.4,31,10,255,287,533,2545,11,21,4.4,143,396,1728,11,4.4,92,90,597,20,,
26,Los Angeles Rams,16,221,4804,953,5.0,30,11,278,247,473,2790,16,19,5.5,147,449,2014,8,4.5,117,71,526,14,,
27,Indianapolis Colts,16,189,4705,988,4.8,35,20,269,332,594,3417,10,15,5.5,180,365,1288,4,3.5,71,94,685,18,,
28,Cincinnati Bengals,16,187,4052,986,4.1,20,9,239,272,510,2541,11,11,4.5,133,423,1511,3,3.6,89,105,773,17,,
,Avg Team,,299.2,4970.3,1005.5,4.9,30.4,13.7,290.2,298.3,514.8,3209.8,18.5,16.8,5.8,167.7,453.0,1760.5,10.9,3.9,102.4,,,20.0,,
,League Total,,8377,139169,28153,4.9,852,383,8125,8351,14414,89874,517,469,5.8,4696,12684,49295,304,3.9,2868,2698,20633,561,,
,Avg Tm/G,,18.7,310.6,62.8,4.9,1.9,0.9,18.1,18.6,32.2,200.6,1.2,1.0,5.8,10.5,28.3,110.0,0.7,3.9,6.4,,,1.3,,
