Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Minnesota Vikings,16,252,488,51.6,2501,18,3.7,18,3.7,6.2,5.2,11.9,156.3,67.7,71,502,4.5,3.7,12.7
2,Kansas City Chiefs,16,236,471,50.1,2527,16,3.4,15,3.2,6.0,5.2,12.0,157.9,66.8,36,294,5.0,4.3,7.1
3,Denver Broncos,16,268,504,53.2,2827,13,2.6,21,4.2,6.4,5.0,11.9,176.7,64.1,47,374,5.1,3.9,8.5
4,San Diego Chargers,16,283,513,55.2,2951,15,2.9,25,4.9,6.5,4.8,11.7,184.4,64.4,48,360,5.3,3.8,8.6
5,Los Angeles Raiders,16,277,506,54.7,3063,18,3.6,18,3.6,6.5,5.7,12.0,191.4,72.0,35,248,5.7,4.8,6.5
6,Seattle Seahawks,16,252,445,56.6,3097,23,5.2,9,2.0,7.5,7.6,13.2,193.6,89.3,32,235,6.5,6.6,6.7
7,New York Giants,16,273,486,56.2,3125,16,3.3,22,4.5,7.1,5.7,12.6,195.3,70.4,39,302,6.0,4.7,7.4
8,Cincinnati Bengals,16,256,482,53.1,3135,22,4.6,21,4.4,7.0,6.0,13.2,195.9,72.6,33,248,6.1,5.1,6.4
9,Cleveland Browns,16,269,540,49.8,3161,20,3.7,27,5.0,6.5,5.0,13.1,197.6,62.3,45,359,5.4,4.0,7.7
10,Buffalo Bills,16,255,508,50.2,3206,14,2.8,23,4.5,6.9,5.4,13.7,200.4,62.9,38,289,5.9,4.5,7.0
11,San Francisco 49ers,16,316,564,56.0,3235,15,2.7,21,3.7,6.3,5.2,11.3,202.2,68.5,43,333,5.3,4.3,7.1
12,Philadelphia Eagles,16,258,529,48.8,3289,26,4.9,30,5.7,7.0,5.4,14.4,205.6,64.7,62,424,5.6,4.2,10.5
13,Green Bay Packers,16,302,476,63.4,3339,22,4.6,25,5.3,7.5,6.0,11.8,208.7,79.6,34,214,6.5,5.2,6.7
14,Tampa Bay Buccaneers,16,301,515,58.4,3437,29,5.6,21,4.1,7.1,6.4,12.2,214.8,82.2,33,222,6.3,5.6,6.0
15,Indianapolis Colts,16,322,556,57.9,3534,15,2.7,21,3.8,7.0,5.9,12.2,220.9,73.0,46,384,5.9,4.8,7.6
16,Pittsburgh Steelers,16,290,548,52.9,3541,17,3.1,21,3.8,6.8,5.7,12.8,221.3,68.8,31,180,6.1,5.1,5.4
17,Houston Oilers,16,269,467,57.6,3542,28,6.0,21,4.5,8.2,7.4,14.2,221.4,85.4,36,277,7.0,6.3,7.2
18,Miami Dolphins,16,315,513,61.4,3543,21,4.1,15,2.9,7.4,6.9,12.1,221.4,85.7,39,268,6.4,6.0,7.1
19,Atlanta Falcons,16,259,437,59.3,3554,19,4.3,20,4.6,8.6,7.4,14.4,222.1,82.5,31,183,7.6,6.5,6.6
20,Dallas Cowboys,16,301,488,61.7,3565,21,4.3,7,1.4,7.7,7.9,12.5,222.8,93.9,29,183,6.9,7.1,5.6
21,Washington Redskins,16,277,530,52.3,3571,25,4.7,27,5.1,7.3,6.0,14.0,223.2,70.6,40,304,6.3,5.0,7.0
22,Phoenix Cardinals,16,286,531,53.9,3575,24,4.5,16,3.0,7.1,6.7,13.3,223.4,79.2,30,219,6.4,5.9,5.3
23,New England Patriots,16,259,449,57.7,3666,27,6.0,16,3.6,8.7,8.3,15.1,229.1,91.6,31,239,7.6,7.3,6.5
24,Chicago Bears,16,307,554,55.4,3832,21,3.8,26,4.7,7.4,6.0,13.3,239.5,72.0,39,247,6.5,5.2,6.6
25,New York Jets,16,282,514,54.9,3858,31,6.0,15,2.9,7.9,7.7,14.3,241.1,88.5,28,177,7.1,7.0,5.2
26,New Orleans Saints,16,320,577,55.5,3860,23,4.0,21,3.6,7.3,6.5,13.2,241.3,76.9,47,362,6.2,5.4,7.5
27,Detroit Lions,16,370,570,64.9,3916,19,3.3,16,2.8,7.4,6.8,11.3,244.8,86.2,40,277,6.4,5.9,6.6
28,Los Angeles Rams,16,345,577,59.8,4024,24,4.2,21,3.6,7.5,6.6,12.5,251.5,81.7,42,278,6.5,5.7,6.8
,Avg Team,,285.7,512.1,55.8,3374.1,20.8,4.1,20.0,3.9,7.1,6.2,12.8,210.9,73.3,39.5,285.1,6.12,5.2,7.2
,League Total,,8000,14338,55.8,94474,582,4.1,559,3.9,7.1,6.2,12.8,210.9,73.3,1105,7982,6.12,5.2,7.2
,Avg Tm/G,,17.9,32.0,55.8,210.9,1.3,4.1,1.2,3.9,7.1,6.2,12.8,210.9,73.3,2.5,17.8,6.12,5.2,7.2
