Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Miami Dolphins,16,262,467,56.1,2829,22,4.7,17,3.6,6.6,5.9,11.7,176.8,76.7,37,230,5.6,5.0,7.3,19.74
2,Philadelphia Eagles,16,288,517,55.7,2864,13,2.5,14,2.7,6.1,5.4,10.9,179.0,71.0,45,283,5.1,4.4,8.0,86.44
3,Dallas Cowboys,16,287,489,58.7,2889,20,4.1,9,1.8,6.2,6.2,10.5,180.6,82.7,24,130,5.6,5.6,4.7,-36.82
4,Pittsburgh Steelers,16,295,525,56.2,2942,19,3.6,16,3.0,6.3,5.7,11.2,183.9,74.5,55,367,5.1,4.5,9.5,67.60
5,Tampa Bay Buccaneers,16,273,493,55.4,2951,20,4.1,28,5.7,6.5,4.8,11.8,184.4,65.3,42,272,5.5,3.9,7.9,40.33
6,Washington Redskins,16,262,473,55.4,2977,19,4.0,23,4.9,6.6,5.2,11.9,186.1,68.8,25,139,6.0,4.7,5.0,42.98
7,New York Jets,16,313,516,60.7,2999,14,2.7,20,3.9,6.1,4.9,10.1,187.4,71.1,33,171,5.5,4.3,6.0,37.42
8,Baltimore Ravens,16,321,555,57.8,3035,16,2.9,16,2.9,6.0,5.3,10.4,189.7,72.8,45,290,5.1,4.4,7.5,78.03
9,Oakland Raiders,16,290,528,54.9,3083,16,3.0,17,3.2,6.2,5.4,11.3,192.7,70.5,41,204,5.4,4.6,7.2,6.89
10,Cleveland Browns,16,309,552,56.0,3089,18,3.3,33,6.0,6.1,4.1,10.9,193.1,60.2,43,288,5.2,3.3,7.2,104.38
11,St. Louis Rams,16,314,541,58.0,3097,16,3.0,21,3.9,6.2,5.0,10.7,193.6,69.9,45,251,5.3,4.2,7.7,129.67
12,Cincinnati Bengals,16,311,512,60.7,3157,23,4.5,13,2.5,6.8,6.5,11.2,197.3,85.4,48,320,5.6,5.4,8.6,-21.92
13,Buffalo Bills,16,284,453,62.7,3159,23,5.1,11,2.4,7.5,7.4,11.9,197.4,92.2,34,219,6.5,6.4,7.0,-52.87
14,Kansas City Chiefs,16,296,491,60.3,3164,19,3.9,13,2.6,6.9,6.5,11.5,197.8,83.1,31,239,6.1,5.7,5.9,-33.01
15,Green Bay Packers,16,341,583,58.5,3168,14,2.4,20,3.4,6.0,4.9,10.3,198.0,69.6,52,337,5.0,4.0,8.2,89.00
16,Denver Broncos,16,308,515,59.8,3282,23,4.5,22,4.3,6.9,5.9,11.6,205.1,77.8,39,279,5.9,5.0,7.0,-22.52
17,New Orleans Saints,16,278,452,61.5,3355,30,6.6,15,3.3,8.1,8.0,13.2,209.7,95.5,53,323,6.6,6.5,10.5,-49.23
18,Minnesota Vikings,16,291,478,60.9,3367,16,3.3,8,1.7,7.5,7.4,12.3,210.4,88.1,30,204,6.6,6.5,5.9,-83.74
19,San Francisco 49ers,16,332,567,58.6,3383,18,3.2,24,4.2,6.4,5.1,10.9,211.4,70.3,32,220,5.6,4.4,5.3,-5.96
20,San Diego Chargers,16,317,535,59.3,3400,24,4.5,19,3.6,6.8,6.1,11.4,212.5,79.8,41,218,5.9,5.3,7.1,-30.53
21,New York Giants,16,298,521,57.2,3430,25,4.8,15,2.9,7.2,6.9,12.6,214.4,83.7,46,320,6.0,5.7,8.1,-13.47
22,Jacksonville Jaguars,16,354,544,65.1,3459,13,2.4,12,2.2,6.9,6.4,10.6,216.2,83.9,43,298,5.9,5.4,7.3,-15.19
23,Seattle Seahawks,16,339,563,60.2,3485,20,3.6,14,2.5,6.6,6.2,11.0,217.8,81.4,38,248,5.8,5.4,6.3,-5.00
24,New England Patriots,16,299,546,54.8,3497,15,2.7,22,4.0,6.8,5.6,12.5,218.6,68.6,41,234,6.0,4.8,7.0,62.05
25,Detroit Lions,16,312,514,60.7,3528,30,5.8,16,3.1,7.3,7.1,12.0,220.5,89.6,31,224,6.5,6.3,5.7,-98.78
26,Arizona Cardinals,16,337,556,60.6,3598,26,4.7,17,3.1,6.7,6.3,11.1,224.9,83.4,19,128,6.3,5.8,3.3,-43.90
27,Indianapolis Colts,16,311,509,61.1,3600,30,5.9,15,2.9,7.6,7.4,12.4,225.0,91.9,40,257,6.6,6.4,7.3,-89.78
28,Carolina Panthers,16,306,510,60.0,3642,25,4.9,24,4.7,7.5,6.3,12.4,227.6,79.9,26,167,6.8,5.7,4.9,-50.50
29,Chicago Bears,16,355,602,59.0,3665,12,2.0,20,3.3,6.6,5.5,11.2,229.1,71.4,48,294,5.6,4.6,7.4,75.23
30,Atlanta Falcons,16,331,515,64.3,3902,29,5.6,18,3.5,8.0,7.6,12.5,243.9,93.3,37,230,7.1,6.7,6.7,-90.99
31,Tennessee Titans,16,328,559,58.7,4084,27,4.8,13,2.3,7.6,7.5,13.0,255.3,89.1,32,175,6.9,6.8,5.4,-132.71
,Avg Team,,307.8,522.0,59.0,3292.9,20.5,3.9,17.6,3.4,6.8,6.0,11.5,205.8,76.6,38.6,243.8,5.87,5.2,6.9,
,League Total,,9542,16181,59.0,102080,635,3.9,545,3.4,6.8,6.0,11.5,205.8,76.6,1196,7559,5.87,5.2,6.9,
,Avg Tm/G,,19.2,32.6,59.0,205.8,1.3,3.9,1.1,3.4,6.8,6.0,11.5,205.8,76.6,2.4,15.2,5.87,5.2,6.9,
