Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Houston Oilers,16,373,573,65.1,4029,27,4.7,23,4.0,72,7.4,6.5,11.3,251.8,86.1,32,202,6.7,5.8,5.3,5,5
2,Miami Dolphins,16,332,563,59.0,3975,24,4.3,17,3.0,62,7.4,6.9,12.5,248.4,83.6,28,173,6.7,6.2,4.7,6,6
3,San Francisco 49ers,16,319,480,66.5,3880,29,6.0,9,1.9,80,8.4,8.8,12.7,242.5,105.0,32,174,7.6,7.9,6.3,3,5
4,Atlanta Falcons,16,336,548,61.3,3633,33,6.0,15,2.7,89,7.1,7.1,11.6,227.1,91.4,40,259,6.2,6.2,6.8,1,2
5,Dallas Cowboys,16,314,491,64.0,3485,23,4.7,15,3.1,87,7.3,6.9,11.5,217.8,88.8,23,112,6.8,6.4,4.5,1,1
6,Buffalo Bills,16,293,509,57.6,3457,23,4.5,21,4.1,65,7.2,6.3,12.6,216.1,78.0,29,221,6.4,5.5,5.4,4,4
7,San Diego Chargers,16,282,496,56.9,3346,16,3.2,21,4.2,67,7.3,6.0,12.8,209.1,72.9,33,268,6.3,5.1,6.2,3,3
8,Indianapolis Colts,16,305,546,55.9,3266,13,2.4,26,4.8,81,6.6,4.9,11.8,204.1,64.1,44,318,5.5,4.0,7.5,4,6
9,Green Bay Packers,16,340,527,64.5,3230,20,3.8,15,2.8,76,6.6,6.1,10.3,201.9,84.3,43,268,5.7,5.2,7.5,3,3
10,Los Angeles Rams,16,289,495,58.4,3218,23,4.6,20,4.0,67,6.9,6.0,11.8,201.1,78.2,26,204,6.2,5.3,5.0,3,3
11,New Orleans Saints,16,251,426,58.9,3178,19,4.5,16,3.8,72,7.7,6.9,13.1,198.6,82.6,15,119,7.2,6.4,3.4,2,4
12,Washington Redskins,16,272,485,56.1,3163,15,3.1,17,3.5,62,6.9,5.9,12.3,197.7,73.2,23,176,6.2,5.3,4.5,1,1
13,Phoenix Cardinals,16,298,517,57.6,3086,15,2.9,24,4.6,72,6.5,5.0,11.2,192.9,67.4,36,258,5.6,4.2,6.5,2,2
14,Chicago Bears,16,266,479,55.5,3070,17,3.5,24,5.0,83,7.0,5.4,12.5,191.9,68.3,45,264,5.9,4.4,8.6,1,1
15,Tampa Bay Buccaneers,16,299,511,58.5,3065,17,3.3,20,3.9,81,6.7,5.6,11.4,191.6,73.3,45,334,5.5,4.5,8.1,1,1
16,Denver Broncos,16,258,473,54.5,2930,16,3.4,29,6.1,81,7.0,4.9,12.8,183.1,62.4,52,382,5.6,3.7,9.9,3,3
17,Cleveland Browns,16,238,398,59.8,2885,18,4.5,16,4.0,69,7.8,6.9,13.0,180.3,82.7,34,217,6.7,5.8,7.9,1,1
18,Minnesota Vikings,16,258,458,56.3,2869,18,3.9,15,3.3,60,6.9,6.2,12.3,179.3,77.2,40,293,5.8,5.1,8.0,3,3
19,Detroit Lions,16,231,406,56.9,2796,16,3.9,21,5.2,78,7.8,6.2,13.6,174.8,73.4,59,354,6.0,4.7,12.7,,
20,Kansas City Chiefs,16,230,413,55.7,2792,15,3.6,12,2.9,77,7.5,7.0,13.5,174.5,79.9,48,323,6.1,5.5,10.4,1,1
21,Pittsburgh Steelers,16,249,431,57.8,2750,15,3.5,14,3.2,51,7.1,6.3,12.2,171.9,77.7,40,296,5.8,5.1,8.5,4,5
22,New York Jets,16,251,495,50.7,2679,12,2.4,24,4.8,55,6.0,4.3,11.8,167.4,57.2,39,283,5.0,3.4,7.3,0,0
23,Philadelphia Eagles,16,255,429,59.4,2592,20,4.7,13,3.0,75,7.1,6.7,12.0,162.0,84.2,64,462,5.3,4.9,13.0,2,2
24,Los Angeles Raiders,16,233,471,49.5,2590,20,4.2,23,4.9,68,6.3,4.9,12.7,161.9,63.2,48,360,5.0,3.8,9.2,1,2
25,New York Giants,16,232,433,53.6,2345,14,3.2,10,2.3,46,6.1,5.7,11.3,146.6,73.2,45,283,4.9,4.6,9.4,,
26,New England Patriots,16,244,444,55.0,2034,13,2.9,19,4.3,65,5.6,4.3,10.2,127.1,63.2,65,458,4.0,2.8,12.8,1,1
27,Cincinnati Bengals,16,227,435,52.2,1943,16,3.7,17,3.9,83,5.3,4.2,10.1,121.4,63.4,45,341,4.0,3.1,9.4,2,2
28,Seattle Seahawks,16,230,476,48.3,1778,9,1.9,23,4.8,57,4.9,3.1,10.1,111.1,48.9,67,545,3.3,1.7,12.3,1,1
,Avg Team,,275.2,478.9,57.5,3002.3,18.4,3.8,18.5,3.9,71,6.9,5.9,11.9,187.6,72.8,40.7,283.8,5.78,4.9,7.8,2.1,2.4
,League Total,,7705,13408,57.5,84064,516,3.8,519,3.9,89,6.9,5.9,11.9,187.6,72.8,1140,7947,5.78,4.9,7.8,59,68
,Avg Tm/G,,17.2,29.9,57.5,187.6,1.2,3.8,1.2,3.9,,6.9,5.9,11.9,187.6,72.8,2.5,17.7,5.78,4.9,7.8,,
