Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
1,New Orleans Saints,16,472,662,71.3,5347,46,6.9,14,2.1,79,8.3,8.8,11.7,334.2,110.5,24,158,7.8,8.2,3.5,3,4,294.47
2,New England Patriots,16,402,612,65.7,5084,39,6.4,12,2.0,99,8.6,9.0,13.1,317.8,105.7,32,173,7.9,8.3,5.0,2,3,263.82
3,Green Bay Packers,16,376,552,68.1,4924,51,9.2,8,1.4,93,9.3,10.5,13.7,307.8,122.6,41,237,8.3,9.4,6.9,1,2,273.77
4,Detroit Lions,16,423,666,63.5,4814,41,6.2,16,2.4,73,7.6,7.8,12.0,300.9,97.2,36,257,6.9,7.0,5.1,3,4,137.29
5,New York Giants,16,359,589,61.0,4734,29,4.9,16,2.7,99,8.4,8.1,13.7,295.9,92.9,28,199,7.7,7.4,4.5,7,8,174.08
6,San Diego Chargers,16,366,582,62.9,4426,27,4.6,20,3.4,58,7.9,7.3,12.6,276.6,88.7,30,198,7.2,6.6,4.9,1,1,121.12
7,Dallas Cowboys,16,376,570,66.0,4201,33,5.8,12,2.1,77,7.8,8.0,11.8,262.6,100.1,39,252,6.9,7.1,6.4,4,4,126.31
8,Atlanta Falcons,16,365,594,61.4,4192,29,4.9,13,2.2,80,7.3,7.3,12.0,262.0,91.1,26,173,6.8,6.8,4.2,3,3,113.03
9,Philadelphia Eagles,16,330,554,59.6,4110,22,4.0,25,4.5,73,7.7,6.5,13.0,256.9,78.3,32,166,7.0,5.8,5.5,0,1,43.86
10,Pittsburgh Steelers,16,341,539,63.3,4054,21,3.9,15,2.8,95,8.0,7.6,12.7,253.4,89.7,42,279,7.0,6.5,7.2,1,1,95.51
11,Oakland Raiders,16,315,524,60.1,3962,20,3.8,23,4.4,78,7.9,6.6,13.1,247.6,79.4,25,157,7.2,6.1,4.6,1,2,52.12
12,Tennessee Titans,16,353,584,60.4,3923,22,3.8,14,2.4,80,7.0,6.7,11.7,245.2,84.4,24,190,6.5,6.1,3.9,2,3,51.28
13,Carolina Panthers,16,312,519,60.1,3829,21,4.0,17,3.3,91,7.9,7.2,13.1,239.3,84.8,35,260,6.9,6.3,6.3,1,1,71.12
14,Washington Redskins,16,346,591,58.5,3773,19,3.2,24,4.1,51,6.9,5.7,11.7,235.8,73.3,41,285,6.0,4.9,6.5,2,2,-14.58
15,Buffalo Bills,16,356,578,61.6,3703,24,4.2,25,4.3,60,6.7,5.6,10.8,231.4,77.0,23,154,6.2,5.1,3.8,2,2,9.49
16,Tampa Bay Buccaneers,16,365,588,62.1,3650,17,2.9,24,4.1,65,6.5,5.3,10.5,228.1,73.6,32,188,5.9,4.7,5.2,1,2,-58.95
