Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Oakland Raiders,16,42,272,0,22,6.5,53,1268,0,70,23.9,7126
2,New York Jets,16,49,422,0,58,8.6,37,771,0,54,20.8,7231
3,Miami Dolphins,16,41,424,1,69,10.3,43,958,0,50,22.3,7109
4,Indianapolis Colts,16,39,268,0,33,6.9,43,1047,0,60,24.3,6681
5,Kansas City Chiefs,16,45,355,0,37,7.9,35,791,0,54,22.6,6683
6,Cincinnati Bengals,16,43,350,0,35,8.1,34,700,0,58,20.6,6959
7,Minnesota Vikings,16,34,311,1,65,9.1,42,1190,2,101,28.3,6958
8,Seattle Seahawks,16,42,450,1,66,10.7,34,868,1,105,25.5,7647
9,New York Giants,16,36,367,1,80,10.2,39,971,1,100,24.9,7451
10,Detroit Lions,16,30,209,0,28,7.0,44,1220,0,104,27.7,7227
11,Baltimore Ravens,16,40,450,1,82,11.3,34,857,0,50,25.2,7234
12,St. Louis Rams,16,39,300,1,75,7.7,35,830,0,102,23.7,6017
13,New England Patriots,16,47,473,0,82,10.1,25,469,0,75,18.8,7158
14,Washington Redskins,16,32,153,0,16,4.8,40,999,2,101,25.0,7012
15,San Francisco 49ers,16,30,226,0,37,7.5,42,993,0,40,23.6,6409
16,Buffalo Bills,16,31,232,0,27,7.5,41,772,0,32,18.8,7036
17,Arizona Cardinals,16,39,289,0,38,7.4,32,770,1,108,24.1,7751
18,Tennessee Titans,16,38,307,0,37,8.1,33,680,0,34,20.6,6365
19,Cleveland Browns,16,29,325,1,78,11.2,41,1041,0,53,25.4,7051
20,Houston Texans,16,52,377,0,20,7.3,18,430,0,41,23.9,6617
21,Green Bay Packers,16,31,167,0,16,5.4,36,881,0,70,24.5,6723
22,Philadelphia Eagles,16,39,443,2,89,11.4,27,565,0,49,20.9,7092
23,Chicago Bears,16,31,242,0,34,7.8,33,892,0,74,27.0,6831
24,Jacksonville Jaguars,16,31,361,1,73,11.6,31,721,0,42,23.3,6983
25,Dallas Cowboys,16,33,183,0,28,5.5,28,704,0,79,25.1,6455
26,New Orleans Saints,16,32,275,1,74,8.6,28,605,0,38,21.6,7576
27,Pittsburgh Steelers,16,28,231,1,71,8.3,29,701,0,38,24.2,7478
28,Denver Broncos,16,29,283,1,83,9.8,27,588,0,41,21.8,6805
29,Atlanta Falcons,16,27,255,0,41,9.4,26,667,0,50,25.7,7130
30,Carolina Panthers,16,30,282,0,37,9.4,22,407,0,33,18.5,6844
31,Tampa Bay Buccaneers,16,29,288,0,58,9.9,21,506,0,38,24.1,6998
32,San Diego Chargers,16,20,84,0,18,4.2,28,583,0,34,20.8,6880
,Avg Team,,35.6,301.7,0.4,50,8.5,33.8,795.2,0.2,62,23.5,6984.9
,League Total,,1138,9654,13,89,8.5,1081,25445,7,108,23.5,223517
,Avg Tm/G,,2.2,18.9,0.0,,8.5,2.1,49.7,0.0,,23.5,436.6
