Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Atlanta Falcons,16,26,241,0,9.3,48,1065,0,22.2
2,Carolina Panthers,16,37,318,1,8.6,39,739,0,18.9
3,Tampa Bay Buccaneers,16,40,440,0,11.0,27,680,0,25.2
4,Buffalo Bills,16,35,517,2,14.8,51,1144,1,22.4
5,Detroit Lions,16,33,328,2,9.9,52,1213,2,23.3
6,Dallas Cowboys,16,29,279,1,9.6,50,1102,1,22.0
7,Indianapolis Colts,16,32,375,1,11.7,34,841,0,24.7
8,Seattle Seahawks,16,29,252,0,8.7,50,1147,0,22.9
9,Miami Dolphins,16,43,484,1,11.3,35,868,1,24.8
10,New York Jets,16,31,375,1,12.1,54,1184,1,21.9
11,San Diego Chargers,16,40,362,0,9.1,45,1017,0,22.6
12,Washington Redskins,16,39,320,0,8.2,55,1264,0,23.0
13,St. Louis Rams,16,41,402,0,9.8,30,730,0,24.3
14,Minnesota Vikings,16,41,341,0,8.3,33,795,0,24.1
15,Oakland Raiders,16,45,450,0,10.0,30,868,2,28.9
16,New Orleans Saints,16,31,391,0,12.6,42,1049,1,25.0
17,Denver Broncos,16,33,197,0,6.0,34,751,0,22.1
18,Green Bay Packers,16,24,179,0,7.5,51,1193,0,23.4
19,New England Patriots,16,23,154,0,6.7,60,1229,0,20.5
20,Houston Texans,16,48,483,1,10.1,62,1595,2,25.7
21,New York Giants,16,38,353,0,9.3,70,1662,0,23.7
22,Pittsburgh Steelers,16,30,306,1,10.2,46,1103,0,24.0
23,San Francisco 49ers,16,36,249,1,6.9,48,1289,0,26.9
24,Jacksonville Jaguars,16,40,495,2,12.4,39,1009,0,25.9
25,Cincinnati Bengals,16,27,210,0,7.8,60,1468,1,24.5
26,Philadelphia Eagles,16,40,542,1,13.6,41,1012,0,24.7
27,Chicago Bears,16,25,84,0,3.4,37,767,0,20.7
28,Cleveland Browns,16,34,343,1,10.1,43,853,0,19.8
29,Kansas City Chiefs,16,27,362,2,13.4,27,690,0,25.6
30,Arizona Cardinals,16,48,415,0,8.6,32,846,0,26.4
31,Tennessee Titans,16,39,405,0,10.4,33,860,1,26.1
32,Baltimore Ravens,16,49,383,0,7.8,37,859,0,23.2
,Avg Team,,35.4,344.8,0.6,9.7,43.6,1027.9,0.4,23.6
,League Total,,1134,11035,18,9.7,1395,32892,13,23.6
,Avg Tm/G,,2.2,21.6,0.0,9.7,2.7,64.2,0.0,23.6
