Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Philadelphia Eagles,16,383,1136,4,3.0,71.0
2,New Orleans Saints,16,334,1213,6,3.6,75.8
3,Washington Redskins,16,348,1346,11,3.9,84.1
4,New York Jets,16,379,1442,8,3.8,90.1
5,San Francisco 49ers,16,399,1512,8,3.8,94.5
6,Houston Oilers,16,407,1540,8,3.8,96.3
7,Green Bay Packers,16,457,1546,10,3.4,96.6
8,Dallas Cowboys,16,400,1571,11,3.9,98.2
9,New England Patriots,16,460,1579,5,3.4,98.7
10,Chicago Bears,16,389,1580,9,4.1,98.8
11,Pittsburgh Steelers,16,466,1582,14,3.4,98.9
12,Los Angeles Rams,16,469,1659,19,3.5,103.7
13,Cincinnati Bengals,16,454,1662,20,3.7,103.9
14,San Diego Chargers,16,430,1666,15,3.9,104.1
15,Seattle Seahawks,16,435,1684,4,3.9,105.3
16,New York Giants,16,414,1726,11,4.2,107.9
17,Detroit Lions,16,444,1760,16,4.0,110.0
18,Kansas City Chiefs,16,417,1770,8,4.2,110.6
19,Denver Broncos,16,411,1794,8,4.4,112.1
20,Minnesota Vikings,16,456,1837,17,4.0,114.8
21,Cleveland Browns,16,447,1875,12,4.2,117.2
22,Los Angeles Raiders,16,447,1889,13,4.2,118.1
23,Atlanta Falcons,16,466,1953,13,4.2,122.1
24,Buffalo Bills,16,519,2044,20,3.9,127.8
25,Tampa Bay Buccaneers,16,512,2107,21,4.1,131.7
26,Phoenix Cardinals,16,493,2136,27,4.3,133.5
27,Miami Dolphins,16,499,2301,17,4.6,143.8
28,Indianapolis Colts,16,544,2327,23,4.3,145.4
,Avg Team,,438.5,1722.8,12.8,3.9,107.7
,League Total,,12279,48237,358,3.9,107.7
,Avg Tm/G,,27.4,107.7,0.8,3.9,107.7
