Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Dallas Cowboys,16,340,1336,9,3.9,83.5,20.06
2,Tennessee Titans,16,356,1413,10,4.0,88.3,35.07
3,New York Giants,16,397,1417,10,3.6,88.6,62.69
4,New England Patriots,16,368,1417,6,3.9,88.6,35.11
5,Baltimore Ravens,16,384,1430,10,3.7,89.4,51.10
6,Carolina Panthers,16,376,1465,11,3.9,91.6,19.60
7,Seattle Seahawks,16,441,1487,16,3.4,92.9,69.61
8,Green Bay Packers,16,376,1515,11,4.0,94.7,6.45
9,Arizona Cardinals,16,424,1518,16,3.6,94.9,55.43
10,San Diego Chargers,16,410,1567,20,3.8,97.9,33.69
11,New York Jets,16,428,1581,11,3.7,98.8,56.13
12,Houston Texans,16,397,1595,13,4.0,99.7,46.05
13,Pittsburgh Steelers,16,369,1600,15,4.3,100.0,23.86
14,New Orleans Saints,16,396,1626,19,4.1,101.6,28.83
15,Philadelphia Eagles,16,391,1652,10,4.2,103.3,9.85
16,Los Angeles Rams,16,424,1660,12,3.9,103.8,11.26
17,Atlanta Falcons,16,370,1672,15,4.5,104.5,-2.17
18,Detroit Lions,16,389,1701,8,4.4,106.3,14.59
19,Jacksonville Jaguars,16,446,1703,17,3.8,106.4,10.63
20,Minnesota Vikings,16,404,1711,9,4.2,106.9,41.65
21,Cincinnati Bengals,16,412,1812,12,4.4,113.3,6.80
22,Tampa Bay Buccaneers,16,427,1875,15,4.4,117.2,-7.71
23,Oakland Raiders,16,421,1881,18,4.5,117.6,16.52
24,Washington Redskins,16,423,1916,19,4.5,119.8,3.68
25,Indianapolis Colts,16,409,1926,12,4.7,120.4,8.37
26,Kansas City Chiefs,16,437,1938,10,4.4,121.1,8.30
27,Chicago Bears,16,445,1950,18,4.4,121.9,4.38
28,Denver Broncos,16,482,2085,15,4.3,130.3,4.68
29,Buffalo Bills,16,469,2130,21,4.5,133.1,6.03
30,Miami Dolphins,16,464,2247,12,4.8,140.4,-10.50
31,Cleveland Browns,16,498,2283,18,4.6,142.7,-15.51
32,San Francisco 49ers,16,548,2654,25,4.8,165.9,-18.39
,Avg Team,,416.3,1742.6,13.8,4.2,108.9,19.9
,League Total,,13321,55763,443,4.2,108.9,
,Avg Tm/G,,26.0,108.9,0.9,4.2,108.9,
