Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Cincinnati Bengals,16,15,23,1,,1,2,1,,3,,40,40,22,23,,364,22.8
2,St. Louis Rams,16,26,20,,,3,4,,,1,,52,52,31,32,,465,29.1
3,Cleveland Browns,16,16,19,,1,1,5,,,1,,41,41,19,28,,350,21.9
4,Oakland Raiders,16,23,20,,1,1,,,,2,,43,43,23,31,1,388,24.3
5,Washington Redskins,16,12,16,2,,2,,,,1,,30,31,24,28,,296,18.5
6,Detroit Lions,16,31,25,2,,,5,,,1,,62,62,25,29,1,517,32.3
7,Kansas City Chiefs,16,25,21,,1,,2,,,4,,45,45,33,36,,440,27.5
8,Seattle Seahawks,16,13,25,1,,,1,,,1,,39,39,37,41,,392,24.5
9,Jacksonville Jaguars,16,14,25,,,1,1,,,1,,40,40,27,30,,367,22.9
10,Buffalo Bills,16,18,14,,,1,1,,,,,34,34,34,41,1,342,21.4
11,San Francisco 49ers,16,14,22,,,1,2,,,1,,38,38,35,42,2,381,23.8
12,Miami Dolphins,16,11,18,2,,,2,,,5,,28,28,29,32,1,317,19.8
13,Pittsburgh Steelers,16,7,12,,,,2,,,,,21,21,24,27,2,223,13.9
14,Tampa Bay Buccaneers,16,8,23,,,1,2,,,1,,33,33,28,30,,323,20.2
15,Dallas Cowboys,16,11,19,,1,3,1,1,,2,,33,33,38,44,1,365,22.8
16,Houston Texans,16,18,24,1,,1,1,,,2,,43,43,25,29,1,394,24.6
17,Denver Broncos,16,26,20,1,1,,2,,,2,,48,48,32,35,1,448,28.0
18,Tennessee Titans,16,12,12,,,1,,,,1,,24,24,20,30,,234,14.6
19,Chicago Bears,16,16,21,,,1,1,,,,,38,39,26,33,,350,21.9
20,Indianapolis Colts,16,18,6,,,1,3,,,3,,25,25,33,38,1,298,18.6
21,Minnesota Vikings,16,10,15,4,,3,2,2,,1,,35,35,26,36,1,333,20.8
22,Baltimore Ravens,16,4,17,,2,2,1,,,1,,25,25,21,22,,244,15.3
23,Atlanta Falcons,16,17,20,,,1,,,,3,,35,35,20,25,,325,20.3
24,New York Jets,16,10,23,,,3,4,,,3,,37,37,25,28,,356,22.3
25,New England Patriots,16,8,27,,2,,,,,2,,34,35,17,21,,309,19.3
26,Carolina Panthers,16,14,19,1,,1,,2,,4,,31,32,24,28,,329,20.6
27,Philadelphia Eagles,16,7,19,,1,,2,2,,2,,29,29,24,28,1,289,18.1
28,Green Bay Packers,16,20,22,,,1,,,,4,,39,39,25,30,3,380,23.8
29,New York Giants,16,14,17,,,,2,1,,3,,31,31,19,26,,294,18.4
30,Arizona Cardinals,16,13,36,1,1,,1,,,3,,49,49,21,27,,426,26.6
31,San Diego Chargers,16,11,25,,1,1,1,,,6,,31,33,24,31,3,347,21.7
32,New Orleans Saints,16,14,21,,1,2,2,1,,4,,37,37,34,39,1,393,24.6
,Avg Team,,14.9,20.2,0.5,0.4,1.0,1.6,0.3,,0.9,2.0,36.6,36.8,26.4,31.3,0.7,352.5,22.0
,League Total,,476,646,16,13,33,52,10,1246,28,64,1170,1176,845,1000,21,11279,
,Avg Tm/G,,0.93,1.26,0.03,0.03,0.06,0.10,0.02,2.43,0.05,0.13,2.29,2.30,1.65,1.95,0.04,22.0,
