Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Francisco 49ers,16,14,35,,,1,,1,51,,0,49,51,29,36,,442,27.6
2,Los Angeles Rams,16,19,29,,,,3,,51,,0,51,51,23,30,,426,26.6
3,Buffalo Bills,16,15,32,,,,1,1,49,,0,46,47,23,30,,409,25.6
4,Cincinnati Bengals,16,17,32,,,1,1,1,52,,0,50,52,14,20,,404,25.3
5,Washington Redskins,16,14,24,,1,,3,,42,,0,41,41,29,40,3,386,24.1
6,New Orleans Saints,16,19,23,1,1,,2,,46,,0,44,45,20,29,3,386,24.1
7,Houston Oilers,16,16,23,,,,,2,41,,0,40,40,25,37,2,365,22.8
8,Denver Broncos,16,15,21,,,2,2,,40,,0,39,40,27,33,1,362,22.6
9,Green Bay Packers,16,13,27,,,2,,,42,,0,42,42,22,28,1,362,22.6
10,Chicago Bears,16,22,21,,1,,1,,45,,0,43,45,15,19,,358,22.4
11,Minnesota Vikings,16,12,17,,1,4,2,,36,,0,35,36,32,44,2,351,21.9
12,New York Giants,16,17,17,1,,,2,,37,,0,35,37,29,38,2,348,21.8
13,Philadelphia Eagles,16,14,23,,,1,2,,40,,0,40,40,20,33,1,342,21.4
14,Cleveland Browns,16,14,20,,,2,4,1,41,,0,40,40,16,24,,334,20.9
15,Miami Dolphins,16,10,26,1,1,,,1,39,,0,38,39,19,26,1,331,20.7
16,Tampa Bay Buccaneers,16,10,23,,,,2,1,36,,0,34,35,22,28,2,320,20.0
17,Kansas City Chiefs,16,18,14,,,2,,1,35,,0,34,35,24,33,1,318,19.9
18,Los Angeles Raiders,16,9,21,,,2,3,,35,,0,34,34,23,34,1,315,19.7
19,Detroit Lions,16,23,11,,,1,1,,36,,0,36,36,20,21,,312,19.5
20,Indianapolis Colts,16,11,18,1,,1,2,1,34,,0,31,32,21,27,,298,18.6
21,New England Patriots,16,12,17,,,,1,,30,,0,27,30,30,40,,297,18.6
22,Atlanta Falcons,16,11,17,1,,1,,,30,,0,30,30,23,32,,279,17.4
23,San Diego Chargers,16,13,15,,1,2,,,31,,0,29,30,17,25,,266,16.6
24,Pittsburgh Steelers,16,17,10,,1,1,,,29,,0,28,28,21,30,,265,16.6
25,Phoenix Cardinals,16,10,17,,,,2,,29,,0,28,29,18,26,1,258,16.1
26,New York Jets,16,11,14,,,2,2,1,30,,0,29,30,14,21,1,253,15.8
27,Seattle Seahawks,16,5,21,,1,1,,,28,,0,28,27,15,25,,241,15.1
28,Dallas Cowboys,16,7,14,,1,3,,,25,,0,24,25,10,20,,204,12.8
,Avg Team,,13.9,20.8,0.2,0.3,1.0,1.3,0.4,,,0.0,36.6,37.4,21.5,29.6,0.8,329.7,20.6
,League Total,,388,582,5,9,29,36,11,1060,,0,1025,1047,601,829,22,9232,
,Avg Tm/G,,0.87,1.30,0.01,0.02,0.06,0.08,0.02,2.37,,0.00,2.29,2.34,1.34,1.85,0.05,20.6,
